date,time,flow
2019-10-01,0,16
2019-10-01,1,16
2019-10-01,2,8
2019-10-01,3,8
2019-10-01,4,21
2019-10-01,5,44
2019-10-01,6,150
2019-10-01,7,190
2019-10-01,8,237
2019-10-01,9,190
2019-10-01,10,163
2019-10-01,11,180
2019-10-01,12,180
2019-10-01,13,181
2019-10-01,14,160
2019-10-01,15,173
2019-10-01,16,202
2019-10-01,17,200
2019-10-01,18,171
2019-10-01,19,124
2019-10-01,20,150
2019-10-01,21,110
2019-10-01,22,71
2019-10-01,23,48
2019-10-02,0,26
2019-10-02,1,16
2019-10-02,2,16
2019-10-02,3,12
2019-10-02,4,21
2019-10-02,5,48
2019-10-02,6,168
2019-10-02,7,213
2019-10-02,8,224
2019-10-02,9,176
2019-10-02,10,160
2019-10-02,11,198
2019-10-02,12,186
2019-10-02,13,176
2019-10-02,14,160
2019-10-02,15,172
2019-10-02,16,181
2019-10-02,17,181
2019-10-02,18,168
2019-10-02,19,129
2019-10-02,20,146
2019-10-02,21,124
2019-10-02,22,110
2019-10-02,23,36
2019-10-03,0,26
2019-10-03,1,16
2019-10-03,2,16
2019-10-03,3,8
2019-10-03,4,21
2019-10-03,5,44
2019-10-03,6,123
2019-10-03,7,207
2019-10-03,8,230
2019-10-03,9,190
2019-10-03,10,160
2019-10-03,11,188
2019-10-03,12,184
2019-10-03,13,190
2019-10-03,14,189
2019-10-03,15,189
2019-10-03,16,225
2019-10-03,17,181
2019-10-03,18,181
2019-10-03,19,150
2019-10-03,20,146
2019-10-03,21,154
2019-10-03,22,115
2019-10-03,23,75
2019-10-04,0,40
2019-10-04,1,31
2019-10-04,2,21
2019-10-04,3,16
2019-10-04,4,21
2019-10-04,5,49
2019-10-04,6,137
2019-10-04,7,190
2019-10-04,8,231
2019-10-04,9,186
2019-10-04,10,176
2019-10-04,11,208
2019-10-04,12,200
2019-10-04,13,198
2019-10-04,14,198
2019-10-04,15,220
2019-10-04,16,243
2019-10-04,17,201
2019-10-04,18,225
2019-10-04,19,167
2019-10-04,20,128
2019-10-04,21,167
2019-10-04,22,137
2019-10-04,23,132
2019-10-05,0,93
2019-10-05,1,71
2019-10-05,2,62
2019-10-05,3,31
2019-10-05,4,16
2019-10-05,5,21
2019-10-05,6,52
2019-10-05,7,80
2019-10-05,8,114
2019-10-05,9,137
2019-10-05,10,145
2019-10-05,11,189
2019-10-05,12,197
2019-10-05,13,204
2019-10-05,14,207
2019-10-05,15,199
2019-10-05,16,217
2019-10-05,17,238
2019-10-05,18,225
2019-10-05,19,164
2019-10-05,20,146
2019-10-05,21,189
2019-10-05,22,191
2019-10-05,23,167
2019-10-06,0,109
2019-10-06,1,104
2019-10-06,2,92
2019-10-06,3,58
2019-10-06,4,16
2019-10-06,5,16
2019-10-06,6,36
2019-10-06,7,40
2019-10-06,8,71
2019-10-06,9,101
2019-10-06,10,132
2019-10-06,11,164
2019-10-06,12,172
2019-10-06,13,188
2019-10-06,14,168
2019-10-06,15,172
2019-10-06,16,212
2019-10-06,17,216
2019-10-06,18,181
2019-10-06,19,128
2019-10-06,20,84
2019-10-06,21,89
2019-10-06,22,67
2019-10-06,23,45
2019-10-07,0,16
2019-10-07,1,16
2019-10-07,2,16
2019-10-07,3,16
2019-10-07,4,26
2019-10-07,5,44
2019-10-07,6,127
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,40
2019-10-07,11,128
2019-10-07,12,156
2019-10-07,13,151
2019-10-07,14,132
2019-10-07,15,111
2019-10-07,16,184
2019-10-07,17,184
2019-10-07,18,137
2019-10-07,19,93
2019-10-07,20,92
2019-10-07,21,71
2019-10-07,22,53
2019-10-07,23,36
2019-10-08,0,16
2019-10-08,1,16
2019-10-08,2,12
2019-10-08,3,8
2019-10-08,4,21
2019-10-08,5,49
2019-10-08,6,155
2019-10-08,7,215
2019-10-08,8,235
2019-10-08,9,199
2019-10-08,10,173
2019-10-08,11,198
2019-10-08,12,189
2019-10-08,13,197
2019-10-08,14,180
2019-10-08,15,190
2019-10-08,16,235
2019-10-08,17,233
2019-10-08,18,212
2019-10-08,19,132
2019-10-08,20,216
2019-10-08,21,205
2019-10-08,22,88
2019-10-08,23,53
2019-10-09,0,26
2019-10-09,1,16
2019-10-09,2,16
2019-10-09,3,16
2019-10-09,4,26
2019-10-09,5,48
2019-10-09,6,162
2019-10-09,7,224
