date,time,flow
2019-10-01,0,15
2019-10-01,1,5
2019-10-01,2,11
2019-10-01,3,8
2019-10-01,4,12
2019-10-01,5,32
2019-10-01,6,74
2019-10-01,7,113
2019-10-01,8,114
2019-10-01,9,83
2019-10-01,10,127
2019-10-01,11,125
2019-10-01,12,127
2019-10-01,13,103
2019-10-01,14,119
2019-10-01,15,220
2019-10-01,16,335
2019-10-01,17,289
2019-10-01,18,114
2019-10-01,19,66
2019-10-01,20,73
2019-10-01,21,52
2019-10-01,22,46
2019-10-01,23,25
2019-10-02,0,12
2019-10-02,1,9
2019-10-02,2,12
2019-10-02,3,7
2019-10-02,4,15
2019-10-02,5,27
2019-10-02,6,74
2019-10-02,7,124
2019-10-02,8,94
2019-10-02,9,122
2019-10-02,10,97
2019-10-02,11,107
2019-10-02,12,117
2019-10-02,13,119
2019-10-02,14,177
2019-10-02,15,259
2019-10-02,16,356
2019-10-02,17,294
2019-10-02,18,132
2019-10-02,19,88
2019-10-02,20,83
2019-10-02,21,70
2019-10-02,22,42
2019-10-02,23,36
2019-10-03,0,14
2019-10-03,1,15
2019-10-03,2,16
2019-10-03,3,12
2019-10-03,4,15
2019-10-03,5,16
2019-10-03,6,67
2019-10-03,7,113
2019-10-03,8,107
2019-10-03,9,66
2019-10-03,10,96
2019-10-03,11,98
2019-10-03,12,115
2019-10-03,13,139
2019-10-03,14,168
2019-10-03,15,253
2019-10-03,16,359
2019-10-03,17,216
2019-10-03,18,126
2019-10-03,19,76
2019-10-03,20,67
2019-10-03,21,81
2019-10-03,22,71
2019-10-03,23,46
2019-10-04,0,27
2019-10-04,1,23
2019-10-04,2,19
2019-10-04,3,10
2019-10-04,4,21
2019-10-04,5,27
2019-10-04,6,80
2019-10-04,7,122
2019-10-04,8,115
2019-10-04,9,111
2019-10-04,10,105
2019-10-04,11,126
2019-10-04,12,166
2019-10-04,13,192
2019-10-04,14,197
2019-10-04,15,245
2019-10-04,16,380
2019-10-04,17,265
2019-10-04,18,143
2019-10-04,19,78
2019-10-04,20,66
2019-10-04,21,80
2019-10-04,22,83
2019-10-04,23,54
2019-10-05,0,52
2019-10-05,1,33
2019-10-05,2,27
2019-10-05,3,28
2019-10-05,4,13
2019-10-05,5,31
2019-10-05,6,35
2019-10-05,7,78
2019-10-05,8,71
2019-10-05,9,83
2019-10-05,10,76
2019-10-05,11,105
2019-10-05,12,101
2019-10-05,13,127
2019-10-05,14,107
2019-10-05,15,119
2019-10-05,16,149
2019-10-05,17,118
2019-10-05,18,91
2019-10-05,19,81
2019-10-05,20,72
2019-10-05,21,66
2019-10-05,22,83
2019-10-05,23,79
2019-10-06,0,68
2019-10-06,1,66
2019-10-06,2,60
2019-10-06,3,57
2019-10-06,4,20
2019-10-06,5,13
2019-10-06,6,22
2019-10-06,7,28
2019-10-06,8,44
2019-10-06,9,49
2019-10-06,10,77
2019-10-06,11,91
2019-10-06,12,88
2019-10-06,13,104
2019-10-06,14,76
2019-10-06,15,91
2019-10-06,16,117
2019-10-06,17,101
2019-10-06,18,64
2019-10-06,19,63
2019-10-06,20,47
2019-10-06,21,57
2019-10-06,22,40
2019-10-06,23,23
2019-10-07,0,11
2019-10-07,1,6
2019-10-07,2,8
2019-10-07,3,8
2019-10-07,4,14
2019-10-07,5,26
2019-10-07,6,75
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,0
2019-10-07,11,89
2019-10-07,12,104
2019-10-07,13,113
2019-10-07,14,138
2019-10-07,15,211
2019-10-07,16,359
2019-10-07,17,252
2019-10-07,18,115
2019-10-07,19,76
2019-10-07,20,58
2019-10-07,21,52
2019-10-07,22,41
2019-10-07,23,26
2019-10-08,0,13
2019-10-08,1,18
2019-10-08,2,6
2019-10-08,3,6
2019-10-08,4,11
2019-10-08,5,14
2019-10-08,6,57
2019-10-08,7,138
2019-10-08,8,114
2019-10-08,9,84
2019-10-08,10,111
2019-10-08,11,92
2019-10-08,12,122
2019-10-08,13,96
2019-10-08,14,174
2019-10-08,15,251
2019-10-08,16,307
2019-10-08,17,326
2019-10-08,18,118
2019-10-08,19,81
2019-10-08,20,58
2019-10-08,21,78
2019-10-08,22,46
2019-10-08,23,19
2019-10-09,0,10
2019-10-09,1,7
2019-10-09,2,8
2019-10-09,3,6
2019-10-09,4,8
2019-10-09,5,26
2019-10-09,6,59
2019-10-09,7,111
2019-10-09,8,111
2019-10-09,9,100
2019-10-09,10,100
2019-10-09,11,85
2019-10-09,12,122
2019-10-09,13,146
2019-10-09,14,133
2019-10-09,15,252
2019-10-09,16,383
2019-10-09,17,264
2019-10-09,18,103
2019-10-09,19,78
2019-10-09,20,69
2019-10-09,21,68
2019-10-09,22,44
2019-10-09,23,33
2019-10-10,0,14
2019-10-10,1,6
2019-10-10,2,12
2019-10-10,3,11
2019-10-10,4,23
2019-10-10,5,31
2019-10-10,6,68
2019-10-10,7,107
2019-10-10,8,102
2019-10-10,9,92
2019-10-10,10,91
2019-10-10,11,106
2019-10-10,12,96
2019-10-10,13,130
2019-10-10,14,153
2019-10-10,15,237
2019-10-10,16,384
2019-10-10,17,230
2019-10-10,18,137
2019-10-10,19,88
2019-10-10,20,80
2019-10-10,21,75
2019-10-10,22,37
2019-10-10,23,40
2019-10-11,0,24
2019-10-11,1,17
2019-10-11,2,13
2019-10-11,3,19
2019-10-11,4,16
2019-10-11,5,23
2019-10-11,6,64
2019-10-11,7,78
2019-10-11,8,129
2019-10-11,9,84
2019-10-11,10,104
2019-10-11,11,126
2019-10-11,12,145
2019-10-11,13,166
2019-10-11,14,151
2019-10-11,15,213
2019-10-11,16,272
2019-10-11,17,207
2019-10-11,18,131
2019-10-11,19,87
2019-10-11,20,79
2019-10-11,21,97
2019-10-11,22,71
2019-10-11,23,58
2019-10-12,0,51
2019-10-12,1,27
2019-10-12,2,29
2019-10-12,3,22
2019-10-12,4,14
2019-10-12,5,15
2019-10-12,6,28
2019-10-12,7,40
2019-10-12,8,75
2019-10-12,9,75
2019-10-12,10,66
2019-10-12,11,92
2019-10-12,12,139
2019-10-12,13,106
2019-10-12,14,109
2019-10-12,15,105
2019-10-12,16,114
2019-10-12,17,108
2019-10-12,18,107
2019-10-12,19,89
2019-10-12,20,78
2019-10-12,21,79
2019-10-12,22,64
2019-10-12,23,87
2019-10-13,0,44
2019-10-13,1,76
2019-10-13,2,56
2019-10-13,3,37
2019-10-13,4,12
2019-10-13,5,10
2019-10-13,6,21
2019-10-13,7,28
2019-10-13,8,38
2019-10-13,9,39
2019-10-13,10,58
2019-10-13,11,90
2019-10-13,12,71
2019-10-13,13,86
2019-10-13,14,86
2019-10-13,15,80
2019-10-13,16,103
2019-10-13,17,71
2019-10-13,18,77
2019-10-13,19,52
2019-10-13,20,41
2019-10-13,21,71
2019-10-13,22,44
2019-10-13,23,19
2019-10-14,0,16
2019-10-14,1,10
2019-10-14,2,12
2019-10-14,3,10
2019-10-14,4,12
2019-10-14,5,25
2019-10-14,6,67
2019-10-14,7,105
2019-10-14,8,116
2019-10-14,9,99
2019-10-14,10,112
2019-10-14,11,86
2019-10-14,12,114
2019-10-14,13,115
2019-10-14,14,118
2019-10-14,15,197
2019-10-14,16,279
2019-10-14,17,227
2019-10-14,18,89
2019-10-14,19,73
2019-10-14,20,54
2019-10-14,21,54
2019-10-14,22,19
2019-10-14,23,20
2019-10-15,0,14
2019-10-15,1,4
2019-10-15,2,4
2019-10-15,3,6
2019-10-15,4,11
2019-10-15,5,30
2019-10-15,6,74
2019-10-15,7,107
2019-10-15,8,97
2019-10-15,9,78
2019-10-15,10,86
2019-10-15,11,93
2019-10-15,12,87
2019-10-15,13,128
2019-10-15,14,125
2019-10-15,15,267
2019-10-15,16,274
2019-10-15,17,244
2019-10-15,18,126
2019-10-15,19,71
2019-10-15,20,49
2019-10-15,21,32
2019-10-15,22,51
2019-10-15,23,46
2019-10-16,0,20
2019-10-16,1,5
2019-10-16,2,5
2019-10-16,3,11
2019-10-16,4,14
2019-10-16,5,31
2019-10-16,6,72
2019-10-16,7,112
2019-10-16,8,111
2019-10-16,9,85
2019-10-16,10,82
2019-10-16,11,97
2019-10-16,12,93
2019-10-16,13,148
2019-10-16,14,142
2019-10-16,15,227
2019-10-16,16,312
2019-10-16,17,181
2019-10-16,18,104
2019-10-16,19,82
2019-11-20,12,0
2019-11-20,13,131
2019-11-20,14,157
2019-11-20,15,145
2019-11-20,16,255
2019-11-20,17,380
2019-11-20,18,296
2019-11-20,19,155
2019-11-20,20,114
2019-11-20,21,66
2019-11-20,22,66
2019-11-20,23,90
2019-11-21,0,25
2019-11-21,1,14
2019-11-21,2,13
2019-11-21,3,13
2019-11-21,4,4
2019-11-21,5,16
2019-11-21,6,21
2019-11-21,7,71
2019-11-21,8,138
2019-11-21,9,180
2019-11-21,10,84
2019-11-21,11,84
2019-11-21,12,128
2019-11-21,13,101
2019-11-21,14,137
2019-11-21,15,168
2019-11-21,16,291
2019-11-21,17,348
2019-11-21,18,291
2019-11-21,19,141
2019-11-21,20,88
2019-11-21,21,84
2019-11-21,22,62
2019-11-21,23,70
2019-11-22,0,40
2019-11-22,1,12
2019-11-22,2,12
2019-11-22,3,16
2019-11-22,4,16
2019-11-22,5,16
2019-11-22,6,32
2019-11-22,7,57
2019-11-22,8,123
2019-11-22,9,141
2019-11-22,10,96
2019-11-22,11,92
2019-11-22,12,122
2019-11-22,13,141
2019-11-22,14,155
2019-11-22,15,193
2019-11-22,16,271
2019-11-22,17,319
2019-11-22,18,217
2019-11-22,19,133
2019-11-22,20,134
2019-11-22,21,77
2019-11-22,22,93
2019-11-22,23,78
2019-11-23,0,71
2019-11-23,1,49
2019-11-23,2,30
2019-11-23,3,30
2019-11-23,4,21
2019-11-23,5,16
2019-11-23,6,20
2019-11-23,7,29
2019-11-23,8,51
2019-11-23,9,66
2019-11-23,10,77
2019-11-23,11,69
2019-11-23,12,95
2019-11-23,13,122
2019-11-23,14,128
2019-11-23,15,137
2019-11-23,16,119
2019-11-23,17,136
2019-11-23,18,149
2019-11-23,19,90
2019-11-23,20,88
2019-11-23,21,78
2019-11-23,22,81
2019-11-23,23,70
2019-11-24,0,103
2019-11-24,1,64
2019-11-24,2,61
2019-11-24,3,53
2019-11-24,4,41
2019-11-24,5,17
2019-11-24,6,10
2019-11-24,7,21
2019-11-24,8,21
2019-11-24,9,42
2019-11-24,10,50
2019-11-24,11,75
2019-11-24,12,87
2019-11-24,13,86
2019-11-24,14,82
2019-11-24,15,102
2019-11-24,16,102
2019-11-24,17,108
2019-11-24,18,103
2019-11-24,19,71
2019-11-24,20,65
2019-11-24,21,51
2019-11-24,22,106
2019-11-24,23,54
2019-11-25,0,39
2019-11-25,1,15
2019-11-25,2,25
2019-11-25,3,5
2019-11-25,4,12
2019-11-25,5,23
2019-11-25,6,26
2019-11-25,7,67
2019-11-25,8,97
2019-11-25,9,109
2019-11-25,10,0
2019-11-25,11,0
2019-11-25,12,0
2019-11-25,13,0
2019-11-25,14,0
2019-11-25,15,0
2019-11-25,16,0
2019-11-25,17,0
2019-11-25,18,0
2019-11-25,19,0
2019-11-25,20,0
2019-11-25,21,0
2019-11-25,22,0
2019-11-25,23,0
2019-11-26,0,0
2019-11-26,1,0
2019-11-26,2,0
2019-11-26,3,0
2019-11-26,4,0
2019-11-26,5,0
2019-11-26,6,0
2019-11-26,7,0
2019-11-26,8,0
2019-11-26,9,0
2019-11-26,10,0
2019-11-26,11,0
2019-11-26,12,71
2019-11-26,13,113
2019-11-26,14,122
2019-11-26,15,126
2019-11-26,16,250
2019-11-26,17,387
2019-11-26,18,330
2019-11-26,19,105
2019-11-26,20,76
2019-11-26,21,60
2019-11-26,22,60
2019-11-26,23,41
2019-11-27,0,30
2019-11-27,1,17
2019-11-27,2,6
2019-11-27,3,14
2019-11-27,4,9
2019-11-27,5,10
2019-11-27,6,31
2019-11-27,7,70
2019-11-27,8,113
2019-11-27,9,136
2019-11-27,10,92
2019-11-27,11,95
2019-11-27,12,92
2019-11-27,13,117
2019-11-27,14,150
2019-11-27,15,145
2019-11-27,16,226
2019-11-27,17,373
2019-11-27,18,271
2019-11-27,19,110
2019-11-27,20,79
2019-11-27,21,195
2019-11-27,22,121
2019-11-27,23,43
2019-11-28,0,28
2019-11-28,1,14
2019-11-28,2,18
2019-11-28,3,15
2019-11-28,4,7
2019-11-28,5,11
2019-11-28,6,26
2019-11-28,7,50
2019-11-28,8,115
2019-11-28,9,121
2019-11-28,10,29
2019-11-28,11,0
2019-11-28,12,0
2019-11-28,13,0
2019-11-28,14,0
2019-11-28,15,55
2019-11-28,16,295
2019-11-28,17,381
2019-11-28,18,293
2019-11-28,19,132
2019-11-28,20,102
2019-11-28,21,86
2019-11-28,22,82
2019-11-28,23,67
2019-11-29,0,55
2019-11-29,1,35
2019-11-29,2,23
2019-11-29,3,30
2019-11-29,4,22
2019-11-29,5,15
2019-11-29,6,27
2019-11-29,7,69
2019-11-29,8,115
2019-11-29,9,111
2019-11-29,10,122
2019-11-29,11,122
2019-11-29,12,124
2019-11-29,13,154
2019-11-29,14,166
2019-11-29,15,189
2019-11-29,16,270
2019-11-29,17,358
2019-11-29,18,194
2019-11-29,19,142
2019-11-29,20,104
2019-11-29,21,105
2019-11-29,22,93
2019-11-29,23,89
2019-11-30,0,88
2019-11-30,1,60
