date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,4
2019-10-01,5,8
2019-10-01,6,21
2019-10-01,7,48
2019-10-01,8,62
2019-10-01,9,44
2019-10-01,10,40
2019-10-01,11,36
2019-10-01,12,40
2019-10-01,13,31
2019-10-01,14,26
2019-10-01,15,35
2019-10-01,16,52
2019-10-01,17,36
2019-10-01,18,39
2019-10-01,19,30
2019-10-01,20,52
2019-10-01,21,40
2019-10-01,22,47
2019-10-01,23,21
2019-10-02,0,8
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,8
2019-10-02,5,12
2019-10-02,6,39
2019-10-02,7,48
2019-10-02,8,58
2019-10-02,9,44
2019-10-02,10,31
2019-10-02,11,36
2019-10-02,12,31
2019-10-02,13,36
2019-10-02,14,36
2019-10-02,15,40
2019-10-02,16,44
2019-10-02,17,40
2019-10-02,18,31
2019-10-02,19,31
2019-10-02,20,101
2019-10-02,21,157
2019-10-02,22,106
2019-10-02,23,25
2019-10-03,0,12
2019-10-03,1,8
2019-10-03,2,12
2019-10-03,3,0
2019-10-03,4,4
2019-10-03,5,8
2019-10-03,6,16
2019-10-03,7,53
2019-10-03,8,57
2019-10-03,9,44
2019-10-03,10,36
2019-10-03,11,40
2019-10-03,12,36
2019-10-03,13,31
2019-10-03,14,36
2019-10-03,15,48
2019-10-03,16,52
2019-10-03,17,62
2019-10-03,18,57
2019-10-03,19,36
2019-10-03,20,75
2019-10-03,21,111
2019-10-03,22,65
2019-10-03,23,44
2019-10-04,0,21
2019-10-04,1,16
2019-10-04,2,12
2019-10-04,3,4
2019-10-04,4,12
2019-10-04,5,12
2019-10-04,6,21
2019-10-04,7,44
2019-10-04,8,62
2019-10-04,9,40
2019-10-04,10,48
2019-10-04,11,36
2019-10-04,12,36
2019-10-04,13,36
2019-10-04,14,36
2019-10-04,15,48
2019-10-04,16,53
2019-10-04,17,57
2019-10-04,18,53
2019-10-04,19,35
2019-10-04,20,26
2019-10-04,21,35
2019-10-04,22,106
2019-10-04,23,30
2019-10-05,0,21
2019-10-05,1,16
2019-10-05,2,16
2019-10-05,3,16
2019-10-05,4,0
2019-10-05,5,0
2019-10-05,6,16
2019-10-05,7,12
2019-10-05,8,16
2019-10-05,9,21
2019-10-05,10,26
2019-10-05,11,16
2019-10-05,12,21
2019-10-05,13,21
2019-10-05,14,16
2019-10-05,15,21
2019-10-05,16,26
2019-10-05,17,44
2019-10-05,18,44
2019-10-05,19,26
2019-10-05,20,30
2019-10-05,21,49
2019-10-05,22,82
2019-10-05,23,62
2019-10-06,0,49
2019-10-06,1,26
2019-10-06,2,36
2019-10-06,3,16
2019-10-06,4,0
2019-10-06,5,4
2019-10-06,6,21
2019-10-06,7,26
2019-10-06,8,52
2019-10-06,9,66
2019-10-06,10,66
2019-10-06,11,57
2019-10-06,12,83
2019-10-06,13,109
2019-10-06,14,83
2019-10-06,15,110
2019-10-06,16,114
2019-10-06,17,75
2019-10-06,18,100
2019-10-06,19,48
2019-10-06,20,49
2019-10-06,21,84
2019-10-06,22,52
2019-10-06,23,25
2019-10-07,0,12
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,4
2019-10-07,5,24
2019-10-07,6,26
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,9
2019-10-07,11,31
2019-10-07,12,36
2019-10-07,13,21
2019-10-07,14,26
2019-10-07,15,40
2019-10-07,16,44
2019-10-07,17,40
2019-10-07,18,26
2019-10-07,19,40
2019-10-07,20,70
2019-10-07,21,49
2019-10-07,22,38
2019-10-07,23,8
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,0
2019-10-08,5,8
2019-10-08,6,12
2019-10-08,7,48
2019-10-08,8,66
2019-10-08,9,44
2019-10-08,10,36
2019-10-08,11,36
2019-10-08,12,35
2019-10-08,13,26
2019-10-08,14,31
2019-10-08,15,31
2019-10-08,16,40
2019-10-08,17,40
2019-10-08,18,35
2019-10-08,19,26
2019-10-08,20,44
2019-10-08,21,44
2019-10-08,22,18
2019-10-08,23,0
2019-10-09,0,0
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,4
2019-10-09,5,12
2019-10-09,6,30
2019-10-09,7,44
2019-10-09,8,58
2019-10-09,9,31
2019-10-09,10,31
2019-10-09,11,36
2019-10-09,12,26
2019-10-09,13,36
2019-10-09,14,36
2019-10-09,15,48
2019-10-09,16,40
2019-10-09,17,48
2019-10-09,18,31
2019-10-09,19,31
2019-10-09,20,75
2019-10-09,21,96
2019-10-09,22,57
2019-10-09,23,25
2019-10-10,0,16
2019-10-10,1,4
2019-10-10,2,4
2019-10-10,3,0
2019-10-10,4,0
2019-10-10,5,4
2019-10-10,6,16
2019-10-10,7,53
2019-10-10,8,62
2019-10-10,9,44
2019-10-10,10,36
2019-10-10,11,40
2019-10-10,12,31
2019-10-10,13,35
2019-10-10,14,31
2019-10-10,15,40
2019-10-10,16,52
2019-10-10,17,52
2019-10-10,18,57
2019-10-10,19,36
2019-10-10,20,71
2019-10-10,21,71
2019-10-10,22,43
2019-10-10,23,26
2019-10-11,0,16
2019-10-11,1,4
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,8
2019-10-11,5,16
2019-10-11,6,21
2019-10-11,7,53
2019-10-11,8,58
2019-10-11,9,36
2019-10-11,10,40
2019-10-11,11,36
2019-10-11,12,40
2019-10-11,13,40
2019-10-11,14,36
2019-10-11,15,44
2019-10-11,16,57
2019-10-11,17,48
2019-10-11,18,44
2019-10-11,19,31
2019-10-11,20,31
2019-10-11,21,36
2019-10-11,22,93
