date,time,flow
2019-10-01,0,15
2019-10-01,1,8
2019-10-01,2,6
2019-10-01,3,10
2019-10-01,4,22
2019-10-01,5,31
2019-10-01,6,87
2019-10-01,7,115
2019-10-01,8,133
2019-10-01,9,121
2019-10-01,10,127
2019-10-01,11,124
2019-10-01,12,120
2019-10-01,13,125
2019-10-01,14,128
2019-10-01,15,127
2019-10-01,16,164
2019-10-01,17,118
2019-10-01,18,128
2019-10-01,19,104
2019-10-01,20,93
2019-10-01,21,72
2019-10-01,22,57
2019-10-01,23,31
2019-10-02,0,12
2019-10-02,1,18
2019-10-02,2,17
2019-10-02,3,6
2019-10-02,4,22
2019-10-02,5,35
2019-10-02,6,85
2019-10-02,7,131
2019-10-02,8,159
2019-10-02,9,137
2019-10-02,10,113
2019-10-02,11,136
2019-10-02,12,129
2019-10-02,13,154
2019-10-02,14,113
2019-10-02,15,135
2019-10-02,16,182
2019-10-02,17,154
2019-10-02,18,127
2019-10-02,19,99
2019-10-02,20,119
2019-10-02,21,114
2019-10-02,22,68
2019-10-02,23,52
2019-10-03,0,16
2019-10-03,1,20
2019-10-03,2,21
2019-10-03,3,13
2019-10-03,4,28
2019-10-03,5,31
2019-10-03,6,70
2019-10-03,7,135
2019-10-03,8,120
2019-10-03,9,117
2019-10-03,10,121
2019-10-03,11,127
2019-10-03,12,145
2019-10-03,13,146
2019-10-03,14,150
2019-10-03,15,164
2019-10-03,16,150
2019-10-03,17,129
2019-10-03,18,125
2019-10-03,19,105
2019-10-03,20,99
2019-10-03,21,109
2019-10-03,22,89
2019-10-03,23,77
2019-10-04,0,36
2019-10-04,1,29
2019-10-04,2,28
2019-10-04,3,17
2019-10-04,4,21
2019-10-04,5,42
2019-10-04,6,68
2019-10-04,7,113
2019-10-04,8,151
2019-10-04,9,115
2019-10-04,10,135
2019-10-04,11,168
2019-10-04,12,157
2019-10-04,13,137
2019-10-04,14,167
2019-10-04,15,169
2019-10-04,16,170
2019-10-04,17,158
2019-10-04,18,169
2019-10-04,19,149
2019-10-04,20,114
2019-10-04,21,131
2019-10-04,22,126
2019-10-04,23,95
2019-10-05,0,71
2019-10-05,1,50
2019-10-05,2,54
2019-10-05,3,29
2019-10-05,4,23
2019-10-05,5,19
2019-10-05,6,36
2019-10-05,7,17
2019-10-05,8,18
2019-10-05,9,47
2019-10-05,10,109
2019-10-05,11,140
2019-10-05,12,132
2019-10-05,13,128
2019-10-05,14,122
2019-10-05,15,135
2019-10-05,16,134
2019-10-05,17,143
2019-10-05,18,164
2019-10-05,19,141
2019-10-05,20,131
2019-10-05,21,135
2019-10-05,22,143
2019-10-05,23,108
2019-10-06,0,109
2019-10-06,1,88
2019-10-06,2,81
2019-10-06,3,51
2019-10-06,4,12
2019-10-06,5,16
2019-10-06,6,11
2019-10-06,7,0
2019-10-06,8,0
2019-10-06,9,44
2019-10-06,10,93
2019-10-06,11,80
2019-10-06,12,124
2019-10-06,13,133
2019-10-06,14,99
2019-10-06,15,103
2019-10-06,16,110
2019-10-06,17,71
2019-10-06,18,114
2019-10-06,19,100
2019-10-06,20,0
2019-10-06,21,0
2019-10-06,22,71
2019-10-06,23,32
2019-10-07,0,11
2019-10-07,1,13
2019-10-07,2,14
2019-10-07,3,6
2019-10-07,4,19
2019-10-07,5,26
2019-10-07,6,75
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,31
2019-10-07,11,110
2019-10-07,12,111
2019-10-07,13,120
2019-10-07,14,118
2019-10-07,15,149
2019-10-07,16,160
2019-10-07,17,132
2019-10-07,18,85
2019-10-07,19,67
2019-10-07,20,72
2019-10-07,21,44
2019-10-07,22,39
2019-10-07,23,28
2019-10-08,0,20
2019-10-08,1,10
2019-10-08,2,10
2019-10-08,3,8
2019-10-08,4,23
2019-10-08,5,34
2019-10-08,6,94
2019-10-08,7,125
2019-10-08,8,156
2019-10-08,9,135
2019-10-08,10,146
2019-10-08,11,147
2019-10-08,12,122
2019-10-08,13,112
2019-10-08,14,144
2019-10-08,15,142
2019-10-08,16,268
2019-10-08,17,216
2019-10-08,18,119
2019-10-08,19,87
2019-10-08,20,107
2019-10-08,21,150
2019-10-08,22,63
2019-10-08,23,41
2019-10-09,0,15
2019-10-09,1,15
2019-10-09,2,17
2019-10-09,3,9
2019-10-09,4,19
2019-10-09,5,30
2019-10-09,6,79
2019-10-09,7,152
2019-10-09,8,160
2019-10-09,9,155
2019-10-09,10,133
2019-10-09,11,107
2019-10-09,12,143
2019-10-09,13,139
2019-10-09,14,143
2019-10-09,15,167
2019-10-09,16,200
2019-10-09,17,157
2019-10-09,18,153
2019-10-09,19,104
2019-10-09,20,80
2019-10-09,21,108
2019-10-09,22,66
2019-10-09,23,48
2019-10-10,0,28
2019-10-10,1,19
2019-10-10,2,13
2019-10-10,3,13
2019-10-10,4,20
2019-10-10,5,33
2019-10-10,6,70
2019-10-10,7,116
2019-10-10,8,149
2019-10-10,9,146
2019-10-10,10,111
2019-10-10,11,132
2019-10-10,12,144
2019-10-10,13,145
2019-10-10,14,149
2019-10-10,15,173
2019-10-10,16,188
2019-10-10,17,149
2019-10-10,18,144
2019-10-10,19,93
2019-10-10,20,111
2019-10-10,21,90
2019-10-10,22,89
2019-10-10,23,58
2019-10-11,0,47
2019-10-11,1,26
2019-10-11,2,29
2019-10-11,3,23
2019-10-11,4,21
2019-10-11,5,29
2019-10-11,6,75
2019-10-11,7,130
2019-10-11,8,134
2019-10-11,9,117
2019-10-11,10,139
2019-10-11,11,121
2019-10-11,12,144
