date,time,flow
2019-10-01,0,3
2019-10-01,1,9
2019-10-01,2,32
2019-10-01,3,24
2019-10-01,4,5
2019-10-01,5,57
2019-10-01,6,107
2019-10-01,7,135
2019-10-01,8,137
2019-10-01,9,64
2019-10-01,10,86
2019-10-01,11,114
2019-10-01,12,107
2019-10-01,13,55
2019-10-01,14,81
2019-10-01,15,102
2019-10-01,16,118
2019-10-01,17,114
2019-10-01,18,68
2019-10-01,19,40
2019-10-01,20,36
2019-10-01,21,24
2019-10-01,22,14
2019-10-01,23,7
2019-10-02,0,10
2019-10-02,1,5
2019-10-02,2,6
2019-10-02,3,5
2019-10-02,4,13
2019-10-02,5,28
2019-10-02,6,61
2019-10-02,7,141
2019-10-02,8,157
2019-10-02,9,97
2019-10-02,10,77
2019-10-02,11,100
2019-10-02,12,77
2019-10-02,13,75
2019-10-02,14,75
2019-10-02,15,99
2019-10-02,16,133
2019-10-02,17,93
2019-10-02,18,85
2019-10-02,19,49
2019-10-02,20,39
2019-10-02,21,37
2019-10-02,22,26
2019-10-02,23,14
2019-10-03,0,5
2019-10-03,1,5
2019-10-03,2,9
2019-10-03,3,7
2019-10-03,4,17
2019-10-03,5,22
2019-10-03,6,80
2019-10-03,7,158
2019-10-03,8,121
2019-10-03,9,103
2019-10-03,10,66
2019-10-03,11,97
2019-10-03,12,101
2019-10-03,13,94
2019-10-03,14,82
2019-10-03,15,133
2019-10-03,16,134
2019-10-03,17,113
2019-10-03,18,85
2019-10-03,19,59
2019-10-03,20,47
2019-10-03,21,49
2019-10-03,22,31
2019-10-03,23,24
2019-10-04,0,12
2019-10-04,1,13
2019-10-04,2,12
2019-10-04,3,6
2019-10-04,4,9
2019-10-04,5,19
2019-10-04,6,74
2019-10-04,7,200
2019-10-04,8,139
2019-10-04,9,83
2019-10-04,10,81
2019-10-04,11,96
2019-10-04,12,105
2019-10-04,13,104
2019-10-04,14,91
2019-10-04,15,108
2019-10-04,16,153
2019-10-04,17,122
2019-10-04,18,96
2019-10-04,19,83
2019-10-04,20,58
2019-10-04,21,62
2019-10-04,22,57
2019-10-04,23,42
2019-10-05,0,26
2019-10-05,1,10
2019-10-05,2,17
2019-10-05,3,11
2019-10-05,4,8
2019-10-05,5,15
2019-10-05,6,17
2019-10-05,7,45
2019-10-05,8,50
2019-10-05,9,50
2019-10-05,10,50
2019-10-05,11,58
2019-10-05,12,73
2019-10-05,13,67
2019-10-05,14,63
2019-10-05,15,76
2019-10-05,16,99
2019-10-05,17,83
2019-10-05,18,93
2019-10-05,19,67
2019-10-05,20,62
2019-10-05,21,66
2019-10-05,22,52
2019-10-05,23,59
2019-10-06,0,35
2019-10-06,1,19
2019-10-06,2,26
2019-10-06,3,19
2019-10-06,4,14
2019-10-06,5,12
2019-10-06,6,12
2019-10-06,7,25
2019-10-06,8,32
2019-10-06,9,39
2019-10-06,10,47
2019-10-06,11,33
2019-10-06,12,40
2019-10-06,13,53
2019-10-06,14,51
2019-10-06,15,41
2019-10-06,16,79
2019-10-06,17,84
2019-10-06,18,37
2019-10-06,19,43
2019-10-06,20,28
2019-10-06,21,43
2019-10-06,22,19
2019-10-06,23,8
2019-10-07,0,7
2019-10-07,1,2
2019-10-07,2,3
