date,time,flow
2019-10-01,0,10
2019-10-01,1,8
2019-10-01,2,7
2019-10-01,3,10
2019-10-01,4,25
2019-10-01,5,41
2019-10-01,6,70
2019-10-01,7,81
2019-10-01,8,99
2019-10-01,9,93
2019-10-01,10,86
2019-10-01,11,91
2019-10-01,12,66
2019-10-01,13,67
2019-10-01,14,64
2019-10-01,15,81
2019-10-01,16,57
2019-10-01,17,59
2019-10-01,18,44
2019-10-01,19,48
2019-10-01,20,28
2019-10-01,21,31
2019-10-01,22,36
2019-10-01,23,21
2019-10-02,0,15
2019-10-02,1,9
2019-10-02,2,6
2019-10-02,3,9
2019-10-02,4,24
2019-10-02,5,34
2019-10-02,6,53
2019-10-02,7,86
2019-10-02,8,98
2019-10-02,9,91
2019-10-02,10,69
2019-10-02,11,86
2019-10-02,12,73
2019-10-02,13,80
2019-10-02,14,59
2019-10-02,15,69
2019-10-02,16,67
2019-10-02,17,76
2019-10-02,18,46
2019-10-02,19,36
2019-10-02,20,44
2019-10-02,21,53
2019-10-02,22,35
2019-10-02,23,35
2019-10-03,0,13
2019-10-03,1,11
2019-10-03,2,11
2019-10-03,3,11
2019-10-03,4,20
2019-10-03,5,34
2019-10-03,6,62
2019-10-03,7,63
2019-10-03,8,88
2019-10-03,9,96
2019-10-03,10,82
2019-10-03,11,102
2019-10-03,12,89
2019-10-03,13,97
2019-10-03,14,94
2019-10-03,15,85
2019-10-03,16,87
2019-10-03,17,87
2019-10-03,18,62
2019-10-03,19,59
2019-10-03,20,60
2019-10-03,21,52
2019-10-03,22,58
2019-10-03,23,44
2019-10-04,0,16
2019-10-04,1,12
2019-10-04,2,12
2019-10-04,3,6
2019-10-04,4,21
2019-10-04,5,39
2019-10-04,6,66
2019-10-04,7,72
2019-10-04,8,84
2019-10-04,9,82
2019-10-04,10,79
2019-10-04,11,99
2019-10-04,12,124
2019-10-04,13,92
2019-10-04,14,93
2019-10-04,15,99
2019-10-04,16,103
2019-10-04,17,105
2019-10-04,18,95
2019-10-04,19,78
2019-10-04,20,64
2019-10-04,21,54
2019-10-04,22,74
2019-10-04,23,61
2019-10-05,0,43
2019-10-05,1,44
2019-10-05,2,30
2019-10-05,3,22
2019-10-05,4,13
2019-10-05,5,28
2019-10-05,6,28
2019-10-05,7,36
2019-10-05,8,74
2019-10-05,9,71
2019-10-05,10,76
2019-10-05,11,97
2019-10-05,12,92
2019-10-05,13,108
2019-10-05,14,92
2019-10-05,15,86
2019-10-05,16,90
2019-10-05,17,88
2019-10-05,18,101
2019-10-05,19,97
2019-10-05,20,79
2019-10-05,21,66
2019-10-05,22,77
2019-10-05,23,65
2019-10-06,0,67
2019-10-06,1,61
2019-10-06,2,55
2019-10-06,3,34
2019-10-06,4,15
2019-10-06,5,16
2019-10-06,6,17
2019-10-06,7,26
2019-10-06,8,39
2019-10-06,9,55
2019-10-06,10,60
2019-10-06,11,47
2019-10-06,12,65
2019-10-06,13,65
2019-10-06,14,73
2019-10-06,15,60
2019-10-06,16,70
2019-10-06,17,81
2019-10-06,18,41
2019-10-06,19,53
2019-10-06,20,40
2019-10-06,21,36
2019-10-06,22,33
2019-10-06,23,24
2019-10-07,0,18
2019-10-07,1,7
2019-10-07,2,7
2019-10-07,3,10
2019-10-07,4,17
2019-10-07,5,48
2019-10-07,6,76
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,12
2019-10-07,11,88
2019-10-07,12,78
2019-10-07,13,68
2019-10-07,14,57
2019-10-07,15,68
2019-10-07,16,81
2019-10-07,17,58
2019-10-07,18,50
2019-10-07,19,49
2019-10-07,20,44
2019-10-07,21,47
2019-10-07,22,49
2019-10-07,23,50
2019-10-08,0,20
2019-10-08,1,17
2019-10-08,2,22
2019-10-08,3,36
2019-10-08,4,34
2019-10-08,5,44
2019-10-08,6,52
2019-10-08,7,73
2019-10-08,8,88
2019-10-08,9,95
2019-10-08,10,72
2019-10-08,11,76
2019-10-08,12,82
2019-10-08,13,83
2019-10-08,14,85
2019-10-08,15,80
2019-10-08,16,81
2019-10-08,17,66
2019-10-08,18,67
2019-10-08,19,59
2019-10-08,20,81
2019-10-08,21,69
2019-10-08,22,58
2019-10-08,23,35
2019-10-09,0,20
2019-10-09,1,18
2019-10-09,2,26
2019-10-09,3,22
2019-10-09,4,30
2019-10-09,5,40
2019-10-09,6,60
2019-10-09,7,80
2019-10-09,8,91
2019-10-09,9,93
2019-10-09,10,80
2019-10-09,11,67
2019-10-09,12,89
2019-10-09,13,65
2019-10-09,14,67
2019-10-09,15,84
2019-10-09,16,80
2019-10-09,17,75
2019-10-09,18,58
2019-10-09,19,49
2019-10-09,20,48
2019-10-09,21,46
2019-10-09,22,40
2019-10-09,23,30
2019-10-10,0,12
2019-10-10,1,10
2019-10-10,2,14
2019-10-10,3,9
2019-10-10,4,21
2019-10-10,5,37
2019-10-10,6,62
2019-10-10,7,90
2019-10-10,8,97
2019-10-10,9,99
2019-10-10,10,72
2019-10-10,11,77
2019-10-10,12,79
2019-10-10,13,102
2019-10-10,14,67
2019-10-10,15,83
2019-10-10,16,83
2019-10-10,17,88
2019-10-10,18,62
2019-10-10,19,52
2019-10-10,20,51
2019-10-10,21,35
2019-10-10,22,45
2019-10-10,23,39
2019-10-11,0,26
2019-10-11,1,19
2019-10-11,2,24
2019-10-11,3,13
2019-10-11,4,19
2019-10-11,5,38
2019-10-11,6,56
2019-10-11,7,101
2019-10-11,8,86
2019-10-11,9,70
2019-10-11,10,88
2019-10-11,11,90
2019-10-11,12,86
2019-10-11,13,86
2019-10-11,14,90
2019-10-11,15,93
2019-10-11,16,82
2019-10-11,17,83
2019-10-11,18,60
2019-10-11,19,71
2019-10-11,20,57
2019-10-11,21,65
2019-10-11,22,55
2019-10-11,23,60
2019-10-12,0,40
2019-10-12,1,21
2019-10-12,2,39
2019-10-12,3,22
2019-10-12,4,15
2019-10-12,5,31
2019-10-12,6,24
2019-10-12,7,46
2019-10-12,8,51
2019-10-12,9,87
2019-10-12,10,85
2019-10-12,11,96
2019-10-12,12,92
2019-10-12,13,91
2019-10-12,14,100
2019-10-12,15,72
2019-10-12,16,86
2019-10-12,17,94
2019-10-12,18,82
2019-10-12,19,86
2019-10-12,20,66
2019-10-12,21,71
2019-10-12,22,58
2019-10-12,23,59
2019-10-13,0,69
2019-10-13,1,57
2019-10-13,2,36
2019-10-13,3,26
2019-10-13,4,13
2019-10-13,5,11
2019-10-13,6,25
2019-10-13,7,38
2019-10-13,8,41
2019-10-13,9,55
2019-10-13,10,63
2019-10-13,11,88
2019-10-13,12,93
2019-10-13,13,96
2019-10-13,14,106
2019-10-13,15,83
2019-10-13,16,107
2019-10-13,17,96
2019-10-13,18,84
2019-10-13,19,64
2019-10-13,20,48
2019-10-13,21,57
2019-10-13,22,52
2019-10-13,23,19
2019-10-14,0,16
2019-10-14,1,14
2019-10-14,2,17
2019-10-14,3,11
2019-10-14,4,27
2019-10-14,5,61
2019-10-14,6,66
2019-10-14,7,84
2019-10-14,8,76
2019-10-14,9,82
2019-10-14,10,68
2019-10-14,11,66
2019-10-14,12,83
2019-10-14,13,69
2019-10-14,14,76
2019-10-14,15,67
2019-10-14,16,60
2019-10-14,17,66
2019-10-14,18,45
2019-10-14,19,40
2019-10-14,20,33
2019-10-14,21,27
2019-10-14,22,20
2019-10-14,23,26
2019-10-15,0,10
2019-10-15,1,8
2019-10-15,2,5
2019-10-15,3,8
2019-10-15,4,20
2019-10-15,5,42
2019-10-15,6,47
2019-10-15,7,87
2019-10-15,8,72
2019-10-15,9,69
2019-10-15,10,78
2019-10-15,11,62
2019-10-15,12,70
2019-10-15,13,83
2019-10-15,14,58
2019-10-15,15,77
