date,time,flow
2019-10-01,0,12
2019-10-01,1,10
2019-10-01,2,6
2019-10-01,3,7
2019-10-01,4,7
2019-10-01,5,16
2019-10-01,6,85
2019-10-01,7,177
2019-10-01,8,125
2019-10-01,9,95
2019-10-01,10,109
2019-10-01,11,86
2019-10-01,12,135
2019-10-01,13,248
2019-10-01,14,191
2019-10-01,15,166
2019-10-01,16,253
2019-10-01,17,143
2019-10-01,18,98
2019-10-01,19,64
2019-10-01,20,42
2019-10-01,21,34
2019-10-01,22,24
2019-10-01,23,21
2019-10-02,0,12
2019-10-02,1,5
2019-10-02,2,7
2019-10-02,3,5
2019-10-02,4,6
2019-10-02,5,14
2019-10-02,6,90
2019-10-02,7,142
2019-10-02,8,123
2019-10-02,9,128
2019-10-02,10,133
2019-10-02,11,123
2019-10-02,12,125
2019-10-02,13,126
2019-10-02,14,146
2019-10-02,15,188
2019-10-02,16,255
2019-10-02,17,180
2019-10-02,18,102
2019-10-02,19,55
2019-10-02,20,40
2019-10-02,21,31
2019-10-02,22,18
2019-10-02,23,13
2019-10-03,0,12
2019-10-03,1,9
2019-10-03,2,18
2019-10-03,3,4
2019-10-03,4,10
2019-10-03,5,26
2019-10-03,6,94
2019-10-03,7,155
2019-10-03,8,117
2019-10-03,9,101
2019-10-03,10,118
2019-10-03,11,159
2019-10-03,12,127
2019-10-03,13,156
2019-10-03,14,156
2019-10-03,15,202
2019-10-03,16,214
2019-10-03,17,176
2019-10-03,18,107
2019-10-03,19,83
2019-10-03,20,50
2019-10-03,21,147
2019-10-03,22,58
2019-10-03,23,26
2019-10-04,0,19
2019-10-04,1,4
2019-10-04,2,15
2019-10-04,3,4
2019-10-04,4,3
2019-10-04,5,23
2019-10-04,6,76
2019-10-04,7,172
2019-10-04,8,144
2019-10-04,9,110
2019-10-04,10,137
2019-10-04,11,153
2019-10-04,12,143
2019-10-04,13,185
2019-10-04,14,166
2019-10-04,15,234
2019-10-04,16,273
2019-10-04,17,184
2019-10-04,18,144
2019-10-04,19,76
2019-10-04,20,54
2019-10-04,21,84
2019-10-04,22,54
2019-10-04,23,48
2019-10-05,0,26
2019-10-05,1,44
2019-10-05,2,27
2019-10-05,3,17
2019-10-05,4,8
2019-10-05,5,14
2019-10-05,6,21
2019-10-05,7,41
2019-10-05,8,48
2019-10-05,9,79
2019-10-05,10,113
2019-10-05,11,164
2019-10-05,12,167
2019-10-05,13,183
2019-10-05,14,230
2019-10-05,15,201
2019-10-05,16,187
2019-10-05,17,173
2019-10-05,18,94
2019-10-05,19,94
2019-10-05,20,77
2019-10-05,21,65
2019-10-05,22,93
2019-10-05,23,47
2019-10-06,0,40
2019-10-06,1,40
2019-10-06,2,36
2019-10-06,3,15
2019-10-06,4,17
2019-10-06,5,22
2019-10-06,6,16
2019-10-06,7,18
2019-10-06,8,25
2019-10-06,9,52
2019-10-06,10,112
2019-10-06,11,140
2019-10-06,12,159
2019-10-06,13,191
2019-10-06,14,136
2019-10-06,15,137
2019-10-06,16,129
2019-10-06,17,120
2019-10-06,18,72
2019-10-06,19,36
2019-10-06,20,25
2019-10-06,21,33
2019-10-06,22,22
2019-10-06,23,18
2019-10-07,0,13
2019-10-07,1,9
2019-10-07,2,0
2019-10-07,3,4
2019-10-07,4,13
2019-10-07,5,16
2019-10-07,6,57
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,29
2019-10-07,11,96
2019-10-07,12,181
2019-10-07,13,133
2019-10-07,14,131
2019-10-07,15,173
2019-10-07,16,209
2019-10-07,17,148
2019-10-07,18,93
2019-10-07,19,62
2019-10-07,20,32
2019-10-07,21,44
2019-10-07,22,15
2019-10-07,23,11
2019-10-08,0,8
2019-10-08,1,4
2019-10-08,2,5
2019-10-08,3,7
2019-10-08,4,10
2019-10-08,5,19
2019-10-08,6,78
2019-10-08,7,141
2019-10-08,8,129
2019-10-08,9,107
2019-10-08,10,114
2019-10-08,11,149
2019-10-08,12,164
2019-10-08,13,158
2019-10-08,14,158
2019-10-08,15,222
2019-10-08,16,288
2019-10-08,17,197
2019-10-08,18,143
2019-10-08,19,64
2019-10-08,20,59
2019-10-08,21,62
2019-10-08,22,22
2019-10-08,23,22
2019-10-09,0,11
2019-10-09,1,10
2019-10-09,2,9
2019-10-09,3,0
2019-10-09,4,9
2019-10-09,5,18
2019-10-09,6,92
2019-10-09,7,162
2019-10-09,8,140
2019-10-09,9,120
2019-10-09,10,113
2019-10-09,11,147
2019-10-09,12,144
2019-10-09,13,132
2019-10-09,14,133
