date,time,flow
2019-10-01,0,15
2019-10-01,1,4
2019-10-01,2,9
2019-10-01,3,3
2019-10-01,4,10
2019-10-01,5,30
2019-10-01,6,57
2019-10-01,7,144
2019-10-01,8,129
2019-10-01,9,92
2019-10-01,10,118
2019-10-01,11,105
2019-10-01,12,96
2019-10-01,13,115
2019-10-01,14,116
2019-10-01,15,125
2019-10-01,16,150
2019-10-01,17,116
2019-10-01,18,82
2019-10-01,19,75
2019-10-01,20,62
2019-10-01,21,38
2019-10-01,22,59
2019-10-01,23,25
2019-10-02,0,6
2019-10-02,1,9
2019-10-02,2,9
2019-10-02,3,11
2019-10-02,4,16
2019-10-02,5,28
2019-10-02,6,67
2019-10-02,7,153
2019-10-02,8,119
2019-10-02,9,113
2019-10-02,10,121
2019-10-02,11,121
2019-10-02,12,118
2019-10-02,13,119
2019-10-02,14,148
2019-10-02,15,136
2019-10-02,16,141
2019-10-02,17,118
2019-10-02,18,92
2019-10-02,19,73
2019-10-02,20,74
2019-10-02,21,47
2019-10-02,22,52
2019-10-02,23,22
2019-10-03,0,15
2019-10-03,1,4
2019-10-03,2,10
2019-10-03,3,9
2019-10-03,4,13
2019-10-03,5,29
2019-10-03,6,82
2019-10-03,7,149
2019-10-03,8,146
2019-10-03,9,122
2019-10-03,10,117
2019-10-03,11,139
2019-10-03,12,130
2019-10-03,13,136
2019-10-03,14,107
2019-10-03,15,125
2019-10-03,16,164
2019-10-03,17,109
2019-10-03,18,108
2019-10-03,19,72
2019-10-03,20,63
2019-10-03,21,241
2019-10-03,22,107
2019-10-03,23,39
2019-10-04,0,24
2019-10-04,1,9
2019-10-04,2,9
2019-10-04,3,4
2019-10-04,4,11
2019-10-04,5,33
2019-10-04,6,76
2019-10-04,7,141
2019-10-04,8,130
2019-10-04,9,113
2019-10-04,10,123
2019-10-04,11,123
2019-10-04,12,152
2019-10-04,13,131
2019-10-04,14,124
2019-10-04,15,148
2019-10-04,16,133
2019-10-04,17,125
2019-10-04,18,98
2019-10-04,19,92
2019-10-04,20,77
2019-10-04,21,78
2019-10-04,22,63
2019-10-04,23,45
2019-10-05,0,46
2019-10-05,1,37
2019-10-05,2,29
2019-10-05,3,10
2019-10-05,4,15
2019-10-05,5,17
2019-10-05,6,23
2019-10-05,7,60
2019-10-05,8,74
2019-10-05,9,91
2019-10-05,10,109
2019-10-05,11,137
2019-10-05,12,157
2019-10-05,13,139
2019-10-05,14,168
2019-10-05,15,139
2019-10-05,16,129
2019-10-05,17,117
2019-10-05,18,89
2019-10-05,19,83
2019-10-05,20,67
2019-10-05,21,97
2019-10-05,22,71
2019-10-05,23,55
2019-10-06,0,47
2019-10-06,1,36
2019-10-06,2,34
2019-10-06,3,26
2019-10-06,4,8
2019-10-06,5,11
2019-10-06,6,20
2019-10-06,7,20
2019-10-06,8,52
2019-10-06,9,75
2019-10-06,10,107
2019-10-06,11,110
2019-10-06,12,121
2019-10-06,13,145
2019-10-06,14,183
2019-10-06,15,96
2019-10-06,16,106
2019-10-06,17,79
2019-10-06,18,59
2019-10-06,19,84
2019-10-06,20,47
2019-10-06,21,49
2019-10-06,22,30
2019-10-06,23,25
2019-10-07,0,7
2019-10-07,1,11
2019-10-07,2,10
2019-10-07,3,6
