date,time,flow
2019-10-01,0,9
2019-10-01,1,8
2019-10-01,2,3
2019-10-01,3,2
2019-10-01,4,4
2019-10-01,5,12
2019-10-01,6,45
2019-10-01,7,69
2019-10-01,8,84
2019-10-01,9,79
2019-10-01,10,65
2019-10-01,11,80
2019-10-01,12,70
2019-10-01,13,102
2019-10-01,14,84
2019-10-01,15,103
2019-10-01,16,113
2019-10-01,17,93
2019-10-01,18,73
2019-10-01,19,56
2019-10-01,20,43
2019-10-01,21,37
2019-10-01,22,29
2019-10-01,23,25
2019-10-02,0,16
2019-10-02,1,9
2019-10-02,2,6
2019-10-02,3,10
2019-10-02,4,10
2019-10-02,5,16
2019-10-02,6,60
2019-10-02,7,72
2019-10-02,8,94
2019-10-02,9,93
2019-10-02,10,86
2019-10-02,11,83
2019-10-02,12,67
2019-10-02,13,71
2019-10-02,14,72
2019-10-02,15,107
2019-10-02,16,113
2019-10-02,17,93
2019-10-02,18,78
2019-10-02,19,64
2019-10-02,20,54
2019-10-02,21,39
2019-10-02,22,29
2019-10-02,23,17
2019-10-03,0,13
2019-10-03,1,11
2019-10-03,2,7
2019-10-03,3,6
2019-10-03,4,5
2019-10-03,5,23
2019-10-03,6,46
2019-10-03,7,65
2019-10-03,8,79
2019-10-03,9,82
2019-10-03,10,92
2019-10-03,11,90
2019-10-03,12,110
2019-10-03,13,95
2019-10-03,14,88
2019-10-03,15,116
2019-10-03,16,131
2019-10-03,17,91
2019-10-03,18,114
2019-10-03,19,76
2019-10-03,20,56
2019-10-03,21,71
2019-10-03,22,41
2019-10-03,23,32
2019-10-04,0,17
2019-10-04,1,8
2019-10-04,2,10
2019-10-04,3,8
2019-10-04,4,7
2019-10-04,5,18
2019-10-04,6,45
2019-10-04,7,73
2019-10-04,8,105
2019-10-04,9,86
2019-10-04,10,79
2019-10-04,11,110
2019-10-04,12,80
2019-10-04,13,98
2019-10-04,14,104
2019-10-04,15,121
2019-10-04,16,96
2019-10-04,17,103
2019-10-04,18,94
2019-10-04,19,66
2019-10-04,20,51
2019-10-04,21,45
2019-10-04,22,47
2019-10-04,23,49
2019-10-05,0,41
2019-10-05,1,18
2019-10-05,2,19
2019-10-05,3,13
2019-10-05,4,7
2019-10-05,5,16
2019-10-05,6,13
2019-10-05,7,37
2019-10-05,8,49
2019-10-05,9,63
2019-10-05,10,81
2019-10-05,11,86
2019-10-05,12,101
2019-10-05,13,89
2019-10-05,14,86
2019-10-05,15,67
2019-10-05,16,53
2019-10-05,17,80
2019-10-05,18,89
2019-10-05,19,56
2019-10-05,20,46
2019-10-05,21,38
2019-10-05,22,55
2019-10-05,23,45
2019-10-06,0,38
2019-10-06,1,18
2019-10-06,2,30
2019-10-06,3,8
2019-10-06,4,11
2019-10-06,5,10
2019-10-06,6,21
2019-10-06,7,21
2019-10-06,8,18
2019-10-06,9,52
2019-10-06,10,64
2019-10-06,11,57
2019-10-06,12,79
2019-10-06,13,82
2019-10-06,14,73
2019-10-06,15,67
2019-10-06,16,42
2019-10-06,17,52
2019-10-06,18,51
2019-10-06,19,47
2019-10-06,20,38
2019-10-06,21,24
2019-10-06,22,27
2019-10-06,23,25
2019-10-07,0,7
2019-10-07,1,7
2019-10-07,2,6
2019-10-07,3,3
2019-10-07,4,8
2019-10-07,5,16
2019-10-07,6,44
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,17
2019-10-07,11,80
2019-10-07,12,62
2019-10-07,13,91
2019-10-07,14,65
