date,time,flow
2019-10-01,0,5
2019-10-01,1,2
2019-10-01,2,1
2019-10-01,3,6
2019-10-01,4,18
2019-10-01,5,43
2019-10-01,6,132
2019-10-01,7,200
2019-10-01,8,241
2019-10-01,9,130
2019-10-01,10,98
2019-10-01,11,98
2019-10-01,12,104
2019-10-01,13,91
2019-10-01,14,103
2019-10-01,15,109
2019-10-01,16,126
2019-10-01,17,114
2019-10-01,18,82
2019-10-01,19,50
2019-10-01,20,35
2019-10-01,21,36
2019-10-01,22,27
2019-10-01,23,12
2019-10-02,0,4
2019-10-02,1,4
2019-10-02,2,5
2019-10-02,3,1
2019-10-02,4,19
2019-10-02,5,39
2019-10-02,6,127
2019-10-02,7,197
2019-10-02,8,234
2019-10-02,9,178
2019-10-02,10,116
2019-10-02,11,133
2019-10-02,12,140
2019-10-02,13,115
2019-10-02,14,93
2019-10-02,15,115
2019-10-02,16,104
2019-10-02,17,100
2019-10-02,18,101
2019-10-02,19,57
2019-10-02,20,78
2019-10-02,21,29
2019-10-02,22,25
2019-10-02,23,13
2019-10-03,0,4
2019-10-03,1,2
2019-10-03,2,12
2019-10-03,3,7
2019-10-03,4,19
2019-10-03,5,40
2019-10-03,6,124
2019-10-03,7,209
2019-10-03,8,244
2019-10-03,9,149
2019-10-03,10,108
2019-10-03,11,107
2019-10-03,12,118
2019-10-03,13,133
2019-10-03,14,117
2019-10-03,15,107
2019-10-03,16,130
2019-10-03,17,125
2019-10-03,18,117
2019-10-03,19,61
2019-10-03,20,59
2019-10-03,21,104
2019-10-03,22,50
2019-10-03,23,26
2019-10-04,0,14
2019-10-04,1,9
2019-10-04,2,17
2019-10-04,3,14
2019-10-04,4,17
2019-10-04,5,42
2019-10-04,6,147
2019-10-04,7,245
2019-10-04,8,213
2019-10-04,9,155
2019-10-04,10,148
2019-10-04,11,137
2019-10-04,12,146
2019-10-04,13,117
2019-10-04,14,115
2019-10-04,15,137
2019-10-04,16,130
2019-10-04,17,147
2019-10-04,18,118
2019-10-04,19,85
2019-10-04,20,64
2019-10-04,21,59
2019-10-04,22,44
2019-10-04,23,40
2019-10-05,0,37
2019-10-05,1,62
2019-10-05,2,34
2019-10-05,3,7
2019-10-05,4,8
2019-10-05,5,19
2019-10-05,6,32
2019-10-05,7,79
2019-10-05,8,144
2019-10-05,9,166
2019-10-05,10,165
2019-10-05,11,163
2019-10-05,12,183
2019-10-05,13,166
2019-10-05,14,141
2019-10-05,15,109
2019-10-05,16,123
2019-10-05,17,137
2019-10-05,18,138
2019-10-05,19,92
2019-10-05,20,68
2019-10-05,21,67
2019-10-05,22,73
2019-10-05,23,56
2019-10-06,0,40
2019-10-06,1,35
2019-10-06,2,29
2019-10-06,3,16
2019-10-06,4,10
2019-10-06,5,19
2019-10-06,6,15
2019-10-06,7,33
2019-10-06,8,52
2019-10-06,9,92
2019-10-06,10,97
2019-10-06,11,157
2019-10-06,12,219
2019-10-06,13,217
2019-10-06,14,90
2019-10-06,15,63
2019-10-06,16,95
2019-10-06,17,87
2019-10-06,18,74
2019-10-06,19,30
2019-10-06,20,37
2019-10-06,21,23
2019-10-06,22,19
2019-10-06,23,16
2019-10-07,0,7
2019-10-07,1,7
2019-10-07,2,4
2019-10-07,3,5
2019-10-07,4,25
2019-10-07,5,30
2019-10-07,6,138
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,38
2019-10-07,11,129
2019-10-07,12,132
2019-10-07,13,97
2019-10-07,14,86
2019-10-07,15,77
2019-10-07,16,100
2019-10-07,17,106
2019-10-07,18,69
2019-10-07,19,41
2019-10-07,20,28
2019-10-07,21,21
2019-10-07,22,22
2019-10-07,23,14
2019-10-08,0,3
2019-10-08,1,2
2019-10-08,2,4
2019-10-08,3,4
2019-10-08,4,16
2019-10-08,5,46
2019-10-08,6,129
2019-10-08,7,195
2019-10-08,8,243
2019-10-08,9,146
2019-10-08,10,121
2019-10-08,11,104
2019-10-08,12,92
2019-10-08,13,91
2019-10-08,14,98
2019-10-08,15,105
2019-10-08,16,190
2019-10-08,17,152
2019-10-08,18,139
2019-10-08,19,53
2019-10-08,20,41
2019-10-08,21,33
2019-10-08,22,23
2019-10-08,23,13
2019-10-09,0,4
2019-10-09,1,4
2019-10-09,2,6
2019-10-09,3,5
2019-10-09,4,16
2019-10-09,5,44
2019-10-09,6,135
2019-10-09,7,177
2019-10-09,8,228
2019-10-09,9,171
2019-10-09,10,119
2019-10-09,11,95
2019-10-09,12,120
2019-10-09,13,104
2019-10-09,14,96
2019-10-09,15,151
2019-10-09,16,178
2019-10-09,17,127
2019-10-09,18,126
2019-10-09,19,59
2019-10-09,20,42
2019-10-09,21,28
2019-10-09,22,15
2019-10-09,23,15
2019-10-10,0,5
2019-10-10,1,5
2019-10-10,2,6
2019-10-10,3,5
2019-10-10,4,12
2019-10-10,5,35
2019-10-10,6,107
2019-10-10,7,200
2019-10-10,8,223
2019-10-10,9,139
2019-10-10,10,133
2019-10-10,11,95
2019-10-10,12,119
2019-10-10,13,106
2019-10-10,14,100
2019-10-10,15,122
2019-10-10,16,167
2019-10-10,17,126
2019-10-10,18,121
2019-10-10,19,56
2019-10-10,20,33
2019-10-10,21,43
2019-10-10,22,34
2019-10-10,23,21
2019-10-11,0,12
2019-10-11,1,7
2019-10-11,2,7
2019-10-11,3,5
2019-10-11,4,18
2019-10-11,5,35
2019-10-11,6,135
2019-10-11,7,218
2019-10-11,8,188
2019-10-11,9,127
2019-10-11,10,126
2019-10-11,11,111
2019-10-11,12,113
2019-10-11,13,136
2019-10-11,14,173
2019-10-11,15,178
2019-10-11,16,150
2019-10-11,17,130
2019-10-11,18,118
2019-10-11,19,61
2019-10-11,20,46
2019-10-11,21,57
2019-10-11,22,46
2019-10-11,23,26
2019-10-12,0,31
2019-10-12,1,13
2019-10-12,2,11
2019-10-12,3,9
2019-10-12,4,11
2019-10-12,5,19
2019-10-12,6,29
2019-10-12,7,57
2019-10-12,8,88
2019-10-12,9,113
2019-10-12,10,135
2019-10-12,11,140
2019-10-12,12,184
2019-10-12,13,193
2019-10-12,14,165
2019-10-12,15,87
2019-10-12,16,136
2019-10-12,17,130
2019-10-12,18,135
2019-10-12,19,65
2019-10-12,20,58
2019-10-12,21,49
2019-10-12,22,53
2019-10-12,23,44
2019-10-13,0,38
2019-10-13,1,29
2019-10-13,2,37
2019-10-13,3,15
2019-10-13,4,11
2019-10-13,5,12
2019-10-13,6,24
2019-10-13,7,21
2019-10-13,8,40
2019-10-13,9,83
2019-10-13,10,113
2019-10-13,11,120
2019-10-13,12,132
2019-10-13,13,133
2019-10-13,14,101
2019-10-13,15,107
2019-10-13,16,109
2019-10-13,17,102
2019-10-13,18,93
2019-10-13,19,47
2019-10-13,20,30
2019-10-13,21,27
2019-10-13,22,37
2019-10-13,23,12
2019-10-14,0,6
2019-10-14,1,6
