date,time,flow
2019-10-01,0,38
2019-10-01,1,13
2019-10-01,2,22
2019-10-01,3,14
2019-10-01,4,52
2019-10-01,5,80
2019-10-01,6,168
2019-10-01,7,169
2019-10-01,8,158
2019-10-01,9,183
2019-10-01,10,192
2019-10-01,11,173
2019-10-01,12,204
2019-10-01,13,201
2019-10-01,14,187
2019-10-01,15,216
2019-10-01,16,197
2019-10-01,17,215
2019-10-01,18,187
2019-10-01,19,187
2019-10-01,20,194
2019-10-01,21,120
2019-10-01,22,94
2019-10-01,23,56
2019-10-02,0,27
2019-10-02,1,28
2019-10-02,2,26
2019-10-02,3,23
2019-10-02,4,49
2019-10-02,5,93
2019-10-02,6,175
2019-10-02,7,178
2019-10-02,8,164
2019-10-02,9,169
2019-10-02,10,184
2019-10-02,11,172
2019-10-02,12,202
2019-10-02,13,223
2019-10-02,14,189
2019-10-02,15,197
2019-10-02,16,196
2019-10-02,17,208
2019-10-02,18,173
2019-10-02,19,180
2019-10-02,20,169
2019-10-02,21,144
2019-10-02,22,88
2019-10-02,23,34
2019-10-03,0,20
2019-10-03,1,14
2019-10-03,2,21
2019-10-03,3,24
2019-10-03,4,53
2019-10-03,5,107
2019-10-03,6,163
2019-10-03,7,181
2019-10-03,8,175
2019-10-03,9,186
2019-10-03,10,164
2019-10-03,11,214
2019-10-03,12,179
2019-10-03,13,171
2019-10-03,14,200
2019-10-03,15,197
2019-10-03,16,201
2019-10-03,17,223
2019-10-03,18,176
2019-10-03,19,196
2019-10-03,20,121
2019-10-03,21,224
2019-10-03,22,134
2019-10-03,23,76
2019-10-04,0,43
2019-10-04,1,17
2019-10-04,2,17
2019-10-04,3,23
2019-10-04,4,46
2019-10-04,5,98
2019-10-04,6,192
2019-10-04,7,177
2019-10-04,8,168
2019-10-04,9,173
2019-10-04,10,177
2019-10-04,11,146
2019-10-04,12,174
2019-10-04,13,200
2019-10-04,14,193
2019-10-04,15,195
2019-10-04,16,199
2019-10-04,17,199
2019-10-04,18,217
2019-10-04,19,197
2019-10-04,20,170
2019-10-04,21,185
2019-10-04,22,145
2019-10-04,23,153
2019-10-05,0,92
2019-10-05,1,51
2019-10-05,2,46
2019-10-05,3,30
2019-10-05,4,54
2019-10-05,5,57
2019-10-05,6,108
2019-10-05,7,115
2019-10-05,8,146
2019-10-05,9,145
2019-10-05,10,203
2019-10-05,11,203
2019-10-05,12,200
2019-10-05,13,213
2019-10-05,14,211
2019-10-05,15,209
2019-10-05,16,175
2019-10-05,17,198
2019-10-05,18,202
2019-10-05,19,144
2019-10-05,20,135
2019-10-05,21,123
2019-10-05,22,120
2019-10-05,23,127
2019-10-06,0,120
2019-10-06,1,99
2019-10-06,2,64
2019-10-06,3,50
2019-10-06,4,24
2019-10-06,5,47
2019-10-06,6,70
2019-10-06,7,104
2019-10-06,8,100
2019-10-06,9,108
2019-10-06,10,180
2019-10-06,11,184
2019-10-06,12,158
2019-10-06,13,153
2019-10-06,14,178
2019-10-06,15,186
2019-10-06,16,173
2019-10-06,17,186
2019-10-06,18,187
2019-10-06,19,183
2019-10-06,20,119
2019-10-06,21,115
2019-10-06,22,72
2019-10-06,23,50
2019-10-07,0,45
2019-10-07,1,14
2019-10-07,2,6
2019-10-07,3,16
2019-10-07,4,40
2019-10-07,5,102
2019-10-07,6,133
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,48
2019-10-07,11,178
2019-10-07,12,185
2019-10-07,13,196
2019-10-07,14,184
2019-10-07,15,203
2019-10-07,16,205
2019-10-07,17,196
2019-10-07,18,204
2019-10-07,19,182
2019-10-07,20,166
2019-10-07,21,109
2019-10-07,22,62
2019-10-07,23,40
2019-10-08,0,32
2019-10-08,1,23
2019-10-08,2,17
2019-10-08,3,22
2019-10-08,4,45
2019-10-08,5,87
2019-10-08,6,164
2019-10-08,7,173
2019-10-08,8,163
2019-10-08,9,160
2019-10-08,10,198
2019-10-08,11,191
2019-10-08,12,190
2019-10-08,13,195
2019-10-08,14,165
2019-10-08,15,188
2019-10-08,16,201
2019-10-08,17,194
2019-10-08,18,196
2019-10-08,19,206
2019-10-08,20,136
2019-10-08,21,149
2019-10-08,22,78
2019-10-08,23,50
2019-10-09,0,40
2019-10-09,1,21
2019-10-09,2,27
2019-10-09,3,30
2019-10-09,4,47
2019-10-09,5,98
2019-10-09,6,176
2019-10-09,7,166
2019-10-09,8,171
2019-10-09,9,201
2019-10-09,10,213
2019-10-09,11,192
2019-10-09,12,187
2019-10-09,13,148
2019-10-09,14,155
2019-10-09,15,193
2019-10-09,16,212
2019-10-09,17,209
2019-10-09,18,213
2019-10-09,19,173
2019-10-09,20,160
2019-10-09,21,134
2019-10-09,22,167
2019-10-09,23,72
2019-10-10,0,25
2019-10-10,1,24
2019-10-10,2,17
2019-10-10,3,20
2019-10-10,4,38
2019-10-10,5,101
2019-10-10,6,175
2019-10-10,7,172
2019-10-10,8,182
2019-10-10,9,180
2019-10-10,10,161
2019-10-10,11,179
2019-10-10,12,203
2019-10-10,13,194
2019-10-10,14,169
2019-10-10,15,190
2019-10-10,16,202
2019-10-10,17,198
2019-10-10,18,193
