date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,0
2019-10-01,5,8
2019-10-01,6,39
2019-10-01,7,64
2019-10-01,8,62
2019-10-01,9,44
2019-10-01,10,44
2019-10-01,11,48
2019-10-01,12,52
2019-10-01,13,53
2019-10-01,14,48
2019-10-01,15,53
2019-10-01,16,67
2019-10-01,17,45
2019-10-01,18,36
2019-10-01,19,36
2019-10-01,20,36
2019-10-01,21,16
2019-10-01,22,12
2019-10-01,23,0
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,0
2019-10-02,5,4
2019-10-02,6,39
2019-10-02,7,71
2019-10-02,8,71
2019-10-02,9,53
2019-10-02,10,52
2019-10-02,11,48
2019-10-02,12,44
2019-10-02,13,52
2019-10-02,14,52
2019-10-02,15,67
2019-10-02,16,74
2019-10-02,17,44
2019-10-02,18,40
2019-10-02,19,36
2019-10-02,20,36
2019-10-02,21,16
2019-10-02,22,12
2019-10-02,23,4
2019-10-03,0,0
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,0
2019-10-03,5,4
2019-10-03,6,40
2019-10-03,7,62
2019-10-03,8,92
2019-10-03,9,44
2019-10-03,10,51
2019-10-03,11,53
2019-10-03,12,57
2019-10-03,13,48
2019-10-03,14,52
2019-10-03,15,62
2019-10-03,16,52
2019-10-03,17,52
2019-10-03,18,43
2019-10-03,19,36
2019-10-03,20,26
2019-10-03,21,21
2019-10-03,22,21
2019-10-03,23,4
2019-10-04,0,0
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,0
2019-10-04,5,0
2019-10-04,6,21
2019-10-04,7,57
2019-10-04,8,57
2019-10-04,9,44
2019-10-04,10,44
2019-10-04,11,66
2019-10-04,12,67
2019-10-04,13,63
2019-10-04,14,57
2019-10-04,15,61
2019-10-04,16,72
2019-10-04,17,52
2019-10-04,18,48
2019-10-04,19,36
2019-10-04,20,40
2019-10-04,21,26
2019-10-04,22,30
2019-10-04,23,0
2019-10-05,0,0
2019-10-05,1,0
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,0
2019-10-05,5,0
2019-10-05,6,21
2019-10-05,7,36
2019-10-05,8,26
2019-10-05,9,36
2019-10-05,10,40
2019-10-05,11,52
2019-10-05,12,48
2019-10-05,13,52
2019-10-05,14,44
2019-10-05,15,40
2019-10-05,16,40
2019-10-05,17,48
2019-10-05,18,48
2019-10-05,19,36
2019-10-05,20,36
2019-10-05,21,26
2019-10-05,22,22
2019-10-05,23,4
2019-10-06,0,0
2019-10-06,1,0
2019-10-06,2,0
2019-10-06,3,0
2019-10-06,4,0
2019-10-06,5,4
2019-10-06,6,21
2019-10-06,7,61
2019-10-06,8,70
2019-10-06,9,71
2019-10-06,10,80
2019-10-06,11,90
2019-10-06,12,83
2019-10-06,13,51
2019-10-06,14,51
2019-10-06,15,40
2019-10-06,16,40
2019-10-06,17,36
2019-10-06,18,31
2019-10-06,19,31
2019-10-06,20,34
2019-10-06,21,21
2019-10-06,22,16
2019-10-06,23,0
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,0
2019-10-07,5,4
2019-10-07,6,26
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,9
2019-10-07,11,40
2019-10-07,12,44
2019-10-07,13,44
2019-10-07,14,40
2019-10-07,15,48
2019-10-07,16,49
2019-10-07,17,44
2019-10-07,18,39
2019-10-07,19,26
2019-10-07,20,16
2019-10-07,21,16
2019-10-07,22,8
2019-10-07,23,0
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,0
2019-10-08,5,8
2019-10-08,6,40
2019-10-08,7,67
2019-10-08,8,57
2019-10-08,9,44
2019-10-08,10,36
2019-10-08,11,43
2019-10-08,12,44
2019-10-08,13,53
2019-10-08,14,48
2019-10-08,15,48
2019-10-08,16,60
2019-10-08,17,37
2019-10-08,18,36
2019-10-08,19,36
2019-10-08,20,36
2019-10-08,21,16
2019-10-08,22,13
2019-10-08,23,0
2019-10-09,0,0
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,0
2019-10-09,5,0
2019-10-09,6,39
2019-10-09,7,67
2019-10-09,8,57
2019-10-09,9,44
2019-10-09,10,51
2019-10-09,11,43
2019-10-09,12,45
2019-10-09,13,48
2019-10-09,14,52
2019-10-09,15,62
2019-10-09,16,72
2019-10-09,17,40
2019-10-09,18,40
2019-10-09,19,36
2019-10-09,20,36
2019-10-09,21,16
2019-10-09,22,12
2019-10-09,23,0
2019-10-10,0,0
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,0
2019-10-10,5,4
2019-10-10,6,35
2019-10-10,7,57
2019-10-10,8,88
2019-10-10,9,33
2019-10-10,10,48
2019-10-10,11,53
2019-10-10,12,57
2019-10-10,13,44
2019-10-10,14,52
2019-10-10,15,52
2019-10-10,16,52
2019-10-10,17,52
2019-10-10,18,40
2019-10-10,19,36
2019-10-10,20,26
2019-10-10,21,21
2019-10-10,22,16
2019-10-10,23,4
2019-10-11,0,0
2019-10-11,1,0
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,0
2019-10-11,5,0
2019-10-11,6,26
2019-10-11,7,52
2019-10-11,8,48
2019-10-11,9,40
2019-10-11,10,44
2019-10-11,11,58
2019-10-11,12,62
2019-10-11,13,48
2019-10-11,14,52
2019-10-11,15,57
2019-10-11,16,62
2019-10-11,17,52
2019-10-11,18,36
2019-10-11,19,31
2019-10-11,20,36
2019-10-11,21,16
2019-10-11,22,26
