date,time,flow
2019-10-01,0,8
2019-10-01,1,12
2019-10-01,2,4
2019-10-01,3,12
2019-10-01,4,12
2019-10-01,5,21
2019-10-01,6,48
2019-10-01,7,49
2019-10-01,8,58
2019-10-01,9,80
2019-10-01,10,71
2019-10-01,11,62
2019-10-01,12,88
2019-10-01,13,84
2019-10-01,14,70
2019-10-01,15,122
2019-10-01,16,125
2019-10-01,17,138
2019-10-01,18,104
2019-10-01,19,75
2019-10-01,20,39
2019-10-01,21,48
2019-10-01,22,40
2019-10-01,23,31
2019-10-02,0,12
2019-10-02,1,8
2019-10-02,2,8
2019-10-02,3,0
2019-10-02,4,8
2019-10-02,5,21
2019-10-02,6,40
2019-10-02,7,62
2019-10-02,8,76
2019-10-02,9,76
2019-10-02,10,71
2019-10-02,11,80
2019-10-02,12,62
2019-10-02,13,84
2019-10-02,14,67
2019-10-02,15,80
2019-10-02,16,136
2019-10-02,17,101
2019-10-02,18,74
2019-10-02,19,70
2019-10-02,20,44
2019-10-02,21,52
2019-10-02,22,44
2019-10-02,23,44
2019-10-03,0,12
2019-10-03,1,12
2019-10-03,2,16
2019-10-03,3,12
2019-10-03,4,8
2019-10-03,5,21
2019-10-03,6,36
2019-10-03,7,44
2019-10-03,8,58
2019-10-03,9,67
2019-10-03,10,76
2019-10-03,11,84
2019-10-03,12,66
2019-10-03,13,88
2019-10-03,14,68
2019-10-03,15,111
2019-10-03,16,137
2019-10-03,17,108
2019-10-03,18,105
2019-10-03,19,84
2019-10-03,20,54
2019-10-03,21,84
2019-10-03,22,66
2019-10-03,23,44
2019-10-04,0,17
2019-10-04,1,16
2019-10-04,2,16
2019-10-04,3,8
2019-10-04,4,8
2019-10-04,5,21
2019-10-04,6,44
2019-10-04,7,49
2019-10-04,8,58
2019-10-04,9,76
2019-10-04,10,80
2019-10-04,11,92
2019-10-04,12,75
2019-10-04,13,101
2019-10-04,14,115
2019-10-04,15,94
2019-10-04,16,136
2019-10-04,17,138
2019-10-04,18,112
2019-10-04,19,118
2019-10-04,20,62
2019-10-04,21,96
2019-10-04,22,95
2019-10-04,23,80
2019-10-05,0,40
2019-10-05,1,40
2019-10-05,2,40
2019-10-05,3,26
2019-10-05,4,16
2019-10-05,5,16
2019-10-05,6,16
2019-10-05,7,27
2019-10-05,8,44
2019-10-05,9,57
2019-10-05,10,88
2019-10-05,11,88
2019-10-05,12,92
2019-10-05,13,105
2019-10-05,14,118
2019-10-05,15,125
2019-10-05,16,123
2019-10-05,17,125
2019-10-05,18,109
2019-10-05,19,114
2019-10-05,20,62
2019-10-05,21,62
2019-10-05,22,88
2019-10-05,23,80
2019-10-06,0,49
2019-10-06,1,44
2019-10-06,2,48
2019-10-06,3,44
2019-10-06,4,21
2019-10-06,5,16
2019-10-06,6,16
2019-10-06,7,12
2019-10-06,8,17
2019-10-06,9,36
2019-10-06,10,48
2019-10-06,11,72
2019-10-06,12,92
2019-10-06,13,92
2019-10-06,14,100
2019-10-06,15,83
2019-10-06,16,96
2019-10-06,17,86
2019-10-06,18,76
2019-10-06,19,72
2019-10-06,20,39
2019-10-06,21,52
2019-10-06,22,40
2019-10-06,23,40
2019-10-07,0,17
2019-10-07,1,16
2019-10-07,2,12
2019-10-07,3,16
2019-10-07,4,8
2019-10-07,5,26
2019-10-07,6,48
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,0
2019-10-07,11,84
2019-10-07,12,80
2019-10-07,13,85
2019-10-07,14,80
2019-10-07,15,79
2019-10-07,16,127
2019-10-07,17,120
2019-10-07,18,84
2019-10-07,19,67
2019-10-07,20,35
2019-10-07,21,48
2019-10-07,22,36
2019-10-07,23,31
2019-10-08,0,16
2019-10-08,1,12
2019-10-08,2,4
2019-10-08,3,12
2019-10-08,4,4
2019-10-08,5,21
2019-10-08,6,48
2019-10-08,7,52
2019-10-08,8,76
2019-10-08,9,76
2019-10-08,10,67
2019-10-08,11,84
2019-10-08,12,84
2019-10-08,13,80
2019-10-08,14,92
2019-10-08,15,105
2019-10-08,16,130
2019-10-08,17,112
2019-10-08,18,100
2019-10-08,19,75
2019-10-08,20,62
2019-10-08,21,48
2019-10-08,22,49
2019-10-08,23,31
2019-10-09,0,12
2019-10-09,1,8
2019-10-09,2,12
2019-10-09,3,12
2019-10-09,4,8
2019-10-09,5,21
2019-10-09,6,40
2019-10-09,7,43
2019-10-09,8,72
2019-10-09,9,67
2019-10-09,10,71
2019-10-09,11,76
2019-10-09,12,84
2019-10-09,13,80
2019-10-09,14,80
2019-10-09,15,103
2019-10-09,16,102
2019-10-09,17,110
2019-10-09,18,100
2019-10-09,19,66
2019-10-09,20,57
2019-10-09,21,48
2019-10-09,22,40
2019-10-09,23,35
2019-10-10,0,12
2019-10-10,1,8
2019-10-10,2,16
2019-10-10,3,8
2019-10-10,4,4
2019-10-10,5,21
2019-10-10,6,36
2019-10-10,7,44
2019-10-10,8,67
2019-10-10,9,48
2019-10-10,10,76
2019-10-10,11,80
2019-10-10,12,66
2019-10-10,13,84
2019-10-10,14,88
2019-10-10,15,87
2019-10-10,16,156
2019-10-10,17,147
2019-10-10,18,89
2019-10-10,19,80
2019-10-10,20,49
2019-10-10,21,71
2019-10-10,22,44
2019-10-10,23,40
2019-10-11,0,17
2019-10-11,1,16
2019-10-11,2,16
2019-10-11,3,8
2019-10-11,4,8
2019-10-11,5,21
2019-10-11,6,40
2019-10-11,7,44
2019-10-11,8,66
2019-10-11,9,62
2019-10-11,10,71
2019-10-11,11,80
2019-10-11,12,92
2019-10-11,13,62
2019-10-11,14,79
2019-10-11,15,132
2019-10-11,16,126
2019-10-11,17,123
2019-10-11,18,100
2019-10-11,19,96
2019-10-11,20,54
2019-10-11,21,76
2019-10-11,22,66
2019-10-11,23,66
2019-10-12,0,31
2019-10-12,1,36
2019-10-12,2,44
2019-10-12,3,26
2019-10-12,4,16
2019-10-12,5,16
2019-10-12,6,16
2019-10-12,7,22
2019-10-12,8,35
2019-10-12,9,53
2019-10-12,10,88
2019-10-12,11,88
2019-10-12,12,66
2019-10-12,13,92
2019-10-12,14,104
2019-10-12,15,66
2019-10-12,16,105
2019-10-12,17,109
2019-10-12,18,74
2019-10-12,19,97
2019-10-12,20,62
2019-10-12,21,76
2019-10-12,22,72
2019-10-12,23,72
2019-10-13,0,49
2019-10-13,1,40
2019-10-13,2,40
2019-10-13,3,36
2019-10-13,4,16
2019-10-13,5,12
2019-10-13,6,16
2019-10-13,7,12
2019-10-13,8,21
2019-10-13,9,22
2019-10-13,10,48
2019-10-13,11,62
2019-10-13,12,58
2019-10-13,13,53
2019-10-13,14,88
2019-10-13,15,100
2019-10-13,16,92
2019-10-13,17,84
2019-10-13,18,88
2019-10-13,19,62
2019-10-13,20,39
2019-10-13,21,57
2019-10-13,22,45
2019-10-13,23,40
2019-10-14,0,12
2019-10-14,1,16
2019-10-14,2,12
2019-10-14,3,16
2019-10-14,4,12
2019-10-14,5,26
2019-10-14,6,48
2019-10-14,7,57
2019-10-14,8,49
2019-10-14,9,62
2019-10-14,10,71
2019-10-14,11,75
2019-10-14,12,62
2019-10-14,13,62
2019-10-14,14,80
2019-10-14,15,101
2019-10-14,16,86
2019-10-14,17,117
2019-10-14,18,76
2019-10-14,19,62
2019-10-14,20,35
2019-10-14,21,44
2019-10-14,22,36
2019-10-14,23,31
2019-10-15,0,12
2019-10-15,1,8
2019-10-15,2,4
2019-10-15,3,8
2019-10-15,4,4
2019-10-15,5,16
2019-10-15,6,44
2019-10-15,7,39
2019-10-15,8,71
2019-10-15,9,72
2019-10-15,10,62
2019-10-15,11,76
2019-10-15,12,76
2019-10-15,13,80
2019-10-15,14,88
2019-10-15,15,83
2019-10-15,16,140
2019-10-15,17,112
2019-10-15,18,87
2019-10-15,19,66
2019-10-15,20,39
2019-10-15,21,48
2019-10-15,22,40
2019-10-15,23,40
2019-10-16,0,12
2019-10-16,1,8
2019-10-16,2,8
2019-10-16,3,4
2019-10-16,4,8
2019-10-16,5,16
2019-10-16,6,40
2019-10-16,7,41
2019-10-16,8,62
2019-10-16,9,62
2019-10-16,10,67
2019-10-16,11,72
2019-10-16,12,58
2019-10-16,13,80
2019-10-16,14,88
2019-10-16,15,105
2019-10-16,16,123
2019-10-16,17,115
2019-10-16,18,96
2019-10-16,19,80
2019-11-20,12,72
2019-11-20,13,83
2019-11-20,14,54
2019-11-20,15,88
2019-11-20,16,78
2019-11-20,17,128
2019-11-20,18,134
2019-11-20,19,92
2019-11-20,20,66
2019-11-20,21,44
2019-11-20,22,52
2019-11-20,23,40
2019-11-21,0,35
2019-11-21,1,17
2019-11-21,2,8
2019-11-21,3,16
2019-11-21,4,12
2019-11-21,5,8
2019-11-21,6,21
2019-11-21,7,40
2019-11-21,8,44
2019-11-21,9,72
2019-11-21,10,67
2019-11-21,11,76
2019-11-21,12,88
2019-11-21,13,88
2019-11-21,14,88
2019-11-21,15,84
2019-11-21,16,106
2019-11-21,17,125
2019-11-21,18,146
2019-11-21,19,93
2019-11-21,20,75
2019-11-21,21,44
2019-11-21,22,57
2019-11-21,23,53
2019-11-22,0,44
2019-11-22,1,17
2019-11-22,2,16
2019-11-22,3,16
2019-11-22,4,8
2019-11-22,5,8
2019-11-22,6,21
2019-11-22,7,40
2019-11-22,8,49
2019-11-22,9,58
2019-11-22,10,76
2019-11-22,11,80
2019-11-22,12,92
2019-11-22,13,76
2019-11-22,14,92
2019-11-22,15,105
2019-11-22,16,104
2019-11-22,17,119
2019-11-22,18,126
2019-11-22,19,96
2019-11-22,20,96
2019-11-22,21,72
2019-11-22,22,75
2019-11-22,23,71
2019-11-23,0,67
2019-11-23,1,40
2019-11-23,2,40
2019-11-23,3,40
2019-11-23,4,16
2019-11-23,5,12
2019-11-23,6,16
2019-11-23,7,16
2019-11-23,8,31
2019-11-23,9,44
2019-11-23,10,48
2019-11-23,11,84
2019-11-23,12,80
2019-11-23,13,88
2019-11-23,14,90
2019-11-23,15,106
2019-11-23,16,86
2019-11-23,17,97
2019-11-23,18,108
2019-11-23,19,101
2019-11-23,20,92
2019-11-23,21,67
2019-11-23,22,62
2019-11-23,23,72
2019-11-24,0,80
2019-11-24,1,39
2019-11-24,2,44
2019-11-24,3,48
2019-11-24,4,36
2019-11-24,5,21
2019-11-24,6,16
2019-11-24,7,16
2019-11-24,8,12
2019-11-24,9,12
2019-11-24,10,31
2019-11-24,11,40
2019-11-24,12,62
2019-11-24,13,72
2019-11-24,14,54
2019-11-24,15,84
2019-11-24,16,96
2019-11-24,17,87
2019-11-24,18,93
2019-11-24,19,84
2019-11-24,20,62
2019-11-24,21,39
2019-11-24,22,57
2019-11-24,23,53
2019-11-25,0,44
2019-11-25,1,12
2019-11-25,2,8
2019-11-25,3,12
2019-11-25,4,16
2019-11-25,5,8
2019-11-25,6,26
2019-11-25,7,48
2019-11-25,8,62
2019-11-25,9,80
2019-11-25,10,62
2019-11-25,11,72
2019-11-25,12,75
2019-11-25,13,84
2019-11-25,14,87
2019-11-25,15,54
2019-11-25,16,94
2019-11-25,17,107
2019-11-25,18,121
2019-11-25,19,84
2019-11-25,20,76
2019-11-25,21,39
2019-11-25,22,35
2019-11-25,23,40
2019-11-26,0,31
2019-11-26,1,16
2019-11-26,2,12
2019-11-26,3,4
2019-11-26,4,12
2019-11-26,5,4
2019-11-26,6,26
2019-11-26,7,35
2019-11-26,8,44
2019-11-26,9,80
2019-11-26,10,76
2019-11-26,11,67
2019-11-26,12,80
2019-11-26,13,80
2019-11-26,14,80
2019-11-26,15,88
2019-11-26,16,102
2019-11-26,17,143
2019-11-26,18,116
2019-11-26,19,88
2019-11-26,20,62
2019-11-26,21,52
2019-11-26,22,48
2019-11-26,23,40
2019-11-27,0,39
2019-11-27,1,16
2019-11-27,2,8
2019-11-27,3,12
2019-11-27,4,4
2019-11-27,5,8
2019-11-27,6,21
2019-11-27,7,36
2019-11-27,8,58
2019-11-27,9,76
2019-11-27,10,67
2019-11-27,11,67
2019-11-27,12,67
2019-11-27,13,80
2019-11-27,14,76
2019-11-27,15,84
2019-11-27,16,101
2019-11-27,17,110
2019-11-27,18,105
2019-11-27,19,96
2019-11-27,20,62
2019-11-27,21,57
2019-11-27,22,57
2019-11-27,23,40
2019-11-28,0,44
2019-11-28,1,12
2019-11-28,2,16
2019-11-28,3,16
2019-11-28,4,12
2019-11-28,5,4
2019-11-28,6,16
2019-11-28,7,36
2019-11-28,8,62
2019-11-28,9,84
2019-11-28,10,48
2019-11-28,11,67
2019-11-28,12,88
2019-11-28,13,88
2019-11-28,14,84
2019-11-28,15,88
2019-11-28,16,113
2019-11-28,17,116
2019-11-28,18,107
2019-11-28,19,97
2019-11-28,20,84
2019-11-28,21,67
2019-11-28,22,84
2019-11-28,23,62
2019-11-29,0,44
2019-11-29,1,22
2019-11-29,2,16
2019-11-29,3,16
2019-11-29,4,16
2019-11-29,5,4
2019-11-29,6,21
2019-11-29,7,40
2019-11-29,8,45
2019-11-29,9,54
2019-11-29,10,72
2019-11-29,11,76
2019-11-29,12,84
2019-11-29,13,84
2019-11-29,14,92
2019-11-29,15,84
2019-11-29,16,88
2019-11-29,17,146
2019-11-29,18,140
2019-11-29,19,109
2019-11-29,20,108
2019-11-29,21,62
2019-11-29,22,54
2019-11-29,23,80
2019-11-30,0,67
2019-11-30,1,35
2019-11-30,2,48
2019-11-30,3,40
2019-11-30,4,21
2019-11-30,5,16
2019-11-30,6,16
2019-11-30,7,16
2019-11-30,8,36
2019-11-30,9,44
2019-11-30,10,48
2019-11-30,11,72
2019-11-30,12,80
2019-11-30,13,76
2019-11-30,14,88
2019-11-30,15,100
2019-11-30,16,100
2019-11-30,17,101
2019-11-30,18,101
2019-11-30,19,106
2019-11-30,20,101
2019-11-30,21,66
2019-11-30,22,72
2019-11-30,23,80
2019-12-01,0,72
2019-12-01,1,39
2019-12-01,2,44
2019-12-01,3,44
2019-12-01,4,40
2019-12-01,5,17
2019-12-01,6,16
2019-12-01,7,16
2019-12-01,8,12
2019-12-01,9,16
2019-12-01,10,36
2019-12-01,11,44
2019-12-01,12,57
2019-12-01,13,72
2019-12-01,14,84
2019-12-01,15,84
2019-12-01,16,88
2019-12-01,17,92
2019-12-01,18,88
2019-12-01,19,76
2019-12-01,20,67
2019-12-01,21,39
2019-12-01,22,52
2019-12-01,23,40
2019-12-02,0,35
2019-12-02,1,12
2019-12-02,2,16
2019-12-02,3,12
2019-12-02,4,16
2019-12-02,5,12
2019-12-02,6,26
2019-12-02,7,39
2019-12-02,8,57
2019-12-02,9,40
2019-12-02,10,49
2019-12-02,11,62
2019-12-02,12,79
2019-12-02,13,58
2019-12-02,14,84
2019-12-02,15,80
2019-12-02,16,101
2019-12-02,17,99
2019-12-02,18,118
2019-12-02,19,71
2019-12-02,20,62
2019-12-02,21,35
2019-12-02,22,48
2019-12-02,23,36
2019-12-03,0,26
2019-12-03,1,12
2019-12-03,2,12
2019-12-03,3,0
2019-12-03,4,12
2019-12-03,5,4
2019-12-03,6,16
