date,time,flow
2019-10-01,0,16
2019-10-01,1,21
2019-10-01,2,0
2019-10-01,3,4
2019-10-01,4,8
2019-10-01,5,31
2019-10-01,6,61
2019-10-01,7,154
2019-10-01,8,176
2019-10-01,9,114
2019-10-01,10,109
2019-10-01,11,128
2019-10-01,12,136
2019-10-01,13,127
2019-10-01,14,109
2019-10-01,15,137
2019-10-01,16,146
2019-10-01,17,111
2019-10-01,18,109
2019-10-01,19,79
2019-10-01,20,71
2019-10-01,21,72
2019-10-01,22,48
2019-10-01,23,44
2019-10-02,0,22
2019-10-02,1,12
2019-10-02,2,12
2019-10-02,3,8
2019-10-02,4,12
2019-10-02,5,30
2019-10-02,6,67
2019-10-02,7,145
2019-10-02,8,164
2019-10-02,9,138
2019-10-02,10,132
2019-10-02,11,114
2019-10-02,12,113
2019-10-02,13,141
2019-10-02,14,114
2019-10-02,15,163
2019-10-02,16,154
2019-10-02,17,150
2019-10-02,18,114
2019-10-02,19,92
2019-10-02,20,76
2019-10-02,21,76
2019-10-02,22,70
2019-10-02,23,36
2019-10-03,0,26
2019-10-03,1,26
2019-10-03,2,13
2019-10-03,3,4
2019-10-03,4,4
2019-10-03,5,36
2019-10-03,6,70
2019-10-03,7,171
2019-10-03,8,168
2019-10-03,9,109
2019-10-03,10,119
2019-10-03,11,128
2019-10-03,12,128
2019-10-03,13,132
2019-10-03,14,136
2019-10-03,15,151
2019-10-03,16,176
2019-10-03,17,153
2019-10-03,18,146
2019-10-03,19,92
2019-10-03,20,89
2019-10-03,21,84
2019-10-03,22,62
2019-10-03,23,58
2019-10-04,0,35
2019-10-04,1,21
2019-10-04,2,8
2019-10-04,3,4
2019-10-04,4,25
2019-10-04,5,44
2019-10-04,6,67
2019-10-04,7,146
2019-10-04,8,146
2019-10-04,9,124
2019-10-04,10,151
2019-10-04,11,136
2019-10-04,12,160
2019-10-04,13,164
2019-10-04,14,150
2019-10-04,15,150
2019-10-04,16,176
2019-10-04,17,145
2019-10-04,18,155
2019-10-04,19,111
2019-10-04,20,88
2019-10-04,21,113
2019-10-04,22,96
2019-10-04,23,101
2019-10-05,0,128
2019-10-05,1,52
2019-10-05,2,35
2019-10-05,3,16
2019-10-05,4,16
2019-10-05,5,17
2019-10-05,6,53
2019-10-05,7,53
2019-10-05,8,75
2019-10-05,9,114
2019-10-05,10,131
2019-10-05,11,141
2019-10-05,12,145
2019-10-05,13,145
2019-10-05,14,132
2019-10-05,15,128
2019-10-05,16,127
2019-10-05,17,128
2019-10-05,18,128
2019-10-05,19,124
2019-10-05,20,110
2019-10-05,21,132
2019-10-05,22,153
2019-10-05,23,155
2019-10-06,0,132
2019-10-06,1,172
2019-10-06,2,89
