date,time,flow
2019-10-01,0,6
2019-10-01,1,2
2019-10-01,2,3
2019-10-01,3,11
2019-10-01,4,8
2019-10-01,5,20
2019-10-01,6,37
2019-10-01,7,85
2019-10-01,8,150
2019-10-01,9,142
2019-10-01,10,110
2019-10-01,11,109
2019-10-01,12,154
2019-10-01,13,113
2019-10-01,14,136
2019-10-01,15,90
2019-10-01,16,89
2019-10-01,17,84
2019-10-01,18,66
2019-10-01,19,59
2019-10-01,20,31
2019-10-01,21,25
2019-10-01,22,14
2019-10-01,23,16
2019-10-02,0,14
2019-10-02,1,7
2019-10-02,2,4
2019-10-02,3,6
2019-10-02,4,8
2019-10-02,5,17
2019-10-02,6,48
2019-10-02,7,83
2019-10-02,8,111
2019-10-02,9,107
2019-10-02,10,97
2019-10-02,11,141
2019-10-02,12,152
2019-10-02,13,145
2019-10-02,14,105
2019-10-02,15,103
2019-10-02,16,120
2019-10-02,17,90
2019-10-02,18,86
2019-10-02,19,52
2019-10-02,20,36
2019-10-02,21,39
2019-10-02,22,15
2019-10-02,23,10
2019-10-03,0,14
2019-10-03,1,5
2019-10-03,2,2
2019-10-03,3,6
2019-10-03,4,9
2019-10-03,5,23
2019-10-03,6,47
2019-10-03,7,94
2019-10-03,8,128
2019-10-03,9,87
2019-10-03,10,97
2019-10-03,11,102
2019-10-03,12,115
2019-10-03,13,137
2019-10-03,14,131
2019-10-03,15,108
2019-10-03,16,150
2019-10-03,17,91
2019-10-03,18,80
2019-10-03,19,51
2019-10-03,20,57
2019-10-03,21,41
2019-10-03,22,37
2019-10-03,23,11
2019-10-04,0,11
2019-10-04,1,3
2019-10-04,2,3
2019-10-04,3,3
2019-10-04,4,11
2019-10-04,5,12
2019-10-04,6,48
2019-10-04,7,101
2019-10-04,8,128
2019-10-04,9,99
2019-10-04,10,117
2019-10-04,11,130
2019-10-04,12,96
2019-10-04,13,114
2019-10-04,14,117
2019-10-04,15,132
2019-10-04,16,118
2019-10-04,17,95
2019-10-04,18,117
2019-10-04,19,57
2019-10-04,20,47
2019-10-04,21,39
2019-10-04,22,31
2019-10-04,23,36
2019-10-05,0,18
2019-10-05,1,16
2019-10-05,2,6
2019-10-05,3,4
2019-10-05,4,8
2019-10-05,5,15
2019-10-05,6,23
2019-10-05,7,34
2019-10-05,8,59
2019-10-05,9,91
2019-10-05,10,116
2019-10-05,11,115
2019-10-05,12,99
2019-10-05,13,106
2019-10-05,14,109
2019-10-05,15,99
2019-10-05,16,94
2019-10-05,17,104
2019-10-05,18,81
2019-10-05,19,77
2019-10-05,20,57
2019-10-05,21,38
2019-10-05,22,33
2019-10-05,23,32
2019-10-06,0,30
2019-10-06,1,17
2019-10-06,2,11
2019-10-06,3,10
2019-10-06,4,6
2019-10-06,5,13
2019-10-06,6,21
2019-10-06,7,14
2019-10-06,8,46
2019-10-06,9,49
2019-10-06,10,56
2019-10-06,11,92
2019-10-06,12,80
2019-10-06,13,81
2019-10-06,14,85
2019-10-06,15,73
2019-10-06,16,87
2019-10-06,17,113
2019-10-06,18,58
2019-10-06,19,48
2019-10-06,20,34
2019-10-06,21,30
2019-10-06,22,20
2019-10-06,23,19
2019-10-07,0,5
2019-10-07,1,9
2019-10-07,2,6
2019-10-07,3,4
2019-10-07,4,8
2019-10-07,5,16
2019-10-07,6,41
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,20
2019-10-07,11,132
2019-10-07,12,102
2019-10-07,13,122
2019-10-07,14,152
2019-10-07,15,120
2019-10-07,16,93
2019-10-07,17,61
2019-10-07,18,76
2019-10-07,19,46
2019-10-07,20,32
2019-10-07,21,17
2019-10-07,22,14
2019-10-07,23,12
2019-10-08,0,7
2019-10-08,1,5
2019-10-08,2,3
2019-10-08,3,8
2019-10-08,4,7
2019-10-08,5,20
2019-10-08,6,40
2019-10-08,7,107
2019-10-08,8,101
2019-10-08,9,115
2019-10-08,10,106
2019-10-08,11,122
2019-10-08,12,158
2019-10-08,13,126
2019-10-08,14,100
2019-10-08,15,100
2019-10-08,16,88
2019-10-08,17,89
2019-10-08,18,91
2019-10-08,19,44
2019-10-08,20,42
2019-10-08,21,33
2019-10-08,22,15
2019-10-08,23,11
2019-10-09,0,4
2019-10-09,1,4
2019-10-09,2,1
2019-10-09,3,6
2019-10-09,4,13
2019-10-09,5,23
2019-10-09,6,45
2019-10-09,7,105
2019-10-09,8,112
2019-10-09,9,99
2019-10-09,10,107
2019-10-09,11,84
2019-10-09,12,167
2019-10-09,13,194
2019-10-09,14,118
2019-10-09,15,105
2019-10-09,16,129
2019-10-09,17,99
2019-10-09,18,90
2019-10-09,19,57
2019-10-09,20,47
2019-10-09,21,36
2019-10-09,22,24
2019-10-09,23,15
2019-10-10,0,6
2019-10-10,1,7
2019-10-10,2,4
2019-10-10,3,6
2019-10-10,4,13
2019-10-10,5,23
2019-10-10,6,57
2019-10-10,7,104
2019-10-10,8,112
2019-10-10,9,98
2019-10-10,10,131
2019-10-10,11,110
2019-10-10,12,165
2019-10-10,13,74
2019-10-10,14,76
2019-10-10,15,135
2019-10-10,16,143
2019-10-10,17,87
2019-10-10,18,101
2019-10-10,19,64
2019-10-10,20,44
2019-10-10,21,32
2019-10-10,22,26
2019-10-10,23,14
2019-10-11,0,10
2019-10-11,1,11
2019-10-11,2,4
2019-10-11,3,5
2019-10-11,4,7
2019-10-11,5,17
2019-10-11,6,70
2019-10-11,7,70
2019-10-11,8,91
2019-10-11,9,159
2019-10-11,10,173
2019-10-11,11,148
2019-10-11,12,130
2019-10-11,13,124
2019-10-11,14,187
2019-10-11,15,154
2019-10-11,16,116
2019-10-11,17,108
2019-10-11,18,118
2019-10-11,19,65
2019-10-11,20,78
2019-10-11,21,94
2019-10-11,22,45
2019-10-11,23,31
2019-10-12,0,20
2019-10-12,1,9
2019-10-12,2,12
2019-10-12,3,11
2019-10-12,4,5
2019-10-12,5,16
2019-10-12,6,18
2019-10-12,7,37
2019-10-12,8,70
2019-10-12,9,87
2019-10-12,10,95
2019-10-12,11,119
2019-10-12,12,119
2019-10-12,13,133
2019-10-12,14,126
2019-10-12,15,99
2019-10-12,16,80
2019-10-12,17,83
2019-10-12,18,108
2019-10-12,19,69
2019-10-12,20,55
2019-10-12,21,45
2019-10-12,22,33
2019-10-12,23,29
2019-10-13,0,28
2019-10-13,1,17
2019-10-13,2,14
2019-10-13,3,8
2019-10-13,4,7
2019-10-13,5,12
2019-10-13,6,18
2019-10-13,7,16
2019-10-13,8,32
2019-10-13,9,36
2019-10-13,10,48
2019-10-13,11,73
2019-10-13,12,91
2019-10-13,13,113
2019-10-13,14,80
2019-10-13,15,114
2019-10-13,16,80
2019-10-13,17,75
2019-10-13,18,48
2019-10-13,19,47
2019-10-13,20,31
2019-10-13,21,35
2019-10-13,22,19
2019-10-13,23,17
2019-10-14,0,9
2019-10-14,1,4
2019-10-14,2,3
2019-10-14,3,5
2019-10-14,4,7
2019-10-14,5,20
2019-10-14,6,47
2019-10-14,7,65
2019-10-14,8,92
2019-10-14,9,81
2019-10-14,10,91
2019-10-14,11,99
2019-10-14,12,115
2019-10-14,13,127
2019-10-14,14,145
2019-10-14,15,93
2019-10-14,16,81
2019-10-14,17,70
2019-10-14,18,56
2019-10-14,19,37
2019-10-14,20,39
2019-10-14,21,26
2019-10-14,22,24
2019-10-14,23,10
2019-10-15,0,7
2019-10-15,1,5
2019-10-15,2,4
2019-10-15,3,7
2019-10-15,4,4
2019-10-15,5,17
2019-10-15,6,97
2019-10-15,7,76
2019-10-15,8,107
2019-10-15,9,84
2019-10-15,10,95
2019-10-15,11,126
2019-10-15,12,133
2019-10-15,13,97
2019-10-15,14,92
2019-10-15,15,106
2019-10-15,16,100
2019-10-15,17,60
2019-10-15,18,74
2019-10-15,19,56
2019-10-15,20,39
2019-10-15,21,28
2019-10-15,22,17
2019-10-15,23,10
2019-10-16,0,10
2019-10-16,1,6
2019-10-16,2,4
2019-10-16,3,3
2019-10-16,4,8
2019-10-16,5,26
2019-10-16,6,59
2019-10-16,7,89
2019-10-16,8,65
2019-10-16,9,95
2019-10-16,10,94
2019-10-16,11,101
2019-10-16,12,113
2019-10-16,13,170
2019-10-16,14,125
2019-10-16,15,96
2019-10-16,16,164
2019-10-16,17,73
2019-10-16,18,75
2019-10-16,19,64
2019-11-20,12,120
2019-11-20,13,136
2019-11-20,14,146
2019-11-20,15,164
2019-11-20,16,128
2019-11-20,17,128
2019-11-20,18,142
2019-11-20,19,105
2019-11-20,20,63
2019-11-20,21,37
2019-11-20,22,27
2019-11-20,23,13
2019-11-21,0,14
2019-11-21,1,8
2019-11-21,2,2
2019-11-21,3,4
2019-11-21,4,4
2019-11-21,5,14
2019-11-21,6,21
2019-11-21,7,46
2019-11-21,8,112
2019-11-21,9,117
2019-11-21,10,116
2019-11-21,11,129
2019-11-21,12,174
2019-11-21,13,166
2019-11-21,14,149
2019-11-21,15,134
2019-11-21,16,62
2019-11-21,17,105
2019-11-21,18,136
2019-11-21,19,67
2019-11-21,20,78
2019-11-21,21,43
2019-11-21,22,35
2019-11-21,23,25
2019-11-22,0,19
2019-11-22,1,13
2019-11-22,2,7
2019-11-22,3,2
2019-11-22,4,4
2019-11-22,5,9
2019-11-22,6,29
