date,time,flow
2019-10-01,0,8
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,8
2019-10-01,5,26
2019-10-01,6,58
2019-10-01,7,97
2019-10-01,8,110
2019-10-01,9,92
2019-10-01,10,115
2019-10-01,11,101
2019-10-01,12,109
2019-10-01,13,106
2019-10-01,14,114
2019-10-01,15,100
2019-10-01,16,92
2019-10-01,17,110
2019-10-01,18,84
2019-10-01,19,67
2019-10-01,20,74
2019-10-01,21,57
2019-10-01,22,26
2019-10-01,23,16
2019-10-02,0,8
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,4
2019-10-02,4,4
2019-10-02,5,31
2019-10-02,6,54
2019-10-02,7,110
2019-10-02,8,105
2019-10-02,9,96
2019-10-02,10,100
2019-10-02,11,109
2019-10-02,12,110
2019-10-02,13,92
2019-10-02,14,92
2019-10-02,15,88
2019-10-02,16,100
2019-10-02,17,101
2019-10-02,18,92
2019-10-02,19,52
2019-10-02,20,61
2019-10-02,21,44
2019-10-02,22,30
2019-10-02,23,16
2019-10-03,0,4
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,4
2019-10-03,5,21
2019-10-03,6,53
2019-10-03,7,92
2019-10-03,8,109
2019-10-03,9,100
2019-10-03,10,109
2019-10-03,11,105
2019-10-03,12,110
2019-10-03,13,109
2019-10-03,14,105
2019-10-03,15,109
2019-10-03,16,105
2019-10-03,17,110
2019-10-03,18,83
2019-10-03,19,62
2019-10-03,20,53
2019-10-03,21,57
2019-10-03,22,40
2019-10-03,23,16
2019-10-04,0,8
2019-10-04,1,4
2019-10-04,2,4
2019-10-04,3,0
2019-10-04,4,4
2019-10-04,5,16
2019-10-04,6,44
2019-10-04,7,96
2019-10-04,8,102
2019-10-04,9,96
2019-10-04,10,96
2019-10-04,11,105
2019-10-04,12,109
2019-10-04,13,105
2019-10-04,14,118
2019-10-04,15,92
2019-10-04,16,119
2019-10-04,17,96
2019-10-04,18,101
2019-10-04,19,80
2019-10-04,20,62
2019-10-04,21,57
2019-10-04,22,31
2019-10-04,23,30
2019-10-05,0,21
2019-10-05,1,12
2019-10-05,2,8
2019-10-05,3,16
2019-10-05,4,4
2019-10-05,5,8
2019-10-05,6,30
2019-10-05,7,48
2019-10-05,8,75
2019-10-05,9,84
2019-10-05,10,96
2019-10-05,11,118
2019-10-05,12,141
2019-10-05,13,131
2019-10-05,14,106
2019-10-05,15,104
2019-10-05,16,88
2019-10-05,17,80
2019-10-05,18,88
2019-10-05,19,76
2019-10-05,20,57
2019-10-05,21,52
2019-10-05,22,44
2019-10-05,23,40
2019-10-06,0,40
2019-10-06,1,16
2019-10-06,2,16
2019-10-06,3,12
2019-10-06,4,4
2019-10-06,5,8
2019-10-06,6,44
2019-10-06,7,66
2019-10-06,8,75
2019-10-06,9,62
2019-10-06,10,72
2019-10-06,11,80
2019-10-06,12,89
2019-10-06,13,88
2019-10-06,14,79
2019-10-06,15,80
2019-10-06,16,92
2019-10-06,17,96
2019-10-06,18,76
2019-10-06,19,80
2019-10-06,20,58
2019-10-06,21,36
2019-10-06,22,16
2019-10-06,23,16
2019-10-07,0,22
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,8
2019-10-07,5,21
2019-10-07,6,62
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,26
2019-10-07,11,105
2019-10-07,12,96
2019-10-07,13,114
2019-10-07,14,106
2019-10-07,15,92
2019-10-07,16,96
2019-10-07,17,84
2019-10-07,18,93
2019-10-07,19,84
2019-10-07,20,57
2019-10-07,21,40
2019-10-07,22,26
2019-10-07,23,16
2019-10-08,0,4
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,4
2019-10-08,5,26
2019-10-08,6,58
2019-10-08,7,105
