date,time,flow
2019-10-01,0,8
2019-10-01,1,6
2019-10-01,2,1
2019-10-01,3,5
2019-10-01,4,5
2019-10-01,5,12
2019-10-01,6,49
2019-10-01,7,76
2019-10-01,8,75
2019-10-01,9,54
2019-10-01,10,55
2019-10-01,11,79
2019-10-01,12,68
2019-10-01,13,56
2019-10-01,14,106
2019-10-01,15,106
2019-10-01,16,125
2019-10-01,17,110
2019-10-01,18,87
2019-10-01,19,77
2019-10-01,20,60
2019-10-01,21,34
2019-10-01,22,11
2019-10-01,23,8
2019-10-02,0,4
2019-10-02,1,1
2019-10-02,2,1
2019-10-02,3,4
2019-10-02,4,0
2019-10-02,5,14
2019-10-02,6,42
2019-10-02,7,84
2019-10-02,8,64
2019-10-02,9,72
2019-10-02,10,60
2019-10-02,11,70
2019-10-02,12,61
2019-10-02,13,61
2019-10-02,14,85
2019-10-02,15,116
2019-10-02,16,139
2019-10-02,17,130
2019-10-02,18,119
2019-10-02,19,89
2019-10-02,20,52
2019-10-02,21,34
2019-10-02,22,13
2019-10-02,23,11
2019-10-03,0,8
2019-10-03,1,6
2019-10-03,2,24
2019-10-03,3,1
2019-10-03,4,6
2019-10-03,5,11
2019-10-03,6,37
2019-10-03,7,60
2019-10-03,8,72
2019-10-03,9,59
2019-10-03,10,67
2019-10-03,11,62
2019-10-03,12,69
2019-10-03,13,84
2019-10-03,14,87
2019-10-03,15,108
2019-10-03,16,109
2019-10-03,17,101
2019-10-03,18,89
2019-10-03,19,87
2019-10-03,20,49
2019-10-03,21,38
2019-10-03,22,22
2019-10-03,23,12
2019-10-04,0,4
2019-10-04,1,4
2019-10-04,2,1
2019-10-04,3,1
2019-10-04,4,10
2019-10-04,5,6
2019-10-04,6,30
2019-10-04,7,93
2019-10-04,8,55
2019-10-04,9,54
2019-10-04,10,64
2019-10-04,11,60
2019-10-04,12,88
2019-10-04,13,97
2019-10-04,14,138
2019-10-04,15,113
2019-10-04,16,112
2019-10-04,17,87
2019-10-04,18,80
2019-10-04,19,53
2019-10-04,20,54
2019-10-04,21,61
2019-10-04,22,19
2019-10-04,23,19
2019-10-05,0,11
2019-10-05,1,21
2019-10-05,2,3
2019-10-05,3,3
2019-10-05,4,2
2019-10-05,5,9
2019-10-05,6,10
2019-10-05,7,17
2019-10-05,8,25
2019-10-05,9,57
2019-10-05,10,57
2019-10-05,11,59
2019-10-05,12,82
2019-10-05,13,83
2019-10-05,14,68
2019-10-05,15,82
2019-10-05,16,79
2019-10-05,17,55
2019-10-05,18,38
2019-10-05,19,31
2019-10-05,20,24
2019-10-05,21,30
2019-10-05,22,21
2019-10-05,23,18
2019-10-06,0,14
2019-10-06,1,8
2019-10-06,2,12
2019-10-06,3,9
2019-10-06,4,4
2019-10-06,5,9
2019-10-06,6,8
