date,time,flow
2019-10-01,0,13
2019-10-01,1,12
2019-10-01,2,5
2019-10-01,3,9
2019-10-01,4,16
2019-10-01,5,36
2019-10-01,6,121
2019-10-01,7,228
2019-10-01,8,205
2019-10-01,9,171
2019-10-01,10,177
2019-10-01,11,178
2019-10-01,12,169
2019-10-01,13,239
2019-10-01,14,230
2019-10-01,15,238
2019-10-01,16,207
2019-10-01,17,153
2019-10-01,18,141
2019-10-01,19,116
2019-10-01,20,124
2019-10-01,21,63
2019-10-01,22,53
2019-10-01,23,26
2019-10-02,0,45
2019-10-02,1,15
2019-10-02,2,8
2019-10-02,3,10
2019-10-02,4,17
2019-10-02,5,31
2019-10-02,6,120
2019-10-02,7,176
2019-10-02,8,240
2019-10-02,9,188
2019-10-02,10,226
2019-10-02,11,227
2019-10-02,12,180
2019-10-02,13,220
2019-10-02,14,248
2019-10-02,15,261
2019-10-02,16,265
2019-10-02,17,199
2019-10-02,18,161
2019-10-02,19,145
2019-10-02,20,122
2019-10-02,21,190
2019-10-02,22,78
2019-10-02,23,30
2019-10-03,0,11
2019-10-03,1,13
2019-10-03,2,12
2019-10-03,3,6
2019-10-03,4,27
2019-10-03,5,17
2019-10-03,6,144
2019-10-03,7,191
2019-10-03,8,224
2019-10-03,9,250
2019-10-03,10,177
2019-10-03,11,236
2019-10-03,12,219
2019-10-03,13,192
2019-10-03,14,222
2019-10-03,15,242
2019-10-03,16,223
2019-10-03,17,254
2019-10-03,18,156
2019-10-03,19,118
2019-10-03,20,95
2019-10-03,21,95
2019-10-03,22,74
2019-10-03,23,41
2019-10-04,0,26
2019-10-04,1,14
2019-10-04,2,15
2019-10-04,3,14
2019-10-04,4,14
2019-10-04,5,28
2019-10-04,6,136
2019-10-04,7,202
2019-10-04,8,232
2019-10-04,9,184
2019-10-04,10,221
2019-10-04,11,230
2019-10-04,12,240
2019-10-04,13,193
2019-10-04,14,263
2019-10-04,15,237
2019-10-04,16,238
2019-10-04,17,176
2019-10-04,18,164
2019-10-04,19,146
2019-10-04,20,74
2019-10-04,21,105
2019-10-04,22,80
2019-10-04,23,88
2019-10-05,0,67
2019-10-05,1,29
2019-10-05,2,21
2019-10-05,3,23
2019-10-05,4,17
2019-10-05,5,13
2019-10-05,6,31
2019-10-05,7,68
2019-10-05,8,120
2019-10-05,9,124
2019-10-05,10,195
2019-10-05,11,178
2019-10-05,12,207
2019-10-05,13,234
2019-10-05,14,194
2019-10-05,15,196
2019-10-05,16,197
2019-10-05,17,215
2019-10-05,18,157
2019-10-05,19,133
2019-10-05,20,118
2019-10-05,21,102
2019-10-05,22,75
2019-10-05,23,90
2019-10-06,0,59
2019-10-06,1,36
2019-10-06,2,21
2019-10-06,3,18
2019-10-06,4,15
2019-10-06,5,22
2019-10-06,6,29
2019-10-06,7,63
2019-10-06,8,102
2019-10-06,9,183
2019-10-06,10,169
2019-10-06,11,169
2019-10-06,12,205
2019-10-06,13,201
2019-10-06,14,197
2019-10-06,15,205
2019-10-06,16,209
2019-10-06,17,188
2019-10-06,18,160
2019-10-06,19,147
2019-10-06,20,88
2019-10-06,21,59
2019-10-06,22,56
2019-10-06,23,28
2019-10-07,0,13
2019-10-07,1,5
2019-10-07,2,7
2019-10-07,3,9
2019-10-07,4,16
2019-10-07,5,32
2019-10-07,6,123
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,45
2019-10-07,11,197
2019-10-07,12,189
2019-10-07,13,238
2019-10-07,14,239
2019-10-07,15,261
2019-10-07,16,223
2019-10-07,17,173
2019-10-07,18,126
2019-10-07,19,95
2019-10-07,20,87
2019-10-07,21,72
2019-10-07,22,44
2019-10-07,23,30
2019-10-08,0,12
2019-10-08,1,8
2019-10-08,2,11
2019-10-08,3,3
2019-10-08,4,11
2019-10-08,5,25
2019-10-08,6,158
2019-10-08,7,265
2019-10-08,8,213
2019-10-08,9,166
2019-10-08,10,187
2019-10-08,11,163
2019-10-08,12,214
2019-10-08,13,298
2019-10-08,14,194
2019-10-08,15,258
2019-10-08,16,238
2019-10-08,17,204
2019-10-08,18,217
2019-10-08,19,115
2019-10-08,20,97
2019-10-08,21,81
2019-10-08,22,43
2019-10-08,23,68
2019-10-09,0,16
2019-10-09,1,8
2019-10-09,2,13
2019-10-09,3,3
2019-10-09,4,14
2019-10-09,5,27
2019-10-09,6,127
2019-10-09,7,214
2019-10-09,8,256
