date,time,flow
2019-10-01,0,7
2019-10-01,1,9
2019-10-01,2,7
2019-10-01,3,4
2019-10-01,4,11
2019-10-01,5,27
2019-10-01,6,84
2019-10-01,7,122
2019-10-01,8,125
2019-10-01,9,114
2019-10-01,10,95
2019-10-01,11,99
2019-10-01,12,124
2019-10-01,13,112
2019-10-01,14,115
2019-10-01,15,132
2019-10-01,16,134
2019-10-01,17,133
2019-10-01,18,125
2019-10-01,19,73
2019-10-01,20,77
2019-10-01,21,67
2019-10-01,22,34
2019-10-01,23,23
2019-10-02,0,7
2019-10-02,1,10
2019-10-02,2,6
2019-10-02,3,6
2019-10-02,4,12
2019-10-02,5,24
2019-10-02,6,97
2019-10-02,7,112
2019-10-02,8,118
2019-10-02,9,104
2019-10-02,10,108
2019-10-02,11,119
2019-10-02,12,121
2019-10-02,13,134
2019-10-02,14,125
2019-10-02,15,136
2019-10-02,16,143
2019-10-02,17,142
2019-10-02,18,116
2019-10-02,19,89
2019-10-02,20,69
2019-10-02,21,61
2019-10-02,22,30
2019-10-02,23,33
2019-10-03,0,11
2019-10-03,1,8
2019-10-03,2,8
2019-10-03,3,9
2019-10-03,4,8
2019-10-03,5,43
2019-10-03,6,71
2019-10-03,7,107
2019-10-03,8,109
2019-10-03,9,120
2019-10-03,10,106
2019-10-03,11,117
2019-10-03,12,147
2019-10-03,13,139
2019-10-03,14,119
2019-10-03,15,147
2019-10-03,16,158
2019-10-03,17,131
2019-10-03,18,108
2019-10-03,19,89
2019-10-03,20,72
2019-10-03,21,87
2019-10-03,22,63
2019-10-03,23,29
2019-10-04,0,14
2019-10-04,1,10
2019-10-04,2,7
2019-10-04,3,8
2019-10-04,4,9
2019-10-04,5,25
2019-10-04,6,88
2019-10-04,7,99
2019-10-04,8,126
2019-10-04,9,125
2019-10-04,10,114
2019-10-04,11,156
2019-10-04,12,126
2019-10-04,13,129
2019-10-04,14,132
2019-10-04,15,177
2019-10-04,16,131
2019-10-04,17,135
2019-10-04,18,121
2019-10-04,19,99
2019-10-04,20,84
2019-10-04,21,85
2019-10-04,22,70
2019-10-04,23,52
2019-10-05,0,43
2019-10-05,1,29
2019-10-05,2,28
2019-10-05,3,10
2019-10-05,4,7
2019-10-05,5,10
2019-10-05,6,40
2019-10-05,7,63
2019-10-05,8,75
2019-10-05,9,102
2019-10-05,10,98
2019-10-05,11,114
2019-10-05,12,123
2019-10-05,13,124
2019-10-05,14,120
2019-10-05,15,126
2019-10-05,16,145
2019-10-05,17,118
2019-10-05,18,111
2019-10-05,19,83
2019-10-05,20,68
2019-10-05,21,84
2019-10-05,22,76
2019-10-05,23,65
2019-10-06,0,48
2019-10-06,1,34
2019-10-06,2,22
2019-10-06,3,11
2019-10-06,4,11
2019-10-06,5,11
2019-10-06,6,22
2019-10-06,7,22
2019-10-06,8,44
2019-10-06,9,49
2019-10-06,10,80
2019-10-06,11,88
2019-10-06,12,123
2019-10-06,13,117
2019-10-06,14,129
2019-10-06,15,102
2019-10-06,16,115
2019-10-06,17,99
2019-10-06,18,85
2019-10-06,19,87
2019-10-06,20,56
2019-10-06,21,59
2019-10-06,22,42
2019-10-06,23,24
2019-10-07,0,8
2019-10-07,1,9
2019-10-07,2,6
2019-10-07,3,6
2019-10-07,4,14
2019-10-07,5,25
2019-10-07,6,78
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,34
2019-10-07,11,134
2019-10-07,12,109
2019-10-07,13,115
2019-10-07,14,110
2019-10-07,15,138
2019-10-07,16,160
2019-10-07,17,138
2019-10-07,18,110
2019-10-07,19,80
2019-10-07,20,73
2019-10-07,21,67
2019-10-07,22,21
2019-10-07,23,16
2019-10-08,0,14
2019-10-08,1,10
2019-10-08,2,7
2019-10-08,3,5
2019-10-08,4,11
2019-10-08,5,21
2019-10-08,6,88
2019-10-08,7,99
2019-10-08,8,123
2019-10-08,9,122
2019-10-08,10,104
2019-10-08,11,106
2019-10-08,12,117
2019-10-08,13,118
2019-10-08,14,115
2019-10-08,15,141
2019-10-08,16,158
2019-10-08,17,163
2019-10-08,18,139
2019-10-08,19,100
2019-10-08,20,63
2019-10-08,21,74
2019-10-08,22,37
2019-10-08,23,11
2019-10-09,0,15
2019-10-09,1,12
2019-10-09,2,10
2019-10-09,3,8
2019-10-09,4,10
2019-10-09,5,28
2019-10-09,6,86
2019-10-09,7,108
2019-10-09,8,123
2019-10-09,9,114
2019-10-09,10,128
2019-10-09,11,120
2019-10-09,12,127
2019-10-09,13,136
2019-10-09,14,120
2019-10-09,15,140
2019-10-09,16,156
2019-10-09,17,144
2019-10-09,18,122
2019-10-09,19,98
2019-10-09,20,84
2019-10-09,21,57
2019-10-09,22,47
2019-10-09,23,22
2019-10-10,0,17
2019-10-10,1,15
2019-10-10,2,8
2019-10-10,3,7
2019-10-10,4,11
2019-10-10,5,19
2019-10-10,6,83
2019-10-10,7,114
2019-10-10,8,126
2019-10-10,9,110
2019-10-10,10,126
2019-10-10,11,121
2019-10-10,12,112
2019-10-10,13,121
2019-10-10,14,129
2019-10-10,15,136
2019-10-10,16,210
2019-10-10,17,167
2019-10-10,18,120
2019-10-10,19,94
2019-10-10,20,91
2019-10-10,21,66
2019-10-10,22,49
2019-10-10,23,31
2019-10-11,0,24
2019-10-11,1,19
2019-10-11,2,14
2019-10-11,3,12
2019-10-11,4,12
2019-10-11,5,23
2019-10-11,6,73
2019-10-11,7,122
2019-10-11,8,107
2019-10-11,9,106
2019-10-11,10,125
2019-10-11,11,123
2019-10-11,12,128
2019-10-11,13,123
2019-10-11,14,132
2019-10-11,15,137
2019-10-11,16,162
2019-10-11,17,116
2019-10-11,18,114
2019-10-11,19,93
2019-10-11,20,76
2019-10-11,21,75
2019-10-11,22,52
2019-10-11,23,55
2019-10-12,0,35
2019-10-12,1,26
2019-10-12,2,21
2019-10-12,3,13
2019-10-12,4,13
2019-10-12,5,19
2019-10-12,6,25
2019-10-12,7,48
2019-10-12,8,69
2019-10-12,9,83
2019-10-12,10,106
2019-10-12,11,103
2019-10-12,12,121
2019-10-12,13,115
2019-10-12,14,123
2019-10-12,15,109
2019-10-12,16,111
2019-10-12,17,120
2019-10-12,18,105
2019-10-12,19,80
2019-10-12,20,70
2019-10-12,21,64
2019-10-12,22,67
2019-10-12,23,53
2019-10-13,0,55
2019-10-13,1,33
2019-10-13,2,28
2019-10-13,3,20
2019-10-13,4,17
2019-10-13,5,9
2019-10-13,6,32
2019-10-13,7,23
2019-10-13,8,46
2019-10-13,9,66
2019-10-13,10,74
2019-10-13,11,97
2019-10-13,12,83
2019-10-13,13,100
2019-10-13,14,105
2019-10-13,15,106
2019-10-13,16,112
2019-10-13,17,105
2019-10-13,18,92
2019-10-13,19,89
2019-10-13,20,50
2019-10-13,21,48
2019-10-13,22,39
2019-10-13,23,29
2019-10-14,0,10
2019-10-14,1,6
2019-10-14,2,6
2019-10-14,3,11
2019-10-14,4,11
2019-10-14,5,25
2019-10-14,6,72
2019-10-14,7,120
2019-10-14,8,98
2019-10-14,9,109
2019-10-14,10,110
2019-10-14,11,111
2019-10-14,12,132
2019-10-14,13,117
2019-10-14,14,113
2019-10-14,15,122
2019-10-14,16,120
2019-10-14,17,108
2019-10-14,18,107
2019-10-14,19,76
2019-10-14,20,62
2019-10-14,21,56
2019-10-14,22,27
2019-10-14,23,16
2019-10-15,0,12
2019-10-15,1,7
2019-10-15,2,14
2019-10-15,3,8
2019-10-15,4,13
2019-10-15,5,27
2019-10-15,6,78
2019-10-15,7,120
2019-10-15,8,100
2019-10-15,9,106
2019-10-15,10,101
2019-10-15,11,116
2019-10-15,12,103
2019-10-15,13,108
2019-10-15,14,109
2019-10-15,15,118
2019-10-15,16,125
2019-10-15,17,132
2019-10-15,18,99
2019-10-15,19,67
2019-10-15,20,74
2019-10-15,21,63
2019-10-15,22,34
2019-10-15,23,27
2019-10-16,0,9
2019-10-16,1,11
2019-10-16,2,8
2019-10-16,3,6
2019-10-16,4,10
2019-10-16,5,26
2019-10-16,6,71
2019-10-16,7,101
2019-10-16,8,109
2019-10-16,9,97
2019-10-16,10,121
2019-10-16,11,109
2019-10-16,12,116
2019-10-16,13,105
2019-10-16,14,115
2019-10-16,15,86
