date,time,flow
2019-10-01,0,4
2019-10-01,1,7
2019-10-01,2,5
2019-10-01,3,6
2019-10-01,4,8
2019-10-01,5,34
2019-10-01,6,72
2019-10-01,7,117
2019-10-01,8,127
2019-10-01,9,106
2019-10-01,10,101
2019-10-01,11,96
2019-10-01,12,124
2019-10-01,13,118
2019-10-01,14,119
2019-10-01,15,122
2019-10-01,16,127
2019-10-01,17,137
2019-10-01,18,101
2019-10-01,19,73
2019-10-01,20,65
2019-10-01,21,60
2019-10-01,22,28
2019-10-01,23,13
2019-10-02,0,7
2019-10-02,1,9
2019-10-02,2,5
2019-10-02,3,5
2019-10-02,4,7
2019-10-02,5,34
2019-10-02,6,77
2019-10-02,7,117
2019-10-02,8,121
2019-10-02,9,118
2019-10-02,10,105
2019-10-02,11,110
2019-10-02,12,127
2019-10-02,13,124
2019-10-02,14,114
2019-10-02,15,147
2019-10-02,16,121
2019-10-02,17,124
2019-10-02,18,95
2019-10-02,19,77
2019-10-02,20,73
2019-10-02,21,46
2019-10-02,22,31
2019-10-02,23,25
2019-10-03,0,9
2019-10-03,1,3
2019-10-03,2,9
2019-10-03,3,7
2019-10-03,4,10
2019-10-03,5,24
2019-10-03,6,78
2019-10-03,7,110
2019-10-03,8,122
2019-10-03,9,118
2019-10-03,10,104
2019-10-03,11,113
2019-10-03,12,113
2019-10-03,13,137
2019-10-03,14,126
2019-10-03,15,120
2019-10-03,16,127
2019-10-03,17,120
2019-10-03,18,104
2019-10-03,19,80
2019-10-03,20,70
2019-10-03,21,68
2019-10-03,22,43
2019-10-03,23,23
2019-10-04,0,16
2019-10-04,1,14
2019-10-04,2,7
2019-10-04,3,7
2019-10-04,4,8
2019-10-04,5,25
2019-10-04,6,85
2019-10-04,7,110
2019-10-04,8,133
2019-10-04,9,117
2019-10-04,10,136
2019-10-04,11,135
2019-10-04,12,123
2019-10-04,13,125
2019-10-04,14,140
2019-10-04,15,153
2019-10-04,16,122
2019-10-04,17,117
2019-10-04,18,91
2019-10-04,19,81
2019-10-04,20,72
2019-10-04,21,70
2019-10-04,22,55
2019-10-04,23,45
2019-10-05,0,36
2019-10-05,1,22
2019-10-05,2,29
2019-10-05,3,9
2019-10-05,4,8
2019-10-05,5,12
2019-10-05,6,35
2019-10-05,7,61
2019-10-05,8,75
2019-10-05,9,101
2019-10-05,10,120
2019-10-05,11,107
2019-10-05,12,115
2019-10-05,13,119
2019-10-05,14,121
2019-10-05,15,104
2019-10-05,16,119
2019-10-05,17,97
2019-10-05,18,86
2019-10-05,19,67
2019-10-05,20,59
2019-10-05,21,68
2019-10-05,22,60
2019-10-05,23,55
2019-10-06,0,37
2019-10-06,1,25
2019-10-06,2,25
2019-10-06,3,17
2019-10-06,4,12
2019-10-06,5,11
2019-10-06,6,26
2019-10-06,7,29
2019-10-06,8,44
2019-10-06,9,57
2019-10-06,10,111
2019-10-06,11,98
2019-10-06,12,138
2019-10-06,13,111
2019-10-06,14,121
2019-10-06,15,104
2019-10-06,16,120
2019-10-06,17,108
2019-10-06,18,89
2019-10-06,19,76
2019-10-06,20,64
2019-10-06,21,51
2019-10-06,22,43
2019-10-06,23,15
2019-10-07,0,7
2019-10-07,1,8
2019-10-07,2,7
2019-10-07,3,6
2019-10-07,4,13
2019-10-07,5,33
2019-10-07,6,83
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,29
2019-10-07,11,122
2019-10-07,12,107
2019-10-07,13,121
2019-10-07,14,125
2019-10-07,15,137
2019-10-07,16,144
2019-10-07,17,120
2019-10-07,18,92
2019-10-07,19,65
2019-10-07,20,60
2019-10-07,21,55
2019-10-07,22,26
2019-10-07,23,18
2019-10-08,0,5
2019-10-08,1,8
2019-10-08,2,6
2019-10-08,3,8
2019-10-08,4,9
2019-10-08,5,29
2019-10-08,6,83
2019-10-08,7,109
2019-10-08,8,136
2019-10-08,9,119
2019-10-08,10,115
2019-10-08,11,109
2019-10-08,12,111
2019-10-08,13,116
2019-10-08,14,106
2019-10-08,15,127
2019-10-08,16,178
2019-10-08,17,122
2019-10-08,18,128
2019-10-08,19,79
2019-10-08,20,55
2019-10-08,21,58
2019-10-08,22,40
2019-10-08,23,13
2019-10-09,0,10
2019-10-09,1,11
2019-10-09,2,11
2019-10-09,3,8
2019-10-09,4,10
2019-10-09,5,29
2019-10-09,6,80
2019-10-09,7,108
2019-10-09,8,130
2019-10-09,9,110
2019-10-09,10,114
2019-10-09,11,107
2019-10-09,12,127
2019-10-09,13,128
2019-10-09,14,135
2019-10-09,15,143
2019-10-09,16,134
2019-10-09,17,133
2019-10-09,18,105
2019-10-09,19,81
2019-10-09,20,85
2019-10-09,21,56
2019-10-09,22,35
2019-10-09,23,17
2019-10-10,0,17
2019-10-10,1,12
2019-10-10,2,10
2019-10-10,3,9
2019-10-10,4,8
2019-10-10,5,20
2019-10-10,6,88
2019-10-10,7,130
2019-10-10,8,113
2019-10-10,9,107
2019-10-10,10,115
2019-10-10,11,138
2019-10-10,12,108
2019-10-10,13,131
2019-10-10,14,135
2019-10-10,15,136
2019-10-10,16,129
2019-10-10,17,136
2019-10-10,18,115
2019-10-10,19,98
2019-10-10,20,72
2019-10-10,21,55
2019-10-10,22,47
2019-10-10,23,28
2019-10-11,0,15
2019-10-11,1,14
2019-10-11,2,14
2019-10-11,3,7
2019-10-11,4,12
2019-10-11,5,24
2019-10-11,6,64
2019-10-11,7,117
2019-10-11,8,108
2019-10-11,9,114
2019-10-11,10,113
2019-10-11,11,124
2019-10-11,12,134
2019-10-11,13,136
2019-10-11,14,140
2019-10-11,15,127
2019-10-11,16,136
2019-10-11,17,119
2019-10-11,18,123
2019-10-11,19,73
2019-10-11,20,69
2019-10-11,21,59
2019-10-11,22,46
2019-10-11,23,43
2019-10-12,0,38
2019-10-12,1,18
2019-10-12,2,16
2019-10-12,3,12
2019-10-12,4,13
2019-10-12,5,15
2019-10-12,6,28
2019-10-12,7,42
2019-10-12,8,63
2019-10-12,9,69
2019-10-12,10,103
2019-10-12,11,102
2019-10-12,12,118
2019-10-12,13,100
2019-10-12,14,107
2019-10-12,15,132
2019-10-12,16,101
2019-10-12,17,111
2019-10-12,18,87
2019-10-12,19,63
2019-10-12,20,63
2019-10-12,21,59
2019-10-12,22,45
2019-10-12,23,44
2019-10-13,0,37
2019-10-13,1,31
2019-10-13,2,22
2019-10-13,3,19
2019-10-13,4,15
2019-10-13,5,9
2019-10-13,6,29
2019-10-13,7,22
2019-10-13,8,34
2019-10-13,9,68
2019-10-13,10,71
2019-10-13,11,87
2019-10-13,12,82
2019-10-13,13,102
2019-10-13,14,106
2019-10-13,15,114
2019-10-13,16,90
2019-10-13,17,92
2019-10-13,18,61
2019-10-13,19,67
2019-10-13,20,51
2019-10-13,21,49
2019-10-13,22,32
2019-10-13,23,26
2019-10-14,0,11
2019-10-14,1,10
2019-10-14,2,9
2019-10-14,3,9
2019-10-14,4,12
2019-10-14,5,21
2019-10-14,6,78
2019-10-14,7,105
2019-10-14,8,94
2019-10-14,9,116
2019-10-14,10,96
2019-10-14,11,108
2019-10-14,12,117
2019-10-14,13,112
2019-10-14,14,115
2019-10-14,15,117
2019-10-14,16,120
2019-10-14,17,110
2019-10-14,18,93
2019-10-14,19,72
2019-10-14,20,48
2019-10-14,21,50
2019-10-14,22,26
2019-10-14,23,16
2019-10-15,0,10
2019-10-15,1,6
2019-10-15,2,14
2019-10-15,3,10
2019-10-15,4,12
2019-10-15,5,25
2019-10-15,6,86
2019-10-15,7,117
2019-10-15,8,88
2019-10-15,9,98
2019-10-15,10,84
2019-10-15,11,102
2019-10-15,12,111
2019-10-15,13,97
2019-10-15,14,94
2019-10-15,15,115
2019-10-15,16,116
2019-10-15,17,95
2019-10-15,18,84
2019-10-15,19,58
2019-10-15,20,64
2019-10-15,21,43
2019-10-15,22,23
2019-10-15,23,27
2019-10-16,0,11
2019-10-16,1,6
2019-10-16,2,9
2019-10-16,3,6
2019-10-16,4,8
2019-10-16,5,25
2019-10-16,6,75
2019-10-16,7,99
2019-10-16,8,114
2019-10-16,9,104
2019-10-16,10,109
2019-10-16,11,127
2019-10-16,12,102
2019-10-16,13,101
2019-10-16,14,118
2019-10-16,15,101
2019-10-16,16,136
2019-10-16,17,112
2019-10-16,18,92
2019-10-16,19,80
2019-11-20,12,112
2019-11-20,13,132
2019-11-20,14,120
2019-11-20,15,145
2019-11-20,16,132
2019-11-20,17,119
2019-11-20,18,139
2019-11-20,19,125
2019-11-20,20,76
2019-11-20,21,87
2019-11-20,22,63
2019-11-20,23,42
2019-11-21,0,27
2019-11-21,1,15
2019-11-21,2,6
2019-11-21,3,11
2019-11-21,4,10
2019-11-21,5,13
2019-11-21,6,39
2019-11-21,7,89
2019-11-21,8,115
2019-11-21,9,145
2019-11-21,10,108
2019-11-21,11,100
2019-11-21,12,112
2019-11-21,13,117
2019-11-21,14,130
2019-11-21,15,126
2019-11-21,16,145
2019-11-21,17,137
2019-11-21,18,179
2019-11-21,19,104
2019-11-21,20,73
