date,time,flow
2019-10-01,0,84
2019-10-01,1,101
2019-10-01,2,88
2019-10-01,3,57
2019-10-01,4,149
2019-10-01,5,185
2019-10-01,6,224
2019-10-01,7,415
2019-10-01,8,314
2019-10-01,9,277
2019-10-01,10,291
2019-10-01,11,296
2019-10-01,12,340
2019-10-01,13,363
2019-10-01,14,423
2019-10-01,15,443
2019-10-01,16,486
2019-10-01,17,477
2019-10-01,18,371
2019-10-01,19,317
2019-10-01,20,225
2019-10-01,21,172
2019-10-01,22,84
2019-10-01,23,115
2019-10-02,0,119
2019-10-02,1,127
2019-10-02,2,88
2019-10-02,3,114
2019-10-02,4,63
2019-10-02,5,129
2019-10-02,6,202
2019-10-02,7,428
2019-10-02,8,339
2019-10-02,9,304
2019-10-02,10,273
2019-10-02,11,349
2019-10-02,12,353
2019-10-02,13,349
2019-10-02,14,398
2019-10-02,15,453
2019-10-02,16,515
2019-10-02,17,468
2019-10-02,18,332
2019-10-02,19,300
2019-10-02,20,243
2019-10-02,21,212
2019-10-02,22,92
2019-10-02,23,62
2019-10-03,0,120
2019-10-03,1,54
2019-10-03,2,74
2019-10-03,3,136
2019-10-03,4,132
2019-10-03,5,185
2019-10-03,6,255
2019-10-03,7,411
2019-10-03,8,385
2019-10-03,9,286
2019-10-03,10,296
2019-10-03,11,322
2019-10-03,12,349
2019-10-03,13,339
2019-10-03,14,380
2019-10-03,15,495
2019-10-03,16,503
2019-10-03,17,384
2019-10-03,18,287
2019-10-03,19,264
2019-10-03,20,269
2019-10-03,21,203
2019-10-03,22,168
2019-10-03,23,128
2019-10-04,0,136
2019-10-04,1,98
2019-10-04,2,66
2019-10-04,3,97
2019-10-04,4,101
2019-10-04,5,106
2019-10-04,6,234
2019-10-04,7,376
2019-10-04,8,282
2019-10-04,9,242
2019-10-04,10,274
2019-10-04,11,322
2019-10-04,12,388
2019-10-04,13,411
2019-10-04,14,460
2019-10-04,15,520
2019-10-04,16,526
2019-10-04,17,388
2019-10-04,18,309
2019-10-04,19,212
2019-10-04,20,203
2019-10-04,21,199
2019-10-04,22,136
