date,time,flow
2019-10-01,0,9
2019-10-01,1,1
2019-10-01,2,8
2019-10-01,3,7
2019-10-01,4,10
2019-10-01,5,35
2019-10-01,6,83
2019-10-01,7,120
2019-10-01,8,111
2019-10-01,9,90
2019-10-01,10,97
2019-10-01,11,101
2019-10-01,12,120
2019-10-01,13,122
2019-10-01,14,157
2019-10-01,15,203
2019-10-01,16,219
2019-10-01,17,181
2019-10-01,18,104
2019-10-01,19,70
2019-10-01,20,66
2019-10-01,21,44
2019-10-01,22,17
2019-10-01,23,8
2019-10-02,0,5
2019-10-02,1,5
2019-10-02,2,6
2019-10-02,3,2
2019-10-02,4,15
2019-10-02,5,27
2019-10-02,6,71
2019-10-02,7,128
2019-10-02,8,96
2019-10-02,9,90
2019-10-02,10,110
2019-10-02,11,122
2019-10-02,12,110
2019-10-02,13,128
2019-10-02,14,135
2019-10-02,15,174
2019-10-02,16,220
2019-10-02,17,184
2019-10-02,18,89
2019-10-02,19,67
2019-10-02,20,55
2019-10-02,21,42
2019-10-02,22,20
2019-10-02,23,5
2019-10-03,0,5
2019-10-03,1,6
2019-10-03,2,5
2019-10-03,3,4
2019-10-03,4,16
2019-10-03,5,37
2019-10-03,6,62
2019-10-03,7,127
2019-10-03,8,107
2019-10-03,9,112
2019-10-03,10,99
2019-10-03,11,90
2019-10-03,12,117
2019-10-03,13,107
2019-10-03,14,154
2019-10-03,15,170
2019-10-03,16,260
2019-10-03,17,167
2019-10-03,18,98
2019-10-03,19,82
2019-10-03,20,53
2019-10-03,21,65
2019-10-03,22,41
2019-10-03,23,7
2019-10-04,0,7
2019-10-04,1,6
2019-10-04,2,12
2019-10-04,3,4
2019-10-04,4,17
2019-10-04,5,32
2019-10-04,6,67
2019-10-04,7,121
2019-10-04,8,96
2019-10-04,9,108
2019-10-04,10,114
2019-10-04,11,102
2019-10-04,12,111
2019-10-04,13,119
2019-10-04,14,146
2019-10-04,15,195
2019-10-04,16,207
2019-10-04,17,143
2019-10-04,18,97
2019-10-04,19,75
2019-10-04,20,63
2019-10-04,21,45
2019-10-04,22,30
2019-10-04,23,12
2019-10-05,0,17
2019-10-05,1,10
2019-10-05,2,8
2019-10-05,3,4
2019-10-05,4,7
2019-10-05,5,16
2019-10-05,6,26
2019-10-05,7,40
2019-10-05,8,51
2019-10-05,9,71
2019-10-05,10,102
2019-10-05,11,99
2019-10-05,12,124
2019-10-05,13,113
2019-10-05,14,98
2019-10-05,15,88
2019-10-05,16,134
2019-10-05,17,87
2019-10-05,18,67
2019-10-05,19,51
2019-10-05,20,42
2019-10-05,21,35
2019-10-05,22,30
2019-10-05,23,26
2019-10-06,0,16
2019-10-06,1,12
2019-10-06,2,9
2019-10-06,3,6
2019-10-06,4,6
2019-10-06,5,6
2019-10-06,6,15
2019-10-06,7,26
2019-10-06,8,38
2019-10-06,9,51
2019-10-06,10,73
2019-10-06,11,66
2019-10-06,12,105
2019-10-06,13,89
2019-10-06,14,94
2019-10-06,15,85
2019-10-06,16,117
2019-10-06,17,101
2019-10-06,18,69
2019-10-06,19,62
2019-10-06,20,40
2019-10-06,21,22
2019-10-06,22,21
2019-10-06,23,11
2019-10-07,0,10
2019-10-07,1,11
2019-10-07,2,3
2019-10-07,3,5
2019-10-07,4,14
2019-10-07,5,17
2019-10-07,6,48
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,22
2019-10-07,11,88
2019-10-07,12,114
2019-10-07,13,135
2019-10-07,14,125
2019-10-07,15,189
2019-10-07,16,230
2019-10-07,17,186
2019-10-07,18,102
2019-10-07,19,74
2019-10-07,20,51
2019-10-07,21,29
2019-10-07,22,14
2019-10-07,23,7
2019-10-08,0,9
2019-10-08,1,3
2019-10-08,2,5
2019-10-08,3,3
2019-10-08,4,12
2019-10-08,5,27
2019-10-08,6,78
2019-10-08,7,108
2019-10-08,8,91
2019-10-08,9,99
2019-10-08,10,85
2019-10-08,11,123
2019-10-08,12,117
2019-10-08,13,127
2019-10-08,14,146
2019-10-08,15,169
2019-10-08,16,265
2019-10-08,17,190
2019-10-08,18,111
2019-10-08,19,69
2019-10-08,20,68
2019-10-08,21,30
2019-10-08,22,16
2019-10-08,23,9
2019-10-09,0,5
2019-10-09,1,9
2019-10-09,2,7
2019-10-09,3,4
2019-10-09,4,13
2019-10-09,5,31
2019-10-09,6,81
2019-10-09,7,102
2019-10-09,8,108
2019-10-09,9,112
2019-10-09,10,124
2019-10-09,11,111
2019-10-09,12,117
2019-10-09,13,124
2019-10-09,14,144
2019-10-09,15,203
2019-10-09,16,265
2019-10-09,17,173
2019-10-09,18,124
2019-10-09,19,80
2019-10-09,20,57
2019-10-09,21,36
2019-10-09,22,17
2019-10-09,23,11
2019-10-10,0,8
2019-10-10,1,3
2019-10-10,2,5
2019-10-10,3,10
2019-10-10,4,12
2019-10-10,5,28
2019-10-10,6,60
2019-10-10,7,126
2019-10-10,8,105
2019-10-10,9,122
2019-10-10,10,106
2019-10-10,11,98
2019-10-10,12,108
2019-10-10,13,165
2019-10-10,14,147
2019-10-10,15,201
2019-10-10,16,245
2019-10-10,17,198
2019-10-10,18,104
2019-10-10,19,71
2019-10-10,20,56
2019-10-10,21,37
2019-10-10,22,35
2019-10-10,23,10
2019-10-11,0,3
2019-10-11,1,8
2019-10-11,2,7
2019-10-11,3,3
2019-10-11,4,15
2019-10-11,5,28
2019-10-11,6,73
2019-10-11,7,117
2019-10-11,8,84
2019-10-11,9,94
2019-10-11,10,108
2019-10-11,11,116
2019-10-11,12,129
2019-10-11,13,141
2019-10-11,14,156
2019-10-11,15,196
2019-10-11,16,195
2019-10-11,17,146
2019-10-11,18,96
2019-10-11,19,87
2019-10-11,20,47
2019-10-11,21,38
2019-10-11,22,31
2019-10-11,23,22
2019-10-12,0,13
2019-10-12,1,7
2019-10-12,2,9
2019-10-12,3,7
2019-10-12,4,8
2019-10-12,5,17
2019-10-12,6,17
2019-10-12,7,41
2019-10-12,8,52
2019-10-12,9,77
2019-10-12,10,103
2019-10-12,11,114
2019-10-12,12,115
2019-10-12,13,114
2019-10-12,14,111
2019-10-12,15,83
2019-10-12,16,89
2019-10-12,17,84
2019-10-12,18,77
2019-10-12,19,58
2019-10-12,20,43
2019-10-12,21,37
2019-10-12,22,31
2019-10-12,23,26
2019-10-13,0,22
2019-10-13,1,9
2019-10-13,2,9
2019-10-13,3,6
2019-10-13,4,6
2019-10-13,5,13
2019-10-13,6,17
2019-10-13,7,37
2019-10-13,8,33
2019-10-13,9,40
2019-10-13,10,57
2019-10-13,11,70
2019-10-13,12,89
2019-10-13,13,87
2019-10-13,14,87
2019-10-13,15,88
2019-10-13,16,80
2019-10-13,17,79
2019-10-13,18,52
2019-10-13,19,52
2019-10-13,20,33
2019-10-13,21,23
2019-10-13,22,15
2019-10-13,23,6
2019-10-14,0,12
2019-10-14,1,4
2019-10-14,2,6
2019-10-14,3,6
2019-10-14,4,11
2019-10-14,5,22
2019-10-14,6,64
2019-10-14,7,103
2019-10-14,8,83
2019-10-14,9,107
2019-10-14,10,103
2019-10-14,11,101
2019-10-14,12,104
2019-10-14,13,125
2019-10-14,14,103
2019-10-14,15,151
2019-10-14,16,214
2019-10-14,17,153
2019-10-14,18,75
2019-10-14,19,67
2019-10-14,20,48
2019-10-14,21,34
2019-10-14,22,20
2019-10-14,23,6
2019-10-15,0,4
2019-10-15,1,4
2019-10-15,2,6
2019-10-15,3,8
2019-10-15,4,13
2019-10-15,5,32
2019-10-15,6,58
2019-10-15,7,83
2019-10-15,8,92
2019-10-15,9,117
2019-10-15,10,92
2019-10-15,11,94
2019-10-15,12,115
2019-10-15,13,123
2019-10-15,14,113
2019-10-15,15,155
2019-10-15,16,214
2019-10-15,17,119
2019-10-15,18,90
2019-10-15,19,51
2019-10-15,20,55
2019-10-15,21,30
2019-10-15,22,23
2019-10-15,23,9
2019-10-16,0,5
2019-10-16,1,11
2019-10-16,2,2
2019-10-16,3,4
2019-10-16,4,10
2019-10-16,5,24
2019-10-16,6,68
2019-10-16,7,94
2019-10-16,8,80
2019-10-16,9,101
2019-10-16,10,111
2019-10-16,11,116
2019-10-16,12,126
2019-10-16,13,116
2019-10-16,14,131
2019-10-16,15,175
2019-10-16,16,201
2019-10-16,17,148
2019-10-16,18,100
2019-10-16,19,80
2019-11-20,12,148
2019-11-20,13,119
2019-11-20,14,154
2019-11-20,15,145
2019-11-20,16,201
2019-11-20,17,283
2019-11-20,18,187
2019-11-20,19,96
2019-11-20,20,75
2019-11-20,21,48
2019-11-20,22,32
2019-11-20,23,13
2019-11-21,0,10
2019-11-21,1,7
2019-11-21,2,3
2019-11-21,3,8
2019-11-21,4,5
2019-11-21,5,16
2019-11-21,6,28
2019-11-21,7,62
2019-11-21,8,131
2019-11-21,9,118
2019-11-21,10,130
2019-11-21,11,108
2019-11-21,12,109
2019-11-21,13,127
2019-11-21,14,137
2019-11-21,15,144
2019-11-21,16,197
2019-11-21,17,268
2019-11-21,18,180
