date,time,flow
2019-10-01,0,17
2019-10-01,1,11
2019-10-01,2,5
2019-10-01,3,10
2019-10-01,4,26
2019-10-01,5,68
2019-10-01,6,181
2019-10-01,7,228
2019-10-01,8,162
2019-10-01,9,145
2019-10-01,10,129
2019-10-01,11,150
2019-10-01,12,157
2019-10-01,13,151
2019-10-01,14,142
2019-10-01,15,154
2019-10-01,16,146
2019-10-01,17,133
2019-10-01,18,137
2019-10-01,19,104
2019-10-01,20,100
2019-10-01,21,63
2019-10-01,22,25
2019-10-01,23,19
2019-10-02,0,16
2019-10-02,1,8
2019-10-02,2,11
2019-10-02,3,17
2019-10-02,4,19
2019-10-02,5,83
2019-10-02,6,173
2019-10-02,7,222
2019-10-02,8,192
2019-10-02,9,141
2019-10-02,10,134
2019-10-02,11,147
2019-10-02,12,149
2019-10-02,13,146
2019-10-02,14,137
2019-10-02,15,165
2019-10-02,16,149
2019-10-02,17,142
2019-10-02,18,130
2019-10-02,19,122
2019-10-02,20,67
2019-10-02,21,62
2019-10-02,22,45
2019-10-02,23,25
2019-10-03,0,11
2019-10-03,1,12
2019-10-03,2,10
2019-10-03,3,12
2019-10-03,4,28
2019-10-03,5,80
2019-10-03,6,167
2019-10-03,7,235
2019-10-03,8,196
2019-10-03,9,146
2019-10-03,10,145
2019-10-03,11,145
2019-10-03,12,147
2019-10-03,13,143
2019-10-03,14,159
2019-10-03,15,160
2019-10-03,16,152
2019-10-03,17,146
2019-10-03,18,140
2019-10-03,19,109
2019-10-03,20,76
2019-10-03,21,67
2019-10-03,22,40
2019-10-03,23,27
2019-10-04,0,18
2019-10-04,1,11
2019-10-04,2,10
2019-10-04,3,18
2019-10-04,4,24
2019-10-04,5,84
2019-10-04,6,177
2019-10-04,7,240
2019-10-04,8,166
2019-10-04,9,127
2019-10-04,10,169
2019-10-04,11,164
2019-10-04,12,146
2019-10-04,13,149
2019-10-04,14,145
2019-10-04,15,151
2019-10-04,16,143
2019-10-04,17,153
2019-10-04,18,139
2019-10-04,19,112
2019-10-04,20,84
2019-10-04,21,77
2019-10-04,22,49
2019-10-04,23,50
2019-10-05,0,40
2019-10-05,1,20
2019-10-05,2,16
2019-10-05,3,18
2019-10-05,4,18
2019-10-05,5,42
2019-10-05,6,61
2019-10-05,7,111
2019-10-05,8,114
2019-10-05,9,154
2019-10-05,10,147
2019-10-05,11,155
2019-10-05,12,165
2019-10-05,13,158
2019-10-05,14,143
2019-10-05,15,151
2019-10-05,16,132
2019-10-05,17,114
2019-10-05,18,114
2019-10-05,19,116
2019-10-05,20,81
2019-10-05,21,47
2019-10-05,22,67
2019-10-05,23,51
2019-10-06,0,32
2019-10-06,1,39
2019-10-06,2,27
2019-10-06,3,18
2019-10-06,4,16
2019-10-06,5,24
2019-10-06,6,58
2019-10-06,7,57
2019-10-06,8,87
2019-10-06,9,105
2019-10-06,10,119
2019-10-06,11,146
2019-10-06,12,148
2019-10-06,13,145
2019-10-06,14,141
2019-10-06,15,135
2019-10-06,16,118
2019-10-06,17,105
2019-10-06,18,110
2019-10-06,19,99
2019-10-06,20,75
2019-10-06,21,46
2019-10-06,22,31
2019-10-06,23,27
2019-10-07,0,13
2019-10-07,1,11
2019-10-07,2,11
2019-10-07,3,19
2019-10-07,4,31
2019-10-07,5,71
2019-10-07,6,122
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,34
2019-10-07,11,163
2019-10-07,12,159
2019-10-07,13,143
2019-10-07,14,142
2019-10-07,15,149
2019-10-07,16,133
2019-10-07,17,136
2019-10-07,18,114
2019-10-07,19,104
2019-10-07,20,72
2019-10-07,21,45
2019-10-07,22,35
2019-10-07,23,23
2019-10-08,0,11
2019-10-08,1,10
2019-10-08,2,11
2019-10-08,3,18
2019-10-08,4,33
2019-10-08,5,84
2019-10-08,6,188
2019-10-08,7,221
2019-10-08,8,184
2019-10-08,9,138
2019-10-08,10,154
2019-10-08,11,139
2019-10-08,12,141
2019-10-08,13,155
2019-10-08,14,145
2019-10-08,15,145
2019-10-08,16,144
