date,time,flow
2019-10-01,0,2
2019-10-01,1,0
2019-10-01,2,2
2019-10-01,3,7
2019-10-01,4,10
2019-10-01,5,22
2019-10-01,6,80
2019-10-01,7,133
2019-10-01,8,83
2019-10-01,9,52
2019-10-01,10,78
2019-10-01,11,72
2019-10-01,12,83
2019-10-01,13,68
2019-10-01,14,106
2019-10-01,15,70
2019-10-01,16,99
2019-10-01,17,71
2019-10-01,18,80
2019-10-01,19,45
2019-10-01,20,37
2019-10-01,21,26
2019-10-01,22,5
2019-10-01,23,6
2019-10-02,0,3
2019-10-02,1,1
2019-10-02,2,3
2019-10-02,3,3
2019-10-02,4,11
2019-10-02,5,24
2019-10-02,6,81
2019-10-02,7,128
2019-10-02,8,98
2019-10-02,9,63
2019-10-02,10,74
2019-10-02,11,72
2019-10-02,12,58
2019-10-02,13,75
2019-10-02,14,99
2019-10-02,15,81
2019-10-02,16,70
2019-10-02,17,74
2019-10-02,18,63
2019-10-02,19,37
2019-10-02,20,35
2019-10-02,21,16
2019-10-02,22,13
2019-10-02,23,7
2019-10-03,0,5
2019-10-03,1,1
2019-10-03,2,2
2019-10-03,3,3
2019-10-03,4,8
2019-10-03,5,29
2019-10-03,6,84
2019-10-03,7,122
2019-10-03,8,183
2019-10-03,9,77
2019-10-03,10,71
2019-10-03,11,63
2019-10-03,12,66
2019-10-03,13,71
2019-10-03,14,102
2019-10-03,15,94
2019-10-03,16,90
2019-10-03,17,116
2019-10-03,18,91
2019-10-03,19,47
2019-10-03,20,33
2019-10-03,21,24
2019-10-03,22,14
2019-10-03,23,9
2019-10-04,0,4
2019-10-04,1,3
2019-10-04,2,3
2019-10-04,3,5
2019-10-04,4,10
2019-10-04,5,18
2019-10-04,6,82
2019-10-04,7,144
2019-10-04,8,107
2019-10-04,9,79
2019-10-04,10,77
2019-10-04,11,96
2019-10-04,12,71
2019-10-04,13,80
2019-10-04,14,118
2019-10-04,15,85
2019-10-04,16,80
2019-10-04,17,76
2019-10-04,18,64
2019-10-04,19,50
2019-10-04,20,48
2019-10-04,21,26
2019-10-04,22,20
2019-10-04,23,14
2019-10-05,0,8
2019-10-05,1,3
2019-10-05,2,8
2019-10-05,3,4
2019-10-05,4,5
2019-10-05,5,12
2019-10-05,6,26
2019-10-05,7,32
2019-10-05,8,52
2019-10-05,9,76
2019-10-05,10,73
2019-10-05,11,72
2019-10-05,12,76
2019-10-05,13,77
2019-10-05,14,70
2019-10-05,15,61
2019-10-05,16,75
2019-10-05,17,61
2019-10-05,18,53
2019-10-05,19,33
2019-10-05,20,29
2019-10-05,21,23
2019-10-05,22,22
2019-10-05,23,18
2019-10-06,0,8
2019-10-06,1,9
2019-10-06,2,1
2019-10-06,3,5
2019-10-06,4,5
2019-10-06,5,9
2019-10-06,6,13
2019-10-06,7,20
2019-10-06,8,21
2019-10-06,9,45
2019-10-06,10,64
2019-10-06,11,59
2019-10-06,12,59
2019-10-06,13,64
2019-10-06,14,61
2019-10-06,15,60
2019-10-06,16,51
2019-10-06,17,52
2019-10-06,18,57
2019-10-06,19,37
2019-10-06,20,38
2019-10-06,21,21
2019-10-06,22,14
2019-10-06,23,6
2019-10-07,0,3
2019-10-07,1,1
2019-10-07,2,2
2019-10-07,3,3
2019-10-07,4,10
2019-10-07,5,21
2019-10-07,6,67
2019-10-07,7,122
2019-10-07,8,93
2019-10-07,9,62
2019-10-07,10,45
2019-10-07,11,71
2019-10-07,12,77
2019-10-07,13,73
2019-10-07,14,106
2019-10-07,15,75
2019-10-07,16,77
2019-10-07,17,67
2019-10-07,18,53
2019-10-07,19,31
2019-10-07,20,36
2019-10-07,21,14
2019-10-07,22,6
2019-10-07,23,3
2019-10-08,0,3
2019-10-08,1,2
2019-10-08,2,4
2019-10-08,3,2
2019-10-08,4,8
2019-10-08,5,25
2019-10-08,6,92
2019-10-08,7,121
2019-10-08,8,112
2019-10-08,9,59
2019-10-08,10,75
2019-10-08,11,69
2019-10-08,12,69
2019-10-08,13,67
2019-10-08,14,100
2019-10-08,15,70
2019-10-08,16,83
2019-10-08,17,92
2019-10-08,18,65
2019-10-08,19,62
2019-10-08,20,38
2019-10-08,21,20
2019-10-08,22,9
2019-10-08,23,2
2019-10-09,0,3
2019-10-09,1,1
2019-10-09,2,1
2019-10-09,3,3
2019-10-09,4,5
2019-10-09,5,20
2019-10-09,6,80
2019-10-09,7,159
2019-10-09,8,109
2019-10-09,9,67
2019-10-09,10,73
2019-10-09,11,53
2019-10-09,12,65
2019-10-09,13,67
2019-10-09,14,96
2019-10-09,15,85
2019-10-09,16,105
2019-10-09,17,80
2019-10-09,18,81
2019-10-09,19,34
2019-10-09,20,39
2019-10-09,21,27
2019-10-09,22,11
2019-10-09,23,4
2019-10-10,0,4
2019-10-10,1,1
2019-10-10,2,5
2019-10-10,3,6
2019-10-10,4,9
2019-10-10,5,28
2019-10-10,6,81
2019-10-10,7,102
2019-10-10,8,115
2019-10-10,9,79
2019-10-10,10,67
2019-10-10,11,72
2019-10-10,12,80
2019-10-10,13,67
2019-10-10,14,99
2019-10-10,15,102
2019-10-10,16,85
2019-10-10,17,77
2019-10-10,18,87
2019-10-10,19,53
2019-10-10,20,40
2019-10-10,21,23
2019-10-10,22,21
2019-10-10,23,3
2019-10-11,0,3
2019-10-11,1,4
2019-10-11,2,3
2019-10-11,3,6
2019-10-11,4,7
2019-10-11,5,21
2019-10-11,6,77
2019-10-11,7,131
2019-10-11,8,91
2019-10-11,9,61
2019-10-11,10,74
2019-10-11,11,69
2019-10-11,12,75
2019-10-11,13,77
2019-10-11,14,105
2019-10-11,15,89
2019-10-11,16,67
2019-10-11,17,93
2019-10-11,18,86
2019-10-11,19,54
2019-10-11,20,53
2019-10-11,21,27
2019-10-11,22,14
2019-10-11,23,9
2019-10-12,0,9
2019-10-12,1,14
2019-10-12,2,19
2019-10-12,3,8
