date,time,flow
2019-10-01,0,18
2019-10-01,1,6
2019-10-01,2,6
2019-10-01,3,9
2019-10-01,4,7
2019-10-01,5,45
2019-10-01,6,64
2019-10-01,7,88
2019-10-01,8,123
2019-10-01,9,123
2019-10-01,10,105
2019-10-01,11,140
2019-10-01,12,138
2019-10-01,13,139
2019-10-01,14,146
2019-10-01,15,186
2019-10-01,16,183
2019-10-01,17,158
2019-10-01,18,113
2019-10-01,19,116
2019-10-01,20,84
2019-10-01,21,78
2019-10-01,22,51
2019-10-01,23,32
2019-10-02,0,17
2019-10-02,1,10
2019-10-02,2,12
2019-10-02,3,12
2019-10-02,4,20
2019-10-02,5,30
2019-10-02,6,50
2019-10-02,7,80
2019-10-02,8,124
2019-10-02,9,121
2019-10-02,10,114
2019-10-02,11,144
2019-10-02,12,140
2019-10-02,13,143
2019-10-02,14,145
2019-10-02,15,154
2019-10-02,16,218
2019-10-02,17,152
2019-10-02,18,124
2019-10-02,19,103
2019-10-02,20,94
2019-10-02,21,91
2019-10-02,22,62
2019-10-02,23,40
2019-10-03,0,18
2019-10-03,1,15
2019-10-03,2,16
2019-10-03,3,9
2019-10-03,4,20
2019-10-03,5,38
2019-10-03,6,62
2019-10-03,7,94
2019-10-03,8,126
2019-10-03,9,114
2019-10-03,10,115
2019-10-03,11,125
2019-10-03,12,124
2019-10-03,13,150
2019-10-03,14,144
2019-10-03,15,171
2019-10-03,16,213
2019-10-03,17,205
2019-10-03,18,248
2019-10-03,19,96
2019-10-03,20,76
2019-10-03,21,80
2019-10-03,22,77
2019-10-03,23,46
2019-10-04,0,20
2019-10-04,1,17
2019-10-04,2,16
2019-10-04,3,10
2019-10-04,4,20
2019-10-04,5,31
2019-10-04,6,72
2019-10-04,7,97
2019-10-04,8,108
2019-10-04,9,127
2019-10-04,10,153
2019-10-04,11,126
2019-10-04,12,145
2019-10-04,13,149
2019-10-04,14,166
2019-10-04,15,181
2019-10-04,16,179
2019-10-04,17,156
2019-10-04,18,115
2019-10-04,19,112
2019-10-04,20,79
2019-10-04,21,73
2019-10-04,22,69
2019-10-04,23,61
2019-10-05,0,63
2019-10-05,1,53
2019-10-05,2,37
2019-10-05,3,27
2019-10-05,4,16
2019-10-05,5,18
2019-10-05,6,30
2019-10-05,7,59
2019-10-05,8,65
2019-10-05,9,73
2019-10-05,10,100
2019-10-05,11,104
2019-10-05,12,129
2019-10-05,13,135
2019-10-05,14,119
2019-10-05,15,119
2019-10-05,16,106
2019-10-05,17,123
2019-10-05,18,105
2019-10-05,19,92
2019-10-05,20,69
2019-10-05,21,73
2019-10-05,22,63
2019-10-05,23,66
2019-10-06,0,42
2019-10-06,1,62
2019-10-06,2,39
2019-10-06,3,26
2019-10-06,4,16
2019-10-06,5,16
2019-10-06,6,25
2019-10-06,7,25
2019-10-06,8,43
2019-10-06,9,60
2019-10-06,10,77
2019-10-06,11,69
2019-10-06,12,103
2019-10-06,13,108
2019-10-06,14,94
2019-10-06,15,91
2019-10-06,16,119
2019-10-06,17,94
2019-10-06,18,78
2019-10-06,19,73
2019-10-06,20,64
2019-10-06,21,40
2019-10-06,22,39
2019-10-06,23,33
2019-10-07,0,18
2019-10-07,1,7
2019-10-07,2,10
2019-10-07,3,11
2019-10-07,4,9
2019-10-07,5,29
2019-10-07,6,62
2019-10-07,7,90
2019-10-07,8,114
2019-10-07,9,110
2019-10-07,10,91
2019-10-07,11,135
2019-10-07,12,118
2019-10-07,13,126
2019-10-07,14,137
2019-10-07,15,168
2019-10-07,16,173
2019-10-07,17,152
2019-10-07,18,117
2019-10-07,19,71
2019-10-07,20,70
2019-10-07,21,39
2019-10-07,22,26
2019-10-07,23,24
2019-10-08,0,17
2019-10-08,1,11
2019-10-08,2,4
2019-10-08,3,10
2019-10-08,4,23
2019-10-08,5,34
2019-10-08,6,69
2019-10-08,7,91
2019-10-08,8,111
2019-10-08,9,118
2019-10-08,10,137
2019-10-08,11,125
2019-10-08,12,129
2019-10-08,13,116
2019-10-08,14,127
2019-10-08,15,178
2019-10-08,16,208
2019-10-08,17,148
2019-10-08,18,119
2019-10-08,19,98
2019-10-08,20,65
2019-10-08,21,60
2019-10-08,22,31
2019-10-08,23,29
2019-10-09,0,22
2019-10-09,1,5
2019-10-09,2,10
2019-10-09,3,13
2019-10-09,4,23
2019-10-09,5,43
2019-10-09,6,74
2019-10-09,7,117
2019-10-09,8,112
2019-10-09,9,152
2019-10-09,10,123
2019-10-09,11,154
2019-10-09,12,146
2019-10-09,13,143
2019-10-09,14,137
2019-10-09,15,175
2019-10-09,16,158
2019-10-09,17,140
2019-10-09,18,140
2019-10-09,19,113
2019-10-09,20,71
2019-10-09,21,47
2019-10-09,22,38
2019-10-09,23,27
2019-10-10,0,22
2019-10-10,1,13
2019-10-10,2,15
2019-10-10,3,16
2019-10-10,4,18
2019-10-10,5,36
2019-10-10,6,64
2019-10-10,7,122
2019-10-10,8,116
2019-10-10,9,119
2019-10-10,10,133
2019-10-10,11,154
2019-10-10,12,120
2019-10-10,13,157
2019-10-10,14,163
2019-10-10,15,171
2019-10-10,16,187
2019-10-10,17,129
2019-10-10,18,119
