date,time,flow
2019-10-01,0,14
2019-10-01,1,2
2019-10-01,2,6
2019-10-01,3,4
2019-10-01,4,9
2019-10-01,5,23
2019-10-01,6,43
2019-10-01,7,90
2019-10-01,8,112
2019-10-01,9,124
2019-10-01,10,109
2019-10-01,11,138
2019-10-01,12,147
2019-10-01,13,124
2019-10-01,14,116
2019-10-01,15,166
2019-10-01,16,170
2019-10-01,17,154
2019-10-01,18,116
2019-10-01,19,81
2019-10-01,20,70
2019-10-01,21,51
2019-10-01,22,46
2019-10-01,23,27
2019-10-02,0,17
2019-10-02,1,10
2019-10-02,2,7
2019-10-02,3,8
2019-10-02,4,13
2019-10-02,5,24
2019-10-02,6,42
2019-10-02,7,82
2019-10-02,8,124
2019-10-02,9,103
2019-10-02,10,133
2019-10-02,11,117
2019-10-02,12,114
2019-10-02,13,121
2019-10-02,14,134
2019-10-02,15,169
2019-10-02,16,172
2019-10-02,17,144
2019-10-02,18,124
2019-10-02,19,93
2019-10-02,20,90
2019-10-02,21,91
2019-10-02,22,58
2019-10-02,23,35
2019-10-03,0,19
2019-10-03,1,13
2019-10-03,2,10
2019-10-03,3,8
2019-10-03,4,22
2019-10-03,5,27
2019-10-03,6,60
2019-10-03,7,103
2019-10-03,8,99
2019-10-03,9,111
2019-10-03,10,121
2019-10-03,11,127
2019-10-03,12,129
2019-10-03,13,147
2019-10-03,14,165
2019-10-03,15,148
2019-10-03,16,254
2019-10-03,17,196
2019-10-03,18,156
2019-10-03,19,105
2019-10-03,20,79
2019-10-03,21,96
2019-10-03,22,87
2019-10-03,23,55
2019-10-04,0,28
2019-10-04,1,15
2019-10-04,2,11
2019-10-04,3,10
2019-10-04,4,19
2019-10-04,5,24
2019-10-04,6,54
2019-10-04,7,78
2019-10-04,8,91
2019-10-04,9,140
2019-10-04,10,135
2019-10-04,11,133
2019-10-04,12,177
2019-10-04,13,153
2019-10-04,14,140
2019-10-04,15,154
2019-10-04,16,189
2019-10-04,17,162
2019-10-04,18,141
2019-10-04,19,117
2019-10-04,20,71
2019-10-04,21,83
2019-10-04,22,68
2019-10-04,23,50
2019-10-05,0,44
2019-10-05,1,43
2019-10-05,2,34
2019-10-05,3,25
2019-10-05,4,13
2019-10-05,5,18
2019-10-05,6,25
2019-10-05,7,43
2019-10-05,8,71
2019-10-05,9,73
2019-10-05,10,102
2019-10-05,11,120
2019-10-05,12,147
2019-10-05,13,126
2019-10-05,14,137
2019-10-05,15,152
2019-10-05,16,129
2019-10-05,17,134
2019-10-05,18,114
2019-10-05,19,89
2019-10-05,20,74
2019-10-05,21,73
2019-10-05,22,68
2019-10-05,23,63
2019-10-06,0,41
2019-10-06,1,43
2019-10-06,2,31
2019-10-06,3,21
2019-10-06,4,17
2019-10-06,5,15
2019-10-06,6,27
2019-10-06,7,22
2019-10-06,8,29
2019-10-06,9,73
2019-10-06,10,75
2019-10-06,11,87
2019-10-06,12,86
2019-10-06,13,94
2019-10-06,14,111
2019-10-06,15,84
2019-10-06,16,137
2019-10-06,17,111
2019-10-06,18,96
2019-10-06,19,73
2019-10-06,20,60
2019-10-06,21,59
2019-10-06,22,39
2019-10-06,23,26
2019-10-07,0,17
2019-10-07,1,5
2019-10-07,2,11
2019-10-07,3,9
2019-10-07,4,7
2019-10-07,5,16
2019-10-07,6,45
2019-10-07,7,87
2019-10-07,8,100
2019-10-07,9,104
2019-10-07,10,82
2019-10-07,11,153
2019-10-07,12,124
2019-10-07,13,121
2019-10-07,14,110
2019-10-07,15,128
2019-10-07,16,161
2019-10-07,17,134
2019-10-07,18,98
2019-10-07,19,78
2019-10-07,20,58
2019-10-07,21,40
2019-10-07,22,30
2019-10-07,23,25
2019-10-08,0,13
2019-10-08,1,8
2019-10-08,2,6
2019-10-08,3,3
2019-10-08,4,20
2019-10-08,5,25
2019-10-08,6,47
2019-10-08,7,96
2019-10-08,8,122
2019-10-08,9,114
2019-10-08,10,117
2019-10-08,11,132
2019-10-08,12,131
2019-10-08,13,136
2019-10-08,14,125
2019-10-08,15,148
2019-10-08,16,184
2019-10-08,17,158
2019-10-08,18,112
2019-10-08,19,95
2019-10-08,20,73
2019-10-08,21,52
2019-10-08,22,33
2019-10-08,23,27
2019-10-09,0,17
2019-10-09,1,8
2019-10-09,2,6
2019-10-09,3,5
2019-10-09,4,16
2019-10-09,5,25
2019-10-09,6,54
2019-10-09,7,97
2019-10-09,8,104
2019-10-09,9,112
2019-10-09,10,130
2019-10-09,11,127
2019-10-09,12,157
2019-10-09,13,128
2019-10-09,14,141
2019-10-09,15,138
2019-10-09,16,173
2019-10-09,17,163
2019-10-09,18,124
2019-10-09,19,95
2019-10-09,20,76
2019-10-09,21,45
