date,time,flow
2019-10-01,0,8
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,4
2019-10-01,4,12
2019-10-01,5,17
2019-10-01,6,48
2019-10-01,7,48
2019-10-01,8,62
2019-10-01,9,79
2019-10-01,10,84
2019-10-01,11,114
2019-10-01,12,79
2019-10-01,13,48
2019-10-01,14,31
2019-10-01,15,48
2019-10-01,16,113
2019-10-01,17,57
2019-10-01,18,62
2019-10-01,19,61
2019-10-01,20,39
2019-10-01,21,22
2019-10-01,22,16
2019-10-01,23,21
2019-10-02,0,16
2019-10-02,1,8
2019-10-02,2,21
2019-10-02,3,16
2019-10-02,4,21
2019-10-02,5,21
2019-10-02,6,26
2019-10-02,7,57
2019-10-02,8,88
2019-10-02,9,75
2019-10-02,10,71
2019-10-02,11,93
2019-10-02,12,80
2019-10-02,13,18
2019-10-02,14,26
2019-10-02,15,8
2019-10-02,16,31
2019-10-02,17,97
2019-10-02,18,26
2019-10-02,19,31
2019-10-02,20,25
2019-10-02,21,26
2019-10-02,22,21
2019-10-02,23,4
2019-10-03,0,0
2019-10-03,1,4
2019-10-03,2,0
2019-10-03,3,4
2019-10-03,4,0
2019-10-03,5,8
2019-10-03,6,44
2019-10-03,7,36
2019-10-03,8,40
2019-10-03,9,65
2019-10-03,10,39
2019-10-03,11,16
2019-10-03,12,34
2019-10-03,13,39
2019-10-03,14,16
2019-10-03,15,35
2019-10-03,16,30
2019-10-03,17,39
2019-10-03,18,34
2019-10-03,19,16
2019-10-03,20,16
2019-10-03,21,22
2019-10-03,22,21
2019-10-03,23,17
2019-10-04,0,16
2019-10-04,1,16
2019-10-04,2,16
2019-10-04,3,12
2019-10-04,4,12
2019-10-04,5,16
2019-10-04,6,39
2019-10-04,7,36
2019-10-04,8,35
2019-10-04,9,44
2019-10-04,10,61
2019-10-04,11,34
2019-10-04,12,119
2019-10-04,13,121
2019-10-04,14,133
2019-10-04,15,79
2019-10-04,16,49
2019-10-04,17,26
2019-10-04,18,18
2019-10-04,19,26
2019-10-04,20,43
2019-10-04,21,21
2019-10-04,22,21
2019-10-04,23,8
2019-10-05,0,16
2019-10-05,1,12
2019-10-05,2,8
2019-10-05,3,0
2019-10-05,4,0
2019-10-05,5,0
2019-10-05,6,16
2019-10-05,7,21
2019-10-05,8,16
2019-10-05,9,16
2019-10-05,10,139
2019-10-05,11,105
2019-10-05,12,85
2019-10-05,13,26
2019-10-05,14,12
2019-10-05,15,57
2019-10-05,16,52
2019-10-05,17,35
2019-10-05,18,4
2019-10-05,19,16
2019-10-05,20,21
2019-10-05,21,16
2019-10-05,22,21
2019-10-05,23,12
2019-10-06,0,4
2019-10-06,1,8
2019-10-06,2,8
2019-10-06,3,12
2019-10-06,4,0
2019-10-06,5,4
2019-10-06,6,12
2019-10-06,7,16
2019-10-06,8,17
2019-10-06,9,40
2019-10-06,10,101
2019-10-06,11,27
2019-10-06,12,26
2019-10-06,13,63
2019-10-06,14,0
2019-10-06,15,0
2019-10-06,16,0
2019-10-06,17,0
2019-10-06,18,4
2019-10-06,19,4
2019-10-06,20,68
2019-10-06,21,18
2019-10-06,22,13
2019-10-06,23,4
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,4
2019-10-07,4,8
2019-10-07,5,18
2019-10-07,6,34
2019-10-07,7,44
2019-10-07,8,48
2019-10-07,9,17
2019-10-07,10,17
2019-10-07,11,44
2019-10-07,12,34
2019-10-07,13,40
2019-10-07,14,83
2019-10-07,15,36
2019-10-07,16,26
2019-10-07,17,12
2019-10-07,18,13
2019-10-07,19,0
2019-10-07,20,0
2019-10-07,21,0
2019-10-07,22,8
2019-10-07,23,4
2019-10-08,0,4
2019-10-08,1,0
2019-10-08,2,4
2019-10-08,3,4
2019-10-08,4,0
2019-10-08,5,13
2019-10-08,6,48
2019-10-08,7,44
