date,time,flow
2019-10-01,0,11
2019-10-01,1,11
2019-10-01,2,4
2019-10-01,3,9
2019-10-01,4,7
2019-10-01,5,34
2019-10-01,6,49
2019-10-01,7,85
2019-10-01,8,126
2019-10-01,9,134
2019-10-01,10,163
2019-10-01,11,166
2019-10-01,12,165
2019-10-01,13,161
2019-10-01,14,182
2019-10-01,15,178
2019-10-01,16,187
2019-10-01,17,129
2019-10-01,18,94
2019-10-01,19,81
2019-10-01,20,74
2019-10-01,21,45
2019-10-01,22,21
2019-10-01,23,19
2019-10-02,0,29
2019-10-02,1,5
2019-10-02,2,4
2019-10-02,3,6
2019-10-02,4,7
2019-10-02,5,29
2019-10-02,6,56
2019-10-02,7,85
2019-10-02,8,132
2019-10-02,9,150
2019-10-02,10,147
2019-10-02,11,176
2019-10-02,12,159
2019-10-02,13,166
2019-10-02,14,197
2019-10-02,15,209
2019-10-02,16,194
2019-10-02,17,145
2019-10-02,18,88
2019-10-02,19,73
2019-10-02,20,67
2019-10-02,21,40
2019-10-02,22,35
2019-10-02,23,21
2019-10-03,0,24
2019-10-03,1,7
2019-10-03,2,8
2019-10-03,3,7
2019-10-03,4,7
2019-10-03,5,24
2019-10-03,6,69
2019-10-03,7,90
2019-10-03,8,147
2019-10-03,9,145
2019-10-03,10,167
2019-10-03,11,211
2019-10-03,12,227
2019-10-03,13,186
2019-10-03,14,168
2019-10-03,15,224
2019-10-03,16,193
2019-10-03,17,215
2019-10-03,18,96
2019-10-03,19,77
2019-10-03,20,76
2019-10-03,21,82
2019-10-03,22,50
2019-10-03,23,26
2019-10-04,0,14
2019-10-04,1,9
2019-10-04,2,7
2019-10-04,3,11
2019-10-04,4,9
2019-10-04,5,33
2019-10-04,6,72
2019-10-04,7,77
2019-10-04,8,132
2019-10-04,9,180
2019-10-04,10,163
2019-10-04,11,252
2019-10-04,12,233
2019-10-04,13,237
2019-10-04,14,222
2019-10-04,15,233
2019-10-04,16,171
2019-10-04,17,149
2019-10-04,18,125
2019-10-04,19,103
2019-10-04,20,79
2019-10-04,21,52
2019-10-04,22,51
2019-10-04,23,33
2019-10-05,0,38
2019-10-05,1,16
2019-10-05,2,12
2019-10-05,3,8
2019-10-05,4,6
2019-10-05,5,20
2019-10-05,6,22
2019-10-05,7,59
2019-10-05,8,110
2019-10-05,9,132
2019-10-05,10,167
2019-10-05,11,198
2019-10-05,12,223
2019-10-05,13,220
2019-10-05,14,193
2019-10-05,15,181
2019-10-05,16,133
2019-10-05,17,123
2019-10-05,18,103
2019-10-05,19,78
2019-10-05,20,69
2019-10-05,21,59
2019-10-05,22,41
2019-10-05,23,37
2019-10-06,0,34
2019-10-06,1,31
2019-10-06,2,20
2019-10-06,3,13
2019-10-06,4,8
2019-10-06,5,11
2019-10-06,6,10
2019-10-06,7,20
2019-10-06,8,35
2019-10-06,9,111
2019-10-06,10,127
2019-10-06,11,163
2019-10-06,12,168
2019-10-06,13,156
2019-10-06,14,141
2019-10-06,15,127
2019-10-06,16,108
2019-10-06,17,133
2019-10-06,18,85
2019-10-06,19,66
2019-10-06,20,48
2019-10-06,21,50
2019-10-06,22,22
2019-10-06,23,20
2019-10-07,0,6
2019-10-07,1,4
2019-10-07,2,11
2019-10-07,3,7
2019-10-07,4,7
2019-10-07,5,21
2019-10-07,6,62
2019-10-07,7,71
2019-10-07,8,118
2019-10-07,9,128
2019-10-07,10,104
2019-10-07,11,164
2019-10-07,12,161
2019-10-07,13,151
2019-10-07,14,174
2019-10-07,15,191
2019-10-07,16,171
2019-10-07,17,125
2019-10-07,18,92
2019-10-07,19,72
2019-10-07,20,64
2019-10-07,21,41
2019-10-07,22,20
2019-10-07,23,16
2019-10-08,0,11
2019-10-08,1,7
2019-10-08,2,4
2019-10-08,3,12
2019-10-08,4,14
2019-10-08,5,32
2019-10-08,6,62
2019-10-08,7,73
2019-10-08,8,125
2019-10-08,9,132
2019-10-08,10,151
2019-10-08,11,153
2019-10-08,12,148
2019-10-08,13,148
2019-10-08,14,170
2019-10-08,15,191
2019-10-08,16,185
2019-10-08,17,189
2019-10-08,18,113
2019-10-08,19,60
2019-10-08,20,59
2019-10-08,21,38
2019-10-08,22,30
2019-10-08,23,20
2019-10-09,0,10
2019-10-09,1,4
2019-10-09,2,6
2019-10-09,3,7
2019-10-09,4,12
2019-10-09,5,33
2019-10-09,6,58
2019-10-09,7,79
2019-10-09,8,124
2019-10-09,9,157
2019-10-09,10,142
2019-10-09,11,145
2019-10-09,12,153
2019-10-09,13,156
2019-10-09,14,196
2019-10-09,15,181
2019-10-09,16,212
2019-10-09,17,144
2019-10-09,18,114
2019-10-09,19,78
2019-10-09,20,64
2019-10-09,21,27
2019-10-09,22,27
2019-10-09,23,8
2019-10-10,0,10
2019-10-10,1,9
2019-10-10,2,8
2019-10-10,3,6
2019-10-10,4,13
2019-10-10,5,24
2019-10-10,6,70
2019-10-10,7,102
2019-10-10,8,136
2019-10-10,9,143
2019-10-10,10,166
2019-10-10,11,193
2019-10-10,12,208
2019-10-10,13,195
2019-10-10,14,190
2019-10-10,15,207
2019-10-10,16,192
2019-10-10,17,167
2019-10-10,18,119
2019-10-10,19,72
2019-10-10,20,61
2019-10-10,21,40
2019-10-10,22,29
2019-10-10,23,20
2019-10-11,0,24
2019-10-11,1,10
2019-10-11,2,6
2019-10-11,3,6
2019-10-11,4,11
2019-10-11,5,30
2019-10-11,6,61
2019-10-11,7,93
2019-10-11,8,149
2019-10-11,9,155
2019-10-11,10,199
2019-10-11,11,196
2019-10-11,12,226
2019-10-11,13,236
2019-10-11,14,240
2019-10-11,15,229
2019-10-11,16,152
2019-10-11,17,155
2019-10-11,18,121
2019-10-11,19,79
2019-10-11,20,73
2019-10-11,21,56
2019-10-11,22,33
2019-10-11,23,22
2019-10-12,0,28
2019-10-12,1,4
2019-10-12,2,18
2019-10-12,3,16
2019-10-12,4,8
2019-10-12,5,15
2019-10-12,6,31
2019-10-12,7,59
2019-10-12,8,103
2019-10-12,9,122
2019-10-12,10,192
2019-10-12,11,184
2019-10-12,12,220
2019-10-12,13,185
2019-10-12,14,164
2019-10-12,15,169
2019-10-12,16,133
2019-10-12,17,125
2019-10-12,18,105
2019-10-12,19,77
2019-10-12,20,58
2019-10-12,21,49
2019-10-12,22,39
2019-10-12,23,41
2019-10-13,0,36
2019-10-13,1,26
2019-10-13,2,24
2019-10-13,3,18
2019-10-13,4,18
2019-10-13,5,15
2019-10-13,6,16
2019-10-13,7,19
2019-10-13,8,53
2019-10-13,9,79
2019-10-13,10,136
2019-10-13,11,184
2019-10-13,12,203
2019-10-13,13,171
2019-10-13,14,178
2019-10-13,15,135
2019-10-13,16,128
2019-10-13,17,127
2019-10-13,18,101
2019-10-13,19,59
2019-10-13,20,47
2019-10-13,21,42
2019-10-13,22,33
2019-10-13,23,20
2019-10-14,0,9
2019-10-14,1,0
2019-10-14,2,0
2019-10-14,3,4
2019-10-14,4,8
2019-10-14,5,21
2019-10-14,6,48
2019-10-14,7,62
2019-10-14,8,105
2019-10-14,9,124
2019-10-14,10,128
2019-10-14,11,151
2019-10-14,12,150
2019-10-14,13,159
2019-10-14,14,156
2019-10-14,15,158
2019-10-14,16,138
2019-10-14,17,129
2019-10-14,18,79
2019-10-14,19,73
2019-10-14,20,59
2019-10-14,21,29
2019-10-14,22,24
2019-10-14,23,17
2019-10-15,0,15
2019-10-15,1,7
2019-10-15,2,5
2019-10-15,3,7
2019-10-15,4,17
2019-10-15,5,28
2019-10-15,6,48
2019-10-15,7,78
2019-10-15,8,102
2019-10-15,9,110
2019-10-15,10,143
2019-10-15,11,155
2019-10-15,12,165
2019-10-15,13,172
2019-10-15,14,155
2019-10-15,15,143
2019-10-15,16,170
2019-10-15,17,133
2019-10-15,18,93
2019-10-15,19,69
2019-10-15,20,51
2019-10-15,21,34
2019-10-15,22,35
2019-10-15,23,24
2019-10-16,0,10
2019-10-16,1,9
2019-10-16,2,15
2019-10-16,3,8
2019-10-16,4,18
2019-10-16,5,31
2019-10-16,6,65
2019-10-16,7,65
2019-10-16,8,112
2019-10-16,9,135
2019-10-16,10,146
2019-10-16,11,158
2019-10-16,12,143
2019-10-16,13,164
2019-10-16,14,165
2019-10-16,15,169
2019-10-16,16,172
2019-10-16,17,152
2019-10-16,18,97
2019-10-16,19,78
2019-11-20,12,188
2019-11-20,13,185
2019-11-20,14,167
2019-11-20,15,193
2019-11-20,16,199
2019-11-20,17,191
2019-11-20,18,157
2019-11-20,19,117
2019-11-20,20,82
2019-11-20,21,54
2019-11-20,22,36
2019-11-20,23,31
2019-11-21,0,17
2019-11-21,1,8
2019-11-21,2,8
2019-11-21,3,6
2019-11-21,4,13
2019-11-21,5,18
2019-11-21,6,32
2019-11-21,7,63
2019-11-21,8,87
2019-11-21,9,167
2019-11-21,10,144
2019-11-21,11,197
2019-11-21,12,201
2019-11-21,13,201
2019-11-21,14,179
2019-11-21,15,157
2019-11-21,16,218
2019-11-21,17,201
2019-11-21,18,145
2019-11-21,19,113
2019-11-21,20,84
2019-11-21,21,64
2019-11-21,22,38
2019-11-21,23,32
2019-11-22,0,20
2019-11-22,1,16
2019-11-22,2,6
2019-11-22,3,6
2019-11-22,4,10
2019-11-22,5,8
2019-11-22,6,34
2019-11-22,7,62
2019-11-22,8,90
2019-11-22,9,176
2019-11-22,10,166
2019-11-22,11,182
2019-11-22,12,214
2019-11-22,13,223
2019-11-22,14,198
2019-11-22,15,217
2019-11-22,16,258
2019-11-22,17,170
2019-11-22,18,170
2019-11-22,19,98
2019-11-22,20,81
2019-11-22,21,63
2019-11-22,22,50
2019-11-22,23,43
2019-11-23,0,35
2019-11-23,1,20
2019-11-23,2,15
2019-11-23,3,14
2019-11-23,4,15
2019-11-23,5,9
2019-11-23,6,17
2019-11-23,7,19
2019-11-23,8,66
2019-11-23,9,124
2019-11-23,10,153
2019-11-23,11,156
2019-11-23,12,195
2019-11-23,13,213
2019-11-23,14,162
2019-11-23,15,220
2019-11-23,16,144
2019-11-23,17,120
2019-11-23,18,130
2019-11-23,19,88
2019-11-23,20,70
2019-11-23,21,59
2019-11-23,22,52
2019-11-23,23,51
2019-11-24,0,38
2019-11-24,1,22
2019-11-24,2,17
2019-11-24,3,30
2019-11-24,4,16
2019-11-24,5,12
2019-11-24,6,19
2019-11-24,7,21
2019-11-24,8,24
2019-11-24,9,54
2019-11-24,10,80
2019-11-24,11,122
2019-11-24,12,149
2019-11-24,13,179
2019-11-24,14,172
2019-11-24,15,130
2019-11-24,16,140
2019-11-24,17,107
2019-11-24,18,124
2019-11-24,19,73
2019-11-24,20,56
