date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,4
2019-10-01,4,12
2019-10-01,5,21
2019-10-01,6,48
2019-10-01,7,71
2019-10-01,8,88
2019-10-01,9,88
2019-10-01,10,97
2019-10-01,11,101
2019-10-01,12,105
2019-10-01,13,97
2019-10-01,14,101
2019-10-01,15,92
2019-10-01,16,88
2019-10-01,17,72
2019-10-01,18,54
2019-10-01,19,31
2019-10-01,20,45
2019-10-01,21,26
2019-10-01,22,16
2019-10-01,23,4
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,4
2019-10-02,5,22
2019-10-02,6,52
2019-10-02,7,75
2019-10-02,8,88
2019-10-02,9,76
2019-10-02,10,96
2019-10-02,11,97
2019-10-02,12,114
2019-10-02,13,109
2019-10-02,14,115
2019-10-02,15,92
2019-10-02,16,96
2019-10-02,17,84
2019-10-02,18,57
2019-10-02,19,44
2019-10-02,20,57
2019-10-02,21,31
2019-10-02,22,16
2019-10-02,23,4
2019-10-03,0,0
2019-10-03,1,0
2019-10-03,2,4
2019-10-03,3,0
2019-10-03,4,8
2019-10-03,5,21
2019-10-03,6,48
2019-10-03,7,79
2019-10-03,8,96
2019-10-03,9,93
2019-10-03,10,110
2019-10-03,11,123
2019-10-03,12,120
2019-10-03,13,114
2019-10-03,14,116
2019-10-03,15,114
2019-10-03,16,119
2019-10-03,17,88
2019-10-03,18,88
2019-10-03,19,44
2019-10-03,20,53
2019-10-03,21,66
2019-10-03,22,31
2019-10-03,23,8
2019-10-04,0,0
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,4
2019-10-04,5,22
2019-10-04,6,48
2019-10-04,7,71
2019-10-04,8,87
2019-10-04,9,88
2019-10-04,10,115
2019-10-04,11,136
2019-10-04,12,136
2019-10-04,13,128
2019-10-04,14,132
2019-10-04,15,124
2019-10-04,16,88
2019-10-04,17,72
2019-10-04,18,67
2019-10-04,19,40
2019-10-04,20,45
2019-10-04,21,27
2019-10-04,22,16
2019-10-04,23,12
2019-10-05,0,4
2019-10-05,1,0
2019-10-05,2,4
2019-10-05,3,0
2019-10-05,4,4
2019-10-05,5,4
2019-10-05,6,16
2019-10-05,7,32
2019-10-05,8,52
2019-10-05,9,84
2019-10-05,10,119
2019-10-05,11,132
2019-10-05,12,136
2019-10-05,13,125
2019-10-05,14,128
2019-10-05,15,119
2019-10-05,16,84
2019-10-05,17,62
2019-10-05,18,48
2019-10-05,19,36
2019-10-05,20,39
2019-10-05,21,27
2019-10-05,22,16
2019-10-05,23,12
2019-10-06,0,4
2019-10-06,1,0
2019-10-06,2,0
2019-10-06,3,0
2019-10-06,4,4
2019-10-06,5,12
2019-10-06,6,16
2019-10-06,7,16
2019-10-06,8,21
2019-10-06,9,48
2019-10-06,10,63
2019-10-06,11,75
2019-10-06,12,92
2019-10-06,13,92
2019-10-06,14,76
2019-10-06,15,62
2019-10-06,16,62
2019-10-06,17,52
2019-10-06,18,32
2019-10-06,19,31
2019-10-06,20,57
2019-10-06,21,21
2019-10-06,22,12
2019-10-06,23,8
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,4
2019-10-07,5,21
2019-10-07,6,35
2019-10-07,7,62
2019-10-07,8,71
2019-10-07,9,72
2019-10-07,10,57
2019-10-07,11,104
2019-10-07,12,96
2019-10-07,13,101
2019-10-07,14,92
2019-10-07,15,88
2019-10-07,16,71
2019-10-07,17,57
2019-10-07,18,44
2019-10-07,19,27
2019-10-07,20,30
2019-10-07,21,13
2019-10-07,22,8
2019-10-07,23,4
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,4
2019-10-08,5,22
2019-10-08,6,48
2019-10-08,7,71
2019-10-08,8,88
2019-10-08,9,84
2019-10-08,10,88
2019-10-08,11,101
2019-10-08,12,96
2019-10-08,13,96
2019-10-08,14,96
2019-10-08,15,92
2019-10-08,16,88
2019-10-08,17,72
2019-10-08,18,62
2019-10-08,19,32
2019-10-08,20,44
2019-10-08,21,22
2019-10-08,22,16
2019-10-08,23,4
2019-10-09,0,0
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,4
2019-10-09,5,21
2019-10-09,6,61
2019-10-09,7,75
2019-10-09,8,88
2019-10-09,9,80
2019-10-09,10,89
2019-10-09,11,88
2019-10-09,12,105
2019-10-09,13,114
2019-10-09,14,114
2019-10-09,15,92
2019-10-09,16,93
2019-10-09,17,84
2019-10-09,18,52
2019-10-09,19,44
2019-10-09,20,54
2019-10-09,21,26
2019-10-09,22,16
2019-10-09,23,4
2019-10-10,0,0
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,8
2019-10-10,5,21
2019-10-10,6,48
2019-10-10,7,79
2019-10-10,8,96
2019-10-10,9,91
2019-10-10,10,106
2019-10-10,11,123
2019-10-10,12,132
2019-10-10,13,123
2019-10-10,14,116
2019-10-10,15,110
2019-10-10,16,119
2019-10-10,17,84
2019-10-10,18,67
2019-10-10,19,44
2019-10-10,20,53
2019-10-10,21,36
2019-10-10,22,16
2019-10-10,23,4
2019-10-11,0,0
2019-10-11,1,0
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,13
2019-10-11,5,21
2019-10-11,6,48
2019-10-11,7,71
2019-10-11,8,79
2019-10-11,9,92
2019-10-11,10,110
2019-10-11,11,120
2019-10-11,12,128
2019-10-11,13,124
2019-10-11,14,132
2019-10-11,15,120
2019-10-11,16,92
2019-10-11,17,76
2019-10-11,18,62
2019-10-11,19,35
2019-10-11,20,54
2019-10-11,21,31
2019-10-11,22,16
