date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,4
2019-10-01,4,8
2019-10-01,5,23
2019-10-01,6,62
2019-10-01,7,118
2019-10-01,8,111
2019-10-01,9,76
2019-10-01,10,88
2019-10-01,11,80
2019-10-01,12,80
2019-10-01,13,88
2019-10-01,14,88
2019-10-01,15,84
2019-10-01,16,84
2019-10-01,17,72
2019-10-01,18,76
2019-10-01,19,66
2019-10-01,20,44
2019-10-01,21,31
2019-10-01,22,26
2019-10-01,23,8
2019-10-02,0,4
2019-10-02,1,8
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,4
2019-10-02,5,18
2019-10-02,6,55
2019-10-02,7,71
2019-10-02,8,92
2019-10-02,9,88
2019-10-02,10,97
2019-10-02,11,88
2019-10-02,12,101
2019-10-02,13,93
2019-10-02,14,106
2019-10-02,15,110
2019-10-02,16,97
2019-10-02,17,88
2019-10-02,18,75
2019-10-02,19,48
2019-10-02,20,32
2019-10-02,21,16
2019-10-02,22,21
2019-10-02,23,12
2019-10-03,0,0
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,8
2019-10-03,5,21
2019-10-03,6,58
2019-10-03,7,114
2019-10-03,8,109
2019-10-03,9,88
2019-10-03,10,97
2019-10-03,11,104
2019-10-03,12,97
2019-10-03,13,101
2019-10-03,14,101
2019-10-03,15,114
2019-10-03,16,127
2019-10-03,17,102
2019-10-03,18,132
2019-10-03,19,44
2019-10-03,20,32
2019-10-03,21,79
2019-10-03,22,32
2019-10-03,23,13
2019-10-04,0,8
2019-10-04,1,0
2019-10-04,2,4
2019-10-04,3,0
2019-10-04,4,4
2019-10-04,5,16
2019-10-04,6,54
2019-10-04,7,92
2019-10-04,8,105
2019-10-04,9,92
2019-10-04,10,114
2019-10-04,11,124
2019-10-04,12,136
2019-10-04,13,128
2019-10-04,14,137
2019-10-04,15,142
2019-10-04,16,106
2019-10-04,17,96
2019-10-04,18,84
2019-10-04,19,57
2019-10-04,20,48
2019-10-04,21,44
2019-10-04,22,26
2019-10-04,23,21
2019-10-05,0,16
2019-10-05,1,8
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,8
2019-10-05,5,8
2019-10-05,6,21
2019-10-05,7,36
2019-10-05,8,62
2019-10-05,9,96
2019-10-05,10,102
2019-10-05,11,109
2019-10-05,12,123
2019-10-05,13,119
2019-10-05,14,101
2019-10-05,15,97
2019-10-05,16,84
2019-10-05,17,80
2019-10-05,18,80
2019-10-05,19,48
2019-10-05,20,40
2019-10-05,21,32
2019-10-05,22,26
2019-10-05,23,26
2019-10-06,0,16
2019-10-06,1,0
2019-10-06,2,4
2019-10-06,3,4
2019-10-06,4,4
2019-10-06,5,12
2019-10-06,6,16
2019-10-06,7,16
2019-10-06,8,31
2019-10-06,9,52
2019-10-06,10,67
2019-10-06,11,67
2019-10-06,12,88
2019-10-06,13,80
2019-10-06,14,71
2019-10-06,15,62
2019-10-06,16,72
2019-10-06,17,76
2019-10-06,18,67
2019-10-06,19,48
2019-10-06,20,36
2019-10-06,21,21
2019-10-06,22,26
2019-10-06,23,4
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,4
2019-10-07,5,26
2019-10-07,6,53
2019-10-07,7,95
2019-10-07,8,110
2019-10-07,9,105
2019-10-07,10,86
2019-10-07,11,120
2019-10-07,12,119
2019-10-07,13,101
2019-10-07,14,110
2019-10-07,15,114
2019-10-07,16,102
2019-10-07,17,88
2019-10-07,18,71
2019-10-07,19,44
2019-10-07,20,31
2019-10-07,21,21
2019-10-07,22,16
2019-10-07,23,4
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,8
2019-10-08,5,17
2019-10-08,6,66
2019-10-08,7,114
2019-10-08,8,123
2019-10-08,9,76
2019-10-08,10,84
2019-10-08,11,72
2019-10-08,12,76
2019-10-08,13,75
2019-10-08,14,84
2019-10-08,15,84
2019-10-08,16,84
2019-10-08,17,72
2019-10-08,18,72
2019-10-08,19,48
2019-10-08,20,31
2019-10-08,21,21
2019-10-08,22,16
2019-10-08,23,4
2019-10-09,0,0
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,4
2019-10-09,5,12
2019-10-09,6,75
2019-10-09,7,84
2019-10-09,8,101
2019-10-09,9,88
2019-10-09,10,92
2019-10-09,11,88
2019-10-09,12,101
2019-10-09,13,97
2019-10-09,14,101
2019-10-09,15,107
2019-10-09,16,110
2019-10-09,17,92
2019-10-09,18,67
2019-10-09,19,44
2019-10-09,20,32
2019-10-09,21,26
2019-10-09,22,26
2019-10-09,23,9
2019-10-10,0,4
2019-10-10,1,8
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,8
2019-10-10,5,17
2019-10-10,6,66
2019-10-10,7,107
2019-10-10,8,123
2019-10-10,9,93
2019-10-10,10,100
2019-10-10,11,119
2019-10-10,12,106
2019-10-10,13,92
2019-10-10,14,97
2019-10-10,15,132
2019-10-10,16,124
2019-10-10,17,101
2019-10-10,18,85
2019-10-10,19,44
2019-10-10,20,40
2019-10-10,21,26
2019-10-10,22,35
2019-10-10,23,13
2019-10-11,0,4
2019-10-11,1,0
2019-10-11,2,4
2019-10-11,3,0
2019-10-11,4,4
2019-10-11,5,16
2019-10-11,6,53
2019-10-11,7,92
2019-10-11,8,100
2019-10-11,9,92
2019-10-11,10,110
2019-10-11,11,124
2019-10-11,12,132
2019-10-11,13,105
2019-10-11,14,118
2019-10-11,15,124
2019-10-11,16,114
2019-10-11,17,106
2019-10-11,18,92
2019-10-11,19,63
2019-10-11,20,44
2019-10-11,21,36
2019-10-11,22,28
