date,time,flow
2019-10-01,0,3
2019-10-01,1,1
2019-10-01,2,1
2019-10-01,3,3
2019-10-01,4,14
2019-10-01,5,24
2019-10-01,6,52
2019-10-01,7,109
2019-10-01,8,116
2019-10-01,9,103
2019-10-01,10,97
2019-10-01,11,95
2019-10-01,12,120
2019-10-01,13,101
2019-10-01,14,113
2019-10-01,15,104
2019-10-01,16,109
2019-10-01,17,80
2019-10-01,18,99
2019-10-01,19,73
2019-10-01,20,46
2019-10-01,21,24
2019-10-01,22,37
2019-10-01,23,7
2019-10-02,0,1
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,2
2019-10-02,4,4
2019-10-02,5,16
2019-10-02,6,52
2019-10-02,7,102
2019-10-02,8,142
2019-10-02,9,86
2019-10-02,10,97
2019-10-02,11,88
2019-10-02,12,120
2019-10-02,13,95
2019-10-02,14,111
2019-10-02,15,116
2019-10-02,16,98
2019-10-02,17,110
2019-10-02,18,83
2019-10-02,19,53
2019-10-02,20,35
2019-10-02,21,37
2019-10-02,22,19
2019-10-02,23,4
2019-10-03,0,4
2019-10-03,1,3
2019-10-03,2,1
2019-10-03,3,4
2019-10-03,4,11
2019-10-03,5,16
2019-10-03,6,57
2019-10-03,7,105
2019-10-03,8,108
2019-10-03,9,90
2019-10-03,10,99
2019-10-03,11,100
2019-10-03,12,130
2019-10-03,13,116
2019-10-03,14,135
2019-10-03,15,110
2019-10-03,16,122
2019-10-03,17,134
2019-10-03,18,163
2019-10-03,19,72
2019-10-03,20,50
2019-10-03,21,45
2019-10-03,22,24
2019-10-03,23,12
2019-10-04,0,3
2019-10-04,1,1
2019-10-04,2,4
2019-10-04,3,1
2019-10-04,4,6
2019-10-04,5,16
2019-10-04,6,55
2019-10-04,7,96
2019-10-04,8,98
2019-10-04,9,105
2019-10-04,10,127
2019-10-04,11,133
2019-10-04,12,113
2019-10-04,13,146
2019-10-04,14,115
2019-10-04,15,134
2019-10-04,16,153
2019-10-04,17,121
2019-10-04,18,96
2019-10-04,19,60
2019-10-04,20,63
2019-10-04,21,42
2019-10-04,22,30
2019-10-04,23,17
2019-10-05,0,9
2019-10-05,1,5
2019-10-05,2,4
2019-10-05,3,2
2019-10-05,4,5
2019-10-05,5,8
2019-10-05,6,24
2019-10-05,7,39
2019-10-05,8,72
2019-10-05,9,90
2019-10-05,10,100
2019-10-05,11,102
2019-10-05,12,151
2019-10-05,13,103
2019-10-05,14,78
2019-10-05,15,86
2019-10-05,16,106
2019-10-05,17,100
2019-10-05,18,66
2019-10-05,19,57
2019-10-05,20,43
2019-10-05,21,33
2019-10-05,22,29
2019-10-05,23,18
2019-10-06,0,16
2019-10-06,1,12
2019-10-06,2,10
2019-10-06,3,6
2019-10-06,4,9
2019-10-06,5,12
2019-10-06,6,11
2019-10-06,7,18
2019-10-06,8,42
2019-10-06,9,53
2019-10-06,10,78
2019-10-06,11,67
