date,time,flow
2019-10-01,0,13
2019-10-01,1,14
2019-10-01,2,15
2019-10-01,3,14
2019-10-01,4,15
2019-10-01,5,28
2019-10-01,6,56
2019-10-01,7,75
2019-10-01,8,88
2019-10-01,9,104
2019-10-01,10,127
2019-10-01,11,129
2019-10-01,12,148
2019-10-01,13,155
2019-10-01,14,172
2019-10-01,15,178
2019-10-01,16,175
2019-10-01,17,178
2019-10-01,18,96
2019-10-01,19,72
2019-10-01,20,67
2019-10-01,21,36
2019-10-01,22,26
2019-10-01,23,12
2019-10-02,0,8
2019-10-02,1,4
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,8
2019-10-02,5,26
2019-10-02,6,40
2019-10-02,7,75
2019-10-02,8,101
2019-10-02,9,119
2019-10-02,10,123
2019-10-02,11,146
2019-10-02,12,150
2019-10-02,13,155
2019-10-02,14,167
2019-10-02,15,183
2019-10-02,16,175
2019-10-02,17,167
2019-10-02,18,101
2019-10-02,19,67
2019-10-02,20,67
2019-10-02,21,44
2019-10-02,22,35
2019-10-02,23,17
2019-10-03,0,4
2019-10-03,1,12
2019-10-03,2,0
2019-10-03,3,12
2019-10-03,4,12
2019-10-03,5,21
2019-10-03,6,44
2019-10-03,7,83
2019-10-03,8,105
2019-10-03,9,99
2019-10-03,10,138
2019-10-03,11,125
2019-10-03,12,134
2019-10-03,13,131
2019-10-03,14,160
2019-10-03,15,152
2019-10-03,16,167
2019-10-03,17,147
2019-10-03,18,138
2019-10-03,19,107
2019-10-03,20,56
2019-10-03,21,77
2019-10-03,22,54
2019-10-03,23,24
2019-10-04,0,10
2019-10-04,1,4
2019-10-04,2,7
2019-10-04,3,4
2019-10-04,4,12
2019-10-04,5,22
2019-10-04,6,48
2019-10-04,7,83
2019-10-04,8,105
2019-10-04,9,99
2019-10-04,10,116
2019-10-04,11,130
2019-10-04,12,140
2019-10-04,13,141
2019-10-04,14,147
2019-10-04,15,145
2019-10-04,16,156
2019-10-04,17,133
2019-10-04,18,127
2019-10-04,19,109
2019-10-04,20,93
2019-10-04,21,104
2019-10-04,22,170
2019-10-04,23,74
2019-10-05,0,87
2019-10-05,1,51
2019-10-05,2,54
2019-10-05,3,40
2019-10-05,4,20
2019-10-05,5,17
2019-10-05,6,37
2019-10-05,7,64
2019-10-05,8,71
2019-10-05,9,92
2019-10-05,10,124
2019-10-05,11,127
2019-10-05,12,152
2019-10-05,13,146
2019-10-05,14,144
2019-10-05,15,144
2019-10-05,16,118
2019-10-05,17,90
2019-10-05,18,93
2019-10-05,19,101
2019-10-05,20,133
2019-10-05,21,126
2019-10-05,22,51
2019-10-05,23,55
2019-10-06,0,53
2019-10-06,1,52
2019-10-06,2,23
2019-10-06,3,18
2019-10-06,4,8
2019-10-06,5,10
2019-10-06,6,16
2019-10-06,7,24
2019-10-06,8,37
2019-10-06,9,92
2019-10-06,10,108
2019-10-06,11,101
2019-10-06,12,107
2019-10-06,13,128
2019-10-06,14,125
2019-10-06,15,111
2019-10-06,16,122
2019-10-06,17,101
2019-10-06,18,67
2019-10-06,19,76
2019-10-06,20,43
2019-10-06,21,43
2019-10-06,22,29
2019-10-06,23,21
2019-10-07,0,6
2019-10-07,1,11
2019-10-07,2,6
2019-10-07,3,5
2019-10-07,4,12
2019-10-07,5,26
2019-10-07,6,40
2019-10-07,7,71
2019-10-07,8,79
2019-10-07,9,84
2019-10-07,10,95
2019-10-07,11,117
2019-10-07,12,126
2019-10-07,13,137
2019-10-07,14,115
2019-10-07,15,132
2019-10-07,16,178
2019-10-07,17,127
2019-10-07,18,91
2019-10-07,19,75
2019-10-07,20,65
2019-10-07,21,39
2019-10-07,22,29
2019-10-07,23,21
2019-10-08,0,11
2019-10-08,1,9
2019-10-08,2,8
2019-10-08,3,4
2019-10-08,4,13
2019-10-08,5,20
2019-10-08,6,58
2019-10-08,7,83
2019-10-08,8,95
2019-10-08,9,105
2019-10-08,10,122
2019-10-08,11,135
2019-10-08,12,118
2019-10-08,13,150
2019-10-08,14,134
2019-10-08,15,152
2019-10-08,16,176
2019-10-08,17,145
2019-10-08,18,92
2019-10-08,19,70
2019-10-08,20,69
2019-10-08,21,55
2019-10-08,22,31
2019-10-08,23,12
2019-10-09,0,10
2019-10-09,1,3
2019-10-09,2,4
2019-10-09,3,8
2019-10-09,4,9
2019-10-09,5,29
2019-10-09,6,45
2019-10-09,7,69
2019-10-09,8,95
2019-10-09,9,130
2019-10-09,10,102
2019-10-09,11,125
2019-10-09,12,132
2019-10-09,13,138
2019-10-09,14,133
2019-10-09,15,161
2019-10-09,16,177
2019-10-09,17,153
2019-10-09,18,101
2019-10-09,19,88
2019-10-09,20,58
2019-10-09,21,33
2019-10-09,22,45
2019-10-09,23,22
2019-10-10,0,5
2019-10-10,1,6
2019-10-10,2,5
2019-10-10,3,3
2019-10-10,4,16
2019-10-10,5,24
2019-10-10,6,42
2019-10-10,7,67
2019-10-10,8,102
2019-10-10,9,115
2019-10-10,10,128
2019-10-10,11,145
2019-10-10,12,115
2019-10-10,13,146
2019-10-10,14,164
2019-10-10,15,151
2019-10-10,16,153
2019-10-10,17,153
2019-10-10,18,100
2019-10-10,19,83
2019-10-10,20,75
2019-10-10,21,52
2019-10-10,22,39
2019-10-10,23,25
2019-10-11,0,13
2019-10-11,1,8
2019-10-11,2,8
2019-10-11,3,3
2019-10-11,4,10
2019-10-11,5,26
2019-10-11,6,32
2019-10-11,7,69
2019-10-11,8,96
2019-10-11,9,108
2019-10-11,10,126
2019-10-11,11,120
2019-10-11,12,127
2019-10-11,13,146
2019-10-11,14,149
2019-10-11,15,156
2019-10-11,16,172
2019-10-11,17,156
2019-10-11,18,99
