date,time,flow
2019-10-01,0,11
2019-10-01,1,19
2019-10-01,2,7
2019-10-01,3,43
2019-10-01,4,14
2019-10-01,5,28
2019-10-01,6,103
2019-10-01,7,144
2019-10-01,8,129
2019-10-01,9,103
2019-10-01,10,106
2019-10-01,11,115
2019-10-01,12,120
2019-10-01,13,104
2019-10-01,14,110
2019-10-01,15,100
2019-10-01,16,103
2019-10-01,17,85
2019-10-01,18,86
2019-10-01,19,49
2019-10-01,20,49
2019-10-01,21,23
2019-10-01,22,51
2019-10-01,23,50
2019-10-02,0,36
2019-10-02,1,45
2019-10-02,2,11
2019-10-02,3,35
2019-10-02,4,32
2019-10-02,5,55
2019-10-02,6,94
2019-10-02,7,155
2019-10-02,8,128
2019-10-02,9,114
2019-10-02,10,122
2019-10-02,11,120
2019-10-02,12,109
2019-10-02,13,121
2019-10-02,14,104
2019-10-02,15,112
2019-10-02,16,136
2019-10-02,17,138
2019-10-02,18,86
2019-10-02,19,85
2019-10-02,20,42
2019-10-02,21,24
2019-10-02,22,94
2019-10-02,23,48
2019-10-03,0,27
2019-10-03,1,41
2019-10-03,2,8
2019-10-03,3,18
2019-10-03,4,113
2019-10-03,5,105
2019-10-03,6,78
2019-10-03,7,145
2019-10-03,8,140
2019-10-03,9,129
2019-10-03,10,124
2019-10-03,11,119
2019-10-03,12,116
2019-10-03,13,108
2019-10-03,14,131
2019-10-03,15,112
2019-10-03,16,123
2019-10-03,17,123
2019-10-03,18,102
2019-10-03,19,76
2019-10-03,20,94
2019-10-03,21,100
2019-10-03,22,81
2019-10-03,23,81
2019-10-04,0,21
2019-10-04,1,29
2019-10-04,2,33
2019-10-04,3,46
2019-10-04,4,76
2019-10-04,5,79
2019-10-04,6,121
2019-10-04,7,130
2019-10-04,8,134
2019-10-04,9,138
2019-10-04,10,122
2019-10-04,11,128
2019-10-04,12,126
2019-10-04,13,97
2019-10-04,14,125
2019-10-04,15,106
2019-10-04,16,105
2019-10-04,17,105
2019-10-04,18,123
2019-10-04,19,90
2019-10-04,20,49
2019-10-04,21,41
2019-10-04,22,49
2019-10-04,23,37
2019-10-05,0,17
2019-10-05,1,8
2019-10-05,2,12
2019-10-05,3,6
2019-10-05,4,14
2019-10-05,5,17
2019-10-05,6,25
2019-10-05,7,54
2019-10-05,8,100
2019-10-05,9,124
2019-10-05,10,122
2019-10-05,11,129
2019-10-05,12,114
2019-10-05,13,117
2019-10-05,14,121
2019-10-05,15,113
2019-10-05,16,120
2019-10-05,17,116
2019-10-05,18,111
2019-10-05,19,128
2019-10-05,20,99
2019-10-05,21,120
2019-10-05,22,111
2019-10-05,23,66
2019-10-06,0,78
2019-10-06,1,89
2019-10-06,2,110
2019-10-06,3,63
2019-10-06,4,78
2019-10-06,5,64
2019-10-06,6,56
2019-10-06,7,56
2019-10-06,8,39
2019-10-06,9,86
2019-10-06,10,152
2019-10-06,11,98
2019-10-06,12,108
2019-10-06,13,115
2019-10-06,14,87
2019-10-06,15,89
2019-10-06,16,117
2019-10-06,17,132
2019-10-06,18,91
2019-10-06,19,66
2019-10-06,20,38
2019-10-06,21,39
2019-10-06,22,37
2019-10-06,23,27
2019-10-07,0,7
2019-10-07,1,17
2019-10-07,2,8
2019-10-07,3,8
2019-10-07,4,15
2019-10-07,5,45
2019-10-07,6,96
2019-10-07,7,120
2019-10-07,8,112
2019-10-07,9,101
2019-10-07,10,109
2019-10-07,11,120
2019-10-07,12,138
2019-10-07,13,101
2019-10-07,14,104
2019-10-07,15,88
2019-10-07,16,93
2019-10-07,17,97
2019-10-07,18,82
2019-10-07,19,55
2019-10-07,20,33
2019-10-07,21,51
2019-10-07,22,13
2019-10-07,23,8
2019-10-08,0,6
2019-10-08,1,6
2019-10-08,2,8
2019-10-08,3,10
2019-10-08,4,20
2019-10-08,5,34
2019-10-08,6,92
2019-10-08,7,147
2019-10-08,8,124
2019-10-08,9,123
2019-10-08,10,103
2019-10-08,11,107
2019-10-08,12,115
2019-10-08,13,115
2019-10-08,14,94
2019-10-08,15,114
2019-10-08,16,116
2019-10-08,17,88
2019-10-08,18,97
2019-10-08,19,53
2019-10-08,20,84
2019-10-08,21,88
2019-10-08,22,42
2019-10-08,23,64
2019-10-09,0,12
2019-10-09,1,6
2019-10-09,2,6
2019-10-09,3,13
2019-10-09,4,75
2019-10-09,5,98
2019-10-09,6,127
2019-10-09,7,145
2019-10-09,8,130
2019-10-09,9,96
2019-10-09,10,122
2019-10-09,11,92
2019-10-09,12,124
2019-10-09,13,134
2019-10-09,14,101
2019-10-09,15,150
2019-10-09,16,117
2019-10-09,17,133
2019-10-09,18,130
2019-10-09,19,109
2019-10-09,20,72
2019-10-09,21,23
2019-10-09,22,52
2019-10-09,23,114
2019-10-10,0,19
2019-10-10,1,81
