date,time,flow
2019-10-01,0,1
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,2
2019-10-01,4,7
2019-10-01,5,11
2019-10-01,6,24
2019-10-01,7,60
2019-10-01,8,72
2019-10-01,9,62
2019-10-01,10,72
2019-10-01,11,86
2019-10-01,12,70
2019-10-01,13,73
2019-10-01,14,88
2019-10-01,15,61
2019-10-01,16,83
2019-10-01,17,59
2019-10-01,18,34
2019-10-01,19,25
2019-10-01,20,17
2019-10-01,21,13
2019-10-01,22,4
2019-10-01,23,6
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,1
2019-10-02,3,1
2019-10-02,4,3
2019-10-02,5,12
2019-10-02,6,29
2019-10-02,7,76
2019-10-02,8,63
2019-10-02,9,73
2019-10-02,10,85
2019-10-02,11,69
2019-10-02,12,57
2019-10-02,13,65
2019-10-02,14,91
2019-10-02,15,76
2019-10-02,16,74
2019-10-02,17,51
2019-10-02,18,47
2019-10-02,19,36
2019-10-02,20,21
2019-10-02,21,21
2019-10-02,22,25
2019-10-02,23,3
2019-10-03,0,1
2019-10-03,1,1
2019-10-03,2,3
2019-10-03,3,1
2019-10-03,4,7
2019-10-03,5,11
2019-10-03,6,20
2019-10-03,7,61
2019-10-03,8,65
2019-10-03,9,80
2019-10-03,10,84
2019-10-03,11,68
2019-10-03,12,82
2019-10-03,13,85
2019-10-03,14,85
2019-10-03,15,88
2019-10-03,16,77
2019-10-03,17,70
2019-10-03,18,61
2019-10-03,19,37
2019-10-03,20,22
2019-10-03,21,83
2019-10-03,22,75
2019-10-03,23,9
2019-10-04,0,1
2019-10-04,1,0
2019-10-04,2,4
2019-10-04,3,2
2019-10-04,4,5
2019-10-04,5,10
2019-10-04,6,22
2019-10-04,7,66
2019-10-04,8,67
2019-10-04,9,72
2019-10-04,10,70
2019-10-04,11,74
2019-10-04,12,111
2019-10-04,13,85
2019-10-04,14,104
2019-10-04,15,74
2019-10-04,16,68
2019-10-04,17,64
2019-10-04,18,42
2019-10-04,19,27
2019-10-04,20,46
2019-10-04,21,15
2019-10-04,22,15
2019-10-04,23,9
2019-10-05,0,3
2019-10-05,1,2
2019-10-05,2,1
2019-10-05,3,0
2019-10-05,4,1
2019-10-05,5,5
2019-10-05,6,19
2019-10-05,7,26
2019-10-05,8,47
2019-10-05,9,69
2019-10-05,10,72
2019-10-05,11,84
2019-10-05,12,101
2019-10-05,13,83
2019-10-05,14,63
2019-10-05,15,65
2019-10-05,16,31
2019-10-05,17,49
2019-10-05,18,33
2019-10-05,19,25
2019-10-05,20,15
2019-10-05,21,16
2019-10-05,22,15
2019-10-05,23,11
2019-10-06,0,10
2019-10-06,1,5
2019-10-06,2,2
2019-10-06,3,1
2019-10-06,4,3
2019-10-06,5,3
2019-10-06,6,0
2019-10-06,7,12
2019-10-06,8,19
2019-10-06,9,31
2019-10-06,10,57
2019-10-06,11,56
2019-10-06,12,83
2019-10-06,13,59
2019-10-06,14,40
2019-10-06,15,37
2019-10-06,16,58
2019-10-06,17,48
2019-10-06,18,27
2019-10-06,19,23
2019-10-06,20,24
2019-10-06,21,22
2019-10-06,22,8
2019-10-06,23,2
2019-10-07,0,1
2019-10-07,1,1
2019-10-07,2,2
2019-10-07,3,1
2019-10-07,4,6
2019-10-07,5,4
2019-10-07,6,26
2019-10-07,7,67
2019-10-07,8,69
2019-10-07,9,62
2019-10-07,10,64
2019-10-07,11,64
2019-10-07,12,56
2019-10-07,13,67
2019-10-07,14,85
2019-10-07,15,67
2019-10-07,16,61
2019-10-07,17,47
2019-10-07,18,49
2019-10-07,19,24
2019-10-07,20,15
2019-10-07,21,12
2019-10-07,22,6
2019-10-07,23,2
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,3
2019-10-08,3,3
2019-10-08,4,4
2019-10-08,5,12
2019-10-08,6,23
2019-10-08,7,74
2019-10-08,8,63
2019-10-08,9,77
2019-10-08,10,52
2019-10-08,11,67
2019-10-08,12,71
2019-10-08,13,67
2019-10-08,14,93
2019-10-08,15,62
2019-10-08,16,73
2019-10-08,17,52
2019-10-08,18,37
2019-10-08,19,28
2019-10-08,20,14
2019-10-08,21,10
2019-10-08,22,6
2019-10-08,23,4
2019-10-09,0,1
2019-10-09,1,0
2019-10-09,2,1
2019-10-09,3,1
2019-10-09,4,5
2019-10-09,5,14
2019-10-09,6,37
2019-10-09,7,70
2019-10-09,8,74
2019-10-09,9,62
2019-10-09,10,65
2019-10-09,11,61
2019-10-09,12,61
2019-10-09,13,88
2019-10-09,14,86
2019-10-09,15,80
2019-10-09,16,75
2019-10-09,17,56
2019-10-09,18,46
2019-10-09,19,31
2019-10-09,20,21
2019-10-09,21,22
2019-10-09,22,11
2019-10-09,23,6
2019-10-10,0,1
2019-10-10,1,0
2019-10-10,2,1
2019-10-10,3,1
2019-10-10,4,7
2019-10-10,5,9
2019-10-10,6,23
2019-10-10,7,69
2019-10-10,8,71
2019-10-10,9,73
2019-10-10,10,64
2019-10-10,11,82
2019-10-10,12,81
2019-10-10,13,57
2019-10-10,14,88
2019-10-10,15,79
2019-10-10,16,81
2019-10-10,17,40
2019-10-10,18,42
2019-10-10,19,33
2019-10-10,20,19
2019-10-10,21,21
2019-10-10,22,9
2019-10-10,23,6
2019-10-11,0,0
2019-10-11,1,3
2019-10-11,2,2
2019-10-11,3,5
2019-10-11,4,8
2019-10-11,5,7
2019-10-11,6,34
2019-10-11,7,47
2019-10-11,8,56
2019-10-11,9,82
2019-10-11,10,78
2019-10-11,11,72
2019-10-11,12,84
2019-10-11,13,71
2019-10-11,14,91
2019-10-11,15,68
2019-10-11,16,69
2019-10-11,17,69
2019-10-11,18,31
2019-10-11,19,41
2019-10-11,20,37
2019-10-11,21,13
2019-10-11,22,15
2019-10-11,23,6
2019-10-12,0,7
2019-10-12,1,3
2019-10-12,2,4
2019-10-12,3,2
2019-10-12,4,3
2019-10-12,5,11
2019-10-12,6,26
2019-10-12,7,21
2019-10-12,8,45
2019-10-12,9,49
2019-10-12,10,62
2019-10-12,11,70
2019-10-12,12,64
2019-10-12,13,74
2019-10-12,14,78
2019-10-12,15,55
2019-10-12,16,60
2019-10-12,17,54
2019-10-12,18,43
2019-10-12,19,23
2019-10-12,20,19
2019-10-12,21,24
2019-10-12,22,16
2019-10-12,23,10
2019-10-13,0,9
2019-10-13,1,3
2019-10-13,2,5
2019-10-13,3,6
2019-10-13,4,4
2019-10-13,5,3
2019-10-13,6,8
2019-10-13,7,16
2019-10-13,8,26
2019-10-13,9,31
2019-10-13,10,41
2019-10-13,11,50
2019-10-13,12,58
2019-10-13,13,51
2019-10-13,14,52
2019-10-13,15,46
2019-10-13,16,42
2019-10-13,17,46
2019-10-13,18,35
2019-10-13,19,26
2019-10-13,20,12
2019-10-13,21,12
2019-10-13,22,13
2019-10-13,23,4
2019-10-14,0,0
2019-10-14,1,0
2019-10-14,2,1
2019-10-14,3,2
2019-10-14,4,9
2019-10-14,5,8
2019-10-14,6,27
2019-10-14,7,42
2019-10-14,8,56
2019-10-14,9,52
2019-10-14,10,56
2019-10-14,11,71
2019-10-14,12,55
2019-10-14,13,58
2019-10-14,14,62
2019-10-14,15,61
2019-10-14,16,50
2019-10-14,17,29
2019-10-14,18,34
2019-10-14,19,27
2019-10-14,20,16
2019-10-14,21,9
2019-10-14,22,6
2019-10-14,23,3
2019-10-15,0,2
2019-10-15,1,0
2019-10-15,2,0
2019-10-15,3,0
2019-10-15,4,5
2019-10-15,5,8
2019-10-15,6,23
2019-10-15,7,32
2019-10-15,8,55
2019-10-15,9,57
2019-10-15,10,60
2019-10-15,11,71
2019-10-15,12,63
2019-10-15,13,57
2019-10-15,14,66
2019-10-15,15,63
2019-10-15,16,60
2019-10-15,17,65
2019-10-15,18,44
2019-10-15,19,23
2019-10-15,20,16
2019-10-15,21,13
2019-10-15,22,10
2019-10-15,23,5
2019-10-16,0,4
2019-10-16,1,0
2019-10-16,2,0
2019-10-16,3,1
2019-10-16,4,0
2019-10-16,5,10
2019-10-16,6,38
2019-10-16,7,45
2019-10-16,8,50
2019-10-16,9,65
2019-10-16,10,59
2019-10-16,11,71
2019-10-16,12,67
2019-10-16,13,71
2019-10-16,14,70
2019-10-16,15,70
2019-10-16,16,67
2019-10-16,17,52
2019-10-16,18,36
2019-10-16,19,28
2019-11-20,12,88
2019-11-20,13,81
2019-11-20,14,68
2019-11-20,15,85
2019-11-20,16,73
2019-11-20,17,73
2019-11-20,18,61
2019-11-20,19,44
2019-11-20,20,38
2019-11-20,21,13
2019-11-20,22,17
2019-11-20,23,8
2019-11-21,0,7
2019-11-21,1,4
2019-11-21,2,0
2019-11-21,3,0
2019-11-21,4,3
2019-11-21,5,5
2019-11-21,6,8
2019-11-21,7,31
2019-11-21,8,69
2019-11-21,9,71
2019-11-21,10,89
2019-11-21,11,62
2019-11-21,12,88
2019-11-21,13,58
2019-11-21,14,82
2019-11-21,15,85
2019-11-21,16,92
2019-11-21,17,80
2019-11-21,18,54
2019-11-21,19,33
2019-11-21,20,31
2019-11-21,21,22
2019-11-21,22,14
2019-11-21,23,10
2019-11-22,0,2
2019-11-22,1,5
2019-11-22,2,4
2019-11-22,3,4
2019-11-22,4,1
2019-11-22,5,5
2019-11-22,6,9
2019-11-22,7,20
2019-11-22,8,73
2019-11-22,9,88
2019-11-22,10,76
2019-11-22,11,64
2019-11-22,12,81
2019-11-22,13,88
2019-11-22,14,84
2019-11-22,15,91
2019-11-22,16,92
2019-11-22,17,62
2019-11-22,18,57
2019-11-22,19,52
2019-11-22,20,26
2019-11-22,21,30
2019-11-22,22,23
2019-11-22,23,14
2019-11-23,0,14
2019-11-23,1,7
2019-11-23,2,5
2019-11-23,3,0
2019-11-23,4,5
2019-11-23,5,0
2019-11-23,6,4
2019-11-23,7,19
2019-11-23,8,16
2019-11-23,9,58
2019-11-23,10,84
2019-11-23,11,70
2019-11-23,12,76
2019-11-23,13,93
2019-11-23,14,95
2019-11-23,15,88
2019-11-23,16,103
2019-11-23,17,95
2019-11-23,18,72
2019-11-23,19,60
2019-11-23,20,34
2019-11-23,21,18
2019-11-23,22,16
2019-11-23,23,12
2019-11-24,0,15
2019-11-24,1,3
2019-11-24,2,3
2019-11-24,3,3
2019-11-24,4,4
2019-11-24,5,0
2019-11-24,6,1
2019-11-24,7,8
2019-11-24,8,16
2019-11-24,9,26
2019-11-24,10,36
2019-11-24,11,51
2019-11-24,12,57
2019-11-24,13,71
2019-11-24,14,63
2019-11-24,15,53
2019-11-24,16,48
2019-11-24,17,48
2019-11-24,18,36
2019-11-24,19,22
2019-11-24,20,20
2019-11-24,21,30
2019-11-24,22,7
2019-11-24,23,12
2019-11-25,0,5
2019-11-25,1,2
2019-11-25,2,0
2019-11-25,3,1
2019-11-25,4,5
2019-11-25,5,3
2019-11-25,6,6
2019-11-25,7,21
2019-11-25,8,69
2019-11-25,9,81
2019-11-25,10,81
2019-11-25,11,61
2019-11-25,12,77
2019-11-25,13,71
2019-11-25,14,72
2019-11-25,15,87
2019-11-25,16,76
2019-11-25,17,72
2019-11-25,18,42
2019-11-25,19,41
2019-11-25,20,16
2019-11-25,21,9
2019-11-25,22,9
2019-11-25,23,7
2019-11-26,0,3
2019-11-26,1,2
2019-11-26,2,1
2019-11-26,3,0
2019-11-26,4,1
2019-11-26,5,4
2019-11-26,6,8
2019-11-26,7,24
2019-11-26,8,59
2019-11-26,9,58
2019-11-26,10,82
2019-11-26,11,80
2019-11-26,12,62
2019-11-26,13,80
2019-11-26,14,67
2019-11-26,15,81
2019-11-26,16,81
2019-11-26,17,64
2019-11-26,18,64
2019-11-26,19,31
2019-11-26,20,26
2019-11-26,21,21
2019-11-26,22,13
2019-11-26,23,7
2019-11-27,0,8
2019-11-27,1,1
2019-11-27,2,2
2019-11-27,3,3
2019-11-27,4,2
2019-11-27,5,3
2019-11-27,6,12
2019-11-27,7,36
2019-11-27,8,59
2019-11-27,9,61
2019-11-27,10,62
2019-11-27,11,71
2019-11-27,12,75
2019-11-27,13,72
2019-11-27,14,70
2019-11-27,15,76
2019-11-27,16,80
2019-11-27,17,103
2019-11-27,18,46
2019-11-27,19,38
2019-11-27,20,25
2019-11-27,21,21
2019-11-27,22,13
2019-11-27,23,8
2019-11-28,0,9
2019-11-28,1,2
2019-11-28,2,0
2019-11-28,3,6
2019-11-28,4,0
2019-11-28,5,4
2019-11-28,6,10
2019-11-28,7,31
2019-11-28,8,56
2019-11-28,9,70
2019-11-28,10,50
2019-11-28,11,75
2019-11-28,12,81
2019-11-28,13,75
2019-11-28,14,68
2019-11-28,15,80
2019-11-28,16,90
2019-11-28,17,78
2019-11-28,18,59
2019-11-28,19,55
2019-11-28,20,44
2019-11-28,21,40
2019-11-28,22,77
2019-11-28,23,51
2019-11-29,0,9
2019-11-29,1,1
2019-11-29,2,3
2019-11-29,3,1
2019-11-29,4,1
2019-11-29,5,7
2019-11-29,6,10
2019-11-29,7,21
2019-11-29,8,57
2019-11-29,9,61
2019-11-29,10,74
2019-11-29,11,55
2019-11-29,12,79
2019-11-29,13,74
2019-11-29,14,85
2019-11-29,15,85
2019-11-29,16,97
2019-11-29,17,83
2019-11-29,18,56
2019-11-29,19,57
2019-11-29,20,30
2019-11-29,21,25
2019-11-29,22,25
2019-11-29,23,16
2019-11-30,0,13
2019-11-30,1,9
2019-11-30,2,4
2019-11-30,3,2
2019-11-30,4,2
2019-11-30,5,3
2019-11-30,6,4
2019-11-30,7,13
2019-11-30,8,23
2019-11-30,9,59
2019-11-30,10,47
2019-11-30,11,79
2019-11-30,12,71
2019-11-30,13,87
2019-11-30,14,84
2019-11-30,15,74
2019-11-30,16,67
2019-11-30,17,56
2019-11-30,18,49
2019-11-30,19,37
2019-11-30,20,23
2019-11-30,21,36
2019-11-30,22,16
2019-11-30,23,12
2019-12-01,0,16
2019-12-01,1,4
2019-12-01,2,6
2019-12-01,3,9
2019-12-01,4,5
2019-12-01,5,2
2019-12-01,6,5
2019-12-01,7,7
2019-12-01,8,9
2019-12-01,9,17
2019-12-01,10,40
2019-12-01,11,54
2019-12-01,12,49
2019-12-01,13,52
2019-12-01,14,72
2019-12-01,15,58
2019-12-01,16,48
2019-12-01,17,54
2019-12-01,18,38
2019-12-01,19,33
2019-12-01,20,19
2019-12-01,21,25
2019-12-01,22,20
2019-12-01,23,10
2019-12-02,0,6
2019-12-02,1,2
2019-12-02,2,6
2019-12-02,3,3
2019-12-02,4,1
2019-12-02,5,5
2019-12-02,6,10
2019-12-02,7,34
2019-12-02,8,59
2019-12-02,9,79
2019-12-02,10,58
2019-12-02,11,60
2019-12-02,12,63
2019-12-02,13,61
2019-12-02,14,55
2019-12-02,15,69
2019-12-02,16,68
2019-12-02,17,70
2019-12-02,18,48
2019-12-02,19,31
2019-12-02,20,24
2019-12-02,21,16
2019-12-02,22,16
2019-12-02,23,4
2019-12-03,0,3
2019-12-03,1,1
2019-12-03,2,0
2019-12-03,3,3
2019-12-03,4,1
2019-12-03,5,4
2019-12-03,6,9
2019-12-03,7,38
2019-12-03,8,60
2019-12-03,9,81
2019-12-03,10,57
2019-12-03,11,57
2019-12-03,12,73
2019-12-03,13,90
