date,time,flow
2019-10-01,0,0
2019-10-01,1,1
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,1
2019-10-01,5,3
2019-10-01,6,14
2019-10-01,7,28
2019-10-01,8,15
2019-10-01,9,22
2019-10-01,10,13
2019-10-01,11,15
2019-10-01,12,8
2019-10-01,13,24
2019-10-01,14,32
2019-10-01,15,28
2019-10-01,16,18
2019-10-01,17,14
2019-10-01,18,14
2019-10-01,19,12
2019-10-01,20,6
2019-10-01,21,4
2019-10-01,22,4
2019-10-01,23,0
2019-10-02,0,1
2019-10-02,1,2
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,1
2019-10-02,5,2
2019-10-02,6,12
2019-10-02,7,16
2019-10-02,8,15
2019-10-02,9,16
2019-10-02,10,16
2019-10-02,11,12
2019-10-02,12,13
2019-10-02,13,16
2019-10-02,14,26
2019-10-02,15,26
2019-10-02,16,54
2019-10-02,17,6
2019-10-02,18,15
2019-10-02,19,4
2019-10-02,20,8
2019-10-02,21,12
2019-10-02,22,0
2019-10-02,23,0
2019-10-03,0,0
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,1
2019-10-03,5,1
2019-10-03,6,15
2019-10-03,7,21
2019-10-03,8,11
2019-10-03,9,9
2019-10-03,10,16
2019-10-03,11,16
2019-10-03,12,16
2019-10-03,13,16
2019-10-03,14,19
2019-10-03,15,18
2019-10-03,16,24
2019-10-03,17,17
2019-10-03,18,12
2019-10-03,19,4
2019-10-03,20,8
2019-10-03,21,52
2019-10-03,22,15
2019-10-03,23,0
2019-10-04,0,0
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,2
2019-10-04,4,5
2019-10-04,5,4
2019-10-04,6,9
2019-10-04,7,21
2019-10-04,8,19
2019-10-04,9,9
2019-10-04,10,14
2019-10-04,11,12
2019-10-04,12,26
2019-10-04,13,20
2019-10-04,14,34
2019-10-04,15,17
2019-10-04,16,41
2019-10-04,17,14
2019-10-04,18,13
2019-10-04,19,2
2019-10-04,20,12
2019-10-04,21,12
2019-10-04,22,3
2019-10-04,23,2
2019-10-05,0,0
2019-10-05,1,1
2019-10-05,2,6
2019-10-05,3,0
2019-10-05,4,2
2019-10-05,5,2
2019-10-05,6,4
2019-10-05,7,16
2019-10-05,8,16
2019-10-05,9,16
2019-10-05,10,21
2019-10-05,11,15
2019-10-05,12,16
2019-10-05,13,16
2019-10-05,14,16
2019-10-05,15,16
2019-10-05,16,16
2019-10-05,17,12
2019-10-05,18,16
2019-10-05,19,8
2019-10-05,20,0
2019-10-05,21,12
2019-10-05,22,5
2019-10-05,23,2
2019-10-06,0,1
2019-10-06,1,1
2019-10-06,2,1
2019-10-06,3,1
2019-10-06,4,1
2019-10-06,5,1
2019-10-06,6,0
2019-10-06,7,16
2019-10-06,8,12
2019-10-06,9,21
2019-10-06,10,16
2019-10-06,11,15
2019-10-06,12,7
2019-10-06,13,7
2019-10-06,14,24
2019-10-06,15,16
2019-10-06,16,16
2019-10-06,17,16
2019-10-06,18,8
2019-10-06,19,4
2019-10-06,20,14
2019-10-06,21,12
2019-10-06,22,8
2019-10-06,23,0
2019-10-07,0,0
2019-10-07,1,0
