date,time,flow
2019-10-01,0,5
2019-10-01,1,7
2019-10-01,2,3
2019-10-01,3,7
2019-10-01,4,5
2019-10-01,5,32
2019-10-01,6,58
2019-10-01,7,114
2019-10-01,8,83
2019-10-01,9,86
2019-10-01,10,97
2019-10-01,11,108
2019-10-01,12,114
2019-10-01,13,113
2019-10-01,14,130
2019-10-01,15,151
2019-10-01,16,189
2019-10-01,17,116
2019-10-01,18,85
2019-10-01,19,71
2019-10-01,20,59
2019-10-01,21,30
2019-10-01,22,18
2019-10-01,23,14
2019-10-02,0,7
2019-10-02,1,3
2019-10-02,2,5
2019-10-02,3,5
2019-10-02,4,11
2019-10-02,5,24
2019-10-02,6,71
2019-10-02,7,92
2019-10-02,8,96
2019-10-02,9,96
2019-10-02,10,94
2019-10-02,11,88
2019-10-02,12,87
2019-10-02,13,120
2019-10-02,14,129
2019-10-02,15,155
2019-10-02,16,171
2019-10-02,17,131
2019-10-02,18,97
2019-10-02,19,62
2019-10-02,20,51
2019-10-02,21,37
2019-10-02,22,15
2019-10-02,23,9
2019-10-03,0,10
2019-10-03,1,2
2019-10-03,2,3
2019-10-03,3,4
2019-10-03,4,11
2019-10-03,5,29
2019-10-03,6,54
2019-10-03,7,86
2019-10-03,8,81
2019-10-03,9,75
2019-10-03,10,87
2019-10-03,11,101
2019-10-03,12,124
2019-10-03,13,112
2019-10-03,14,129
2019-10-03,15,172
2019-10-03,16,180
2019-10-03,17,111
2019-10-03,18,58
2019-10-03,19,63
2019-10-03,20,57
2019-10-03,21,247
2019-10-03,22,101
2019-10-03,23,17
2019-10-04,0,7
2019-10-04,1,4
2019-10-04,2,7
2019-10-04,3,4
2019-10-04,4,8
2019-10-04,5,26
2019-10-04,6,57
2019-10-04,7,75
2019-10-04,8,87
2019-10-04,9,103
2019-10-04,10,111
2019-10-04,11,131
2019-10-04,12,128
2019-10-04,13,109
2019-10-04,14,139
2019-10-04,15,161
2019-10-04,16,168
2019-10-04,17,126
2019-10-04,18,73
2019-10-04,19,50
2019-10-04,20,47
2019-10-04,21,36
2019-10-04,22,20
2019-10-04,23,19
2019-10-05,0,13
2019-10-05,1,13
2019-10-05,2,11
2019-10-05,3,7
2019-10-05,4,12
2019-10-05,5,15
2019-10-05,6,35
2019-10-05,7,37
2019-10-05,8,50
2019-10-05,9,77
2019-10-05,10,85
2019-10-05,11,99
2019-10-05,12,96
2019-10-05,13,90
2019-10-05,14,85
2019-10-05,15,97
2019-10-05,16,73
2019-10-05,17,73
2019-10-05,18,52
2019-10-05,19,54
2019-10-05,20,44
2019-10-05,21,37
2019-10-05,22,31
2019-10-05,23,19
2019-10-06,0,14
2019-10-06,1,20
2019-10-06,2,11
2019-10-06,3,10
2019-10-06,4,9
2019-10-06,5,14
2019-10-06,6,16
2019-10-06,7,30
2019-10-06,8,37
2019-10-06,9,50
2019-10-06,10,87
2019-10-06,11,74
2019-10-06,12,85
2019-10-06,13,87
2019-10-06,14,81
2019-10-06,15,99
2019-10-06,16,80
2019-10-06,17,69
2019-10-06,18,45
2019-10-06,19,43
2019-10-06,20,31
2019-10-06,21,22
2019-10-06,22,17
2019-10-06,23,10
2019-10-07,0,6
2019-10-07,1,4
2019-10-07,2,6
2019-10-07,3,4
2019-10-07,4,9
2019-10-07,5,21
2019-10-07,6,57
2019-10-07,7,83
2019-10-07,8,76
2019-10-07,9,71
2019-10-07,10,61
2019-10-07,11,96
2019-10-07,12,105
2019-10-07,13,119
2019-10-07,14,123
2019-10-07,15,167
2019-10-07,16,177
2019-10-07,17,115
2019-10-07,18,65
2019-10-07,19,58
2019-10-07,20,54
2019-10-07,21,26
2019-10-07,22,12
2019-10-07,23,10
2019-10-08,0,3
2019-10-08,1,10
2019-10-08,2,4
2019-10-08,3,5
2019-10-08,4,12
2019-10-08,5,29
2019-10-08,6,49
2019-10-08,7,98
2019-10-08,8,100
2019-10-08,9,85
2019-10-08,10,84
2019-10-08,11,92
2019-10-08,12,107
2019-10-08,13,132
2019-10-08,14,129
2019-10-08,15,175
2019-10-08,16,213
2019-10-08,17,166
2019-10-08,18,86
2019-10-08,19,54
2019-10-08,20,47
2019-10-08,21,29
2019-10-08,22,14
2019-10-08,23,12
2019-10-09,0,8
2019-10-09,1,6
2019-10-09,2,5
2019-10-09,3,4
2019-10-09,4,10
2019-10-09,5,32
2019-10-09,6,76
2019-10-09,7,103
2019-10-09,8,92
2019-10-09,9,89
2019-10-09,10,84
2019-10-09,11,88
2019-10-09,12,101
2019-10-09,13,124
2019-10-09,14,118
2019-10-09,15,137
2019-10-09,16,201
2019-10-09,17,133
2019-10-09,18,85
2019-10-09,19,54
2019-10-09,20,52
2019-10-09,21,49
2019-10-09,22,22
2019-10-09,23,12
2019-10-10,0,6
2019-10-10,1,7
2019-10-10,2,5
2019-10-10,3,5
2019-10-10,4,6
2019-10-10,5,30
2019-10-10,6,68
2019-10-10,7,85
2019-10-10,8,87
2019-10-10,9,77
2019-10-10,10,89
2019-10-10,11,119
2019-10-10,12,98
2019-10-10,13,131
2019-10-10,14,138
2019-10-10,15,176
2019-10-10,16,177
2019-10-10,17,124
2019-10-10,18,89
2019-10-10,19,66
2019-10-10,20,53
2019-10-10,21,37
2019-10-10,22,23
2019-10-10,23,12
2019-10-11,0,6
2019-10-11,1,5
2019-10-11,2,5
2019-10-11,3,3
2019-10-11,4,13
2019-10-11,5,31
2019-10-11,6,62
2019-10-11,7,77
2019-10-11,8,84
2019-10-11,9,88
2019-10-11,10,77
2019-10-11,11,106
2019-10-11,12,109
2019-10-11,13,130
2019-10-11,14,138
2019-10-11,15,152
2019-10-11,16,156
2019-10-11,17,115
2019-10-11,18,72
2019-10-11,19,54
2019-10-11,20,56
2019-10-11,21,39
2019-10-11,22,19
2019-10-11,23,23
2019-10-12,0,15
2019-10-12,1,10
2019-10-12,2,11
2019-10-12,3,7
2019-10-12,4,10
2019-10-12,5,17
2019-10-12,6,28
2019-10-12,7,38
2019-10-12,8,55
2019-10-12,9,56
2019-10-12,10,77
2019-10-12,11,90
2019-10-12,12,99
2019-10-12,13,112
2019-10-12,14,87
2019-10-12,15,95
2019-10-12,16,78
2019-10-12,17,71
2019-10-12,18,44
2019-10-12,19,37
2019-10-12,20,29
2019-10-12,21,29
2019-10-12,22,28
2019-10-12,23,16
2019-10-13,0,13
2019-10-13,1,18
2019-10-13,2,10
2019-10-13,3,11
2019-10-13,4,8
2019-10-13,5,11
2019-10-13,6,18
2019-10-13,7,23
2019-10-13,8,29
2019-10-13,9,45
2019-10-13,10,64
2019-10-13,11,74
2019-10-13,12,73
2019-10-13,13,95
2019-10-13,14,94
2019-10-13,15,98
2019-10-13,16,70
2019-10-13,17,69
2019-10-13,18,64
2019-10-13,19,34
2019-10-13,20,32
2019-10-13,21,33
2019-10-13,22,19
2019-10-13,23,16
2019-10-14,0,8
2019-10-14,1,3
2019-10-14,2,3
2019-10-14,3,6
2019-10-14,4,11
2019-10-14,5,31
2019-10-14,6,60
2019-10-14,7,79
2019-10-14,8,76
2019-10-14,9,59
2019-10-14,10,89
2019-10-14,11,97
2019-10-14,12,103
2019-10-14,13,107
2019-10-14,14,111
2019-10-14,15,128
2019-10-14,16,160
2019-10-14,17,100
2019-10-14,18,70
2019-10-14,19,49
2019-10-14,20,38
2019-10-14,21,34
2019-10-14,22,13
2019-10-14,23,8
2019-10-15,0,5
2019-10-15,1,6
2019-10-15,2,4
2019-10-15,3,5
2019-10-15,4,10
2019-10-15,5,29
2019-10-15,6,57
2019-10-15,7,76
2019-10-15,8,63
2019-10-15,9,80
2019-10-15,10,82
2019-10-15,11,82
2019-10-15,12,108
2019-10-15,13,108
2019-10-15,14,116
2019-10-15,15,158
2019-10-15,16,166
2019-10-15,17,104
2019-10-15,18,70
2019-10-15,19,61
2019-10-15,20,40
2019-10-15,21,31
2019-10-15,22,13
2019-10-15,23,6
2019-10-16,0,7
2019-10-16,1,2
2019-10-16,2,5
2019-10-16,3,3
2019-10-16,4,5
2019-10-16,5,31
2019-10-16,6,64
2019-10-16,7,95
2019-10-16,8,86
2019-10-16,9,94
2019-10-16,10,84
2019-10-16,11,94
2019-10-16,12,89
2019-10-16,13,110
2019-10-16,14,129
2019-10-16,15,159
2019-10-16,16,152
2019-10-16,17,94
2019-10-16,18,78
2019-10-16,19,74
2019-11-20,12,116
2019-11-20,13,117
2019-11-20,14,119
2019-11-20,15,123
2019-11-20,16,156
2019-11-20,17,173
2019-11-20,18,128
2019-11-20,19,83
2019-11-20,20,69
2019-11-20,21,36
2019-11-20,22,37
2019-11-20,23,22
2019-11-21,0,15
2019-11-21,1,7
2019-11-21,2,1
2019-11-21,3,0
2019-11-21,4,7
2019-11-21,5,8
2019-11-21,6,32
2019-11-21,7,54
2019-11-21,8,102
2019-11-21,9,104
2019-11-21,10,85
2019-11-21,11,71
2019-11-21,12,100
2019-11-21,13,113
2019-11-21,14,123
2019-11-21,15,127
2019-11-21,16,174
2019-11-21,17,193
2019-11-21,18,129
2019-11-21,19,84
2019-11-21,20,56
2019-11-21,21,48
2019-11-21,22,38
2019-11-21,23,29
2019-11-22,0,10
2019-11-22,1,3
2019-11-22,2,7
2019-11-22,3,6
2019-11-22,4,4
2019-11-22,5,12
2019-11-22,6,30
2019-11-22,7,65
2019-11-22,8,98
2019-11-22,9,90
2019-11-22,10,73
2019-11-22,11,95
2019-11-22,12,111
2019-11-22,13,116
2019-11-22,14,112
2019-11-22,15,153
2019-11-22,16,166
2019-11-22,17,148
2019-11-22,18,114
2019-11-22,19,86
2019-11-22,20,59
2019-11-22,21,37
2019-11-22,22,41
2019-11-22,23,27
2019-11-23,0,24
2019-11-23,1,9
2019-11-23,2,14
2019-11-23,3,7
2019-11-23,4,4
2019-11-23,5,12
2019-11-23,6,15
2019-11-23,7,29
2019-11-23,8,44
2019-11-23,9,51
2019-11-23,10,52
2019-11-23,11,92
2019-11-23,12,99
2019-11-23,13,91
2019-11-23,14,99
2019-11-23,15,97
2019-11-23,16,100
2019-11-23,17,354
2019-11-23,18,86
2019-11-23,19,63
2019-11-23,20,42
2019-11-23,21,35
2019-11-23,22,32
2019-11-23,23,29
2019-11-24,0,29
2019-11-24,1,21
2019-11-24,2,15
2019-11-24,3,10
2019-11-24,4,9
2019-11-24,5,12
2019-11-24,6,13
2019-11-24,7,16
2019-11-24,8,30
2019-11-24,9,36
2019-11-24,10,54
2019-11-24,11,71
2019-11-24,12,75
2019-11-24,13,69
2019-11-24,14,85
2019-11-24,15,88
2019-11-24,16,100
2019-11-24,17,81
2019-11-24,18,61
2019-11-24,19,44
2019-11-24,20,31
2019-11-24,21,22
2019-11-24,22,22
2019-11-24,23,17
2019-11-25,0,10
2019-11-25,1,6
2019-11-25,2,5
2019-11-25,3,5
2019-11-25,4,4
2019-11-25,5,11
2019-11-25,6,26
2019-11-25,7,54
2019-11-25,8,82
2019-11-25,9,104
2019-11-25,10,93
2019-11-25,11,69
2019-11-25,12,91
2019-11-25,13,105
2019-11-25,14,101
2019-11-25,15,117
2019-11-25,16,150
2019-11-25,17,181
2019-11-25,18,110
2019-11-25,19,66
2019-11-25,20,51
2019-11-25,21,43
2019-11-25,22,33
2019-11-25,23,14
2019-11-26,0,3
2019-11-26,1,4
2019-11-26,2,5
2019-11-26,3,3
2019-11-26,4,5
2019-11-26,5,9
2019-11-26,6,22
2019-11-26,7,60
2019-11-26,8,89
2019-11-26,9,93
2019-11-26,10,102
2019-11-26,11,94
2019-11-26,12,98
2019-11-26,13,89
2019-11-26,14,115
2019-11-26,15,133
2019-11-26,16,168
2019-11-26,17,184
2019-11-26,18,144
2019-11-26,19,83
2019-11-26,20,60
2019-11-26,21,40
2019-11-26,22,42
2019-11-26,23,14
2019-11-27,0,14
2019-11-27,1,7
2019-11-27,2,1
2019-11-27,3,6
2019-11-27,4,3
2019-11-27,5,8
2019-11-27,6,35
2019-11-27,7,77
2019-11-27,8,87
2019-11-27,9,84
2019-11-27,10,87
2019-11-27,11,95
2019-11-27,12,104
2019-11-27,13,100
2019-11-27,14,119
2019-11-27,15,123
2019-11-27,16,169
2019-11-27,17,201
2019-11-27,18,132
2019-11-27,19,82
2019-11-27,20,48
2019-11-27,21,40
2019-11-27,22,34
2019-11-27,23,16
2019-11-28,0,18
2019-11-28,1,7
2019-11-28,2,5
2019-11-28,3,3
2019-11-28,4,4
2019-11-28,5,6
2019-11-28,6,28
2019-11-28,7,66
2019-11-28,8,84
2019-11-28,9,100
2019-11-28,10,70
2019-11-28,11,90
2019-11-28,12,92
2019-11-28,13,115
2019-11-28,14,115
2019-11-28,15,139
2019-11-28,16,160
2019-11-28,17,233
2019-11-28,18,130
2019-11-28,19,83
2019-11-28,20,63
2019-11-28,21,43
2019-11-28,22,315
2019-11-28,23,66
2019-11-29,0,15
