date,time,flow
2019-10-01,0,4
2019-10-01,1,3
2019-10-01,2,2
2019-10-01,3,17
2019-10-01,4,15
2019-10-01,5,24
2019-10-01,6,90
2019-10-01,7,127
2019-10-01,8,136
2019-10-01,9,82
2019-10-01,10,61
2019-10-01,11,83
2019-10-01,12,108
2019-10-01,13,79
2019-10-01,14,69
2019-10-01,15,101
2019-10-01,16,93
2019-10-01,17,90
2019-10-01,18,58
2019-10-01,19,31
2019-10-01,20,21
2019-10-01,21,24
2019-10-01,22,8
2019-10-01,23,12
2019-10-02,0,3
2019-10-02,1,2
2019-10-02,2,3
2019-10-02,3,2
2019-10-02,4,6
2019-10-02,5,26
2019-10-02,6,76
2019-10-02,7,153
2019-10-02,8,129
2019-10-02,9,100
2019-10-02,10,75
2019-10-02,11,96
2019-10-02,12,98
2019-10-02,13,73
2019-10-02,14,71
2019-10-02,15,99
2019-10-02,16,86
2019-10-02,17,62
2019-10-02,18,56
2019-10-02,19,50
2019-10-02,20,35
2019-10-02,21,22
2019-10-02,22,10
2019-10-02,23,6
2019-10-03,0,4
2019-10-03,1,2
2019-10-03,2,2
2019-10-03,3,5
2019-10-03,4,4
2019-10-03,5,26
2019-10-03,6,82
2019-10-03,7,140
2019-10-03,8,102
2019-10-03,9,82
2019-10-03,10,82
2019-10-03,11,83
2019-10-03,12,95
2019-10-03,13,105
2019-10-03,14,74
2019-10-03,15,114
2019-10-03,16,82
2019-10-03,17,118
2019-10-03,18,204
2019-10-03,19,38
2019-10-03,20,42
2019-10-03,21,49
2019-10-03,22,21
2019-10-03,23,15
2019-10-04,0,8
2019-10-04,1,4
2019-10-04,2,0
2019-10-04,3,4
2019-10-04,4,6
2019-10-04,5,47
2019-10-04,6,75
2019-10-04,7,143
2019-10-04,8,121
2019-10-04,9,76
2019-10-04,10,87
2019-10-04,11,82
2019-10-04,12,98
2019-10-04,13,88
2019-10-04,14,94
2019-10-04,15,86
2019-10-04,16,86
2019-10-04,17,76
2019-10-04,18,73
2019-10-04,19,42
2019-10-04,20,41
2019-10-04,21,38
2019-10-04,22,21
2019-10-04,23,12
2019-10-05,0,4
2019-10-05,1,11
2019-10-05,2,5
2019-10-05,3,2
2019-10-05,4,5
2019-10-05,5,15
2019-10-05,6,23
2019-10-05,7,44
2019-10-05,8,48
2019-10-05,9,68
2019-10-05,10,84
2019-10-05,11,74
2019-10-05,12,86
2019-10-05,13,82
2019-10-05,14,67
2019-10-05,15,65
2019-10-05,16,62
2019-10-05,17,61
2019-10-05,18,54
2019-10-05,19,42
2019-10-05,20,27
2019-10-05,21,27
2019-10-05,22,32
2019-10-05,23,17
2019-10-06,0,9
2019-10-06,1,9
2019-10-06,2,10
2019-10-06,3,5
2019-10-06,4,6
2019-10-06,5,4
2019-10-06,6,12
2019-10-06,7,16
2019-10-06,8,37
2019-10-06,9,47
2019-10-06,10,57
2019-10-06,11,71
2019-10-06,12,79
2019-10-06,13,69
2019-10-06,14,64
2019-10-06,15,67
2019-10-06,16,56
2019-10-06,17,66
2019-10-06,18,40
2019-10-06,19,36
2019-10-06,20,32
2019-10-06,21,15
2019-10-06,22,9
2019-10-06,23,12
2019-10-07,0,5
2019-10-07,1,2
2019-10-07,2,2
2019-10-07,3,5
2019-10-07,4,5
2019-10-07,5,34
2019-10-07,6,122
2019-10-07,7,162
2019-10-07,8,150
2019-10-07,9,120
2019-10-07,10,84
2019-10-07,11,87
2019-10-07,12,89
2019-10-07,13,74
2019-10-07,14,99
2019-10-07,15,72
2019-10-07,16,88
2019-10-07,17,81
2019-10-07,18,54
2019-10-07,19,43
2019-10-07,20,26
2019-10-07,21,16
2019-10-07,22,9
2019-10-07,23,9
2019-10-08,0,3
2019-10-08,1,6
2019-10-08,2,2
2019-10-08,3,1
2019-10-08,4,5
2019-10-08,5,34
2019-10-08,6,101
2019-10-08,7,130
2019-10-08,8,150
2019-10-08,9,74
2019-10-08,10,66
2019-10-08,11,87
2019-10-08,12,90
2019-10-08,13,79
2019-10-08,14,78
2019-10-08,15,80
2019-10-08,16,89
2019-10-08,17,80
2019-10-08,18,66
2019-10-08,19,42
2019-10-08,20,27
2019-10-08,21,21
2019-10-08,22,13
2019-10-08,23,7
2019-10-09,0,0
2019-10-09,1,4
2019-10-09,2,2
2019-10-09,3,3
2019-10-09,4,8
2019-10-09,5,32
2019-10-09,6,97
2019-10-09,7,154
2019-10-09,8,112
2019-10-09,9,108
2019-10-09,10,83
2019-10-09,11,97
2019-10-09,12,85
2019-10-09,13,78
2019-10-09,14,60
2019-10-09,15,73
2019-10-09,16,85
2019-10-09,17,88
2019-10-09,18,66
2019-10-09,19,41
2019-10-09,20,40
2019-10-09,21,24
2019-10-09,22,17
2019-10-09,23,7
2019-10-10,0,4
2019-10-10,1,1
2019-10-10,2,3
2019-10-10,3,4
2019-10-10,4,6
2019-10-10,5,32
2019-10-10,6,92
2019-10-10,7,132
2019-10-10,8,131
2019-10-10,9,84
2019-10-10,10,79
2019-10-10,11,100
2019-10-10,12,84
2019-10-10,13,91
2019-10-10,14,74
2019-10-10,15,70
2019-10-10,16,89
2019-10-10,17,90
2019-10-10,18,64
2019-10-10,19,52
2019-10-10,20,31
2019-10-10,21,17
2019-10-10,22,11
2019-10-10,23,14
2019-10-11,0,6
2019-10-11,1,2
2019-10-11,2,3
2019-10-11,3,6
2019-10-11,4,4
2019-10-11,5,31
2019-10-11,6,96
2019-10-11,7,147
2019-10-11,8,113
2019-10-11,9,105
2019-10-11,10,72
2019-10-11,11,93
2019-10-11,12,98
2019-10-11,13,81
2019-10-11,14,109
2019-10-11,15,111
2019-10-11,16,87
2019-10-11,17,80
2019-10-11,18,53
2019-10-11,19,43
2019-10-11,20,30
2019-10-11,21,30
2019-10-11,22,17
2019-10-11,23,9
2019-10-12,0,8
2019-10-12,1,5
2019-10-12,2,8
2019-10-12,3,5
2019-10-12,4,6
2019-10-12,5,12
2019-10-12,6,23
2019-10-12,7,38
2019-10-12,8,57
2019-10-12,9,63
2019-10-12,10,74
2019-10-12,11,102
2019-10-12,12,85
2019-10-12,13,103
2019-10-12,14,77
2019-10-12,15,75
2019-10-12,16,53
2019-10-12,17,51
2019-10-12,18,57
2019-10-12,19,39
2019-10-12,20,25
2019-10-12,21,22
2019-10-12,22,21
2019-10-12,23,13
2019-10-13,0,20
2019-10-13,1,17
2019-10-13,2,9
2019-10-13,3,6
2019-10-13,4,5
2019-10-13,5,7
2019-10-13,6,12
2019-10-13,7,14
2019-10-13,8,28
2019-10-13,9,54
2019-10-13,10,53
2019-10-13,11,61
2019-10-13,12,77
2019-10-13,13,83
2019-10-13,14,63
2019-10-13,15,63
2019-10-13,16,56
2019-10-13,17,56
2019-10-13,18,50
2019-10-13,19,33
2019-10-13,20,29
2019-10-13,21,23
2019-10-13,22,7
2019-10-13,23,6
2019-10-14,0,1
2019-10-14,1,0
2019-10-14,2,1
2019-10-14,3,5
2019-10-14,4,5
2019-10-14,5,21
2019-10-14,6,78
2019-10-14,7,112
2019-10-14,8,77
2019-10-14,9,73
2019-10-14,10,62
2019-10-14,11,71
2019-10-14,12,92
2019-10-14,13,75
2019-10-14,14,82
2019-10-14,15,86
2019-10-14,16,77
2019-10-14,17,67
2019-10-14,18,51
2019-10-14,19,35
2019-10-14,20,20
2019-10-14,21,20
2019-10-14,22,11
2019-10-14,23,11
2019-10-15,0,6
2019-10-15,1,3
2019-10-15,2,0
2019-10-15,3,3
2019-10-15,4,8
2019-10-15,5,35
2019-10-15,6,78
2019-10-15,7,101
2019-10-15,8,80
2019-10-15,9,68
2019-10-15,10,80
2019-10-15,11,79
2019-10-15,12,84
2019-10-15,13,80
2019-10-15,14,82
