date,time,flow
2019-10-01,0,4
2019-10-01,1,0
2019-10-01,2,4
2019-10-01,3,13
2019-10-01,4,0
2019-10-01,5,0
2019-10-01,6,17
2019-10-01,7,16
2019-10-01,8,25
2019-10-01,9,12
2019-10-01,10,12
2019-10-01,11,4
2019-10-01,12,13
2019-10-01,13,16
2019-10-01,14,16
2019-10-01,15,30
2019-10-01,16,35
2019-10-01,17,8
2019-10-01,18,21
2019-10-01,19,4
2019-10-01,20,34
2019-10-01,21,110
2019-10-01,22,0
2019-10-01,23,12
2019-10-02,0,0
2019-10-02,1,4
2019-10-02,2,0
2019-10-02,3,4
2019-10-02,4,0
2019-10-02,5,0
2019-10-02,6,8
2019-10-02,7,26
2019-10-02,8,23
2019-10-02,9,12
2019-10-02,10,14
2019-10-02,11,8
2019-10-02,12,8
2019-10-02,13,8
2019-10-02,14,17
2019-10-02,15,52
2019-10-02,16,21
2019-10-02,17,0
2019-10-02,18,8
2019-10-02,19,0
2019-10-02,20,52
2019-10-02,21,61
2019-10-02,22,4
2019-10-02,23,0
2019-10-03,0,0
2019-10-03,1,8
2019-10-03,2,4
2019-10-03,3,0
2019-10-03,4,8
2019-10-03,5,0
2019-10-03,6,0
2019-10-03,7,26
2019-10-03,8,16
2019-10-03,9,21
2019-10-03,10,8
2019-10-03,11,44
2019-10-03,12,16
2019-10-03,13,16
2019-10-03,14,18
2019-10-03,15,22
2019-10-03,16,36
2019-10-03,17,33
2019-10-03,18,31
2019-10-03,19,42
2019-10-03,20,26
2019-10-03,21,132
2019-10-03,22,2
2019-10-03,23,0
2019-10-04,0,0
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,4
2019-10-04,5,4
2019-10-04,6,0
2019-10-04,7,8
2019-10-04,8,26
2019-10-04,9,0
2019-10-04,10,8
2019-10-04,11,26
2019-10-04,12,16
2019-10-04,13,26
2019-10-04,14,25
2019-10-04,15,43
2019-10-04,16,21
2019-10-04,17,17
2019-10-04,18,25
2019-10-04,19,35
2019-10-04,20,17
2019-10-04,21,21
2019-10-04,22,12
2019-10-04,23,8
2019-10-05,0,4
2019-10-05,1,0
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,0
2019-10-05,5,0
2019-10-05,6,0
2019-10-05,7,9
2019-10-05,8,4
2019-10-05,9,4
2019-10-05,10,12
2019-10-05,11,8
2019-10-05,12,17
2019-10-05,13,54
2019-10-05,14,9
2019-10-05,15,63
2019-10-05,16,126
2019-10-05,17,34
2019-10-05,18,57
2019-10-05,19,66
2019-10-05,20,53
2019-10-05,21,27
2019-10-05,22,39
2019-10-05,23,31
2019-10-06,0,80
2019-10-06,1,4
2019-10-06,2,27
2019-10-06,3,53
2019-10-06,4,32
2019-10-06,5,9
2019-10-06,6,35
2019-10-06,7,17
2019-10-06,8,35
2019-10-06,9,53
2019-10-06,10,40
2019-10-06,11,39
2019-10-06,12,39
2019-10-06,13,88
2019-10-06,14,110
2019-10-06,15,44
2019-10-06,16,88
2019-10-06,17,17
2019-10-06,18,13
2019-10-06,19,4
2019-10-06,20,17
2019-10-06,21,0
2019-10-06,22,21
2019-10-06,23,0
2019-10-07,0,0
2019-10-07,1,4
2019-10-07,2,0
2019-10-07,3,4
2019-10-07,4,8
2019-10-07,5,8
2019-10-07,6,39
2019-10-07,7,17
2019-10-07,8,52
2019-10-07,9,34
2019-10-07,10,41
2019-10-07,11,68
2019-10-07,12,49
2019-10-07,13,17
2019-10-07,14,22
2019-10-07,15,17
2019-10-07,16,12
