date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,4
2019-10-01,5,30
2019-10-01,6,79
2019-10-01,7,100
2019-10-01,8,84
2019-10-01,9,80
2019-10-01,10,88
2019-10-01,11,92
2019-10-01,12,92
2019-10-01,13,84
2019-10-01,14,95
2019-10-01,15,115
2019-10-01,16,88
2019-10-01,17,84
2019-10-01,18,71
2019-10-01,19,53
2019-10-01,20,40
2019-10-01,21,35
2019-10-01,22,16
2019-10-01,23,16
2019-10-02,0,4
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,8
2019-10-02,5,30
2019-10-02,6,71
2019-10-02,7,78
2019-10-02,8,84
2019-10-02,9,76
2019-10-02,10,80
2019-10-02,11,88
2019-10-02,12,80
2019-10-02,13,90
2019-10-02,14,92
2019-10-02,15,114
2019-10-02,16,92
2019-10-02,17,92
2019-10-02,18,84
2019-10-02,19,53
2019-10-02,20,48
2019-10-02,21,31
2019-10-02,22,21
2019-10-02,23,16
2019-10-03,0,4
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,8
2019-10-03,5,26
2019-10-03,6,71
2019-10-03,7,86
2019-10-03,8,87
2019-10-03,9,79
2019-10-03,10,87
2019-10-03,11,92
2019-10-03,12,88
2019-10-03,13,98
2019-10-03,14,109
2019-10-03,15,109
2019-10-03,16,74
2019-10-03,17,84
2019-10-03,18,76
2019-10-03,19,53
2019-10-03,20,44
2019-10-03,21,40
2019-10-03,22,26
2019-10-03,23,16
2019-10-04,0,8
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,12
2019-10-04,5,25
2019-10-04,6,66
2019-10-04,7,79
2019-10-04,8,96
2019-10-04,9,80
2019-10-04,10,98
2019-10-04,11,107
2019-10-04,12,103
2019-10-04,13,95
2019-10-04,14,104
2019-10-04,15,104
2019-10-04,16,90
2019-10-04,17,88
2019-10-04,18,67
2019-10-04,19,51
2019-10-04,20,44
2019-10-04,21,36
2019-10-04,22,31
2019-10-04,23,21
2019-10-05,0,12
2019-10-05,1,8
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,8
2019-10-05,5,12
2019-10-05,6,16
2019-10-05,7,36
2019-10-05,8,48
2019-10-05,9,71
2019-10-05,10,74
2019-10-05,11,95
2019-10-05,12,114
2019-10-05,13,70
2019-10-05,14,92
2019-10-05,15,92
2019-10-05,16,66
2019-10-05,17,75
2019-10-05,18,62
2019-10-05,19,44
2019-10-05,20,44
2019-10-05,21,40
2019-10-05,22,26
2019-10-05,23,26
2019-10-06,0,21
2019-10-06,1,12
2019-10-06,2,4
2019-10-06,3,8
2019-10-06,4,4
2019-10-06,5,8
2019-10-06,6,16
2019-10-06,7,21
2019-10-06,8,35
2019-10-06,9,57
2019-10-06,10,67
2019-10-06,11,66
2019-10-06,12,96
2019-10-06,13,88
2019-10-06,14,84
2019-10-06,15,80
2019-10-06,16,76
2019-10-06,17,72
2019-10-06,18,52
2019-10-06,19,44
2019-10-06,20,44
2019-10-06,21,36
2019-10-06,22,31
2019-10-06,23,35
2019-10-07,0,13
2019-10-07,1,4
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,8
2019-10-07,5,35
2019-10-07,6,71
2019-10-07,7,78
2019-10-07,8,76
2019-10-07,9,72
2019-10-07,10,66
2019-10-07,11,76
2019-10-07,12,84
2019-10-07,13,92
2019-10-07,14,102
2019-10-07,15,94
2019-10-07,16,62
2019-10-07,17,84
2019-10-07,18,62
2019-10-07,19,44
2019-10-07,20,31
2019-10-07,21,26
2019-10-07,22,16
2019-10-07,23,12
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,9
2019-10-08,5,35
2019-10-08,6,66
2019-10-08,7,86
2019-10-08,8,94
2019-10-08,9,90
2019-10-08,10,80
2019-10-08,11,88
2019-10-08,12,88
2019-10-08,13,80
2019-10-08,14,98
2019-10-08,15,113
2019-10-08,16,70
2019-10-08,17,92
2019-10-08,18,76
2019-10-08,19,49
2019-10-08,20,48
2019-10-08,21,40
2019-10-08,22,16
2019-10-08,23,16
2019-10-09,0,4
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,8
2019-10-09,5,30
2019-10-09,6,67
2019-10-09,7,83
2019-10-09,8,87
2019-10-09,9,84
2019-10-09,10,84
2019-10-09,11,90
2019-10-09,12,81
2019-10-09,13,91
2019-10-09,14,90
2019-10-09,15,100
2019-10-09,16,78
2019-10-09,17,92
2019-10-09,18,75
2019-10-09,19,52
2019-10-09,20,48
2019-10-09,21,31
2019-10-09,22,21
2019-10-09,23,16
2019-10-10,0,4
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,12
2019-10-10,5,31
2019-10-10,6,66
2019-10-10,7,84
2019-10-10,8,84
2019-10-10,9,79
2019-10-10,10,78
2019-10-10,11,92
2019-10-10,12,95
2019-10-10,13,97
2019-10-10,14,101
2019-10-10,15,112
2019-10-10,16,74
2019-10-10,17,80
2019-10-10,18,88
2019-10-10,19,61
2019-10-10,20,44
2019-10-10,21,40
2019-10-10,22,16
2019-10-10,23,16
2019-10-11,0,4
2019-10-11,1,0
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,12
2019-10-11,5,30
2019-10-11,6,61
2019-10-11,7,84
2019-10-11,8,80
2019-10-11,9,80
2019-10-11,10,96
2019-10-11,11,104
2019-10-11,12,100
2019-10-11,13,96
2019-10-11,14,108
2019-10-11,15,108
2019-10-11,16,82
2019-10-11,17,88
2019-10-11,18,76
2019-10-11,19,48
2019-10-11,20,36
2019-10-11,21,26
2019-10-11,22,21
