date,time,flow
2019-10-01,0,4
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,8
2019-10-01,5,30
2019-10-01,6,88
2019-10-01,7,184
2019-10-01,8,93
2019-10-01,9,71
2019-10-01,10,74
2019-10-01,11,76
2019-10-01,12,93
2019-10-01,13,76
2019-10-01,14,84
2019-10-01,15,84
2019-10-01,16,72
2019-10-01,17,67
2019-10-01,18,71
2019-10-01,19,49
2019-10-01,20,40
2019-10-01,21,21
2019-10-01,22,16
2019-10-01,23,8
2019-10-02,0,4
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,8
2019-10-02,5,31
2019-10-02,6,74
2019-10-02,7,132
2019-10-02,8,84
2019-10-02,9,94
2019-10-02,10,67
2019-10-02,11,80
2019-10-02,12,78
2019-10-02,13,84
2019-10-02,14,94
2019-10-02,15,84
2019-10-02,16,84
2019-10-02,17,76
2019-10-02,18,80
2019-10-02,19,62
2019-10-02,20,40
2019-10-02,21,30
2019-10-02,22,12
2019-10-02,23,12
2019-10-03,0,4
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,8
2019-10-03,5,35
2019-10-03,6,70
2019-10-03,7,153
2019-10-03,8,92
2019-10-03,9,67
2019-10-03,10,80
2019-10-03,11,84
2019-10-03,12,76
2019-10-03,13,80
2019-10-03,14,105
2019-10-03,15,84
2019-10-03,16,71
2019-10-03,17,84
2019-10-03,18,76
2019-10-03,19,57
2019-10-03,20,53
2019-10-03,21,53
2019-10-03,22,16
2019-10-03,23,17
2019-10-04,0,0
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,8
2019-10-04,5,25
2019-10-04,6,57
2019-10-04,7,91
2019-10-04,8,83
2019-10-04,9,72
2019-10-04,10,76
2019-10-04,11,88
2019-10-04,12,66
2019-10-04,13,92
2019-10-04,14,92
2019-10-04,15,96
2019-10-04,16,76
2019-10-04,17,80
2019-10-04,18,70
2019-10-04,19,66
2019-10-04,20,44
2019-10-04,21,35
2019-10-04,22,16
2019-10-04,23,16
2019-10-05,0,12
2019-10-05,1,0
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,12
2019-10-05,5,16
2019-10-05,6,21
2019-10-05,7,31
2019-10-05,8,48
2019-10-05,9,67
2019-10-05,10,80
2019-10-05,11,96
2019-10-05,12,101
2019-10-05,13,101
2019-10-05,14,89
2019-10-05,15,92
2019-10-05,16,72
2019-10-05,17,62
2019-10-05,18,44
2019-10-05,19,36
2019-10-05,20,36
2019-10-05,21,21
2019-10-05,22,16
2019-10-05,23,16
2019-10-06,0,16
2019-10-06,1,4
2019-10-06,2,0
2019-10-06,3,0
2019-10-06,4,4
2019-10-06,5,4
2019-10-06,6,21
2019-10-06,7,21
2019-10-06,8,40
2019-10-06,9,71
2019-10-06,10,75
2019-10-06,11,105
2019-10-06,12,62
2019-10-06,13,96
2019-10-06,14,105
2019-10-06,15,80
2019-10-06,16,72
2019-10-06,17,62
2019-10-06,18,49
2019-10-06,19,48
2019-10-06,20,35
2019-10-06,21,35
2019-10-06,22,16
2019-10-06,23,8
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,4
2019-10-07,3,0
2019-10-07,4,4
2019-10-07,5,21
2019-10-07,6,66
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,0
2019-10-07,11,0
2019-10-07,12,76
2019-10-07,13,71
2019-10-07,14,79
2019-10-07,15,84
2019-10-07,16,88
