date,time,flow
2019-10-01,0,5
2019-10-01,1,5
2019-10-01,2,4
2019-10-01,3,6
2019-10-01,4,29
2019-10-01,5,76
2019-10-01,6,205
2019-10-01,7,211
2019-10-01,8,174
2019-10-01,9,112
2019-10-01,10,107
2019-10-01,11,83
2019-10-01,12,94
2019-10-01,13,93
2019-10-01,14,122
2019-10-01,15,137
2019-10-01,16,118
2019-10-01,17,150
2019-10-01,18,107
2019-10-01,19,57
2019-10-01,20,41
2019-10-01,21,35
2019-10-01,22,15
2019-10-01,23,8
2019-10-02,0,6
2019-10-02,1,1
2019-10-02,2,2
2019-10-02,3,5
2019-10-02,4,28
2019-10-02,5,75
2019-10-02,6,213
2019-10-02,7,185
2019-10-02,8,188
2019-10-02,9,104
2019-10-02,10,75
2019-10-02,11,107
2019-10-02,12,110
2019-10-02,13,122
2019-10-02,14,116
2019-10-02,15,144
2019-10-02,16,122
2019-10-02,17,119
2019-10-02,18,118
2019-10-02,19,66
2019-10-02,20,51
2019-10-02,21,24
2019-10-02,22,12
2019-10-02,23,6
2019-10-03,0,4
2019-10-03,1,6
2019-10-03,2,4
2019-10-03,3,4
2019-10-03,4,22
2019-10-03,5,74
2019-10-03,6,205
2019-10-03,7,203
2019-10-03,8,176
2019-10-03,9,90
2019-10-03,10,118
2019-10-03,11,105
2019-10-03,12,132
2019-10-03,13,100
2019-10-03,14,139
2019-10-03,15,135
2019-10-03,16,106
2019-10-03,17,126
2019-10-03,18,124
2019-10-03,19,52
2019-10-03,20,49
2019-10-03,21,34
2019-10-03,22,24
2019-10-03,23,19
2019-10-04,0,4
2019-10-04,1,6
2019-10-04,2,5
2019-10-04,3,6
2019-10-04,4,25
2019-10-04,5,70
2019-10-04,6,203
2019-10-04,7,201
2019-10-04,8,177
2019-10-04,9,152
2019-10-04,10,100
2019-10-04,11,136
2019-10-04,12,108
2019-10-04,13,115
2019-10-04,14,144
2019-10-04,15,139
2019-10-04,16,145
2019-10-04,17,131
2019-10-04,18,105
2019-10-04,19,65
2019-10-04,20,41
2019-10-04,21,30
2019-10-04,22,32
2019-10-04,23,25
2019-10-05,0,16
2019-10-05,1,17
2019-10-05,2,7
2019-10-05,3,9
2019-10-05,4,14
2019-10-05,5,26
2019-10-05,6,38
2019-10-05,7,61
2019-10-05,8,98
2019-10-05,9,92
2019-10-05,10,124
2019-10-05,11,142
2019-10-05,12,125
2019-10-05,13,158
2019-10-05,14,96
2019-10-05,15,103
2019-10-05,16,92
2019-10-05,17,112
2019-10-05,18,90
2019-10-05,19,69
2019-10-05,20,37
2019-10-05,21,41
2019-10-05,22,39
2019-10-05,23,30
2019-10-06,0,18
2019-10-06,1,11
2019-10-06,2,7
2019-10-06,3,13
2019-10-06,4,13
2019-10-06,5,14
2019-10-06,6,24
2019-10-06,7,46
2019-10-06,8,60
2019-10-06,9,88
2019-10-06,10,129
2019-10-06,11,125
2019-10-06,12,126
2019-10-06,13,131
2019-10-06,14,88
2019-10-06,15,102
2019-10-06,16,109
2019-10-06,17,98
2019-10-06,18,68
2019-10-06,19,49
2019-10-06,20,37
2019-10-06,21,21
2019-10-06,22,14
2019-10-06,23,8
2019-10-07,0,5
2019-10-07,1,3
2019-10-07,2,4
2019-10-07,3,8
2019-10-07,4,21
2019-10-07,5,70
2019-10-07,6,167
2019-10-07,7,161
2019-10-07,8,129
2019-10-07,9,104
2019-10-07,10,90
2019-10-07,11,100
2019-10-07,12,103
2019-10-07,13,101
2019-10-07,14,111
2019-10-07,15,133
2019-10-07,16,116
2019-10-07,17,97
2019-10-07,18,114
2019-10-07,19,48
2019-10-07,20,40
2019-10-07,21,29
2019-10-07,22,22
2019-10-07,23,13
2019-10-08,0,3
2019-10-08,1,3
2019-10-08,2,1
2019-10-08,3,1
2019-10-08,4,14
2019-10-08,5,64
2019-10-08,6,128
2019-10-08,7,199
2019-10-08,8,146
2019-10-08,9,97
2019-10-08,10,120
