date,time,flow
2019-10-01,0,5
2019-10-01,1,6
2019-10-01,2,2
2019-10-01,3,3
2019-10-01,4,5
2019-10-01,5,15
2019-10-01,6,49
2019-10-01,7,161
2019-10-01,8,120
2019-10-01,9,128
2019-10-01,10,115
2019-10-01,11,116
2019-10-01,12,141
2019-10-01,13,129
2019-10-01,14,118
2019-10-01,15,124
2019-10-01,16,135
2019-10-01,17,108
2019-10-01,18,113
2019-10-01,19,85
2019-10-01,20,52
2019-10-01,21,37
2019-10-01,22,19
2019-10-01,23,27
2019-10-02,0,9
2019-10-02,1,6
2019-10-02,2,2
2019-10-02,3,4
2019-10-02,4,9
2019-10-02,5,36
2019-10-02,6,113
2019-10-02,7,180
2019-10-02,8,145
2019-10-02,9,121
2019-10-02,10,129
2019-10-02,11,130
2019-10-02,12,95
2019-10-02,13,149
2019-10-02,14,160
2019-10-02,15,172
2019-10-02,16,123
2019-10-02,17,133
2019-10-02,18,130
2019-10-02,19,54
2019-10-02,20,61
2019-10-02,21,41
2019-10-02,22,39
2019-10-02,23,26
2019-10-03,0,5
2019-10-03,1,8
2019-10-03,2,5
2019-10-03,3,8
2019-10-03,4,10
2019-10-03,5,23
2019-10-03,6,106
2019-10-03,7,193
2019-10-03,8,147
2019-10-03,9,137
2019-10-03,10,119
2019-10-03,11,142
2019-10-03,12,111
2019-10-03,13,127
2019-10-03,14,160
2019-10-03,15,129
2019-10-03,16,140
2019-10-03,17,154
2019-10-03,18,141
2019-10-03,19,54
2019-10-03,20,29
2019-10-03,21,45
2019-10-03,22,26
2019-10-03,23,15
2019-10-04,0,8
2019-10-04,1,11
2019-10-04,2,6
2019-10-04,3,5
2019-10-04,4,7
2019-10-04,5,25
2019-10-04,6,37
2019-10-04,7,78
2019-10-04,8,51
2019-10-04,9,66
2019-10-04,10,56
2019-10-04,11,85
2019-10-04,12,133
2019-10-04,13,160
2019-10-04,14,146
2019-10-04,15,160
2019-10-04,16,121
2019-10-04,17,114
2019-10-04,18,95
2019-10-04,19,89
2019-10-04,20,57
2019-10-04,21,32
2019-10-04,22,15
2019-10-04,23,11
2019-10-05,0,11
2019-10-05,1,3
2019-10-05,2,6
2019-10-05,3,9
2019-10-05,4,10
2019-10-05,5,14
2019-10-05,6,27
2019-10-05,7,49
2019-10-05,8,76
2019-10-05,9,91
2019-10-05,10,131
2019-10-05,11,136
2019-10-05,12,149
2019-10-05,13,118
2019-10-05,14,114
2019-10-05,15,102
2019-10-05,16,100
2019-10-05,17,105
2019-10-05,18,93
2019-10-05,19,42
2019-10-05,20,24
2019-10-05,21,25
2019-10-05,22,20
2019-10-05,23,22
2019-10-06,0,17
2019-10-06,1,12
2019-10-06,2,7
2019-10-06,3,4
2019-10-06,4,6
2019-10-06,5,9
2019-10-06,6,15
2019-10-06,7,20
2019-10-06,8,31
2019-10-06,9,47
2019-10-06,10,32
2019-10-06,11,34
2019-10-06,12,60
2019-10-06,13,69
2019-10-06,14,86
2019-10-06,15,83
2019-10-06,16,73
2019-10-06,17,39
2019-10-06,18,69
2019-10-06,19,53
2019-10-06,20,50
2019-10-06,21,30
2019-10-06,22,22
2019-10-06,23,13
2019-10-07,0,10
2019-10-07,1,8
2019-10-07,2,6
2019-10-07,3,5
2019-10-07,4,7
2019-10-07,5,17
2019-10-07,6,58
2019-10-07,7,154
2019-10-07,8,123
2019-10-07,9,100
2019-10-07,10,45
2019-10-07,11,57
2019-10-07,12,67
2019-10-07,13,73
2019-10-07,14,91
2019-10-07,15,157
2019-10-07,16,147
2019-10-07,17,112
2019-10-07,18,114
2019-10-07,19,39
2019-10-07,20,24
2019-10-07,21,13
2019-10-07,22,13
2019-10-07,23,8
2019-10-08,0,3
2019-10-08,1,3
2019-10-08,2,2
2019-10-08,3,4
2019-10-08,4,5
2019-10-08,5,20
2019-10-08,6,87
2019-10-08,7,269
2019-10-08,8,166
2019-10-08,9,54
2019-10-08,10,62
2019-10-08,11,107
2019-10-08,12,121
2019-10-08,13,72
2019-10-08,14,93
2019-10-08,15,74
2019-10-08,16,83
2019-10-08,17,67
2019-10-08,18,68
2019-10-08,19,49
2019-10-08,20,46
2019-10-08,21,27
2019-10-08,22,11
2019-10-08,23,14
2019-10-09,0,3
2019-10-09,1,5
2019-10-09,2,3
2019-10-09,3,0
2019-10-09,4,4
2019-10-09,5,17
2019-10-09,6,114
2019-10-09,7,243
2019-10-09,8,168
2019-10-09,9,122
2019-10-09,10,48
2019-10-09,11,59
2019-10-09,12,95
2019-10-09,13,89
2019-10-09,14,61
2019-10-09,15,56
2019-10-09,16,86
2019-10-09,17,84
2019-10-09,18,63
2019-10-09,19,36
2019-10-09,20,32
2019-10-09,21,19
2019-10-09,22,15
2019-10-09,23,9
2019-10-10,0,8
2019-10-10,1,1
2019-10-10,2,3
2019-10-10,3,5
2019-10-10,4,6
2019-10-10,5,17
2019-10-10,6,42
2019-10-10,7,154
2019-10-10,8,65
2019-10-10,9,56
2019-10-10,10,57
2019-10-10,11,99
2019-10-10,12,127
2019-10-10,13,67
2019-10-10,14,114
2019-10-10,15,121
2019-10-10,16,97
2019-10-10,17,70
2019-10-10,18,70
2019-10-10,19,34
2019-10-10,20,26
2019-10-10,21,21
2019-10-10,22,14
2019-10-10,23,10
2019-10-11,0,5
2019-10-11,1,2
2019-10-11,2,5
2019-10-11,3,3
2019-10-11,4,6
2019-10-11,5,13
2019-10-11,6,44
2019-10-11,7,83
2019-10-11,8,130
2019-10-11,9,142
2019-10-11,10,129
2019-10-11,11,126
2019-10-11,12,170
2019-10-11,13,154
2019-10-11,14,167
2019-10-11,15,64
2019-10-11,16,77
2019-10-11,17,60
2019-10-11,18,40
2019-10-11,19,51
2019-10-11,20,53
2019-10-11,21,19
2019-10-11,22,17
2019-10-11,23,16
2019-10-12,0,8
2019-10-12,1,7
2019-10-12,2,9
2019-10-12,3,6
2019-10-12,4,3
2019-10-12,5,6
2019-10-12,6,15
2019-10-12,7,23
2019-10-12,8,42
2019-10-12,9,59
2019-10-12,10,59
2019-10-12,11,122
2019-10-12,12,144
2019-10-12,13,131
2019-10-12,14,141
2019-10-12,15,119
2019-10-12,16,74
2019-10-12,17,106
2019-10-12,18,132
2019-10-12,19,89
2019-10-12,20,49
2019-10-12,21,22
2019-10-12,22,15
2019-10-12,23,19
2019-10-13,0,16
2019-10-13,1,8
2019-10-13,2,4
2019-10-13,3,5
2019-10-13,4,3
2019-10-13,5,8
2019-10-13,6,13
2019-10-13,7,16
2019-10-13,8,25
2019-10-13,9,30
