date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,4
2019-10-01,4,12
2019-10-01,5,26
2019-10-01,6,115
2019-10-01,7,179
2019-10-01,8,137
2019-10-01,9,92
2019-10-01,10,84
2019-10-01,11,76
2019-10-01,12,88
2019-10-01,13,76
2019-10-01,14,118
2019-10-01,15,127
2019-10-01,16,143
2019-10-01,17,119
2019-10-01,18,88
2019-10-01,19,48
2019-10-01,20,44
2019-10-01,21,31
2019-10-01,22,16
2019-10-01,23,16
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,12
2019-10-02,5,31
2019-10-02,6,117
2019-10-02,7,165
2019-10-02,8,137
2019-10-02,9,96
2019-10-02,10,76
2019-10-02,11,88
2019-10-02,12,80
2019-10-02,13,84
2019-10-02,14,112
2019-10-02,15,119
2019-10-02,16,142
2019-10-02,17,115
2019-10-02,18,92
2019-10-02,19,62
2019-10-02,20,40
2019-10-02,21,26
2019-10-02,22,16
2019-10-02,23,12
2019-10-03,0,0
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,12
2019-10-03,5,26
2019-10-03,6,121
2019-10-03,7,163
2019-10-03,8,138
2019-10-03,9,89
2019-10-03,10,88
2019-10-03,11,76
2019-10-03,12,92
2019-10-03,13,80
2019-10-03,14,113
2019-10-03,15,132
2019-10-03,16,133
2019-10-03,17,114
2019-10-03,18,88
2019-10-03,19,44
2019-10-03,20,40
2019-10-03,21,40
2019-10-03,22,26
2019-10-03,23,21
2019-10-04,0,0
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,4
2019-10-04,4,8
2019-10-04,5,26
2019-10-04,6,102
2019-10-04,7,146
2019-10-04,8,139
2019-10-04,9,97
2019-10-04,10,96
2019-10-04,11,112
2019-10-04,12,123
2019-10-04,13,127
2019-10-04,14,136
2019-10-04,15,124
2019-10-04,16,139
2019-10-04,17,122
2019-10-04,18,84
2019-10-04,19,53
2019-10-04,20,44
2019-10-04,21,36
2019-10-04,22,26
2019-10-04,23,21
2019-10-05,0,16
2019-10-05,1,0
2019-10-05,2,4
2019-10-05,3,0
2019-10-05,4,8
2019-10-05,5,12
2019-10-05,6,26
2019-10-05,7,40
2019-10-05,8,66
2019-10-05,9,80
2019-10-05,10,84
2019-10-05,11,100
2019-10-05,12,114
2019-10-05,13,96
2019-10-05,14,80
2019-10-05,15,80
2019-10-05,16,84
2019-10-05,17,80
2019-10-05,18,75
2019-10-05,19,53
2019-10-05,20,40
2019-10-05,21,26
2019-10-05,22,31
2019-10-05,23,26
2019-10-06,0,16
2019-10-06,1,16
2019-10-06,2,16
2019-10-06,3,8
2019-10-06,4,4
2019-10-06,5,12
2019-10-06,6,16
2019-10-06,7,21
2019-10-06,8,40
2019-10-06,9,53
2019-10-06,10,67
2019-10-06,11,71
2019-10-06,12,75
2019-10-06,13,88
2019-10-06,14,67
2019-10-06,15,53
2019-10-06,16,66
2019-10-06,17,67
2019-10-06,18,57
2019-10-06,19,40
2019-10-06,20,36
2019-10-06,21,16
2019-10-06,22,21
2019-10-06,23,13
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,8
2019-10-07,5,21
2019-10-07,6,101
2019-10-07,7,149
2019-10-07,8,117
2019-10-07,9,72
2019-10-07,10,54
2019-10-07,11,80
2019-10-07,12,76
2019-10-07,13,79
2019-10-07,14,101
2019-10-07,15,95
2019-10-07,16,124
2019-10-07,17,100
2019-10-07,18,80
2019-10-07,19,44
2019-10-07,20,36
2019-10-07,21,16
2019-10-07,22,16
2019-10-07,23,12
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,4
2019-10-08,4,8
2019-10-08,5,26
2019-10-08,6,105
2019-10-08,7,159
2019-10-08,8,136
2019-10-08,9,88
2019-10-08,10,76
2019-10-08,11,72
2019-10-08,12,84
2019-10-08,13,72
2019-10-08,14,115
2019-10-08,15,113
2019-10-08,16,141
2019-10-08,17,130
2019-10-08,18,87
2019-10-08,19,44
2019-10-08,20,44
2019-10-08,21,26
2019-10-08,22,21
2019-10-08,23,16
2019-10-09,0,0
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,8
2019-10-09,5,31
2019-10-09,6,106
2019-10-09,7,154
2019-10-09,8,135
2019-10-09,9,88
2019-10-09,10,76
2019-10-09,11,92
2019-10-09,12,88
2019-10-09,13,76
2019-10-09,14,115
2019-10-09,15,111
2019-10-09,16,129
2019-10-09,17,128
2019-10-09,18,105
2019-10-09,19,62
2019-10-09,20,44
2019-10-09,21,26
2019-10-09,22,16
2019-10-09,23,12
2019-10-10,0,0
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,12
2019-10-10,5,26
2019-10-10,6,110
2019-10-10,7,145
2019-10-10,8,134
2019-10-10,9,71
2019-10-10,10,72
2019-10-10,11,72
2019-10-10,12,76
2019-10-10,13,75
2019-10-10,14,121
2019-10-10,15,100
2019-10-10,16,136
2019-10-10,17,113
2019-10-10,18,88
2019-10-10,19,53
2019-10-10,20,35
2019-10-10,21,26
2019-10-10,22,21
2019-10-10,23,12
2019-10-11,0,0
2019-10-11,1,0
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,12
2019-10-11,5,21
2019-10-11,6,92
2019-10-11,7,138
2019-10-11,8,132
2019-10-11,9,85
2019-10-11,10,88
2019-10-11,11,109
2019-10-11,12,118
2019-10-11,13,128
2019-10-11,14,139
2019-10-11,15,142
2019-10-11,16,148
2019-10-11,17,118
2019-10-11,18,83
2019-10-11,19,53
2019-10-11,20,44
2019-10-11,21,26
2019-10-11,22,26
