date,time,flow
2019-10-01,0,10
2019-10-01,1,7
2019-10-01,2,3
2019-10-01,3,9
2019-10-01,4,22
2019-10-01,5,31
2019-10-01,6,54
2019-10-01,7,101
2019-10-01,8,125
2019-10-01,9,139
2019-10-01,10,141
2019-10-01,11,143
2019-10-01,12,155
2019-10-01,13,154
2019-10-01,14,137
2019-10-01,15,154
2019-10-01,16,148
2019-10-01,17,164
2019-10-01,18,132
2019-10-01,19,136
2019-10-01,20,91
2019-10-01,21,54
2019-10-01,22,43
2019-10-01,23,29
2019-10-02,0,19
2019-10-02,1,5
2019-10-02,2,5
2019-10-02,3,10
2019-10-02,4,8
2019-10-02,5,27
2019-10-02,6,78
2019-10-02,7,107
2019-10-02,8,107
2019-10-02,9,110
2019-10-02,10,132
2019-10-02,11,124
2019-10-02,12,132
2019-10-02,13,156
2019-10-02,14,130
2019-10-02,15,142
2019-10-02,16,153
2019-10-02,17,185
2019-10-02,18,179
2019-10-02,19,119
2019-10-02,20,83
2019-10-02,21,47
2019-10-02,22,38
2019-10-02,23,31
2019-10-03,0,14
2019-10-03,1,6
2019-10-03,2,6
2019-10-03,3,12
2019-10-03,4,14
2019-10-03,5,24
2019-10-03,6,36
2019-10-03,7,110
2019-10-03,8,120
2019-10-03,9,119
2019-10-03,10,155
2019-10-03,11,121
2019-10-03,12,148
2019-10-03,13,139
2019-10-03,14,160
2019-10-03,15,165
2019-10-03,16,163
2019-10-03,17,181
2019-10-03,18,134
2019-10-03,19,130
2019-10-03,20,78
2019-10-03,21,98
2019-10-03,22,54
2019-10-03,23,53
2019-10-04,0,19
2019-10-04,1,7
2019-10-04,2,6
2019-10-04,3,7
2019-10-04,4,15
2019-10-04,5,26
2019-10-04,6,60
2019-10-04,7,103
2019-10-04,8,138
2019-10-04,9,143
2019-10-04,10,157
2019-10-04,11,125
2019-10-04,12,126
2019-10-04,13,154
2019-10-04,14,145
2019-10-04,15,149
2019-10-04,16,171
2019-10-04,17,162
2019-10-04,18,148
2019-10-04,19,126
2019-10-04,20,101
2019-10-04,21,104
2019-10-04,22,71
2019-10-04,23,78
2019-10-05,0,49
2019-10-05,1,36
2019-10-05,2,39
2019-10-05,3,14
2019-10-05,4,15
2019-10-05,5,27
2019-10-05,6,38
2019-10-05,7,61
2019-10-05,8,97
2019-10-05,9,123
2019-10-05,10,160
2019-10-05,11,152
2019-10-05,12,147
2019-10-05,13,161
2019-10-05,14,149
2019-10-05,15,136
2019-10-05,16,138
2019-10-05,17,127
2019-10-05,18,138
2019-10-05,19,126
2019-10-05,20,108
2019-10-05,21,77
2019-10-05,22,110
2019-10-05,23,88
2019-10-06,0,54
2019-10-06,1,55
2019-10-06,2,72
2019-10-06,3,37
2019-10-06,4,15
2019-10-06,5,10
2019-10-06,6,16
2019-10-06,7,34
2019-10-06,8,43
2019-10-06,9,89
2019-10-06,10,96
2019-10-06,11,130
2019-10-06,12,123
2019-10-06,13,152
2019-10-06,14,151
2019-10-06,15,134
2019-10-06,16,146
2019-10-06,17,141
2019-10-06,18,107
2019-10-06,19,92
2019-10-06,20,56
2019-10-06,21,52
2019-10-06,22,43
2019-10-06,23,33
2019-10-07,0,15
2019-10-07,1,4
2019-10-07,2,3
2019-10-07,3,6
2019-10-07,4,16
2019-10-07,5,26
2019-10-07,6,53
2019-10-07,7,61
2019-10-07,8,60
2019-10-07,9,59
2019-10-07,10,64
2019-10-07,11,132
2019-10-07,12,134
2019-10-07,13,129
2019-10-07,14,160
2019-10-07,15,163
2019-10-07,16,171
2019-10-07,17,154
2019-10-07,18,136
2019-10-07,19,111
2019-10-07,20,78
2019-10-07,21,47
2019-10-07,22,34
2019-10-07,23,22
2019-10-08,0,17
2019-10-08,1,4
2019-10-08,2,1
2019-10-08,3,7
2019-10-08,4,14
2019-10-08,5,35
2019-10-08,6,45
2019-10-08,7,111
2019-10-08,8,128
2019-10-08,9,133
2019-10-08,10,150
2019-10-08,11,144
2019-10-08,12,138
2019-10-08,13,135
2019-10-08,14,144
2019-10-08,15,177
2019-10-08,16,176
2019-10-08,17,184
2019-10-08,18,171
2019-10-08,19,128
2019-10-08,20,98
2019-10-08,21,60
2019-10-08,22,34
2019-10-08,23,26
2019-10-09,0,14
2019-10-09,1,4
2019-10-09,2,5
2019-10-09,3,5
2019-10-09,4,11
2019-10-09,5,27
2019-10-09,6,64
2019-10-09,7,90
2019-10-09,8,116
2019-10-09,9,117
2019-10-09,10,147
2019-10-09,11,160
2019-10-09,12,141
2019-10-09,13,143
2019-10-09,14,148
2019-10-09,15,167
2019-10-09,16,189
2019-10-09,17,172
2019-10-09,18,164
2019-10-09,19,124
2019-10-09,20,92
2019-10-09,21,58
2019-10-09,22,47
2019-10-09,23,32
2019-10-10,0,12
2019-10-10,1,9
2019-10-10,2,13
