date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,1
2019-10-01,3,0
2019-10-01,4,2
2019-10-01,5,8
2019-10-01,6,28
2019-10-01,7,83
2019-10-01,8,82
2019-10-01,9,72
2019-10-01,10,70
2019-10-01,11,79
2019-10-01,12,70
2019-10-01,13,82
2019-10-01,14,105
2019-10-01,15,128
2019-10-01,16,120
2019-10-01,17,110
2019-10-01,18,80
2019-10-01,19,62
2019-10-01,20,34
2019-10-01,21,19
2019-10-01,22,10
2019-10-01,23,3
2019-10-02,0,1
2019-10-02,1,1
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,0
2019-10-02,5,12
2019-10-02,6,30
2019-10-02,7,75
2019-10-02,8,88
2019-10-02,9,72
2019-10-02,10,72
2019-10-02,11,98
2019-10-02,12,79
2019-10-02,13,85
2019-10-02,14,86
2019-10-02,15,118
2019-10-02,16,143
2019-10-02,17,120
2019-10-02,18,99
2019-10-02,19,46
2019-10-02,20,33
2019-10-02,21,22
2019-10-02,22,15
2019-10-02,23,3
2019-10-03,0,2
2019-10-03,1,0
2019-10-03,2,1
2019-10-03,3,1
2019-10-03,4,2
2019-10-03,5,10
2019-10-03,6,42
2019-10-03,7,74
2019-10-03,8,90
2019-10-03,9,49
2019-10-03,10,60
2019-10-03,11,81
2019-10-03,12,85
2019-10-03,13,90
2019-10-03,14,125
2019-10-03,15,116
2019-10-03,16,149
2019-10-03,17,107
2019-10-03,18,101
2019-10-03,19,50
2019-10-03,20,42
2019-10-03,21,15
2019-10-03,22,9
2019-10-03,23,4
2019-10-04,0,3
2019-10-04,1,2
2019-10-04,2,2
2019-10-04,3,1
2019-10-04,4,1
2019-10-04,5,12
2019-10-04,6,33
2019-10-04,7,69
2019-10-04,8,92
2019-10-04,9,50
2019-10-04,10,64
2019-10-04,11,84
2019-10-04,12,84
2019-10-04,13,99
2019-10-04,14,126
2019-10-04,15,132
2019-10-04,16,135
2019-10-04,17,114
2019-10-04,18,78
2019-10-04,19,57
2019-10-04,20,37
2019-10-04,21,27
2019-10-04,22,14
2019-10-04,23,12
2019-10-05,0,5
2019-10-05,1,0
2019-10-05,2,2
2019-10-05,3,0
2019-10-05,4,1
2019-10-05,5,5
2019-10-05,6,8
2019-10-05,7,16
2019-10-05,8,42
2019-10-05,9,71
2019-10-05,10,72
2019-10-05,11,82
2019-10-05,12,111
2019-10-05,13,102
2019-10-05,14,115
2019-10-05,15,98
2019-10-05,16,88
2019-10-05,17,76
2019-10-05,18,80
2019-10-05,19,37
2019-10-05,20,20
2019-10-05,21,24
2019-10-05,22,14
2019-10-05,23,10
2019-10-06,0,4
2019-10-06,1,0
2019-10-06,2,1
2019-10-06,3,5
2019-10-06,4,2
2019-10-06,5,4
2019-10-06,6,16
2019-10-06,7,26
2019-10-06,8,22
2019-10-06,9,31
2019-10-06,10,55
2019-10-06,11,79
2019-10-06,12,69
2019-10-06,13,136
2019-10-06,14,116
2019-10-06,15,81
2019-10-06,16,113
2019-10-06,17,66
2019-10-06,18,56
2019-10-06,19,34
2019-10-06,20,21
2019-10-06,21,11
2019-10-06,22,9
2019-10-06,23,3
2019-10-07,0,3
2019-10-07,1,0
2019-10-07,2,1
2019-10-07,3,0
2019-10-07,4,4
2019-10-07,5,8
2019-10-07,6,39
2019-10-07,7,71
2019-10-07,8,57
2019-10-07,9,52
2019-10-07,10,50
2019-10-07,11,76
2019-10-07,12,69
2019-10-07,13,75
2019-10-07,14,98
2019-10-07,15,99
2019-10-07,16,127
2019-10-07,17,95
2019-10-07,18,92
2019-10-07,19,47
2019-10-07,20,41
2019-10-07,21,12
2019-10-07,22,11
2019-10-07,23,6
2019-10-08,0,1
2019-10-08,1,0
2019-10-08,2,1
2019-10-08,3,1
2019-10-08,4,3
2019-10-08,5,9
2019-10-08,6,31
2019-10-08,7,84
2019-10-08,8,75
2019-10-08,9,77
2019-10-08,10,77
2019-10-08,11,92
2019-10-08,12,59
2019-10-08,13,79
2019-10-08,14,82
2019-10-08,15,133
2019-10-08,16,141
2019-10-08,17,143
2019-10-08,18,70
2019-10-08,19,48
2019-10-08,20,41
2019-10-08,21,23
2019-10-08,22,17
2019-10-08,23,4
2019-10-09,0,1
2019-10-09,1,1
2019-10-09,2,0
2019-10-09,3,1
2019-10-09,4,2
2019-10-09,5,8
2019-10-09,6,33
2019-10-09,7,89
2019-10-09,8,70
2019-10-09,9,58
2019-10-09,10,62
2019-10-09,11,78
2019-10-09,12,79
2019-10-09,13,98
2019-10-09,14,105
2019-10-09,15,120
2019-10-09,16,122
2019-10-09,17,120
2019-10-09,18,74
2019-10-09,19,45
2019-10-09,20,48
2019-10-09,21,23
2019-10-09,22,15
2019-10-09,23,5
2019-10-10,0,2
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,2
2019-10-10,5,7
2019-10-10,6,31
2019-10-10,7,84
2019-10-10,8,73
2019-10-10,9,62
2019-10-10,10,68
2019-10-10,11,66
2019-10-10,12,84
2019-10-10,13,108
2019-10-10,14,107
2019-10-10,15,108
2019-10-10,16,146
2019-10-10,17,127
2019-10-10,18,116
2019-10-10,19,56
2019-10-10,20,38
2019-10-10,21,24
2019-10-10,22,17
2019-10-10,23,7
2019-10-11,0,3
2019-10-11,1,0
2019-10-11,2,1
2019-10-11,3,0
2019-10-11,4,3
2019-10-11,5,10
2019-10-11,6,35
2019-10-11,7,67
2019-10-11,8,57
2019-10-11,9,52
2019-10-11,10,85
2019-10-11,11,93
2019-10-11,12,83
2019-10-11,13,81
2019-10-11,14,102
2019-10-11,15,138
2019-10-11,16,116
2019-10-11,17,111
2019-10-11,18,73
2019-10-11,19,47
2019-10-11,20,45
2019-10-11,21,23
2019-10-11,22,14
