date,time,flow
2019-10-01,0,1
2019-10-01,1,1
2019-10-01,2,4
2019-10-01,3,1
2019-10-01,4,18
2019-10-01,5,35
2019-10-01,6,132
2019-10-01,7,183
2019-10-01,8,101
2019-10-01,9,77
2019-10-01,10,87
2019-10-01,11,83
2019-10-01,12,87
2019-10-01,13,102
2019-10-01,14,108
2019-10-01,15,100
2019-10-01,16,80
2019-10-01,17,95
2019-10-01,18,73
2019-10-01,19,54
2019-10-01,20,44
2019-10-01,21,22
2019-10-01,22,13
2019-10-01,23,8
2019-10-02,0,5
2019-10-02,1,2
2019-10-02,2,2
2019-10-02,3,0
2019-10-02,4,12
2019-10-02,5,30
2019-10-02,6,112
2019-10-02,7,161
2019-10-02,8,122
2019-10-02,9,87
2019-10-02,10,85
2019-10-02,11,81
2019-10-02,12,71
2019-10-02,13,94
2019-10-02,14,78
2019-10-02,15,86
2019-10-02,16,103
2019-10-02,17,107
2019-10-02,18,80
2019-10-02,19,58
2019-10-02,20,39
2019-10-02,21,25
2019-10-02,22,22
2019-10-02,23,10
2019-10-03,0,0
2019-10-03,1,2
2019-10-03,2,2
2019-10-03,3,1
2019-10-03,4,7
2019-10-03,5,46
2019-10-03,6,149
2019-10-03,7,166
2019-10-03,8,109
2019-10-03,9,79
2019-10-03,10,73
2019-10-03,11,84
2019-10-03,12,83
2019-10-03,13,95
2019-10-03,14,73
2019-10-03,15,86
2019-10-03,16,95
2019-10-03,17,100
2019-10-03,18,60
2019-10-03,19,61
2019-10-03,20,36
2019-10-03,21,29
2019-10-03,22,17
2019-10-03,23,5
2019-10-04,0,4
2019-10-04,1,6
2019-10-04,2,2
2019-10-04,3,5
2019-10-04,4,9
2019-10-04,5,39
2019-10-04,6,132
2019-10-04,7,194
2019-10-04,8,125
2019-10-04,9,100
2019-10-04,10,116
2019-10-04,11,126
2019-10-04,12,108
2019-10-04,13,134
2019-10-04,14,131
2019-10-04,15,83
2019-10-04,16,128
2019-10-04,17,112
2019-10-04,18,112
2019-10-04,19,59
2019-10-04,20,52
2019-10-04,21,32
2019-10-04,22,31
2019-10-04,23,19
2019-10-05,0,9
2019-10-05,1,6
2019-10-05,2,2
2019-10-05,3,5
2019-10-05,4,12
2019-10-05,5,29
2019-10-05,6,40
2019-10-05,7,80
2019-10-05,8,88
2019-10-05,9,128
2019-10-05,10,141
2019-10-05,11,138
2019-10-05,12,135
2019-10-05,13,128
2019-10-05,14,107
2019-10-05,15,102
2019-10-05,16,92
2019-10-05,17,108
2019-10-05,18,83
2019-10-05,19,52
2019-10-05,20,27
2019-10-05,21,24
2019-10-05,22,32
2019-10-05,23,21
2019-10-06,0,14
2019-10-06,1,8
2019-10-06,2,8
2019-10-06,3,15
2019-10-06,4,4
2019-10-06,5,10
2019-10-06,6,17
2019-10-06,7,21
2019-10-06,8,51
2019-10-06,9,97
2019-10-06,10,85
2019-10-06,11,94
2019-10-06,12,104
2019-10-06,13,97
2019-10-06,14,97
2019-10-06,15,116
2019-10-06,16,61
2019-10-06,17,69
2019-10-06,18,44
2019-10-06,19,41
2019-10-06,20,27
2019-10-06,21,28
2019-10-06,22,11
2019-10-06,23,12
2019-10-07,0,7
2019-10-07,1,4
2019-10-07,2,0
2019-10-07,3,1
2019-10-07,4,7
2019-10-07,5,44
2019-10-07,6,107
2019-10-07,7,123
2019-10-07,8,113
2019-10-07,9,98
2019-10-07,10,87
2019-10-07,11,93
2019-10-07,12,92
2019-10-07,13,79
2019-10-07,14,117
2019-10-07,15,64
2019-10-07,16,94
2019-10-07,17,83
2019-10-07,18,79
2019-10-07,19,58
2019-10-07,20,39
2019-10-07,21,29
2019-10-07,22,10
2019-10-07,23,14
2019-10-08,0,5
2019-10-08,1,2
2019-10-08,2,3
2019-10-08,3,2
2019-10-08,4,12
2019-10-08,5,42
2019-10-08,6,124
2019-10-08,7,162
2019-10-08,8,112
2019-10-08,9,93
2019-10-08,10,87
2019-10-08,11,84
2019-10-08,12,81
2019-10-08,13,82
2019-10-08,14,79
2019-10-08,15,104
2019-10-08,16,108
2019-10-08,17,98
2019-10-08,18,94
2019-10-08,19,61
2019-10-08,20,43
2019-10-08,21,38
2019-10-08,22,10
2019-10-08,23,4
2019-10-09,0,7
2019-10-09,1,1
2019-10-09,2,0
2019-10-09,3,3
2019-10-09,4,13
2019-10-09,5,41
2019-10-09,6,121
2019-10-09,7,176
2019-10-09,8,114
2019-10-09,9,60
2019-10-09,10,93
2019-10-09,11,99
2019-10-09,12,77
2019-10-09,13,100
2019-10-09,14,99
2019-10-09,15,65
2019-10-09,16,80
2019-10-09,17,114
2019-10-09,18,80
2019-10-09,19,66
2019-10-09,20,47
2019-10-09,21,26
2019-10-09,22,17
2019-10-09,23,8
2019-10-10,0,3
2019-10-10,1,1
2019-10-10,2,1
2019-10-10,3,4
2019-10-10,4,7
2019-10-10,5,53
2019-10-10,6,123
2019-10-10,7,160
2019-10-10,8,66
2019-10-10,9,74
2019-10-10,10,71
2019-10-10,11,73
2019-10-10,12,91
2019-10-10,13,91
2019-10-10,14,118
2019-10-10,15,89
2019-10-10,16,93
2019-10-10,17,91
2019-10-10,18,90
2019-10-10,19,61
2019-10-10,20,49
2019-10-10,21,38
2019-10-10,22,16
2019-10-10,23,7
2019-10-11,0,7
2019-10-11,1,2
2019-10-11,2,1
2019-10-11,3,4
2019-10-11,4,9
2019-10-11,5,49
2019-10-11,6,120
2019-10-11,7,167
2019-10-11,8,97
2019-10-11,9,78
2019-10-11,10,96
2019-10-11,11,94
2019-10-11,12,95
2019-10-11,13,88
2019-10-11,14,99
2019-10-11,15,119
2019-10-11,16,89
2019-10-11,17,71
2019-10-11,18,78
2019-10-11,19,55
2019-10-11,20,50
2019-10-11,21,24
2019-10-11,22,31
2019-10-11,23,15
2019-10-12,0,12
