date,time,flow
2019-10-01,0,6
2019-10-01,1,1
2019-10-01,2,3
2019-10-01,3,2
2019-10-01,4,10
2019-10-01,5,15
2019-10-01,6,59
2019-10-01,7,115
2019-10-01,8,87
2019-10-01,9,73
2019-10-01,10,89
2019-10-01,11,108
2019-10-01,12,87
2019-10-01,13,93
2019-10-01,14,104
2019-10-01,15,104
2019-10-01,16,152
2019-10-01,17,98
2019-10-01,18,73
2019-10-01,19,59
2019-10-01,20,28
2019-10-01,21,20
2019-10-01,22,12
2019-10-01,23,6
2019-10-02,0,2
2019-10-02,1,1
2019-10-02,2,1
2019-10-02,3,4
2019-10-02,4,6
2019-10-02,5,18
2019-10-02,6,65
2019-10-02,7,114
2019-10-02,8,90
2019-10-02,9,71
2019-10-02,10,95
2019-10-02,11,106
2019-10-02,12,109
2019-10-02,13,103
2019-10-02,14,114
2019-10-02,15,126
2019-10-02,16,136
2019-10-02,17,124
2019-10-02,18,89
2019-10-02,19,52
2019-10-02,20,27
2019-10-02,21,15
2019-10-02,22,13
2019-10-02,23,7
2019-10-03,0,6
2019-10-03,1,3
2019-10-03,2,2
2019-10-03,3,5
2019-10-03,4,7
2019-10-03,5,20
2019-10-03,6,66
2019-10-03,7,124
2019-10-03,8,81
2019-10-03,9,78
2019-10-03,10,83
2019-10-03,11,89
2019-10-03,12,115
2019-10-03,13,95
2019-10-03,14,106
2019-10-03,15,135
2019-10-03,16,118
2019-10-03,17,121
2019-10-03,18,89
2019-10-03,19,51
2019-10-03,20,31
2019-10-03,21,24
2019-10-03,22,18
2019-10-03,23,6
2019-10-04,0,4
2019-10-04,1,5
2019-10-04,2,3
2019-10-04,3,2
2019-10-04,4,7
2019-10-04,5,18
2019-10-04,6,67
2019-10-04,7,128
2019-10-04,8,83
2019-10-04,9,64
2019-10-04,10,95
2019-10-04,11,117
2019-10-04,12,105
2019-10-04,13,111
2019-10-04,14,94
2019-10-04,15,103
2019-10-04,16,135
2019-10-04,17,96
2019-10-04,18,88
2019-10-04,19,58
2019-10-04,20,39
2019-10-04,21,27
2019-10-04,22,19
2019-10-04,23,16
2019-10-05,0,10
2019-10-05,1,2
2019-10-05,2,6
2019-10-05,3,6
2019-10-05,4,8
2019-10-05,5,11
2019-10-05,6,25
2019-10-05,7,45
2019-10-05,8,62
2019-10-05,9,69
2019-10-05,10,84
2019-10-05,11,107
2019-10-05,12,101
2019-10-05,13,127
2019-10-05,14,129
2019-10-05,15,105
2019-10-05,16,123
2019-10-05,17,72
2019-10-05,18,62
2019-10-05,19,52
2019-10-05,20,37
2019-10-05,21,19
2019-10-05,22,27
2019-10-05,23,20
2019-10-06,0,9
2019-10-06,1,7
2019-10-06,2,9
2019-10-06,3,5
2019-10-06,4,6
2019-10-06,5,5
2019-10-06,6,13
2019-10-06,7,15
2019-10-06,8,29
2019-10-06,9,40
2019-10-06,10,67
2019-10-06,11,97
2019-10-06,12,108
2019-10-06,13,98
2019-10-06,14,90
2019-10-06,15,126
2019-10-06,16,92
2019-10-06,17,72
2019-10-06,18,55
2019-10-06,19,26
2019-10-06,20,21
2019-10-06,21,26
2019-10-06,22,14
2019-10-06,23,6
2019-10-07,0,1
2019-10-07,1,5
2019-10-07,2,0
2019-10-07,3,5
2019-10-07,4,13
2019-10-07,5,16
2019-10-07,6,62
2019-10-07,7,83
2019-10-07,8,80
2019-10-07,9,80
2019-10-07,10,62
2019-10-07,11,103
2019-10-07,12,83
2019-10-07,13,92
2019-10-07,14,101
2019-10-07,15,118
2019-10-07,16,122
2019-10-07,17,100
2019-10-07,18,70
2019-10-07,19,42
2019-10-07,20,23
2019-10-07,21,24
2019-10-07,22,15
2019-10-07,23,8
2019-10-08,0,1
2019-10-08,1,6
2019-10-08,2,5
2019-10-08,3,2
2019-10-08,4,6
2019-10-08,5,21
2019-10-08,6,71
2019-10-08,7,109
2019-10-08,8,90
2019-10-08,9,77
2019-10-08,10,85
2019-10-08,11,97
2019-10-08,12,86
2019-10-08,13,92
2019-10-08,14,111
2019-10-08,15,117
2019-10-08,16,130
2019-10-08,17,122
2019-10-08,18,84
2019-10-08,19,54
2019-10-08,20,32
2019-10-08,21,27
2019-10-08,22,15
2019-10-08,23,7
2019-10-09,0,6
2019-10-09,1,3
2019-10-09,2,9
2019-10-09,3,4
2019-10-09,4,10
2019-10-09,5,22
2019-10-09,6,71
2019-10-09,7,114
2019-10-09,8,104
2019-10-09,9,87
2019-10-09,10,76
2019-10-09,11,100
2019-10-09,12,110
2019-10-09,13,113
2019-10-09,14,101
2019-10-09,15,76
2019-10-09,16,135
2019-10-09,17,145
2019-10-09,18,84
2019-10-09,19,45
2019-10-09,20,32
2019-10-09,21,24
2019-10-09,22,13
2019-10-09,23,8
2019-10-10,0,5
