date,time,flow
2019-10-01,0,2
2019-10-01,1,0
2019-10-01,2,3
2019-10-01,3,2
2019-10-01,4,1
2019-10-01,5,30
2019-10-01,6,107
2019-10-01,7,199
2019-10-01,8,162
2019-10-01,9,66
2019-10-01,10,49
2019-10-01,11,62
2019-10-01,12,61
2019-10-01,13,39
2019-10-01,14,45
2019-10-01,15,56
2019-10-01,16,158
2019-10-01,17,51
2019-10-01,18,37
2019-10-01,19,14
2019-10-01,20,9
2019-10-01,21,5
2019-10-01,22,2
2019-10-01,23,1
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,3
2019-10-02,3,2
2019-10-02,4,2
2019-10-02,5,27
2019-10-02,6,111
2019-10-02,7,201
2019-10-02,8,152
2019-10-02,9,67
2019-10-02,10,48
2019-10-02,11,44
2019-10-02,12,53
2019-10-02,13,50
2019-10-02,14,38
2019-10-02,15,81
2019-10-02,16,112
2019-10-02,17,73
2019-10-02,18,25
2019-10-02,19,7
2019-10-02,20,11
2019-10-02,21,1
2019-10-02,22,1
2019-10-02,23,2
2019-10-03,0,1
2019-10-03,1,2
2019-10-03,2,0
2019-10-03,3,2
2019-10-03,4,4
2019-10-03,5,24
2019-10-03,6,98
2019-10-03,7,200
2019-10-03,8,166
2019-10-03,9,52
2019-10-03,10,47
2019-10-03,11,36
2019-10-03,12,61
2019-10-03,13,65
2019-10-03,14,40
2019-10-03,15,92
2019-10-03,16,99
2019-10-03,17,29
2019-10-03,18,18
2019-10-03,19,17
2019-10-03,20,14
2019-10-03,21,7
2019-10-03,22,11
2019-10-03,23,3
2019-10-04,0,4
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,1
2019-10-04,4,3
2019-10-04,5,15
2019-10-04,6,107
2019-10-04,7,167
2019-10-04,8,146
2019-10-04,9,56
2019-10-04,10,61
2019-10-04,11,54
2019-10-04,12,59
2019-10-04,13,69
2019-10-04,14,64
2019-10-04,15,117
2019-10-04,16,138
2019-10-04,17,116
2019-10-04,18,53
2019-10-04,19,19
2019-10-04,20,7
2019-10-04,21,5
2019-10-04,22,7
2019-10-04,23,4
2019-10-05,0,5
2019-10-05,1,2
2019-10-05,2,2
2019-10-05,3,1
2019-10-05,4,0
2019-10-05,5,4
2019-10-05,6,9
2019-10-05,7,22
2019-10-05,8,30
2019-10-05,9,28
2019-10-05,10,36
2019-10-05,11,43
2019-10-05,12,87
2019-10-05,13,64
2019-10-05,14,40
2019-10-05,15,33
2019-10-05,16,26
2019-10-05,17,37
2019-10-05,18,35
2019-10-05,19,19
2019-10-05,20,10
2019-10-05,21,4
2019-10-05,22,9
2019-10-05,23,6
2019-10-06,0,4
2019-10-06,1,5
2019-10-06,2,4
2019-10-06,3,5
2019-10-06,4,3
2019-10-06,5,5
2019-10-06,6,8
2019-10-06,7,4
2019-10-06,8,13
2019-10-06,9,18
2019-10-06,10,26
2019-10-06,11,44
2019-10-06,12,104
2019-10-06,13,159
2019-10-06,14,16
2019-10-06,15,17
2019-10-06,16,18
2019-10-06,17,21
2019-10-06,18,14
2019-10-06,19,7
2019-10-06,20,7
2019-10-06,21,2
2019-10-06,22,5
2019-10-06,23,1
2019-10-07,0,5
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,2
2019-10-07,4,4
2019-10-07,5,17
2019-10-07,6,109
2019-10-07,7,185
2019-10-07,8,139
2019-10-07,9,54
2019-10-07,10,34
2019-10-07,11,39
2019-10-07,12,32
2019-10-07,13,40
2019-10-07,14,28
2019-10-07,15,72
2019-10-07,16,119
2019-10-07,17,62
2019-10-07,18,25
2019-10-07,19,10
2019-10-07,20,5
2019-10-07,21,3
2019-10-07,22,3
2019-10-07,23,5
2019-10-08,0,1
2019-10-08,1,0
2019-10-08,2,1
2019-10-08,3,2
2019-10-08,4,2
2019-10-08,5,26
2019-10-08,6,110
2019-10-08,7,181
2019-10-08,8,140
2019-10-08,9,61
2019-10-08,10,48
2019-10-08,11,53
2019-10-08,12,33
2019-10-08,13,45
2019-10-08,14,43
2019-10-08,15,79
2019-10-08,16,154
2019-10-08,17,125
2019-10-08,18,48
2019-10-08,19,17
2019-10-08,20,9
2019-10-08,21,2
2019-10-08,22,2
2019-10-08,23,1
2019-10-09,0,1
2019-10-09,1,1
2019-10-09,2,0
2019-10-09,3,1
2019-10-09,4,2
2019-10-09,5,25
2019-10-09,6,118
2019-10-09,7,190
2019-10-09,8,142
2019-10-09,9,74
2019-10-09,10,49
2019-10-09,11,42
2019-10-09,12,40
2019-10-09,13,46
2019-10-09,14,51
2019-10-09,15,86
2019-10-09,16,118
2019-10-09,17,132
2019-10-09,18,26
2019-10-09,19,10
2019-10-09,20,9
2019-10-09,21,9
2019-10-09,22,1
2019-10-09,23,2
2019-10-10,0,1
2019-10-10,1,3
2019-10-10,2,3
2019-10-10,3,2
2019-10-10,4,7
2019-10-10,5,13
2019-10-10,6,113
2019-10-10,7,204
2019-10-10,8,173
2019-10-10,9,59
2019-10-10,10,49
2019-10-10,11,46
2019-10-10,12,61
2019-10-10,13,45
2019-10-10,14,43
2019-10-10,15,96
2019-10-10,16,138
2019-10-10,17,61
2019-10-10,18,41
2019-10-10,19,18
2019-10-10,20,11
2019-10-10,21,13
2019-10-10,22,3
2019-10-10,23,2
2019-10-11,0,1
2019-10-11,1,2
2019-10-11,2,2
2019-10-11,3,4
2019-10-11,4,6
2019-10-11,5,21
2019-10-11,6,127
2019-10-11,7,187
2019-10-11,8,117
2019-10-11,9,62
2019-10-11,10,47
2019-10-11,11,44
2019-10-11,12,58
2019-10-11,13,40
2019-10-11,14,108
2019-10-11,15,93
2019-10-11,16,112
2019-10-11,17,66
2019-10-11,18,31
2019-10-11,19,20
2019-10-11,20,11
2019-10-11,21,8
2019-10-11,22,8
2019-10-11,23,0
2019-10-12,0,4
2019-10-12,1,3
2019-10-12,2,7
2019-10-12,3,8
