date,time,flow
2019-10-01,0,0
2019-10-01,1,4
2019-10-01,2,7
2019-10-01,3,4
2019-10-01,4,9
2019-10-01,5,25
2019-10-01,6,66
2019-10-01,7,96
2019-10-01,8,144
2019-10-01,9,111
2019-10-01,10,153
2019-10-01,11,132
2019-10-01,12,151
2019-10-01,13,126
2019-10-01,14,177
2019-10-01,15,204
2019-10-01,16,207
2019-10-01,17,136
2019-10-01,18,101
2019-10-01,19,79
2019-10-01,20,71
2019-10-01,21,37
2019-10-01,22,16
2019-10-01,23,8
2019-10-02,0,1
2019-10-02,1,4
2019-10-02,2,2
2019-10-02,3,2
2019-10-02,4,8
2019-10-02,5,20
2019-10-02,6,66
2019-10-02,7,87
2019-10-02,8,101
2019-10-02,9,101
2019-10-02,10,125
2019-10-02,11,125
2019-10-02,12,138
2019-10-02,13,130
2019-10-02,14,180
2019-10-02,15,190
2019-10-02,16,184
2019-10-02,17,153
2019-10-02,18,119
2019-10-02,19,79
2019-10-02,20,57
2019-10-02,21,38
2019-10-02,22,17
2019-10-02,23,10
2019-10-03,0,4
2019-10-03,1,0
2019-10-03,2,3
2019-10-03,3,3
2019-10-03,4,8
2019-10-03,5,15
2019-10-03,6,69
2019-10-03,7,87
2019-10-03,8,119
2019-10-03,9,115
2019-10-03,10,124
2019-10-03,11,135
2019-10-03,12,160
2019-10-03,13,154
2019-10-03,14,160
2019-10-03,15,192
2019-10-03,16,168
2019-10-03,17,117
2019-10-03,18,77
2019-10-03,19,80
2019-10-03,20,54
2019-10-03,21,39
2019-10-03,22,25
2019-10-03,23,16
2019-10-04,0,6
2019-10-04,1,3
2019-10-04,2,4
2019-10-04,3,4
2019-10-04,4,8
2019-10-04,5,20
2019-10-04,6,58
2019-10-04,7,88
2019-10-04,8,132
2019-10-04,9,112
2019-10-04,10,117
2019-10-04,11,179
2019-10-04,12,150
2019-10-04,13,140
2019-10-04,14,184
2019-10-04,15,205
2019-10-04,16,167
2019-10-04,17,151
2019-10-04,18,108
2019-10-04,19,99
2019-10-04,20,63
2019-10-04,21,42
2019-10-04,22,23
2019-10-04,23,18
2019-10-05,0,14
2019-10-05,1,10
2019-10-05,2,7
2019-10-05,3,8
2019-10-05,4,2
2019-10-05,5,12
2019-10-05,6,24
2019-10-05,7,40
2019-10-05,8,72
2019-10-05,9,104
2019-10-05,10,185
2019-10-05,11,182
2019-10-05,12,138
2019-10-05,13,127
2019-10-05,14,137
2019-10-05,15,164
2019-10-05,16,113
2019-10-05,17,108
2019-10-05,18,83
2019-10-05,19,57
2019-10-05,20,41
2019-10-05,21,32
2019-10-05,22,31
2019-10-05,23,20
2019-10-06,0,21
2019-10-06,1,8
2019-10-06,2,8
2019-10-06,3,5
2019-10-06,4,3
2019-10-06,5,8
2019-10-06,6,15
2019-10-06,7,18
2019-10-06,8,21
2019-10-06,9,58
2019-10-06,10,76
2019-10-06,11,102
2019-10-06,12,119
2019-10-06,13,103
2019-10-06,14,112
2019-10-06,15,81
2019-10-06,16,122
2019-10-06,17,89
2019-10-06,18,71
2019-10-06,19,58
2019-10-06,20,50
2019-10-06,21,25
2019-10-06,22,21
