sensor,start,end,length_hours,value
GD0501_B,2021-03-08 16:00:00,2021-03-09 06:00:00,15,0.0
GD0501_C,2021-03-08 16:00:00,2021-03-09 06:00:00,15,0.0
GD0501_D,2021-03-08 16:00:00,2021-03-09 06:00:00,15,0.0
GD0501_B,2020-11-03 14:00:00,2020-11-03 23:00:00,10,0.0
GD0501_C,2020-11-03 14:00:00,2020-11-03 23:00:00,10,0.0
GD0501_C,2020-09-02 13:00:00,2020-09-02 22:00:00,10,0.0
GD0501_C,2021-02-15 11:00:00,2021-02-15 20:00:00,10,0.0
GD0501_B,2020-09-02 13:00:00,2020-09-02 22:00:00,10,0.0
GD0501_D,2020-09-02 13:00:00,2020-09-02 22:00:00,10,0.0
GD0501_D,2020-11-03 14:00:00,2020-11-03 23:00:00,10,0.0
GD0501_D,2021-02-15 11:00:00,2021-02-15 20:00:00,10,0.0
GD0501_B,2021-02-15 11:00:00,2021-02-15 20:00:00,10,0.0
GD0501_D,2020-12-23 23:00:00,2020-12-24 05:00:00,7,0.0
GD0501_D,2021-01-06 23:00:00,2021-01-07 05:00:00,7,0.0
GD0501_C,2020-07-21 23:00:00,2020-07-22 05:00:00,7,0.0
GD0501_D,2020-12-27 00:00:00,2020-12-27 06:00:00,7,0.0
GD0501_D,2020-12-20 00:00:00,2020-12-20 06:00:00,7,0.0
GD0501_D,2021-01-02 00:00:00,2021-01-02 06:00:00,7,0.0
GD0501_D,2020-12-30 23:00:00,2020-12-31 05:00:00,7,0.0
GD0501_D,2020-12-09 23:00:00,2020-12-10 05:00:00,7,0.0
GD0501_D,2020-12-16 23:00:00,2020-12-17 05:00:00,7,0.0
GD0501_D,2020-12-19 00:00:00,2020-12-19 06:00:00,7,0.0
GD0501_D,2020-12-13 00:00:00,2020-12-13 06:00:00,7,0.0
GD0501_D,2020-12-13 23:00:00,2020-12-14 05:00:00,7,0.0
GD0501_D,2020-12-26 00:00:00,2020-12-26 06:00:00,7,0.0
GD0501_D,2020-12-20 23:00:00,2020-12-21 05:00:00,7,0.0
GD0501_D,2020-12-08 23:00:00,2020-12-09 05:00:00,7,0.0
GD0501_D,2021-01-03 23:00:00,2021-01-04 05:00:00,7,0.0
GD0501_D,2021-03-15 23:00:00,2021-03-16 05:00:00,7,0.0
GD0501_D,2021-03-21 00:00:00,2021-03-21 06:00:00,7,0.0
GD0501_D,2021-01-05 23:00:00,2021-01-06 05:00:00,7,0.0
GD0501_D,2020-12-27 23:00:00,2020-12-28 05:00:00,7,0.0
GD0501_D,2021-01-31 23:00:00,2021-02-01 05:00:00,7,0.0
GD0501_D,2021-02-03 23:00:00,2021-02-04 05:00:00,7,0.0
GD0501_D,2021-02-21 23:00:00,2021-02-22 05:00:00,7,0.0
GD0501_D,2021-02-15 23:00:00,2021-02-16 05:00:00,7,0.0
GD0501_D,2021-03-03 23:00:00,2021-03-04 05:00:00,7,0.0
GD0501_D,2021-03-01 23:00:00,2021-03-02 05:00:00,7,0.0
GD0501_D,2021-02-28 23:00:00,2021-03-01 05:00:00,7,0.0
GD0501_D,2021-02-20 00:00:00,2021-02-20 06:00:00,7,0.0
GD0501_D,2021-03-07 00:00:00,2021-03-07 06:00:00,7,0.0
GD0501_D,2021-03-06 00:00:00,2021-03-06 06:00:00,7,0.0
GD0501_D,2021-03-21 23:00:00,2021-03-22 05:00:00,7,0.0
GD0501_D,2021-03-14 23:00:00,2021-03-15 05:00:00,7,0.0
GD0501_D,2021-02-06 00:00:00,2021-02-06 06:00:00,7,0.0
GD0501_D,2021-02-07 23:00:00,2021-02-08 05:00:00,7,0.0
GD0501_D,2021-02-08 23:00:00,2021-02-09 05:00:00,7,0.0
GD0501_D,2021-02-14 00:00:00,2021-02-14 06:00:00,7,0.0
GD0501_D,2021-01-18 23:00:00,2021-01-19 05:00:00,7,0.0
GD0501_D,2021-01-24 00:00:00,2021-01-24 06:00:00,7,0.0
GD0501_D,2021-02-02 23:00:00,2021-02-03 05:00:00,7,0.0
GD0501_D,2021-02-01 23:00:00,2021-02-02 05:00:00,7,0.0
GD0501_D,2021-02-10 23:00:00,2021-02-11 05:00:00,7,0.0
GD0501_D,2021-01-25 23:00:00,2021-01-26 05:00:00,7,0.0
GD0501_D,2021-01-24 23:00:00,2021-01-25 05:00:00,7,0.0
GD0501_D,2021-01-27 23:00:00,2021-01-28 05:00:00,7,0.0
GD0501_D,2021-01-16 00:00:00,2021-01-16 06:00:00,7,0.0
GD0501_D,2021-01-13 23:00:00,2021-01-14 05:00:00,7,0.0
GD0501_D,2021-01-17 00:00:00,2021-01-17 06:00:00,7,0.0
GD0501_D,2021-01-17 23:00:00,2021-01-18 05:00:00,7,0.0
GD0501_D,2021-01-10 00:00:00,2021-01-10 06:00:00,7,0.0
GD0501_D,2021-01-09 00:00:00,2021-01-09 06:00:00,7,0.0
GD0501_D,2021-03-23 23:00:00,2021-03-24 05:00:00,7,0.0
GD0501_D,2021-03-22 23:00:00,2021-03-23 05:00:00,7,0.0
GD0501_D,2021-03-24 23:00:00,2021-03-25 05:00:00,7,0.0
GD0501_D,2021-03-28 22:00:00,2021-03-29 04:00:00,7,0.0
GD0501_D,2021-05-03 22:00:00,2021-05-04 04:00:00,7,0.0
GD0501_D,2021-05-09 22:00:00,2021-05-10 04:00:00,7,0.0
GD0501_D,2021-06-21 22:00:00,2021-06-22 04:00:00,7,0.0
GD0501_D,2021-05-16 22:00:00,2021-05-17 04:00:00,7,0.0
GD0501_D,2021-08-30 22:00:00,2021-08-31 04:00:00,7,0.0
GD0501_D,2021-03-10 23:00:00,2021-03-11 05:00:00,7,0.0
GD0501_D,2021-02-22 23:00:00,2021-02-23 05:00:00,7,0.0
GD0501_D,2021-03-07 23:00:00,2021-03-08 05:00:00,7,0.0
GD0501_D,2022-06-21 22:00:00,2022-06-22 04:00:00,7,0.0
GD0501_D,2023-04-05 22:00:00,2023-04-06 04:00:00,7,0.0
GD0501_D,2023-04-26 22:00:00,2023-04-27 04:00:00,7,0.0
GD0501_D,2021-10-13 22:00:00,2021-10-14 04:00:00,7,0.0
GD0501_D,2023-04-12 22:00:00,2023-04-13 04:00:00,7,0.0
GD0501_D,2021-08-03 22:00:00,2021-08-04 04:00:00,7,0.0
GD0501_D,2021-03-09 23:00:00,2021-03-10 05:00:00,7,0.0
GD0501_D,2021-03-17 23:00:00,2021-03-18 05:00:00,7,0.0
GD0501_C,2021-03-10 00:00:00,2021-03-10 05:00:00,6,0.0
GD0501_C,2021-03-08 00:00:00,2021-03-08 05:00:00,6,0.0
GD0501_C,2021-02-24 00:00:00,2021-02-24 05:00:00,6,0.0
GD0501_C,2021-03-02 00:00:00,2021-03-02 05:00:00,6,0.0
GD0501_C,2021-02-22 00:00:00,2021-02-22 05:00:00,6,0.0
GD0501_C,2021-02-18 00:00:00,2021-02-18 05:00:00,6,0.0
GD0501_C,2021-02-08 00:00:00,2021-02-08 05:00:00,6,0.0
GD0501_C,2021-02-17 00:00:00,2021-02-17 05:00:00,6,0.0
GD0501_C,2021-03-04 00:00:00,2021-03-04 05:00:00,6,0.0
GD0501_C,2021-03-03 00:00:00,2021-03-03 05:00:00,6,0.0
GD0501_C,2020-07-27 23:00:00,2020-07-28 04:00:00,6,0.0
GD0501_C,2020-07-12 00:00:00,2020-07-12 05:00:00,6,0.0
GD0501_C,2020-07-08 23:00:00,2020-07-09 04:00:00,6,0.0
GD0501_C,2020-07-26 00:00:00,2020-07-26 05:00:00,6,0.0
GD0501_C,2020-12-30 00:00:00,2020-12-30 05:00:00,6,0.0
GD0501_C,2020-12-28 00:00:00,2020-12-28 05:00:00,6,0.0
GD0501_C,2020-12-31 00:00:00,2020-12-31 05:00:00,6,0.0
