date,time,flow
2019-10-01,0,8
2019-10-01,1,8
2019-10-01,2,4
2019-10-01,3,8
2019-10-01,4,22
2019-10-01,5,44
2019-10-01,6,88
2019-10-01,7,147
2019-10-01,8,164
2019-10-01,9,132
2019-10-01,10,167
2019-10-01,11,157
2019-10-01,12,172
2019-10-01,13,147
2019-10-01,14,153
2019-10-01,15,233
2019-10-01,16,363
2019-10-01,17,332
2019-10-01,18,103
2019-10-01,19,88
2019-10-01,20,92
2019-10-01,21,76
2019-10-01,22,62
2019-10-01,23,35
2019-10-02,0,9
2019-10-02,1,12
2019-10-02,2,18
2019-10-02,3,15
2019-10-02,4,23
2019-10-02,5,42
2019-10-02,6,90
2019-10-02,7,142
2019-10-02,8,201
2019-10-02,9,168
2019-10-02,10,143
2019-10-02,11,125
2019-10-02,12,167
2019-10-02,13,178
2019-10-02,14,151
2019-10-02,15,268
2019-10-02,16,366
2019-10-02,17,287
2019-10-02,18,128
2019-10-02,19,92
2019-10-02,20,101
2019-10-02,21,123
2019-10-02,22,87
2019-10-02,23,32
2019-10-03,0,24
2019-10-03,1,10
2019-10-03,2,17
2019-10-03,3,17
2019-10-03,4,20
2019-10-03,5,28
2019-10-03,6,108
2019-10-03,7,161
2019-10-03,8,149
2019-10-03,9,92
2019-10-03,10,134
2019-10-03,11,125
2019-10-03,12,184
2019-10-03,13,154
2019-10-03,14,190
2019-10-03,15,345
2019-10-03,16,354
2019-10-03,17,258
2019-10-03,18,164
2019-10-03,19,95
2019-10-03,20,98
2019-10-03,21,114
2019-10-03,22,84
2019-10-03,23,58
2019-10-04,0,30
2019-10-04,1,28
2019-10-04,2,19
2019-10-04,3,14
2019-10-04,4,22
2019-10-04,5,48
2019-10-04,6,93
2019-10-04,7,147
2019-10-04,8,165
2019-10-04,9,157
2019-10-04,10,152
2019-10-04,11,167
2019-10-04,12,176
2019-10-04,13,194
2019-10-04,14,198
2019-10-04,15,312
2019-10-04,16,378
2019-10-04,17,300
2019-10-04,18,162
2019-10-04,19,127
2019-10-04,20,84
2019-10-04,21,105
2019-10-04,22,126
2019-10-04,23,88
2019-10-05,0,57
2019-10-05,1,44
2019-10-05,2,40
2019-10-05,3,29
2019-10-05,4,16
2019-10-05,5,35
2019-10-05,6,35
2019-10-05,7,62
2019-10-05,8,88
2019-10-05,9,88
2019-10-05,10,114
2019-10-05,11,115
2019-10-05,12,145
2019-10-05,13,146
2019-10-05,14,145
2019-10-05,15,172
2019-10-05,16,153
2019-10-05,17,148
2019-10-05,18,119
2019-10-05,19,112
2019-10-05,20,86
2019-10-05,21,105
2019-10-05,22,100
2019-10-05,23,109
2019-10-06,0,77
2019-10-06,1,90
2019-10-06,2,61
2019-10-06,3,56
2019-10-06,4,17
2019-10-06,5,12
2019-10-06,6,44
2019-10-06,7,57
2019-10-06,8,80
2019-10-06,9,101
2019-10-06,10,119
2019-10-06,11,127
2019-10-06,12,104
2019-10-06,13,123
2019-10-06,14,118
2019-10-06,15,124
2019-10-06,16,131
2019-10-06,17,137
2019-10-06,18,84
2019-10-06,19,67
2019-10-06,20,57
2019-10-06,21,53
2019-10-06,22,46
2019-10-06,23,27
2019-10-07,0,12
2019-10-07,1,8
2019-10-07,2,12
2019-10-07,3,9
2019-10-07,4,19
2019-10-07,5,40
2019-10-07,6,84
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,31
2019-10-07,11,134
2019-10-07,12,157
2019-10-07,13,153
2019-10-07,14,129
2019-10-07,15,216
2019-10-07,16,383
2019-10-07,17,266
2019-10-07,18,134
2019-10-07,19,94
2019-10-07,20,76
2019-10-07,21,66
2019-10-07,22,52
2019-10-07,23,28
2019-10-08,0,17
2019-10-08,1,10
2019-10-08,2,6
2019-10-08,3,7
2019-10-08,4,21
2019-10-08,5,46
2019-10-08,6,95
2019-10-08,7,161
2019-10-08,8,133
2019-10-08,9,133
2019-10-08,10,154
2019-10-08,11,137
2019-10-08,12,133
2019-10-08,13,134
2019-10-08,14,163
2019-10-08,15,283
2019-10-08,16,347
2019-10-08,17,323
2019-10-08,18,158
2019-10-08,19,97
2019-10-08,20,93
2019-10-08,21,92
2019-10-08,22,53
2019-10-08,23,21
2019-10-09,0,12
2019-10-09,1,12
2019-10-09,2,12
2019-10-09,3,12
2019-10-09,4,21
2019-10-09,5,36
2019-10-09,6,80
2019-10-09,7,146
2019-10-09,8,170
2019-10-09,9,159
2019-10-09,10,133
2019-10-09,11,141
2019-10-09,12,175
2019-10-09,13,211
2019-10-09,14,175
2019-10-09,15,282
2019-10-09,16,376
2019-10-09,17,293
2019-10-09,18,135
2019-10-09,19,88
2019-10-09,20,101
2019-10-09,21,87
2019-10-09,22,58
2019-10-09,23,37
2019-10-10,0,22
2019-10-10,1,11
2019-10-10,2,12
2019-10-10,3,22
2019-10-10,4,28
2019-10-10,5,39
2019-10-10,6,94
2019-10-10,7,143
2019-10-10,8,177
2019-10-10,9,149
2019-10-10,10,131
2019-10-10,11,172
2019-10-10,12,136
2019-10-10,13,158
2019-10-10,14,174
2019-10-10,15,295
2019-10-10,16,383
2019-10-10,17,310
2019-10-10,18,183
2019-10-10,19,102
2019-10-10,20,104
2019-10-10,21,92
2019-10-10,22,61
2019-10-10,23,55
2019-10-11,0,41
2019-10-11,1,21
2019-10-11,2,15
2019-10-11,3,16
2019-10-11,4,23
2019-10-11,5,39
2019-10-11,6,80
2019-10-11,7,140
2019-10-11,8,153
2019-10-11,9,134
2019-10-11,10,119
2019-10-11,11,176
2019-10-11,12,183
2019-10-11,13,212
2019-10-11,14,169
2019-10-11,15,265
2019-10-11,16,363
2019-10-11,17,255
2019-10-11,18,158
2019-10-11,19,106
2019-10-11,20,80
2019-10-11,21,92
2019-10-11,22,114
2019-10-11,23,66
2019-10-12,0,64
2019-10-12,1,31
2019-10-12,2,42
2019-10-12,3,24
2019-10-12,4,15
2019-10-12,5,22
2019-10-12,6,40
2019-10-12,7,62
2019-10-12,8,89
2019-10-12,9,88
2019-10-12,10,109
2019-10-12,11,129
2019-10-12,12,132
2019-10-12,13,137
2019-10-12,14,140
2019-10-12,15,145
2019-10-12,16,141
2019-10-12,17,141
2019-10-12,18,146
2019-10-12,19,128
2019-10-12,20,84
2019-10-12,21,100
2019-10-12,22,88
2019-10-12,23,101
2019-10-13,0,74
2019-10-13,1,62
2019-10-13,2,62
2019-10-13,3,48
2019-10-13,4,17
2019-10-13,5,15
2019-10-13,6,39
2019-10-13,7,71
2019-10-13,8,88
2019-10-13,9,105
2019-10-13,10,110
2019-10-13,11,114
2019-10-13,12,114
2019-10-13,13,123
2019-10-13,14,119
2019-10-13,15,114
2019-10-13,16,127
2019-10-13,17,114
2019-10-13,18,84
2019-10-13,19,66
2019-10-13,20,67
2019-10-13,21,62
2019-10-13,22,52
2019-10-13,23,22
2019-10-14,0,16
2019-10-14,1,9
2019-10-14,2,13
2019-10-14,3,21
2019-10-14,4,19
2019-10-14,5,33
2019-10-14,6,89
2019-10-14,7,138
2019-10-14,8,156
2019-10-14,9,125
2019-10-14,10,144
2019-10-14,11,118
2019-10-14,12,145
2019-10-14,13,135
2019-10-14,14,126
2019-10-14,15,215
2019-10-14,16,303
2019-10-14,17,227
2019-10-14,18,91
2019-10-14,19,75
2019-10-14,20,76
2019-10-14,21,53
2019-10-14,22,40
2019-10-14,23,26
2019-10-15,0,18
2019-10-15,1,6
2019-10-15,2,8
2019-10-15,3,11
2019-10-15,4,23
2019-10-15,5,33
2019-10-15,6,77
2019-10-15,7,147
2019-10-15,8,166
2019-10-15,9,107
2019-10-15,10,120
2019-10-15,11,140
2019-10-15,12,143
2019-10-15,13,135
2019-10-15,14,214
2019-10-15,15,247
2019-10-15,16,297
2019-10-15,17,206
2019-10-15,18,133
2019-10-15,19,80
2019-10-15,20,75
2019-10-15,21,78
2019-10-15,22,73
2019-10-15,23,28
2019-10-16,0,20
2019-10-16,1,4
2019-10-16,2,10
2019-10-16,3,14
2019-10-16,4,15
2019-10-16,5,37
2019-10-16,6,89
2019-10-16,7,176
2019-10-16,8,167
2019-10-16,9,112
2019-10-16,10,128
2019-10-16,11,140
2019-10-16,12,116
2019-10-16,13,171
2019-10-16,14,172
2019-10-16,15,245
2019-10-16,16,331
2019-10-16,17,261
2019-10-16,18,128
2019-10-16,19,88
2019-11-20,12,160
2019-11-20,13,159
2019-11-20,14,181
2019-11-20,15,185
2019-11-20,16,281
2019-11-20,17,338
2019-11-20,18,296
2019-11-20,19,145
2019-11-20,20,97
2019-11-20,21,101
2019-11-20,22,92
2019-11-20,23,61
2019-11-21,0,36
2019-11-21,1,21
2019-11-21,2,12
2019-11-21,3,12
2019-11-21,4,12
2019-11-21,5,21
2019-11-21,6,45
2019-11-21,7,84
2019-11-21,8,141
2019-11-21,9,184
2019-11-21,10,154
2019-11-21,11,154
2019-11-21,12,168
2019-11-21,13,163
2019-11-21,14,180
2019-11-21,15,193
2019-11-21,16,292
2019-11-21,17,342
2019-11-21,18,290
2019-11-21,19,163
2019-11-21,20,114
2019-11-21,21,114
2019-11-21,22,101
2019-11-21,23,80
2019-11-22,0,48
2019-11-22,1,21
2019-11-22,2,16
2019-11-22,3,16
2019-11-22,4,21
2019-11-22,5,21
2019-11-22,6,40
2019-11-22,7,84
2019-11-22,8,159
2019-11-22,9,185
2019-11-22,10,154
2019-11-22,11,155
2019-11-22,12,155
2019-11-22,13,208
2019-11-22,14,171
2019-11-22,15,235
2019-11-22,16,307
2019-11-22,17,371
2019-11-22,18,232
2019-11-22,19,164
2019-11-22,20,159
2019-11-22,21,100
2019-11-22,22,122
2019-11-22,23,130
2019-11-23,0,96
2019-11-23,1,57
2019-11-23,2,41
2019-11-23,3,38
2019-11-23,4,31
2019-11-23,5,22
2019-11-23,6,25
2019-11-23,7,36
2019-11-23,8,67
2019-11-23,9,97
2019-11-23,10,94
2019-11-23,11,90
2019-11-23,12,118
2019-11-23,13,164
2019-11-23,14,173
2019-11-23,15,180
2019-11-23,16,181
2019-11-23,17,183
2019-11-23,18,183
2019-11-23,19,113
2019-11-23,20,94
2019-11-23,21,109
2019-11-23,22,110
2019-11-23,23,121
2019-11-24,0,129
2019-11-24,1,104
2019-11-24,2,96
2019-11-24,3,69
2019-11-24,4,53
2019-11-24,5,18
2019-11-24,6,16
2019-11-24,7,43
2019-11-24,8,75
2019-11-24,9,88
2019-11-24,10,118
2019-11-24,11,136
2019-11-24,12,141
2019-11-24,13,145
2019-11-24,14,110
2019-11-24,15,136
2019-11-24,16,137
2019-11-24,17,150
2019-11-24,18,136
2019-11-24,19,97
2019-11-24,20,79
2019-11-24,21,71
2019-11-24,22,57
2019-11-24,23,67
2019-11-25,0,44
2019-11-25,1,26
2019-11-25,2,16
2019-11-25,3,12
2019-11-25,4,14
2019-11-25,5,33
2019-11-25,6,31
2019-11-25,7,91
2019-11-25,8,132
2019-11-25,9,152
2019-11-25,10,140
2019-11-25,11,156
2019-11-25,12,118
2019-11-25,13,150
2019-11-25,14,143
2019-11-25,15,170
2019-11-25,16,293
2019-11-25,17,370
2019-11-25,18,322
2019-11-25,19,143
2019-11-25,20,77
2019-11-25,21,66
2019-11-25,22,49
2019-11-25,23,38
2019-11-26,0,19
2019-11-26,1,10
2019-11-26,2,13
2019-11-26,3,11
2019-11-26,4,8
2019-11-26,5,30
2019-11-26,6,46
2019-11-26,7,94
2019-11-26,8,131
2019-11-26,9,187
2019-11-26,10,121
2019-11-26,11,146
2019-11-26,12,183
2019-11-26,13,163
2019-11-26,14,136
2019-11-26,15,168
2019-11-26,16,307
2019-11-26,17,372
2019-11-26,18,296
2019-11-26,19,132
2019-11-26,20,103
2019-11-26,21,79
2019-11-26,22,93
2019-11-26,23,52
2019-11-27,0,34
2019-11-27,1,14
2019-11-27,2,8
2019-11-27,3,15
2019-11-27,4,8
2019-11-27,5,22
2019-11-27,6,33
2019-11-27,7,88
2019-11-27,8,141
2019-11-27,9,170
2019-11-27,10,132
2019-11-27,11,117
2019-11-27,12,161
2019-11-27,13,158
2019-11-27,14,139
2019-11-27,15,169
2019-11-27,16,293
2019-11-27,17,384
2019-11-27,18,294
2019-11-27,19,137
2019-11-27,20,95
2019-11-27,21,96
2019-11-27,22,97
