date,time,flow
2019-10-01,0,17
2019-10-01,1,4
2019-10-01,2,3
2019-10-01,3,11
2019-10-01,4,9
2019-10-01,5,47
2019-10-01,6,125
2019-10-01,7,158
2019-10-01,8,174
2019-10-01,9,143
2019-10-01,10,120
2019-10-01,11,119
2019-10-01,12,115
2019-10-01,13,107
2019-10-01,14,115
2019-10-01,15,143
2019-10-01,16,213
2019-10-01,17,188
2019-10-01,18,76
2019-10-01,19,75
2019-10-01,20,65
2019-10-01,21,63
2019-10-01,22,38
2019-10-01,23,23
2019-10-02,0,14
2019-10-02,1,12
2019-10-02,2,12
2019-10-02,3,4
2019-10-02,4,16
2019-10-02,5,35
2019-10-02,6,122
2019-10-02,7,209
2019-10-02,8,209
2019-10-02,9,138
2019-10-02,10,107
2019-10-02,11,116
2019-10-02,12,116
2019-10-02,13,102
2019-10-02,14,87
2019-10-02,15,140
2019-10-02,16,191
2019-10-02,17,170
2019-10-02,18,89
2019-10-02,19,68
2019-10-02,20,84
2019-10-02,21,97
2019-10-02,22,45
2019-10-02,23,26
2019-10-03,0,15
2019-10-03,1,14
2019-10-03,2,13
2019-10-03,3,10
2019-10-03,4,23
2019-10-03,5,28
2019-10-03,6,118
2019-10-03,7,187
2019-10-03,8,223
2019-10-03,9,125
2019-10-03,10,113
2019-10-03,11,119
2019-10-03,12,119
2019-10-03,13,106
2019-10-03,14,114
2019-10-03,15,179
2019-10-03,16,219
2019-10-03,17,122
2019-10-03,18,117
2019-10-03,19,63
2019-10-03,20,67
2019-10-03,21,76
2019-10-03,22,59
2019-10-03,23,44
2019-10-04,0,29
2019-10-04,1,18
2019-10-04,2,17
2019-10-04,3,11
2019-10-04,4,11
2019-10-04,5,42
2019-10-04,6,98
2019-10-04,7,198
2019-10-04,8,222
2019-10-04,9,119
2019-10-04,10,106
2019-10-04,11,141
2019-10-04,12,125
2019-10-04,13,126
2019-10-04,14,137
2019-10-04,15,189
2019-10-04,16,211
2019-10-04,17,178
2019-10-04,18,121
2019-10-04,19,85
2019-10-04,20,66
2019-10-04,21,61
2019-10-04,22,74
2019-10-04,23,62
2019-10-05,0,50
2019-10-05,1,42
2019-10-05,2,25
2019-10-05,3,22
2019-10-05,4,8
2019-10-05,5,19
2019-10-05,6,35
2019-10-05,7,56
2019-10-05,8,68
2019-10-05,9,60
2019-10-05,10,68
2019-10-05,11,121
2019-10-05,12,104
2019-10-05,13,102
2019-10-05,14,113
2019-10-05,15,93
2019-10-05,16,91
2019-10-05,17,112
2019-10-05,18,106
2019-10-05,19,96
2019-10-05,20,82
2019-10-05,21,55
2019-10-05,22,74
2019-10-05,23,69
2019-10-06,0,60
2019-10-06,1,65
2019-10-06,2,54
2019-10-06,3,33
2019-10-06,4,13
2019-10-06,5,18
2019-10-06,6,20
2019-10-06,7,22
2019-10-06,8,42
2019-10-06,9,54
2019-10-06,10,74
2019-10-06,11,92
2019-10-06,12,88
2019-10-06,13,110
2019-10-06,14,76
2019-10-06,15,82
2019-10-06,16,84
2019-10-06,17,81
2019-10-06,18,55
2019-10-06,19,63
2019-10-06,20,46
2019-10-06,21,49
2019-10-06,22,36
2019-10-06,23,13
2019-10-07,0,7
2019-10-07,1,6
2019-10-07,2,7
2019-10-07,3,2
2019-10-07,4,9
2019-10-07,5,30
2019-10-07,6,97
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,29
2019-10-07,11,120
2019-10-07,12,104
2019-10-07,13,107
2019-10-07,14,102
2019-10-07,15,142
2019-10-07,16,204
2019-10-07,17,132
2019-10-07,18,77
2019-10-07,19,64
2019-10-07,20,54
2019-10-07,21,55
2019-10-07,22,30
2019-10-07,23,19
2019-10-08,0,9
2019-10-08,1,10
2019-10-08,2,6
2019-10-08,3,6
2019-10-08,4,16
2019-10-08,5,44
2019-10-08,6,123
2019-10-08,7,194
2019-10-08,8,199
2019-10-08,9,120
2019-10-08,10,103
2019-10-08,11,115
2019-10-08,12,113
2019-10-08,13,105
2019-10-08,14,99
2019-10-08,15,158
2019-10-08,16,223
2019-10-08,17,231
2019-10-08,18,79
2019-10-08,19,46
2019-10-08,20,53
