date,time,flow
2019-10-01,0,16
2019-10-01,1,12
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,8
2019-10-01,5,16
2019-10-01,6,48
2019-10-01,7,88
2019-10-01,8,114
2019-10-01,9,100
2019-10-01,10,104
2019-10-01,11,109
2019-10-01,12,104
2019-10-01,13,88
2019-10-01,14,96
2019-10-01,15,80
2019-10-01,16,100
2019-10-01,17,106
2019-10-01,18,79
2019-10-01,19,57
2019-10-01,20,44
2019-10-01,21,36
2019-10-01,22,36
2019-10-01,23,21
2019-10-02,0,16
2019-10-02,1,16
2019-10-02,2,12
2019-10-02,3,4
2019-10-02,4,8
2019-10-02,5,16
2019-10-02,6,54
2019-10-02,7,97
2019-10-02,8,127
2019-10-02,9,105
2019-10-02,10,88
2019-10-02,11,106
2019-10-02,12,105
2019-10-02,13,70
2019-10-02,14,96
2019-10-02,15,92
2019-10-02,16,101
2019-10-02,17,101
2019-10-02,18,84
2019-10-02,19,48
2019-10-02,20,52
2019-10-02,21,44
2019-10-02,22,44
2019-10-02,23,26
2019-10-03,0,16
2019-10-03,1,16
2019-10-03,2,16
2019-10-03,3,4
2019-10-03,4,4
2019-10-03,5,21
2019-10-03,6,53
2019-10-03,7,92
2019-10-03,8,137
2019-10-03,9,119
2019-10-03,10,109
2019-10-03,11,104
2019-10-03,12,109
2019-10-03,13,104
2019-10-03,14,96
2019-10-03,15,92
2019-10-03,16,114
2019-10-03,17,105
2019-10-03,18,84
2019-10-03,19,57
2019-10-03,20,57
2019-10-03,21,62
2019-10-03,22,63
2019-10-03,23,44
2019-10-04,0,21
2019-10-04,1,16
2019-10-04,2,21
2019-10-04,3,16
2019-10-04,4,4
2019-10-04,5,21
2019-10-04,6,58
2019-10-04,7,96
2019-10-04,8,136
2019-10-04,9,110
2019-10-04,10,110
2019-10-04,11,124
2019-10-04,12,131
2019-10-04,13,110
2019-10-04,14,105
2019-10-04,15,110
2019-10-04,16,130
2019-10-04,17,118
2019-10-04,18,115
2019-10-04,19,92
2019-10-04,20,76
2019-10-04,21,84
2019-10-04,22,96
2019-10-04,23,84
2019-10-05,0,62
2019-10-05,1,44
