date,time,flow
2019-10-01,0,4
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,8
2019-10-01,4,12
2019-10-01,5,21
2019-10-01,6,44
2019-10-01,7,53
2019-10-01,8,67
2019-10-01,9,62
2019-10-01,10,58
2019-10-01,11,52
2019-10-01,12,49
2019-10-01,13,62
2019-10-01,14,52
2019-10-01,15,57
2019-10-01,16,66
2019-10-01,17,57
2019-10-01,18,40
2019-10-01,19,44
2019-10-01,20,36
2019-10-01,21,40
2019-10-01,22,26
2019-10-01,23,16
2019-10-02,0,8
2019-10-02,1,4
2019-10-02,2,13
2019-10-02,3,16
2019-10-02,4,16
2019-10-02,5,21
2019-10-02,6,49
2019-10-02,7,57
2019-10-02,8,75
2019-10-02,9,67
2019-10-02,10,48
2019-10-02,11,61
2019-10-02,12,58
2019-10-02,13,53
2019-10-02,14,48
2019-10-02,15,61
2019-10-02,16,76
2019-10-02,17,67
2019-10-02,18,57
2019-10-02,19,36
2019-10-02,20,53
2019-10-02,21,44
2019-10-02,22,53
2019-10-02,23,16
2019-10-03,0,8
2019-10-03,1,0
2019-10-03,2,4
2019-10-03,3,12
2019-10-03,4,12
2019-10-03,5,16
2019-10-03,6,30
2019-10-03,7,67
2019-10-03,8,76
2019-10-03,9,52
2019-10-03,10,57
2019-10-03,11,66
2019-10-03,12,57
2019-10-03,13,62
2019-10-03,14,71
2019-10-03,15,71
2019-10-03,16,71
2019-10-03,17,84
2019-10-03,18,76
2019-10-03,19,49
2019-10-03,20,40
2019-10-03,21,57
2019-10-03,22,49
2019-10-03,23,31
2019-10-04,0,16
2019-10-04,1,8
2019-10-04,2,8
2019-10-04,3,8
2019-10-04,4,16
2019-10-04,5,17
2019-10-04,6,49
2019-10-04,7,62
2019-10-04,8,80
2019-10-04,9,57
2019-10-04,10,72
2019-10-04,11,80
2019-10-04,12,72
2019-10-04,13,71
2019-10-04,14,72
2019-10-04,15,96
2019-10-04,16,118
2019-10-04,17,104
2019-10-04,18,104
2019-10-04,19,92
2019-10-04,20,66
2019-10-04,21,80
2019-10-04,22,66
2019-10-04,23,57
2019-10-05,0,36
2019-10-05,1,16
2019-10-05,2,16
2019-10-05,3,21
2019-10-05,4,16
2019-10-05,5,8
2019-10-05,6,16
2019-10-05,7,31
2019-10-05,8,39
2019-10-05,9,48
2019-10-05,10,57
2019-10-05,11,57
2019-10-05,12,61
2019-10-05,13,71
2019-10-05,14,71
2019-10-05,15,76
2019-10-05,16,84
2019-10-05,17,97
2019-10-05,18,105
2019-10-05,19,80
2019-10-05,20,67
2019-10-05,21,71
2019-10-05,22,62
2019-10-05,23,57
2019-10-06,0,35
2019-10-06,1,21
2019-10-06,2,16
2019-10-06,3,16
2019-10-06,4,8
2019-10-06,5,4
2019-10-06,6,16
2019-10-06,7,16
2019-10-06,8,31
2019-10-06,9,40
2019-10-06,10,57
2019-10-06,11,67
2019-10-06,12,67
2019-10-06,13,80
2019-10-06,14,84
2019-10-06,15,67
2019-10-06,16,75
2019-10-06,17,80
2019-10-06,18,53
2019-10-06,19,53
2019-10-06,20,30
2019-10-06,21,31
2019-10-06,22,26
2019-10-06,23,21
2019-10-07,0,4
2019-10-07,1,0
2019-10-07,2,4
2019-10-07,3,8
2019-10-07,4,12
2019-10-07,5,21
2019-10-07,6,53
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,13
2019-10-07,11,52
2019-10-07,12,52
2019-10-07,13,49
2019-10-07,14,40
2019-10-07,15,52
2019-10-07,16,70
