date,time,flow
2019-10-01,0,8
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,32
2019-10-01,4,93
2019-10-01,5,92
2019-10-01,6,127
2019-10-01,7,75
2019-10-01,8,128
2019-10-01,9,121
2019-10-01,10,124
2019-10-01,11,137
2019-10-01,12,147
2019-10-01,13,115
2019-10-01,14,106
2019-10-01,15,133
2019-10-01,16,167
2019-10-01,17,141
2019-10-01,18,91
2019-10-01,19,101
2019-10-01,20,26
2019-10-01,21,52
2019-10-01,22,21
2019-10-01,23,12
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,12
2019-10-02,5,21
2019-10-02,6,31
2019-10-02,7,79
2019-10-02,8,109
2019-10-02,9,84
2019-10-02,10,100
2019-10-02,11,127
2019-10-02,12,144
2019-10-02,13,110
2019-10-02,14,122
2019-10-02,15,147
2019-10-02,16,158
2019-10-02,17,147
2019-10-02,18,57
2019-10-02,19,44
2019-10-02,20,62
2019-10-02,21,62
2019-10-02,22,21
2019-10-02,23,16
2019-10-03,0,8
2019-10-03,1,8
2019-10-03,2,16
2019-10-03,3,0
2019-10-03,4,4
2019-10-03,5,21
2019-10-03,6,39
2019-10-03,7,83
2019-10-03,8,122
2019-10-03,9,93
2019-10-03,10,106
2019-10-03,11,118
2019-10-03,12,122
2019-10-03,13,110
2019-10-03,14,114
2019-10-03,15,145
2019-10-03,16,147
2019-10-03,17,142
2019-10-03,18,93
2019-10-03,19,57
2019-10-03,20,54
2019-10-03,21,53
2019-10-03,22,31
2019-10-03,23,16
2019-10-04,0,12
2019-10-04,1,4
2019-10-04,2,4
2019-10-04,3,4
2019-10-04,4,4
2019-10-04,5,21
2019-10-04,6,35
2019-10-04,7,101
2019-10-04,8,115
2019-10-04,9,97
2019-10-04,10,119
2019-10-04,11,131
2019-10-04,12,137
2019-10-04,13,153
2019-10-04,14,145
2019-10-04,15,151
2019-10-04,16,159
2019-10-04,17,118
2019-10-04,18,92
2019-10-04,19,57
2019-10-04,20,48
2019-10-04,21,70
2019-10-04,22,53
2019-10-04,23,36
2019-10-05,0,35
2019-10-05,1,26
2019-10-05,2,21
2019-10-05,3,16
2019-10-05,4,12
2019-10-05,5,8
2019-10-05,6,26
2019-10-05,7,40
2019-10-05,8,66
2019-10-05,9,76
2019-10-05,10,80
2019-10-05,11,105
2019-10-05,12,123
2019-10-05,13,139
2019-10-05,14,140
2019-10-05,15,132
2019-10-05,16,127
2019-10-05,17,92
2019-10-05,18,70
2019-10-05,19,54
2019-10-05,20,52
2019-10-05,21,62
2019-10-05,22,44
2019-10-05,23,48
2019-10-06,0,36
2019-10-06,1,36
2019-10-06,2,21
2019-10-06,3,16
2019-10-06,4,16
2019-10-06,5,16
2019-10-06,6,16
2019-10-06,7,36
2019-10-06,8,44
2019-10-06,9,75
2019-10-06,10,91
2019-10-06,11,109
2019-10-06,12,141
2019-10-06,13,157
2019-10-06,14,123
2019-10-06,15,119
2019-10-06,16,150
2019-10-06,17,105
2019-10-06,18,67
2019-10-06,19,44
2019-10-06,20,35
2019-10-06,21,44
2019-10-06,22,26
2019-10-06,23,21
2019-10-07,0,16
2019-10-07,1,8
2019-10-07,2,8
2019-10-07,3,4
2019-10-07,4,8
2019-10-07,5,16
2019-10-07,6,44
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,34
2019-10-07,11,160
2019-10-07,12,135
2019-10-07,13,131
2019-10-07,14,121
2019-10-07,15,146
2019-10-07,16,179
2019-10-07,17,122
2019-10-07,18,66
2019-10-07,19,45
2019-10-07,20,31
2019-10-07,21,31
2019-10-07,22,26
2019-10-07,23,13
2019-10-08,0,8
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,35
2019-10-08,4,90
2019-10-08,5,84
2019-10-08,6,133
2019-10-08,7,75
