date,time,flow
2019-10-01,0,30
2019-10-01,1,8
2019-10-01,2,15
2019-10-01,3,12
2019-10-01,4,25
2019-10-01,5,55
2019-10-01,6,122
2019-10-01,7,167
2019-10-01,8,145
2019-10-01,9,117
2019-10-01,10,103
2019-10-01,11,125
2019-10-01,12,122
2019-10-01,13,113
2019-10-01,14,143
2019-10-01,15,139
2019-10-01,16,160
2019-10-01,17,120
2019-10-01,18,159
2019-10-01,19,98
2019-10-01,20,74
2019-10-01,21,51
2019-10-01,22,59
2019-10-01,23,40
2019-10-02,0,22
2019-10-02,1,13
2019-10-02,2,13
2019-10-02,3,10
2019-10-02,4,28
2019-10-02,5,37
2019-10-02,6,78
2019-10-02,7,145
2019-10-02,8,131
2019-10-02,9,156
2019-10-02,10,127
2019-10-02,11,119
2019-10-02,12,137
2019-10-02,13,131
2019-10-02,14,117
2019-10-02,15,131
2019-10-02,16,151
2019-10-02,17,213
2019-10-02,18,117
2019-10-02,19,93
2019-10-02,20,81
2019-10-02,21,81
2019-10-02,22,60
2019-10-02,23,38
2019-10-03,0,20
2019-10-03,1,18
2019-10-03,2,15
2019-10-03,3,19
2019-10-03,4,26
2019-10-03,5,50
2019-10-03,6,100
2019-10-03,7,146
2019-10-03,8,153
2019-10-03,9,118
2019-10-03,10,137
2019-10-03,11,150
2019-10-03,12,139
2019-10-03,13,145
2019-10-03,14,140
2019-10-03,15,188
2019-10-03,16,186
2019-10-03,17,194
2019-10-03,18,113
2019-10-03,19,98
2019-10-03,20,110
2019-10-03,21,113
2019-10-03,22,113
2019-10-03,23,95
2019-10-04,0,20
2019-10-04,1,11
2019-10-04,2,17
2019-10-04,3,14
2019-10-04,4,32
2019-10-04,5,48
2019-10-04,6,103
2019-10-04,7,151
2019-10-04,8,144
2019-10-04,9,107
2019-10-04,10,132
2019-10-04,11,148
2019-10-04,12,162
2019-10-04,13,144
2019-10-04,14,150
2019-10-04,15,138
2019-10-04,16,168
2019-10-04,17,183
2019-10-04,18,220
2019-10-04,19,127
2019-10-04,20,125
2019-10-04,21,102
2019-10-04,22,85
2019-10-04,23,90
2019-10-05,0,56
2019-10-05,1,40
2019-10-05,2,22
2019-10-05,3,19
2019-10-05,4,23
2019-10-05,5,33
2019-10-05,6,46
2019-10-05,7,72
2019-10-05,8,82
2019-10-05,9,119
2019-10-05,10,126
2019-10-05,11,131
2019-10-05,12,162
2019-10-05,13,158
2019-10-05,14,150
2019-10-05,15,168
2019-10-05,16,191
2019-10-05,17,160
2019-10-05,18,130
2019-10-05,19,131
2019-10-05,20,99
2019-10-05,21,126
2019-10-05,22,94
2019-10-05,23,97
2019-10-06,0,63
2019-10-06,1,53
2019-10-06,2,43
2019-10-06,3,35
2019-10-06,4,26
2019-10-06,5,25
2019-10-06,6,29
2019-10-06,7,37
2019-10-06,8,50
2019-10-06,9,87
2019-10-06,10,110
2019-10-06,11,124
2019-10-06,12,120
2019-10-06,13,159
2019-10-06,14,156
2019-10-06,15,175
2019-10-06,16,192
2019-10-06,17,144
2019-10-06,18,108
2019-10-06,19,87
2019-10-06,20,64
2019-10-06,21,54
2019-10-06,22,47
2019-10-06,23,35
2019-10-07,0,18
2019-10-07,1,6
2019-10-07,2,3
2019-10-07,3,16
2019-10-07,4,32
2019-10-07,5,48
2019-10-07,6,89
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,0
2019-10-07,11,0
2019-10-07,12,0
2019-10-07,13,0
2019-10-07,14,0
2019-10-07,15,0
2019-10-07,16,0
2019-10-07,17,0
2019-10-07,18,0
2019-10-07,19,0
2019-10-07,20,0
2019-10-07,21,0
2019-10-07,22,0
2019-10-07,23,24
2019-10-08,0,19
2019-10-08,1,14
2019-10-08,2,10
2019-10-08,3,18
2019-10-08,4,38
2019-10-08,5,62
2019-10-08,6,109
2019-10-08,7,158
2019-10-08,8,167
2019-10-08,9,131
2019-10-08,10,158
2019-10-08,11,134
2019-10-08,12,125
2019-10-08,13,135
2019-10-08,14,139
2019-10-08,15,150
2019-10-08,16,81
2019-10-08,17,122
2019-10-08,18,143
2019-10-08,19,99
2019-10-08,20,103
2019-10-08,21,57
2019-10-08,22,65
2019-10-08,23,39
2019-10-09,0,26
2019-10-09,1,17
2019-10-09,2,13
2019-10-09,3,18
2019-10-09,4,38
2019-10-09,5,54
2019-10-09,6,104
2019-10-09,7,127
