date,time,flow
2019-10-01,0,10
2019-10-01,1,9
2019-10-01,2,5
2019-10-01,3,8
2019-10-01,4,20
2019-10-01,5,41
2019-10-01,6,132
2019-10-01,7,319
2019-10-01,8,340
2019-10-01,9,217
2019-10-01,10,233
2019-10-01,11,230
2019-10-01,12,229
2019-10-01,13,205
2019-10-01,14,187
2019-10-01,15,229
2019-10-01,16,219
2019-10-01,17,230
2019-10-01,18,149
2019-10-01,19,102
2019-10-01,20,61
2019-10-01,21,56
2019-10-01,22,21
2019-10-01,23,20
2019-10-02,0,8
2019-10-02,1,4
2019-10-02,2,5
2019-10-02,3,7
2019-10-02,4,20
2019-10-02,5,51
2019-10-02,6,154
2019-10-02,7,302
2019-10-02,8,349
2019-10-02,9,261
2019-10-02,10,200
2019-10-02,11,225
2019-10-02,12,226
2019-10-02,13,137
2019-10-02,14,184
2019-10-02,15,212
2019-10-02,16,233
2019-10-02,17,212
2019-10-02,18,197
2019-10-02,19,102
2019-10-02,20,52
2019-10-02,21,31
2019-10-02,22,33
2019-10-02,23,22
2019-10-03,0,10
2019-10-03,1,5
2019-10-03,2,9
2019-10-03,3,4
2019-10-03,4,10
2019-10-03,5,54
2019-10-03,6,160
2019-10-03,7,333
2019-10-03,8,280
2019-10-03,9,186
2019-10-03,10,264
2019-10-03,11,206
2019-10-03,12,231
2019-10-03,13,257
2019-10-03,14,260
2019-10-03,15,238
2019-10-03,16,229
2019-10-03,17,339
2019-10-03,18,313
2019-10-03,19,108
2019-10-03,20,59
2019-10-03,21,57
2019-10-03,22,34
2019-10-03,23,39
2019-10-04,0,11
2019-10-04,1,5
2019-10-04,2,10
2019-10-04,3,7
2019-10-04,4,19
2019-10-04,5,47
2019-10-04,6,140
2019-10-04,7,324
2019-10-04,8,345
2019-10-04,9,254
2019-10-04,10,228
2019-10-04,11,249
2019-10-04,12,242
2019-10-04,13,229
2019-10-04,14,251
2019-10-04,15,237
2019-10-04,16,225
2019-10-04,17,164
2019-10-04,18,165
2019-10-04,19,132
2019-10-04,20,89
2019-10-04,21,62
2019-10-04,22,44
2019-10-04,23,50
2019-10-05,0,31
2019-10-05,1,8
2019-10-05,2,7
2019-10-05,3,20
2019-10-05,4,11
2019-10-05,5,30
2019-10-05,6,35
2019-10-05,7,78
2019-10-05,8,115
2019-10-05,9,145
2019-10-05,10,193
2019-10-05,11,204
2019-10-05,12,221
2019-10-05,13,183
2019-10-05,14,200
2019-10-05,15,151
2019-10-05,16,127
2019-10-05,17,166
2019-10-05,18,140
2019-10-05,19,95
2019-10-05,20,87
2019-10-05,21,74
2019-10-05,22,68
2019-10-05,23,72
2019-10-06,0,34
2019-10-06,1,28
2019-10-06,2,20
2019-10-06,3,10
2019-10-06,4,13
2019-10-06,5,16
2019-10-06,6,38
2019-10-06,7,40
2019-10-06,8,54
2019-10-06,9,98
2019-10-06,10,135
2019-10-06,11,135
2019-10-06,12,234
2019-10-06,13,274
2019-10-06,14,167
2019-10-06,15,95
2019-10-06,16,100
2019-10-06,17,91
2019-10-06,18,105
2019-10-06,19,80
2019-10-06,20,46
2019-10-06,21,30
2019-10-06,22,35
2019-10-06,23,22
2019-10-07,0,11
2019-10-07,1,7
2019-10-07,2,3
2019-10-07,3,12
2019-10-07,4,15
2019-10-07,5,45
2019-10-07,6,123
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,46
2019-10-07,11,181
2019-10-07,12,175
2019-10-07,13,239
2019-10-07,14,213
2019-10-07,15,239
2019-10-07,16,202
2019-10-07,17,163
2019-10-07,18,118
2019-10-07,19,87
2019-10-07,20,60
2019-10-07,21,40
2019-10-07,22,14
2019-10-07,23,21
2019-10-08,0,12
2019-10-08,1,3
2019-10-08,2,9
2019-10-08,3,6
2019-10-08,4,16
2019-10-08,5,49
2019-10-08,6,163
2019-10-08,7,360
2019-10-08,8,294
2019-10-08,9,284
2019-10-08,10,184
2019-10-08,11,198
2019-10-08,12,246
2019-10-08,13,227
2019-10-08,14,160
2019-10-08,15,232
2019-10-08,16,222
2019-10-08,17,214
2019-10-08,18,163
2019-10-08,19,88
2019-10-08,20,43
2019-10-08,21,43
2019-10-08,22,22
2019-10-08,23,29
2019-10-09,0,8
2019-10-09,1,1
2019-10-09,2,3
2019-10-09,3,3
2019-10-09,4,14
2019-10-09,5,51
2019-10-09,6,128
2019-10-09,7,336
2019-10-09,8,326
2019-10-09,9,214
2019-10-09,10,224
2019-10-09,11,194
2019-10-09,12,224
2019-10-09,13,204
2019-10-09,14,211
2019-10-09,15,219
2019-10-09,16,219
2019-10-09,17,221
2019-10-09,18,215
2019-10-09,19,158
2019-10-09,20,69
2019-10-09,21,37
2019-10-09,22,40
2019-10-09,23,26
2019-10-10,0,10
2019-10-10,1,10
2019-10-10,2,10
2019-10-10,3,10
2019-10-10,4,21
2019-10-10,5,42
2019-10-10,6,144
2019-10-10,7,295
2019-10-10,8,351
2019-10-10,9,178
2019-10-10,10,228
2019-10-10,11,230
2019-10-10,12,269
2019-10-10,13,233
2019-10-10,14,224
2019-10-10,15,213
2019-10-10,16,185
2019-10-10,17,246
2019-10-10,18,194
2019-10-10,19,111
2019-10-10,20,57
2019-10-10,21,48
2019-10-10,22,33
2019-10-10,23,28
2019-10-11,0,8
2019-10-11,1,6
2019-10-11,2,7
2019-10-11,3,7
2019-10-11,4,17
2019-10-11,5,44
2019-10-11,6,128
2019-10-11,7,270
2019-10-11,8,281
2019-10-11,9,235
2019-10-11,10,196
2019-10-11,11,218
2019-10-11,12,251
2019-10-11,13,258
2019-10-11,14,220
2019-10-11,15,190
2019-10-11,16,158
2019-10-11,17,159
2019-10-11,18,163
2019-10-11,19,91
2019-10-11,20,69
2019-10-11,21,64
2019-10-11,22,34
2019-10-11,23,43
2019-10-12,0,31
2019-10-12,1,17
2019-10-12,2,12
2019-10-12,3,26
2019-10-12,4,17
2019-10-12,5,29
2019-10-12,6,40
2019-10-12,7,57
2019-10-12,8,85
2019-10-12,9,113
2019-10-12,10,153
2019-10-12,11,227
2019-10-12,12,244
2019-10-12,13,263
2019-10-12,14,162
2019-10-12,15,155
2019-10-12,16,116
2019-10-12,17,118
2019-10-12,18,159
2019-10-12,19,83
2019-10-12,20,55
2019-10-12,21,58
2019-10-12,22,63
2019-10-12,23,51
2019-10-13,0,40
2019-10-13,1,24
2019-10-13,2,17
2019-10-13,3,14
2019-10-13,4,7
2019-10-13,5,19
2019-10-13,6,30
2019-10-13,7,32
2019-10-13,8,72
2019-10-13,9,79
2019-10-13,10,112
2019-10-13,11,138
2019-10-13,12,235
2019-10-13,13,185
2019-10-13,14,139
2019-10-13,15,133
2019-10-13,16,123
2019-10-13,17,123
2019-10-13,18,130
2019-10-13,19,87
2019-10-13,20,40
2019-10-13,21,31
2019-10-13,22,33
2019-10-13,23,36
2019-10-14,0,13
2019-10-14,1,5
2019-10-14,2,8
2019-10-14,3,9
2019-10-14,4,24
2019-10-14,5,28
2019-10-14,6,106
2019-10-14,7,174
2019-10-14,8,166
2019-10-14,9,188
2019-10-14,10,164
2019-10-14,11,132
2019-10-14,12,148
2019-10-14,13,248
2019-10-14,14,182
2019-10-14,15,202
2019-10-14,16,168
2019-10-14,17,155
2019-10-14,18,115
2019-10-14,19,58
2019-10-14,20,49
2019-10-14,21,39
2019-10-14,22,18
2019-10-14,23,31
2019-10-15,0,9
2019-10-15,1,9
2019-10-15,2,5
2019-10-15,3,9
2019-10-15,4,16
2019-10-15,5,42
2019-10-15,6,112
2019-10-15,7,323
2019-10-15,8,216
2019-10-15,9,166
2019-10-15,10,164
2019-10-15,11,131
2019-10-15,12,181
2019-10-15,13,236
2019-10-15,14,171
2019-10-15,15,182
2019-10-15,16,161
2019-10-15,17,174
2019-10-15,18,133
2019-10-15,19,78
2019-10-15,20,39
2019-10-15,21,36
2019-10-15,22,19
2019-10-15,23,20
2019-10-16,0,9
2019-10-16,1,3
2019-10-16,2,5
2019-10-16,3,9
2019-10-16,4,18
2019-10-16,5,49
2019-10-16,6,101
2019-10-16,7,303
2019-10-16,8,258
2019-10-16,9,199
2019-10-16,10,170
2019-10-16,11,218
2019-10-16,12,169
2019-10-16,13,145
2019-10-16,14,144
2019-10-16,15,176
2019-10-16,16,165
2019-10-16,17,160
2019-10-16,18,189
2019-10-16,19,136
2019-11-20,12,152
2019-11-20,13,201
2019-11-20,14,134
2019-11-20,15,150
2019-11-20,16,180
2019-11-20,17,185
