date,time,flow
2019-10-01,0,12
2019-10-01,1,9
2019-10-01,2,8
2019-10-01,3,10
2019-10-01,4,15
2019-10-01,5,33
2019-10-01,6,90
2019-10-01,7,135
2019-10-01,8,159
2019-10-01,9,195
2019-10-01,10,142
2019-10-01,11,152
2019-10-01,12,145
2019-10-01,13,159
2019-10-01,14,140
2019-10-01,15,142
2019-10-01,16,148
2019-10-01,17,126
2019-10-01,18,119
2019-10-01,19,80
2019-10-01,20,71
2019-10-01,21,51
2019-10-01,22,38
2019-10-01,23,32
2019-10-02,0,22
2019-10-02,1,8
2019-10-02,2,9
2019-10-02,3,12
2019-10-02,4,10
2019-10-02,5,35
2019-10-02,6,101
2019-10-02,7,123
2019-10-02,8,169
2019-10-02,9,144
2019-10-02,10,149
2019-10-02,11,167
2019-10-02,12,147
2019-10-02,13,148
2019-10-02,14,134
2019-10-02,15,146
2019-10-02,16,114
2019-10-02,17,144
2019-10-02,18,134
2019-10-02,19,96
2019-10-02,20,63
2019-10-02,21,55
2019-10-02,22,41
2019-10-02,23,30
2019-10-03,0,18
2019-10-03,1,12
2019-10-03,2,6
2019-10-03,3,13
2019-10-03,4,9
2019-10-03,5,30
2019-10-03,6,101
2019-10-03,7,125
2019-10-03,8,151
2019-10-03,9,112
2019-10-03,10,157
2019-10-03,11,107
2019-10-03,12,152
2019-10-03,13,138
2019-10-03,14,130
2019-10-03,15,139
2019-10-03,16,147
2019-10-03,17,138
2019-10-03,18,140
2019-10-03,19,82
2019-10-03,20,69
2019-10-03,21,46
2019-10-03,22,53
2019-10-03,23,32
2019-10-04,0,22
2019-10-04,1,8
2019-10-04,2,13
2019-10-04,3,12
2019-10-04,4,13
2019-10-04,5,35
2019-10-04,6,88
2019-10-04,7,141
2019-10-04,8,145
2019-10-04,9,122
2019-10-04,10,128
2019-10-04,11,130
2019-10-04,12,153
2019-10-04,13,135
2019-10-04,14,137
2019-10-04,15,131
2019-10-04,16,156
2019-10-04,17,144
2019-10-04,18,151
2019-10-04,19,112
2019-10-04,20,80
2019-10-04,21,82
2019-10-04,22,62
2019-10-04,23,48
2019-10-05,0,36
2019-10-05,1,22
2019-10-05,2,8
2019-10-05,3,17
2019-10-05,4,19
2019-10-05,5,20
2019-10-05,6,28
2019-10-05,7,56
2019-10-05,8,91
2019-10-05,9,98
2019-10-05,10,83
2019-10-05,11,123
2019-10-05,12,153
2019-10-05,13,155
2019-10-05,14,100
2019-10-05,15,123
2019-10-05,16,92
2019-10-05,17,115
2019-10-05,18,121
2019-10-05,19,104
2019-10-05,20,78
2019-10-05,21,79
2019-10-05,22,82
2019-10-05,23,54
2019-10-06,0,38
2019-10-06,1,42
2019-10-06,2,29
2019-10-06,3,24
2019-10-06,4,14
2019-10-06,5,13
2019-10-06,6,15
2019-10-06,7,28
2019-10-06,8,55
2019-10-06,9,73
2019-10-06,10,81
2019-10-06,11,107
2019-10-06,12,92
2019-10-06,13,125
2019-10-06,14,115
2019-10-06,15,120
2019-10-06,16,117
2019-10-06,17,89
2019-10-06,18,77
2019-10-06,19,80
2019-10-06,20,68
2019-10-06,21,52
2019-10-06,22,42
2019-10-06,23,42
2019-10-07,0,15
2019-10-07,1,7
2019-10-07,2,10
2019-10-07,3,11
2019-10-07,4,12
2019-10-07,5,35
2019-10-07,6,82
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,29
2019-10-07,11,158
2019-10-07,12,150
2019-10-07,13,131
2019-10-07,14,120
2019-10-07,15,151
2019-10-07,16,159
2019-10-07,17,122
2019-10-07,18,102
2019-10-07,19,78
2019-10-07,20,66
2019-10-07,21,62
2019-10-07,22,42
2019-10-07,23,32
2019-10-08,0,18
2019-10-08,1,11
2019-10-08,2,9
2019-10-08,3,7
2019-10-08,4,15
2019-10-08,5,28
2019-10-08,6,92
2019-10-08,7,122
2019-10-08,8,159
2019-10-08,9,117
2019-10-08,10,149
2019-10-08,11,126
2019-10-08,12,140
2019-10-08,13,166
2019-10-08,14,145
2019-10-08,15,138
2019-10-08,16,114
2019-10-08,17,131
2019-10-08,18,158
2019-10-08,19,95
2019-10-08,20,76
2019-10-08,21,54
2019-10-08,22,43
2019-10-08,23,24
2019-10-09,0,18
2019-10-09,1,12
2019-10-09,2,8
2019-10-09,3,13
2019-10-09,4,11
2019-10-09,5,34
2019-10-09,6,101
2019-10-09,7,128
2019-10-09,8,161
2019-10-09,9,148
2019-10-09,10,151
2019-10-09,11,132
2019-10-09,12,149
2019-10-09,13,148
2019-10-09,14,152
2019-10-09,15,133
2019-10-09,16,138
2019-10-09,17,148
2019-10-09,18,114
2019-10-09,19,96
2019-10-09,20,72
2019-10-09,21,67
2019-10-09,22,47
2019-10-09,23,35
2019-10-10,0,22
2019-10-10,1,7
2019-10-10,2,9
2019-10-10,3,9
2019-10-10,4,13
2019-10-10,5,38
2019-10-10,6,104
2019-10-10,7,131
2019-10-10,8,138
2019-10-10,9,157
2019-10-10,10,146
2019-10-10,11,159
2019-10-10,12,174
2019-10-10,13,127
2019-10-10,14,151
2019-10-10,15,131
2019-10-10,16,125
2019-10-10,17,146
2019-10-10,18,108
2019-10-10,19,78
2019-10-10,20,72
2019-10-10,21,83
2019-10-10,22,55
2019-10-10,23,38
2019-10-11,0,31
2019-10-11,1,13
2019-10-11,2,13
2019-10-11,3,12
2019-10-11,4,18
2019-10-11,5,27
2019-10-11,6,100
2019-10-11,7,152
2019-10-11,8,141
2019-10-11,9,130
2019-10-11,10,159
2019-10-11,11,148
2019-10-11,12,146
2019-10-11,13,117
2019-10-11,14,131
2019-10-11,15,115
2019-10-11,16,144
2019-10-11,17,129
2019-10-11,18,116
2019-10-11,19,82
2019-10-11,20,76
2019-10-11,21,71
2019-10-11,22,52
2019-10-11,23,54
2019-10-12,0,36
2019-10-12,1,27
2019-10-12,2,26
2019-10-12,3,26
2019-10-12,4,18
2019-10-12,5,22
2019-10-12,6,26
2019-10-12,7,51
2019-10-12,8,62
2019-10-12,9,93
2019-10-12,10,87
2019-10-12,11,122
2019-10-12,12,133
2019-10-12,13,117
2019-10-12,14,100
2019-10-12,15,113
2019-10-12,16,89
2019-10-12,17,111
2019-10-12,18,101
2019-10-12,19,94
2019-10-12,20,66
2019-10-12,21,69
2019-10-12,22,74
2019-10-12,23,71
2019-10-13,0,46
2019-10-13,1,30
2019-10-13,2,27
2019-10-13,3,28
2019-10-13,4,13
2019-10-13,5,15
2019-10-13,6,18
2019-10-13,7,30
2019-10-13,8,42
2019-10-13,9,72
2019-10-13,10,91
2019-10-13,11,93
2019-10-13,12,117
2019-10-13,13,116
2019-10-13,14,140
2019-10-13,15,177
2019-10-13,16,121
2019-10-13,17,99
2019-10-13,18,97
2019-10-13,19,69
2019-10-13,20,65
2019-10-13,21,42
2019-10-13,22,61
2019-10-13,23,29
2019-10-14,0,15
2019-10-14,1,14
2019-10-14,2,7
2019-10-14,3,14
2019-10-14,4,11
2019-10-14,5,33
2019-10-14,6,82
2019-10-14,7,140
2019-10-14,8,112
2019-10-14,9,100
2019-10-14,10,121
2019-10-14,11,162
2019-10-14,12,127
2019-10-14,13,157
2019-10-14,14,148
2019-10-14,15,150
2019-10-14,16,135
2019-10-14,17,117
2019-10-14,18,115
2019-10-14,19,86
2019-10-14,20,55
2019-10-14,21,37
2019-10-14,22,40
2019-10-14,23,21
2019-10-15,0,10
2019-10-15,1,6
2019-10-15,2,4
2019-10-15,3,9
2019-10-15,4,11
2019-10-15,5,33
2019-10-15,6,79
2019-10-15,7,132
2019-10-15,8,144
2019-10-15,9,120
2019-10-15,10,135
2019-10-15,11,125
2019-10-15,12,141
2019-10-15,13,123
2019-10-15,14,145
2019-10-15,15,129
2019-10-15,16,133
2019-10-15,17,139
2019-10-15,18,127
2019-10-15,19,83
2019-10-15,20,67
2019-10-15,21,41
2019-10-15,22,46
2019-10-15,23,27
2019-10-16,0,18
2019-10-16,1,11
2019-10-16,2,6
2019-10-16,3,10
2019-10-16,4,5
2019-10-16,5,29
2019-10-16,6,89
2019-10-16,7,125
2019-10-16,8,155
2019-10-16,9,141
2019-10-16,10,124
2019-10-16,11,132
2019-10-16,12,129
2019-10-16,13,129
2019-10-16,14,134
2019-10-16,15,120
2019-10-16,16,142
2019-10-16,17,148
2019-10-16,18,152
2019-10-16,19,106
2019-11-20,12,156
2019-11-20,13,179
2019-11-20,14,145
2019-11-20,15,135
2019-11-20,16,123
2019-11-20,17,113
2019-11-20,18,154
2019-11-20,19,118
2019-11-20,20,80
2019-11-20,21,66
2019-11-20,22,43
2019-11-20,23,47
2019-11-21,0,34
2019-11-21,1,14
2019-11-21,2,8
2019-11-21,3,4
2019-11-21,4,10
2019-11-21,5,15
2019-11-21,6,31
2019-11-21,7,77
2019-11-21,8,114
2019-11-21,9,144
2019-11-21,10,131
2019-11-21,11,145
2019-11-21,12,146
2019-11-21,13,133
2019-11-21,14,156
2019-11-21,15,139
2019-11-21,16,104
2019-11-21,17,110
2019-11-21,18,116
2019-11-21,19,110
2019-11-21,20,92
2019-11-21,21,63
2019-11-21,22,58
2019-11-21,23,46
2019-11-22,0,47
2019-11-22,1,19
2019-11-22,2,11
2019-11-22,3,14
2019-11-22,4,13
2019-11-22,5,9
2019-11-22,6,33
2019-11-22,7,82
2019-11-22,8,139
2019-11-22,9,152
2019-11-22,10,146
2019-11-22,11,172
2019-11-22,12,144
2019-11-22,13,132
2019-11-22,14,150
2019-11-22,15,118
2019-11-22,16,116
2019-11-22,17,116
2019-11-22,18,143
2019-11-22,19,112
2019-11-22,20,92
2019-11-22,21,62
2019-11-22,22,57
2019-11-22,23,75
2019-11-23,0,67
2019-11-23,1,36
2019-11-23,2,18
2019-11-23,3,21
2019-11-23,4,19
2019-11-23,5,11
2019-11-23,6,18
2019-11-23,7,28
2019-11-23,8,52
2019-11-23,9,76
2019-11-23,10,76
2019-11-23,11,105
2019-11-23,12,121
2019-11-23,13,109
2019-11-23,14,122
2019-11-23,15,112
2019-11-23,16,95
2019-11-23,17,98
2019-11-23,18,117
2019-11-23,19,94
2019-11-23,20,70
2019-11-23,21,58
2019-11-23,22,69
2019-11-23,23,66
2019-11-24,0,73
2019-11-24,1,51
2019-11-24,2,26
2019-11-24,3,26
2019-11-24,4,23
2019-11-24,5,14
2019-11-24,6,17
2019-11-24,7,19
2019-11-24,8,28
2019-11-24,9,43
2019-11-24,10,69
2019-11-24,11,104
2019-11-24,12,105
2019-11-24,13,114
2019-11-24,14,107
2019-11-24,15,110
2019-11-24,16,112
2019-11-24,17,77
2019-11-24,18,108
2019-11-24,19,96
2019-11-24,20,96
2019-11-24,21,62
2019-11-24,22,61
2019-11-24,23,40
2019-11-25,0,36
2019-11-25,1,14
2019-11-25,2,7
2019-11-25,3,8
2019-11-25,4,7
2019-11-25,5,16
2019-11-25,6,31
2019-11-25,7,76
2019-11-25,8,130
2019-11-25,9,172
2019-11-25,10,138
2019-11-25,11,117
2019-11-25,12,116
2019-11-25,13,132
2019-11-25,14,136
2019-11-25,15,129
2019-11-25,16,117
2019-11-25,17,124
2019-11-25,18,108
2019-11-25,19,128
2019-11-25,20,109
2019-11-25,21,63
2019-11-25,22,60
2019-11-25,23,38
2019-11-26,0,82
2019-11-26,1,16
2019-11-26,2,9
2019-11-26,3,8
2019-11-26,4,6
2019-11-26,5,18
2019-11-26,6,35
2019-11-26,7,94
2019-11-26,8,128
2019-11-26,9,130
2019-11-26,10,149
2019-11-26,11,145
2019-11-26,12,144
2019-11-26,13,141
2019-11-26,14,126
2019-11-26,15,123
2019-11-26,16,128
2019-11-26,17,93
2019-11-26,18,127
2019-11-26,19,113
2019-11-26,20,80
2019-11-26,21,68
2019-11-26,22,54
2019-11-26,23,38
2019-11-27,0,29
2019-11-27,1,18
2019-11-27,2,7
2019-11-27,3,7
2019-11-27,4,7
2019-11-27,5,10
2019-11-27,6,36
2019-11-27,7,82
2019-11-27,8,119
2019-11-27,9,162
2019-11-27,10,142
2019-11-27,11,143
2019-11-27,12,142
2019-11-27,13,163
2019-11-27,14,163
2019-11-27,15,130
2019-11-27,16,152
2019-11-27,17,120
2019-11-27,18,149
2019-11-27,19,105
2019-11-27,20,85
2019-11-27,21,65
2019-11-27,22,48
2019-11-27,23,42
2019-11-28,0,38
2019-11-28,1,19
2019-11-28,2,7
2019-11-28,3,8
2019-11-28,4,12
2019-11-28,5,11
2019-11-28,6,33
2019-11-28,7,99
2019-11-28,8,124
2019-11-28,9,146
2019-11-28,10,95
2019-11-28,11,113
2019-11-28,12,140
2019-11-28,13,142
2019-11-28,14,129
2019-11-28,15,135
2019-11-28,16,115
2019-11-28,17,105
2019-11-28,18,119
2019-11-28,19,134
2019-11-28,20,102
2019-11-28,21,73
2019-11-28,22,64
2019-11-28,23,57
2019-11-29,0,33
2019-11-29,1,16
2019-11-29,2,10
2019-11-29,3,9
2019-11-29,4,8
2019-11-29,5,26
2019-11-29,6,34
2019-11-29,7,91
2019-11-29,8,141
2019-11-29,9,139
2019-11-29,10,136
2019-11-29,11,123
2019-11-29,12,121
2019-11-29,13,148
2019-11-29,14,139
2019-11-29,15,132
2019-11-29,16,151
2019-11-29,17,134
2019-11-29,18,144
2019-11-29,19,145
2019-11-29,20,97
2019-11-29,21,69
2019-11-29,22,55
2019-11-29,23,46
2019-11-30,0,57
2019-11-30,1,26
2019-11-30,2,27
2019-11-30,3,27
2019-11-30,4,13
2019-11-30,5,14
2019-11-30,6,14
2019-11-30,7,32
2019-11-30,8,67
2019-11-30,9,74
2019-11-30,10,89
2019-11-30,11,89
2019-11-30,12,95
2019-11-30,13,110
2019-11-30,14,120
2019-11-30,15,105
2019-11-30,16,110
2019-11-30,17,108
2019-11-30,18,100
2019-11-30,19,96
2019-11-30,20,95
2019-11-30,21,76
2019-11-30,22,66
2019-11-30,23,62
2019-12-01,0,52
2019-12-01,1,45
2019-12-01,2,38
2019-12-01,3,24
2019-12-01,4,14
2019-12-01,5,15
2019-12-01,6,16
2019-12-01,7,20
2019-12-01,8,23
2019-12-01,9,41
2019-12-01,10,81
2019-12-01,11,103
2019-12-01,12,111
2019-12-01,13,99
2019-12-01,14,93
2019-12-01,15,104
2019-12-01,16,112
2019-12-01,17,126
2019-12-01,18,100
2019-12-01,19,59
2019-12-01,20,63
2019-12-01,21,49
2019-12-01,22,42
2019-12-01,23,40
2019-12-02,0,42
2019-12-02,1,18
2019-12-02,2,9
2019-12-02,3,8
2019-12-02,4,12
2019-12-02,5,13
2019-12-02,6,31
2019-12-02,7,78
2019-12-02,8,128
2019-12-02,9,129
2019-12-02,10,94
2019-12-02,11,137
2019-12-02,12,148
2019-12-02,13,134
2019-12-02,14,124
2019-12-02,15,144
2019-12-02,16,116
2019-12-02,17,115
2019-12-02,18,127
2019-12-02,19,92
2019-12-02,20,78
2019-12-02,21,60
2019-12-02,22,48
2019-12-02,23,32
2019-12-03,0,19
2019-12-03,1,13
2019-12-03,2,11
2019-12-03,3,7
2019-12-03,4,14
2019-12-03,5,18
2019-12-03,6,32
2019-12-03,7,85
2019-12-03,8,129
2019-12-03,9,146
2019-12-03,10,147
2019-12-03,11,131
2019-12-03,12,152
2019-12-03,13,142
2019-12-03,14,142
2019-12-03,15,128
2019-12-03,16,127
2019-12-03,17,110
2019-12-03,18,128
2019-12-03,19,104
2019-12-03,20,81
2019-12-03,21,67
2019-12-03,22,37
