date,time,flow
2019-10-01,0,44
2019-10-01,1,21
2019-10-01,2,16
2019-10-01,3,26
2019-10-01,4,35
2019-10-01,5,75
2019-10-01,6,150
2019-10-01,7,230
2019-10-01,8,212
2019-10-01,9,234
2019-10-01,10,204
2019-10-01,11,243
2019-10-01,12,268
2019-10-01,13,244
2019-10-01,14,255
2019-10-01,15,263
2019-10-01,16,314
2019-10-01,17,295
2019-10-01,18,243
2019-10-01,19,190
2019-10-01,20,160
2019-10-01,21,132
2019-10-01,22,96
2019-10-01,23,88
2019-10-02,0,48
2019-10-02,1,26
2019-10-02,2,31
2019-10-02,3,21
2019-10-02,4,26
2019-10-02,5,71
2019-10-02,6,136
2019-10-02,7,216
2019-10-02,8,233
2019-10-02,9,208
2019-10-02,10,220
2019-10-02,11,233
2019-10-02,12,239
2019-10-02,13,252
2019-10-02,14,282
2019-10-02,15,273
2019-10-02,16,300
2019-10-02,17,287
2019-10-02,18,256
2019-10-02,19,200
2019-10-02,20,155
2019-10-02,21,142
2019-10-02,22,119
2019-10-02,23,96
2019-10-03,0,48
2019-10-03,1,26
2019-10-03,2,31
2019-10-03,3,36
2019-10-03,4,39
2019-10-03,5,75
2019-10-03,6,146
2019-10-03,7,207
2019-10-03,8,246
2019-10-03,9,221
2019-10-03,10,238
2019-10-03,11,252
2019-10-03,12,282
2019-10-03,13,268
2019-10-03,14,256
2019-10-03,15,286
2019-10-03,16,309
2019-10-03,17,308
2019-10-03,18,282
2019-10-03,19,217
2019-10-03,20,164
2019-10-03,21,198
2019-10-03,22,149
2019-10-03,23,118
2019-10-04,0,71
2019-10-04,1,44
2019-10-04,2,44
2019-10-04,3,30
2019-10-04,4,35
2019-10-04,5,62
2019-10-04,6,141
2019-10-04,7,234
2019-10-04,8,222
2019-10-04,9,220
2019-10-04,10,235
2019-10-04,11,257
2019-10-04,12,243
2019-10-04,13,257
2019-10-04,14,300
2019-10-04,15,322
2019-10-04,16,304
2019-10-04,17,288
2019-10-04,18,256
2019-10-04,19,247
2019-10-04,20,203
2019-10-04,21,229
2019-10-04,22,216
2019-10-04,23,168
2019-10-05,0,118
2019-10-05,1,88
2019-10-05,2,88
2019-10-05,3,57
2019-10-05,4,36
2019-10-05,5,49
2019-10-05,6,66
2019-10-05,7,100
2019-10-05,8,154
2019-10-05,9,172
2019-10-05,10,238
2019-10-05,11,251
2019-10-05,12,252
2019-10-05,13,254
2019-10-05,14,256
2019-10-05,15,233
2019-10-05,16,291
2019-10-05,17,282
2019-10-05,18,268
2019-10-05,19,243
2019-10-05,20,198
2019-10-05,21,189
2019-10-05,22,208
2019-10-05,23,180
2019-10-06,0,172
2019-10-06,1,100
2019-10-06,2,100
2019-10-06,3,92
2019-10-06,4,58
2019-10-06,5,40
2019-10-06,6,44
2019-10-06,7,57
2019-10-06,8,92
2019-10-06,9,128
2019-10-06,10,172
2019-10-06,11,221
2019-10-06,12,267
2019-10-06,13,256
2019-10-06,14,234
2019-10-06,15,238
2019-10-06,16,229
2019-10-06,17,212
2019-10-06,18,195
2019-10-06,19,180
2019-10-06,20,141
2019-10-06,21,132
2019-10-06,22,105
2019-10-06,23,89
2019-10-07,0,53
2019-10-07,1,36
2019-10-07,2,26
2019-10-07,3,26
2019-10-07,4,34
2019-10-07,5,71
2019-10-07,6,145
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,45
2019-10-07,11,235
2019-10-07,12,275
2019-10-07,13,234
2019-10-07,14,234
2019-10-07,15,248
2019-10-07,16,286
2019-10-07,17,260
2019-10-07,18,216
2019-10-07,19,167
2019-10-07,20,136
2019-10-07,21,111
2019-10-07,22,88
2019-10-07,23,70
2019-10-08,0,40
2019-10-08,1,21
2019-10-08,2,16
2019-10-08,3,16
2019-10-08,4,31
2019-10-08,5,66
2019-10-08,6,150
2019-10-08,7,207
2019-10-08,8,199
2019-10-08,9,216
