date,time,flow
2019-10-01,0,14
2019-10-01,1,7
2019-10-01,2,4
2019-10-01,3,9
2019-10-01,4,25
2019-10-01,5,53
2019-10-01,6,176
2019-10-01,7,256
2019-10-01,8,215
2019-10-01,9,162
2019-10-01,10,104
2019-10-01,11,95
2019-10-01,12,127
2019-10-01,13,88
2019-10-01,14,142
2019-10-01,15,155
2019-10-01,16,160
2019-10-01,17,118
2019-10-01,18,96
2019-10-01,19,58
2019-10-01,20,40
2019-10-01,21,41
2019-10-01,22,18
2019-10-01,23,22
2019-10-02,0,14
2019-10-02,1,2
2019-10-02,2,4
2019-10-02,3,11
2019-10-02,4,23
2019-10-02,5,52
2019-10-02,6,188
2019-10-02,7,253
2019-10-02,8,208
2019-10-02,9,113
2019-10-02,10,107
2019-10-02,11,137
2019-10-02,12,122
2019-10-02,13,106
2019-10-02,14,133
2019-10-02,15,169
2019-10-02,16,177
2019-10-02,17,119
2019-10-02,18,114
2019-10-02,19,65
2019-10-02,20,47
2019-10-02,21,40
2019-10-02,22,27
2019-10-02,23,25
2019-10-03,0,10
2019-10-03,1,11
2019-10-03,2,7
2019-10-03,3,8
2019-10-03,4,18
2019-10-03,5,39
2019-10-03,6,177
2019-10-03,7,294
2019-10-03,8,199
2019-10-03,9,93
2019-10-03,10,114
2019-10-03,11,125
2019-10-03,12,111
2019-10-03,13,110
2019-10-03,14,137
2019-10-03,15,160
2019-10-03,16,158
2019-10-03,17,126
2019-10-03,18,108
2019-10-03,19,73
2019-10-03,20,55
2019-10-03,21,69
2019-10-03,22,28
2019-10-03,23,28
2019-10-04,0,17
2019-10-04,1,7
2019-10-04,2,11
2019-10-04,3,6
2019-10-04,4,22
2019-10-04,5,47
2019-10-04,6,148
2019-10-04,7,271
2019-10-04,8,198
2019-10-04,9,101
2019-10-04,10,94
2019-10-04,11,125
2019-10-04,12,132
2019-10-04,13,138
2019-10-04,14,184
2019-10-04,15,169
2019-10-04,16,168
2019-10-04,17,127
2019-10-04,18,127
2019-10-04,19,92
2019-10-04,20,110
2019-10-04,21,131
2019-10-04,22,78
2019-10-04,23,72
2019-10-05,0,40
2019-10-05,1,26
2019-10-05,2,20
2019-10-05,3,13
2019-10-05,4,15
2019-10-05,5,23
2019-10-05,6,44
2019-10-05,7,78
2019-10-05,8,88
2019-10-05,9,97
2019-10-05,10,103
2019-10-05,11,106
2019-10-05,12,115
2019-10-05,13,118
2019-10-05,14,103
2019-10-05,15,92
2019-10-05,16,110
2019-10-05,17,116
2019-10-05,18,95
2019-10-05,19,78
2019-10-05,20,50
2019-10-05,21,50
2019-10-05,22,55
2019-10-05,23,37
2019-10-06,0,39
2019-10-06,1,33
2019-10-06,2,27
2019-10-06,3,17
2019-10-06,4,10
2019-10-06,5,19
2019-10-06,6,22
2019-10-06,7,36
2019-10-06,8,54
2019-10-06,9,77
2019-10-06,10,77
2019-10-06,11,84
2019-10-06,12,130
2019-10-06,13,150
2019-10-06,14,109
2019-10-06,15,74
2019-10-06,16,84
2019-10-06,17,80
2019-10-06,18,66
2019-10-06,19,66
2019-10-06,20,49
2019-10-06,21,44
2019-10-06,22,45
2019-10-06,23,19
2019-10-07,0,17
2019-10-07,1,13
2019-10-07,2,10
2019-10-07,3,9
2019-10-07,4,21
2019-10-07,5,56
2019-10-07,6,140
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,36
2019-10-07,11,134
2019-10-07,12,128
2019-10-07,13,158
2019-10-07,14,155
2019-10-07,15,185
2019-10-07,16,170
2019-10-07,17,119
2019-10-07,18,107
2019-10-07,19,87
2019-10-07,20,58
2019-10-07,21,27
2019-10-07,22,31
2019-10-07,23,19
2019-10-08,0,12
2019-10-08,1,10
2019-10-08,2,7
2019-10-08,3,6
2019-10-08,4,16
2019-10-08,5,55
2019-10-08,6,172
2019-10-08,7,214
2019-10-08,8,178
2019-10-08,9,128
2019-10-08,10,81
2019-10-08,11,116
2019-10-08,12,114
2019-10-08,13,126
2019-10-08,14,157
2019-10-08,15,143
2019-10-08,16,183
2019-10-08,17,136
2019-10-08,18,88
2019-10-08,19,78
2019-10-08,20,64
2019-10-08,21,59
2019-10-08,22,34
2019-10-08,23,18
2019-10-09,0,9
2019-10-09,1,9
2019-10-09,2,3
2019-10-09,3,6
2019-10-09,4,25
2019-10-09,5,58
2019-10-09,6,183
2019-10-09,7,209
2019-10-09,8,165
2019-10-09,9,146
2019-10-09,10,102
2019-10-09,11,107
2019-10-09,12,140
2019-10-09,13,124
2019-10-09,14,120
2019-10-09,15,191
2019-10-09,16,182
2019-10-09,17,164
2019-10-09,18,112
2019-10-09,19,79
2019-10-09,20,59
