date,time,flow
2019-10-01,0,17
2019-10-01,1,6
2019-10-01,2,7
2019-10-01,3,4
2019-10-01,4,18
2019-10-01,5,44
2019-10-01,6,102
2019-10-01,7,178
2019-10-01,8,151
2019-10-01,9,146
2019-10-01,10,117
2019-10-01,11,153
2019-10-01,12,131
2019-10-01,13,148
2019-10-01,14,137
2019-10-01,15,171
2019-10-01,16,151
2019-10-01,17,133
2019-10-01,18,126
2019-10-01,19,96
2019-10-01,20,78
2019-10-01,21,64
2019-10-01,22,45
2019-10-01,23,28
2019-10-02,0,17
2019-10-02,1,10
2019-10-02,2,9
2019-10-02,3,3
2019-10-02,4,11
2019-10-02,5,42
2019-10-02,6,123
2019-10-02,7,186
2019-10-02,8,188
2019-10-02,9,157
2019-10-02,10,136
2019-10-02,11,151
2019-10-02,12,137
2019-10-02,13,121
2019-10-02,14,117
2019-10-02,15,154
2019-10-02,16,153
2019-10-02,17,128
2019-10-02,18,113
2019-10-02,19,72
2019-10-02,20,76
2019-10-02,21,63
2019-10-02,22,41
2019-10-02,23,32
2019-10-03,0,22
2019-10-03,1,11
2019-10-03,2,6
2019-10-03,3,5
2019-10-03,4,12
2019-10-03,5,29
2019-10-03,6,124
2019-10-03,7,193
2019-10-03,8,157
2019-10-03,9,126
2019-10-03,10,128
2019-10-03,11,138
2019-10-03,12,150
2019-10-03,13,145
2019-10-03,14,136
2019-10-03,15,136
2019-10-03,16,159
2019-10-03,17,125
2019-10-03,18,96
2019-10-03,19,90
2019-10-03,20,72
2019-10-03,21,66
2019-10-03,22,54
2019-10-03,23,42
2019-10-04,0,18
2019-10-04,1,16
2019-10-04,2,12
2019-10-04,3,7
2019-10-04,4,13
2019-10-04,5,27
2019-10-04,6,118
2019-10-04,7,180
2019-10-04,8,162
2019-10-04,9,157
2019-10-04,10,153
2019-10-04,11,160
2019-10-04,12,161
2019-10-04,13,168
2019-10-04,14,148
2019-10-04,15,192
2019-10-04,16,153
2019-10-04,17,164
2019-10-04,18,138
2019-10-04,19,105
2019-10-04,20,82
2019-10-04,21,86
2019-10-04,22,77
2019-10-04,23,71
2019-10-05,0,42
2019-10-05,1,33
2019-10-05,2,27
2019-10-05,3,15
2019-10-05,4,13
2019-10-05,5,17
2019-10-05,6,43
2019-10-05,7,54
2019-10-05,8,80
2019-10-05,9,95
2019-10-05,10,117
2019-10-05,11,140
2019-10-05,12,136
2019-10-05,13,126
2019-10-05,14,124
2019-10-05,15,135
2019-10-05,16,125
2019-10-05,17,124
2019-10-05,18,104
2019-10-05,19,88
2019-10-05,20,65
2019-10-05,21,91
2019-10-05,22,76
2019-10-05,23,58
2019-10-06,0,51
2019-10-06,1,44
2019-10-06,2,38
2019-10-06,3,25
2019-10-06,4,11
2019-10-06,5,18
2019-10-06,6,17
2019-10-06,7,46
2019-10-06,8,45
2019-10-06,9,93
2019-10-06,10,100
2019-10-06,11,118
2019-10-06,12,94
2019-10-06,13,126
2019-10-06,14,110
2019-10-06,15,121
2019-10-06,16,122
2019-10-06,17,105
2019-10-06,18,93
2019-10-06,19,70
2019-10-06,20,69
2019-10-06,21,55
2019-10-06,22,42
2019-10-06,23,31
2019-10-07,0,18
2019-10-07,1,8
2019-10-07,2,4
2019-10-07,3,4
2019-10-07,4,12
2019-10-07,5,36
2019-10-07,6,97
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,28
2019-10-07,11,125
2019-10-07,12,146
2019-10-07,13,134
2019-10-07,14,117
2019-10-07,15,144
2019-10-07,16,174
2019-10-07,17,122
2019-10-07,18,97
2019-10-07,19,73
2019-10-07,20,58
2019-10-07,21,46
2019-10-07,22,41
2019-10-07,23,27
2019-10-08,0,10
2019-10-08,1,10
2019-10-08,2,5
2019-10-08,3,5
2019-10-08,4,15
2019-10-08,5,39
2019-10-08,6,123
2019-10-08,7,188
2019-10-08,8,160
2019-10-08,9,156
2019-10-08,10,128
2019-10-08,11,141
2019-10-08,12,137
2019-10-08,13,115
2019-10-08,14,134
2019-10-08,15,146
2019-10-08,16,155
2019-10-08,17,117
2019-10-08,18,124
2019-10-08,19,97
2019-10-08,20,80
2019-10-08,21,51
2019-10-08,22,50
2019-10-08,23,29
2019-10-09,0,20
2019-10-09,1,10
2019-10-09,2,5
2019-10-09,3,8
2019-10-09,4,16
2019-10-09,5,39
2019-10-09,6,132
2019-10-09,7,165
2019-10-09,8,183
2019-10-09,9,167
2019-10-09,10,142
2019-10-09,11,121
2019-10-09,12,155
2019-10-09,13,147
2019-10-09,14,133
2019-10-09,15,145
2019-10-09,16,179
2019-10-09,17,135
2019-10-09,18,116
