date,time,flow
2019-10-01,0,2
2019-10-01,1,1
2019-10-01,2,2
2019-10-01,3,1
2019-10-01,4,4
2019-10-01,5,15
2019-10-01,6,42
2019-10-01,7,109
2019-10-01,8,77
2019-10-01,9,62
2019-10-01,10,61
2019-10-01,11,64
2019-10-01,12,59
2019-10-01,13,67
2019-10-01,14,61
2019-10-01,15,79
2019-10-01,16,88
2019-10-01,17,60
2019-10-01,18,45
2019-10-01,19,33
2019-10-01,20,26
2019-10-01,21,18
2019-10-01,22,15
2019-10-01,23,5
2019-10-02,0,0
2019-10-02,1,3
2019-10-02,2,0
2019-10-02,3,3
2019-10-02,4,3
2019-10-02,5,13
2019-10-02,6,46
2019-10-02,7,99
2019-10-02,8,85
2019-10-02,9,68
2019-10-02,10,74
2019-10-02,11,66
2019-10-02,12,67
2019-10-02,13,64
2019-10-02,14,59
2019-10-02,15,96
2019-10-02,16,95
2019-10-02,17,58
2019-10-02,18,38
2019-10-02,19,40
2019-10-02,20,25
2019-10-02,21,24
2019-10-02,22,7
2019-10-02,23,6
2019-10-03,0,5
2019-10-03,1,4
2019-10-03,2,3
2019-10-03,3,3
2019-10-03,4,2
2019-10-03,5,10
2019-10-03,6,44
2019-10-03,7,104
2019-10-03,8,97
2019-10-03,9,62
2019-10-03,10,71
2019-10-03,11,86
2019-10-03,12,79
2019-10-03,13,79
2019-10-03,14,65
2019-10-03,15,104
2019-10-03,16,97
2019-10-03,17,64
2019-10-03,18,41
2019-10-03,19,31
2019-10-03,20,20
2019-10-03,21,17
2019-10-03,22,13
2019-10-03,23,6
2019-10-04,0,2
2019-10-04,1,5
2019-10-04,2,2
2019-10-04,3,4
2019-10-04,4,4
2019-10-04,5,16
2019-10-04,6,35
2019-10-04,7,84
2019-10-04,8,78
2019-10-04,9,70
2019-10-04,10,73
2019-10-04,11,71
2019-10-04,12,69
2019-10-04,13,91
2019-10-04,14,83
2019-10-04,15,90
2019-10-04,16,82
2019-10-04,17,51
2019-10-04,18,45
2019-10-04,19,39
2019-10-04,20,30
2019-10-04,21,29
2019-10-04,22,24
2019-10-04,23,16
2019-10-05,0,9
2019-10-05,1,7
2019-10-05,2,7
2019-10-05,3,3
2019-10-05,4,3
2019-10-05,5,5
2019-10-05,6,20
2019-10-05,7,33
2019-10-05,8,40
2019-10-05,9,58
2019-10-05,10,75
2019-10-05,11,73
2019-10-05,12,70
2019-10-05,13,74
2019-10-05,14,69
2019-10-05,15,48
2019-10-05,16,56
2019-10-05,17,48
2019-10-05,18,64
2019-10-05,19,30
2019-10-05,20,24
2019-10-05,21,26
2019-10-05,22,32
2019-10-05,23,19
2019-10-06,0,13
2019-10-06,1,12
2019-10-06,2,10
2019-10-06,3,7
2019-10-06,4,5
2019-10-06,5,6
2019-10-06,6,9
2019-10-06,7,16
2019-10-06,8,23
2019-10-06,9,30
2019-10-06,10,47
2019-10-06,11,51
2019-10-06,12,72
2019-10-06,13,67
2019-10-06,14,50
2019-10-06,15,52
2019-10-06,16,52
2019-10-06,17,36
2019-10-06,18,30
2019-10-06,19,34
2019-10-06,20,26
2019-10-06,21,20
2019-10-06,22,12
2019-10-06,23,8
2019-10-07,0,4
2019-10-07,1,2
2019-10-07,2,2
2019-10-07,3,1
2019-10-07,4,7
2019-10-07,5,25
2019-10-07,6,40
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,16
2019-10-07,11,63
2019-10-07,12,70
2019-10-07,13,61
2019-10-07,14,66
2019-10-07,15,93
2019-10-07,16,83
2019-10-07,17,71
2019-10-07,18,40
2019-10-07,19,24
2019-10-07,20,25
2019-10-07,21,15
2019-10-07,22,14
2019-10-07,23,10
2019-10-08,0,8
2019-10-08,1,8
2019-10-08,2,3
2019-10-08,3,4
2019-10-08,4,6
2019-10-08,5,12
2019-10-08,6,48
2019-10-08,7,105
2019-10-08,8,74
2019-10-08,9,62
2019-10-08,10,54
2019-10-08,11,77
2019-10-08,12,63
2019-10-08,13,64
2019-10-08,14,73
2019-10-08,15,87
2019-10-08,16,125
2019-10-08,17,75
2019-10-08,18,52
2019-10-08,19,33
2019-10-08,20,28
2019-10-08,21,18
2019-10-08,22,12
2019-10-08,23,7
2019-10-09,0,0
2019-10-09,1,3
2019-10-09,2,1
2019-10-09,3,4
2019-10-09,4,6
2019-10-09,5,3
2019-10-09,6,50
2019-10-09,7,92
2019-10-09,8,74
2019-10-09,9,63
2019-10-09,10,53
2019-10-09,11,88
2019-10-09,12,65
2019-10-09,13,81
2019-10-09,14,80
2019-10-09,15,89
2019-10-09,16,113
2019-10-09,17,62
2019-10-09,18,56
2019-10-09,19,36
2019-10-09,20,18
2019-10-09,21,22
2019-10-09,22,15
2019-10-09,23,11
2019-10-10,0,6
2019-10-10,1,4
2019-10-10,2,1
2019-10-10,3,3
2019-10-10,4,4
2019-10-10,5,15
2019-10-10,6,34
2019-10-10,7,99
2019-10-10,8,86
2019-10-10,9,58
2019-10-10,10,69
2019-10-10,11,64
2019-10-10,12,77
2019-10-10,13,66
2019-10-10,14,78
2019-10-10,15,124
2019-10-10,16,147
2019-10-10,17,56
2019-10-10,18,46
2019-10-10,19,38
2019-10-10,20,33
2019-10-10,21,22
2019-10-10,22,9
2019-10-10,23,10
2019-10-11,0,7
2019-10-11,1,4
2019-10-11,2,1
2019-10-11,3,5
2019-10-11,4,6
2019-10-11,5,22
2019-10-11,6,35
2019-10-11,7,82
2019-10-11,8,81
2019-10-11,9,66
2019-10-11,10,67
2019-10-11,11,86
2019-10-11,12,91
2019-10-11,13,81
2019-10-11,14,94
2019-10-11,15,79
2019-10-11,16,75
2019-10-11,17,63
2019-10-11,18,58
2019-10-11,19,37
2019-10-11,20,78
2019-10-11,21,52
2019-10-11,22,38
2019-10-11,23,16
2019-10-12,0,10
2019-10-12,1,12
2019-10-12,2,9
2019-10-12,3,4
2019-10-12,4,3
2019-10-12,5,7
2019-10-12,6,16
2019-10-12,7,28
2019-10-12,8,52
2019-10-12,9,50
2019-10-12,10,82
2019-10-12,11,90
2019-10-12,12,85
2019-10-12,13,48
2019-10-12,14,57
2019-10-12,15,75
2019-10-12,16,61
2019-10-12,17,40
2019-10-12,18,38
2019-10-12,19,25
2019-10-12,20,28
2019-10-12,21,23
2019-10-12,22,19
2019-10-12,23,16
2019-10-13,0,14
2019-10-13,1,9
2019-10-13,2,10
2019-10-13,3,6
2019-10-13,4,3
2019-10-13,5,4
2019-10-13,6,8
2019-10-13,7,16
2019-10-13,8,25
2019-10-13,9,35
2019-10-13,10,59
2019-10-13,11,75
2019-10-13,12,76
2019-10-13,13,65
2019-10-13,14,52
2019-10-13,15,58
2019-10-13,16,52
2019-10-13,17,57
2019-10-13,18,39
2019-10-13,19,23
2019-10-13,20,26
2019-10-13,21,14
2019-10-13,22,17
2019-10-13,23,8
2019-10-14,0,6
2019-10-14,1,2
2019-10-14,2,0
2019-10-14,3,2
2019-10-14,4,7
2019-10-14,5,12
2019-10-14,6,41
2019-10-14,7,77
2019-10-14,8,51
2019-10-14,9,60
2019-10-14,10,69
2019-10-14,11,61
2019-10-14,12,79
2019-10-14,13,66
2019-10-14,14,74
2019-10-14,15,77
2019-10-14,16,77
2019-10-14,17,53
2019-10-14,18,36
2019-10-14,19,20
2019-10-14,20,30
2019-10-14,21,14
2019-10-14,22,11
2019-10-14,23,4
2019-10-15,0,3
2019-10-15,1,5
2019-10-15,2,3
2019-10-15,3,4
2019-10-15,4,10
2019-10-15,5,15
2019-10-15,6,34
2019-10-15,7,94
2019-10-15,8,73
2019-10-15,9,74
2019-10-15,10,74
2019-10-15,11,76
2019-10-15,12,68
2019-10-15,13,72
2019-10-15,14,83
2019-10-15,15,81
2019-10-15,16,100
2019-10-15,17,55
2019-10-15,18,48
2019-10-15,19,26
2019-10-15,20,28
2019-10-15,21,22
2019-10-15,22,12
2019-10-15,23,8
2019-10-16,0,2
2019-10-16,1,2
2019-10-16,2,0
2019-10-16,3,1
2019-10-16,4,7
2019-10-16,5,7
2019-10-16,6,33
2019-10-16,7,90
2019-10-16,8,65
2019-10-16,9,73
2019-10-16,10,51
2019-10-16,11,68
2019-10-16,12,69
2019-10-16,13,88
2019-10-16,14,76
2019-10-16,15,97
2019-10-16,16,100
2019-10-16,17,58
2019-10-16,18,45
2019-10-16,19,28
2019-11-20,12,68
2019-11-20,13,64
2019-11-20,14,67
2019-11-20,15,75
2019-11-20,16,80
2019-11-20,17,89
2019-11-20,18,60
2019-11-20,19,62
2019-11-20,20,42
2019-11-20,21,35
2019-11-20,22,33
2019-11-20,23,21
2019-11-21,0,14
2019-11-21,1,5
2019-11-21,2,2
2019-11-21,3,2
2019-11-21,4,0
2019-11-21,5,4
2019-11-21,6,14
2019-11-21,7,41
2019-11-21,8,82
2019-11-21,9,77
2019-11-21,10,74
2019-11-21,11,73
2019-11-21,12,68
2019-11-21,13,61
2019-11-21,14,68
2019-11-21,15,69
2019-11-21,16,114
2019-11-21,17,79
2019-11-21,18,65
2019-11-21,19,49
2019-11-21,20,34
2019-11-21,21,35
2019-11-21,22,21
2019-11-21,23,16
2019-11-22,0,14
2019-11-22,1,4
2019-11-22,2,1
2019-11-22,3,5
2019-11-22,4,2
2019-11-22,5,3
2019-11-22,6,15
2019-11-22,7,40
2019-11-22,8,84
2019-11-22,9,76
2019-11-22,10,63
2019-11-22,11,70
2019-11-22,12,77
2019-11-22,13,82
2019-11-22,14,80
2019-11-22,15,72
2019-11-22,16,95
2019-11-22,17,84
2019-11-22,18,52
2019-11-22,19,45
2019-11-22,20,43
2019-11-22,21,19
2019-11-22,22,22
2019-11-22,23,85
2019-11-23,0,21
