date,time,flow
2019-10-01,0,3
2019-10-01,1,1
2019-10-01,2,3
2019-10-01,3,4
2019-10-01,4,3
2019-10-01,5,11
2019-10-01,6,17
2019-10-01,7,53
2019-10-01,8,68
2019-10-01,9,58
2019-10-01,10,54
2019-10-01,11,60
2019-10-01,12,69
2019-10-01,13,65
2019-10-01,14,59
2019-10-01,15,85
2019-10-01,16,97
2019-10-01,17,76
2019-10-01,18,51
2019-10-01,19,44
2019-10-01,20,23
2019-10-01,21,21
2019-10-01,22,12
2019-10-01,23,9
2019-10-02,0,2
2019-10-02,1,2
2019-10-02,2,1
2019-10-02,3,4
2019-10-02,4,1
2019-10-02,5,8
2019-10-02,6,26
2019-10-02,7,70
2019-10-02,8,71
2019-10-02,9,70
2019-10-02,10,53
2019-10-02,11,63
2019-10-02,12,65
2019-10-02,13,69
2019-10-02,14,80
2019-10-02,15,77
2019-10-02,16,108
2019-10-02,17,81
2019-10-02,18,74
2019-10-02,19,33
2019-10-02,20,29
2019-10-02,21,25
2019-10-02,22,16
2019-10-02,23,9
2019-10-03,0,4
2019-10-03,1,2
2019-10-03,2,1
2019-10-03,3,4
2019-10-03,4,4
2019-10-03,5,6
2019-10-03,6,24
2019-10-03,7,65
2019-10-03,8,82
2019-10-03,9,63
2019-10-03,10,49
2019-10-03,11,75
2019-10-03,12,92
2019-10-03,13,72
2019-10-03,14,67
2019-10-03,15,91
2019-10-03,16,109
2019-10-03,17,86
2019-10-03,18,75
2019-10-03,19,47
2019-10-03,20,30
2019-10-03,21,30
2019-10-03,22,24
2019-10-03,23,10
2019-10-04,0,1
2019-10-04,1,3
2019-10-04,2,2
2019-10-04,3,6
2019-10-04,4,5
2019-10-04,5,9
2019-10-04,6,24
2019-10-04,7,63
2019-10-04,8,70
2019-10-04,9,70
2019-10-04,10,63
2019-10-04,11,68
2019-10-04,12,78
2019-10-04,13,95
2019-10-04,14,86
2019-10-04,15,105
2019-10-04,16,121
2019-10-04,17,92
2019-10-04,18,66
2019-10-04,19,47
2019-10-04,20,37
2019-10-04,21,43
2019-10-04,22,26
2019-10-04,23,20
2019-10-05,0,17
2019-10-05,1,9
2019-10-05,2,1
2019-10-05,3,11
2019-10-05,4,2
2019-10-05,5,5
2019-10-05,6,12
2019-10-05,7,26
2019-10-05,8,31
2019-10-05,9,51
2019-10-05,10,67
2019-10-05,11,83
2019-10-05,12,90
2019-10-05,13,102
2019-10-05,14,81
2019-10-05,15,100
2019-10-05,16,83
2019-10-05,17,67
2019-10-05,18,58
2019-10-05,19,42
2019-10-05,20,39
2019-10-05,21,49
2019-10-05,22,23
2019-10-05,23,25
2019-10-06,0,14
2019-10-06,1,9
2019-10-06,2,12
2019-10-06,3,5
2019-10-06,4,5
2019-10-06,5,1
2019-10-06,6,4
2019-10-06,7,12
2019-10-06,8,26
2019-10-06,9,36
2019-10-06,10,40
2019-10-06,11,62
