date,time,flow
2019-10-01,0,6
2019-10-01,1,4
2019-10-01,2,5
2019-10-01,3,3
2019-10-01,4,3
2019-10-01,5,14
2019-10-01,6,32
2019-10-01,7,137
2019-10-01,8,148
2019-10-01,9,84
2019-10-01,10,82
2019-10-01,11,103
2019-10-01,12,87
2019-10-01,13,118
2019-10-01,14,100
2019-10-01,15,133
2019-10-01,16,143
2019-10-01,17,102
2019-10-01,18,82
2019-10-01,19,47
2019-10-01,20,47
2019-10-01,21,28
2019-10-01,22,22
2019-10-01,23,11
2019-10-02,0,15
2019-10-02,1,5
2019-10-02,2,40
2019-10-02,3,28
2019-10-02,4,9
2019-10-02,5,18
2019-10-02,6,57
2019-10-02,7,133
2019-10-02,8,116
2019-10-02,9,85
2019-10-02,10,92
2019-10-02,11,83
2019-10-02,12,80
2019-10-02,13,92
2019-10-02,14,94
2019-10-02,15,97
2019-10-02,16,136
2019-10-02,17,94
2019-10-02,18,68
2019-10-02,19,43
2019-10-02,20,39
2019-10-02,21,40
2019-10-02,22,25
2019-10-02,23,12
2019-10-03,0,13
2019-10-03,1,9
2019-10-03,2,4
2019-10-03,3,11
2019-10-03,4,21
2019-10-03,5,21
2019-10-03,6,41
2019-10-03,7,164
2019-10-03,8,128
2019-10-03,9,88
2019-10-03,10,80
2019-10-03,11,94
2019-10-03,12,95
2019-10-03,13,96
2019-10-03,14,113
2019-10-03,15,143
2019-10-03,16,153
2019-10-03,17,100
2019-10-03,18,101
2019-10-03,19,47
2019-10-03,20,45
2019-10-03,21,43
2019-10-03,22,32
2019-10-03,23,51
2019-10-04,0,18
2019-10-04,1,28
2019-10-04,2,6
2019-10-04,3,3
2019-10-04,4,7
2019-10-04,5,19
2019-10-04,6,45
2019-10-04,7,94
2019-10-04,8,121
2019-10-04,9,67
2019-10-04,10,98
2019-10-04,11,99
2019-10-04,12,126
2019-10-04,13,94
2019-10-04,14,109
2019-10-04,15,129
2019-10-04,16,89
2019-10-04,17,94
2019-10-04,18,74
2019-10-04,19,93
2019-10-04,20,46
2019-10-04,21,46
2019-10-04,22,55
2019-10-04,23,35
2019-10-05,0,34
2019-10-05,1,32
2019-10-05,2,24
2019-10-05,3,6
2019-10-05,4,7
